date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2009-10-06,VRSK,SVP-Insurance Services,SELL,118700.0,22.0,2611400.0,"THOMPSON, KEVIN BARRY",Class A Common Stock
2009-10-06,VRSK,Director,SELL,50000.0,22.0,1100000.0,"LEHMAN, JOHN F",Class A Common Stock
2009-10-06,VRSK,Director,SELL,61800.0,22.0,1359600.0,"DELL, GLEN A",Class A Common Stock
2009-10-06,VRSK,Director,SELL,68600.0,22.0,1509200.0,"DELL, GLEN A",Class A Common Stock
2009-10-06,VRSK,EVP-Info Serv & Govt Relations,SELL,155000.0,22.0,3410000.0,"BANFIELD, CAROLE J",Class A Common Stock
2009-11-30,VRSK,Director,BUY,10000.0,27.34,273400.0,"BROWN, HYATT J",Class A Common Stock
2010-05-11,VRSK,Director,BUY,27950.0,17.84,498628.0,"ROTHKOPF, ARTHUR J",Class A Common Stock
2010-05-11,VRSK,Director,BUY,25000.0,4.8,120000.0,"ROTHKOPF, ARTHUR J",Class A Common Stock
2010-05-11,VRSK,Director,BUY,26050.0,16.72,435555.99999999994,"ROTHKOPF, ARTHUR J",Class A Common Stock
2010-05-11,VRSK,Director,SELL,79000.0,28.11,2220690.0,"ROTHKOPF, ARTHUR J",Class A Common Stock
2010-05-12,VRSK,"Director, President and CEO",SELL,503043.0,29.92,15051046.56,"COYNE, FRANK J",Class A Common Stock
2010-05-12,VRSK,"Director, President and CEO",BUY,1171450.0,2.2,2577190.0,"COYNE, FRANK J",Class A Common Stock
2010-08-10,VRSK,Director,SELL,47250.0,28.36,1340010.0,"DELL, GLEN A",Class A Common Stock
2010-10-01,VRSK,EVP and COO,SELL,150000.0,27.25,4087500.0,"STEPHENSON, SCOTT G",Class A Common Stock
2010-10-01,VRSK,Director,BUY,75000.0,12.84,963000.0,"BROWN, HYATT J",Class A Common Stock
2010-10-01,VRSK,SVP and CFO,SELL,150000.0,27.25,4087500.0,"ANQUILLARE, MARK V",Class A Common Stock
2010-10-01,VRSK,SVP and CFO,BUY,87500.0,2.16,189000.0,"ANQUILLARE, MARK V",Class A Common Stock
2010-10-01,VRSK,SVP and CFO,BUY,62500.0,1.84,115000.0,"ANQUILLARE, MARK V",Class A Common Stock
2010-10-01,VRSK,EVP-Info Svc and GovtRelations,SELL,175322.0,27.25,4777524.5,"BANFIELD, CAROLE J",Class A Common Stock
2010-10-01,VRSK,EVP-Info Svc and GovtRelations,BUY,15000.0,16.1,241500.00000000003,"BANFIELD, CAROLE J",Class A Common Stock
