snapshot_date,symbol,option_type,expiration_date,strike,bid,ask,last_price,volume,open_interest,implied_volatility,delta,gamma,theta,vega,ask_size,bid_size,contract_id,date,mark,rho
2025-12-27,AMZN,CALL,2026-01-16,65.0,166.45,169.0,167.15,2,2994,1.98556,0.99824,5e-05,-0.02128,0.00314,172,174,AMZN260116C00065000,2025-12-26 00:00:00,167.72,0.03705
2025-12-27,AMZN,CALL,2026-01-16,265.0,0.11,0.12,0.11,280,14299,0.25877,0.02059,0.00344,-0.01752,0.02768,169,11,AMZN260116C00265000,2025-12-26 00:00:00,0.11,0.00269
2025-12-27,AMZN,CALL,2026-01-16,260.0,0.18,0.19,0.18,950,39910,0.24902,0.03552,0.00563,-0.02667,0.04362,182,105,AMZN260116C00260000,2025-12-26 00:00:00,0.18,0.00464
2025-12-27,AMZN,CALL,2026-01-16,255.0,0.33,0.34,0.33,616,22560,0.23926,0.06143,0.00909,-0.03994,0.06767,44,60,AMZN260116C00255000,2025-12-26 00:00:00,0.34,0.00802
2025-12-27,AMZN,CALL,2026-01-16,252.5,0.46,0.48,0.48,179,339,0.23926,0.08516,0.01168,-0.05143,0.08691,90,126,AMZN260116C00252500,2025-12-26 00:00:00,0.47,0.01110
2025-12-27,AMZN,CALL,2026-01-16,250.0,0.65,0.67,0.66,3205,65860,0.22951,0.10544,0.01425,-0.05797,0.10172,42,58,AMZN260116C00250000,2025-12-26 00:00:00,0.66,0.01374
2025-12-27,AMZN,CALL,2026-01-16,247.5,0.92,0.95,0.93,1369,891,0.22951,0.14263,0.01761,-0.07191,0.12571,45,112,AMZN260116C00247500,2025-12-26 00:00:00,0.94,0.01856
2025-12-27,AMZN,CALL,2026-01-16,270.0,0.08,0.09,0.08,314,20536,0.27829,0.01485,0.00242,-0.01421,0.02094,110,16,AMZN260116C00270000,2025-12-26 00:00:00,0.08,0.00194
2025-12-27,AMZN,CALL,2026-01-16,245.0,1.3,1.33,1.32,1745,28954,0.22951,0.18831,0.02108,-0.08649,0.15052,63,51,AMZN260116C00245000,2025-12-26 00:00:00,1.31,0.02445
2025-12-27,AMZN,CALL,2026-01-16,240.0,2.47,2.54,2.49,3223,68638,0.22951,0.30517,0.02737,-0.11361,0.19541,49,25,AMZN260116C00240000,2025-12-26 00:00:00,2.50,0.03943
2025-12-27,AMZN,CALL,2026-01-16,237.5,3.3,3.4,3.35,672,806,0.23926,0.38054,0.02855,-0.12951,0.21245,68,120,AMZN260116C00237500,2025-12-26 00:00:00,3.35,0.04894
2025-12-27,AMZN,CALL,2026-01-16,235.0,4.3,4.4,4.36,3071,34335,0.23926,0.45237,0.02968,-0.1359,0.22091,10,176,AMZN260116C00235000,2025-12-26 00:00:00,4.35,0.05798
2025-12-27,AMZN,CALL,2026-01-16,232.5,5.5,5.8,5.6,1026,1724,0.23926,0.52658,0.02983,-0.13813,0.22201,53,82,AMZN260116C00232500,2025-12-26 00:00:00,5.65,0.06724
2025-12-27,AMZN,CALL,2026-01-16,230.0,6.95,7.05,7.0,1427,31157,0.23926,0.60066,0.02894,-0.13593,0.21538,25,20,AMZN260116C00230000,2025-12-26 00:00:00,7.00,0.07637
2025-12-27,AMZN,CALL,2026-01-16,227.5,8.55,8.65,8.65,497,1003,0.24902,0.66652,0.02618,-0.13485,0.20282,38,11,AMZN260116C00227500,2025-12-26 00:00:00,8.60,0.08419
2025-12-27,AMZN,CALL,2026-01-16,242.5,1.8,1.92,1.82,706,617,0.22951,0.24264,0.02443,-0.10076,0.17442,65,58,AMZN260116C00242500,2025-12-26 00:00:00,1.86,0.03143
2025-12-27,AMZN,CALL,2026-01-16,225.0,10.3,10.45,10.3,575,17680,0.24902,0.73083,0.02377,-0.12508,0.18413,37,32,AMZN260116C00225000,2025-12-26 00:00:00,10.38,0.09182
2025-12-27,AMZN,CALL,2026-01-16,275.0,0.05,0.07,0.06,179,12830,0.2978,0.01119,0.00177,-0.01187,0.01639,64,80,AMZN260116C00275000,2025-12-26 00:00:00,0.06,0.00146
2025-12-27,AMZN,CALL,2026-01-16,285.0,0.03,0.08,0.03,135,5543,0.34658,0.00862,0.00121,-0.01097,0.01306,1,79,AMZN260116C00285000,2025-12-26 00:00:00,0.06,0.00112
2025-12-27,AMZN,CALL,2026-01-16,355.0,0.0,0.02,0.01,0,980,0.56121,0.0011,0.00012,-0.00277,0.00206,12,0,AMZN260116C00355000,2025-12-26 00:00:00,0.01,0.00014
2025-12-27,AMZN,CALL,2026-01-16,350.0,0.0,0.01,0.01,0,6170,0.55145,0.00131,0.00014,-0.00318,0.0024,50,0,AMZN260116C00350000,2025-12-26 00:00:00,0.01,0.00017
2025-12-27,AMZN,CALL,2026-01-16,345.0,0.0,0.01,0.01,110,1432,0.53194,0.0013,0.00014,-0.00305,0.00238,390,0,AMZN260116C00345000,2025-12-26 00:00:00,0.01,0.00017
2025-12-27,AMZN,CALL,2026-01-16,340.0,0.0,0.01,0.01,517,3366,0.51243,0.00129,0.00015,-0.00293,0.00238,400,0,AMZN260116C00340000,2025-12-26 00:00:00,0.01,0.00017
2025-12-27,AMZN,CALL,2026-01-16,335.0,0.0,0.01,0.01,71,931,0.49292,0.0013,0.00016,-0.00283,0.00239,331,0,AMZN260116C00335000,2025-12-26 00:00:00,0.01,0.00017
2025-12-27,AMZN,CALL,2026-01-16,330.0,0.01,0.07,0.02,200,2031,0.54169,0.00448,0.00043,-0.00953,0.00731,126,100,AMZN260116C00330000,2025-12-26 00:00:00,0.04,0.00058
2025-12-27,AMZN,CALL,2026-01-16,280.0,0.05,0.06,0.06,36,16779,0.32707,0.01065,0.00154,-0.01247,0.0157,8,6,AMZN260116C00280000,2025-12-26 00:00:00,0.06,0.00139
2025-12-27,AMZN,CALL,2026-01-16,325.0,0.01,0.02,0.01,91,1764,0.45389,0.00134,0.00017,-0.00269,0.00246,50,39,AMZN260116C00325000,2025-12-26 00:00:00,0.01,0.00017
2025-12-27,AMZN,CALL,2026-01-16,315.0,0.01,0.05,0.02,0,2423,0.46365,0.00396,0.00045,-0.00732,0.00655,10,15,AMZN260116C00315000,2025-12-26 00:00:00,0.03,0.00051
2025-12-27,AMZN,CALL,2026-01-16,310.0,0.01,0.02,0.02,124,3401,0.39536,0.00152,0.00022,-0.00263,0.00276,147,30,AMZN260116C00310000,2025-12-26 00:00:00,0.01,0.00020
2025-12-27,AMZN,CALL,2026-01-16,305.0,0.0,0.03,0.01,273,10882,0.37584,0.00163,0.00025,-0.00267,0.00294,150,0,AMZN260116C00305000,2025-12-26 00:00:00,0.01,0.00021
2025-12-27,AMZN,CALL,2026-01-16,300.0,0.01,0.03,0.02,1982,32817,0.37584,0.00291,0.00042,-0.0045,0.00496,56,70,AMZN260116C00300000,2025-12-26 00:00:00,0.02,0.00038
2025-12-27,AMZN,CALL,2026-01-16,295.0,0.03,0.05,0.04,18,5376,0.3856,0.00613,0.00081,-0.00902,0.00967,15,1,AMZN260116C00295000,2025-12-26 00:00:00,0.04,0.00080
2025-12-27,AMZN,CALL,2026-01-16,290.0,0.03,0.05,0.04,6,6094,0.35633,0.00591,0.00084,-0.00807,0.00936,82,1,AMZN260116C00290000,2025-12-26 00:00:00,0.04,0.00077
2025-12-27,AMZN,CALL,2026-01-16,320.0,0.01,0.15,0.02,6,3319,0.54169,0.00873,0.00078,-0.01723,0.01321,698,1,AMZN260116C00320000,2025-12-26 00:00:00,0.08,0.00112
2025-12-27,AMZN,CALL,2026-01-16,360.0,0.0,0.03,0.01,424,11726,0.58072,0.00113,0.00012,-0.00293,0.0021,1,0,AMZN260116C00360000,2025-12-26 00:00:00,0.01,0.00015
2025-12-27,AMZN,CALL,2026-01-16,222.5,12.2,12.35,12.51,43,135,0.24902,0.78884,0.02082,-0.11269,0.16126,57,40,AMZN260116C00222500,2025-12-26 00:00:00,12.27,0.09851
2025-12-27,AMZN,CALL,2026-01-16,217.5,16.2,16.7,16.1,1,68,0.25877,0.87298,0.01442,-0.09014,0.1161,52,30,AMZN260116C00217500,2025-12-26 00:00:00,16.45,0.10734
2025-12-27,AMZN,CALL,2026-01-16,135.0,97.0,99.35,97.8,0,1261,1.11729,0.98502,0.00061,-0.06918,0.0211,245,245,AMZN260116C00135000,2025-12-26 00:00:00,98.17,0.07530
2025-12-27,AMZN,CALL,2026-01-16,130.0,102.15,104.1,103.23,2,2203,1.16607,0.987,0.00051,-0.06444,0.01867,246,183,AMZN260116C00130000,2025-12-26 00:00:00,103.12,0.07271
2025-12-27,AMZN,CALL,2026-01-16,125.0,106.5,108.4,105.57,0,1104,0.01488,1.0,0.0,-0.01244,0.0,10,180,AMZN260116C00125000,2025-12-26 00:00:00,107.45,0.07177
2025-12-27,AMZN,CALL,2026-01-16,120.0,111.0,114.8,112.5,0,1425,1.15631,0.99432,0.00025,-0.03668,0.00904,169,170,AMZN260116C00120000,2025-12-26 00:00:00,112.90,0.06806
2025-12-27,AMZN,CALL,2026-01-16,115.0,116.3,119.35,118.03,15,535,1.12705,0.99699,0.00015,-0.02508,0.00511,165,188,AMZN260116C00115000,2025-12-26 00:00:00,117.82,0.06559
2025-12-27,AMZN,CALL,2026-01-16,110.0,121.6,124.1,123.0,8,6718,1.25387,0.99593,0.00017,-0.03089,0.00671,170,173,AMZN260116C00110000,2025-12-26 00:00:00,122.85,0.06255
2025-12-27,AMZN,CALL,2026-01-16,140.0,91.8,93.25,92.55,0,1218,0.01488,1.0,0.0,-0.01393,0.0,52,230,AMZN260116C00140000,2025-12-26 00:00:00,92.53,0.08038
2025-12-27,AMZN,CALL,2026-01-16,105.0,126.25,129.55,123.17,0,451,1.40997,0.99423,0.00021,-0.04104,0.00916,262,202,AMZN260116C00105000,2025-12-26 00:00:00,127.90,0.05942
2025-12-27,AMZN,CALL,2026-01-16,95.0,136.25,139.7,133.65,0,255,1.66362,0.99282,0.00021,-0.05331,0.01112,182,215,AMZN260116C00095000,2025-12-26 00:00:00,137.97,0.05344
2025-12-27,AMZN,CALL,2026-01-16,90.0,140.9,144.7,142.3,1,1359,1.5563,0.99688,0.00011,-0.02846,0.00529,165,170,AMZN260116C00090000,2025-12-26 00:00:00,142.80,0.05120
2025-12-27,AMZN,CALL,2026-01-16,85.0,145.9,149.7,142.5,0,424,1.66362,0.9968,0.0001,-0.02979,0.00541,208,160,AMZN260116C00085000,2025-12-26 00:00:00,147.80,0.04832
2025-12-27,AMZN,CALL,2026-01-16,80.0,151.2,154.5,152.7,2,462,1.85874,0.99561,0.00012,-0.0396,0.00718,174,160,AMZN260116C00080000,2025-12-26 00:00:00,152.85,0.04525
2025-12-27,AMZN,CALL,2026-01-16,75.0,156.2,159.65,157.08,0,462,2.07336,0.99426,0.00014,-0.05228,0.00911,247,182,AMZN260116C00075000,2025-12-26 00:00:00,157.93,0.04215
2025-12-27,AMZN,CALL,2026-01-16,70.0,160.85,164.65,162.05,0,559,1.92703,0.99769,7e-05,-0.02537,0.00402,165,170,AMZN260116C00070000,2025-12-26 00:00:00,162.75,0.03983
2025-12-27,AMZN,CALL,2026-01-16,100.0,130.95,134.7,129.09,0,1026,1.39045,0.99656,0.00013,-0.02895,0.00576,175,170,AMZN260116C00100000,2025-12-26 00:00:00,132.82,0.05690
2025-12-27,AMZN,CALL,2026-01-16,220.0,14.25,14.4,14.3,1231,20424,0.25877,0.83059,0.01749,-0.1046,0.14082,5,27,AMZN260116C00220000,2025-12-26 00:00:00,14.32,0.10287
2025-12-27,AMZN,CALL,2026-01-16,145.0,87.55,88.8,87.57,0,1439,0.98071,0.98358,0.00075,-0.06731,0.02282,237,37,AMZN260116C00145000,2025-12-26 00:00:00,88.17,0.08085
2025-12-27,AMZN,CALL,2026-01-16,155.0,76.9,78.9,77.83,37,1932,0.66852,0.99563,0.00034,-0.02669,0.00715,239,237,AMZN260116C00155000,2025-12-26 00:00:00,77.90,0.08838
2025-12-27,AMZN,CALL,2026-01-16,215.0,18.5,19.1,18.81,84,13326,0.27829,0.89221,0.01194,-0.0873,0.10336,58,56,AMZN260116C00215000,2025-12-26 00:00:00,18.80,0.10854
2025-12-27,AMZN,CALL,2026-01-16,212.5,20.6,22.55,20.7,0,33,0.33682,0.88114,0.01058,-0.10715,0.11082,229,151,AMZN260116C00212500,2025-12-26 00:00:00,21.58,0.10545
2025-12-27,AMZN,CALL,2026-01-16,210.0,23.3,23.75,23.85,90,14295,0.30755,0.92593,0.00817,-0.07639,0.0782,58,25,AMZN260116C00210000,2025-12-26 00:00:00,23.52,0.11032
2025-12-27,AMZN,CALL,2026-01-16,207.5,24.35,26.9,26.85,0,4,0.25877,0.97121,0.00456,-0.04256,0.03667,222,222,AMZN260116C00207500,2025-12-26 00:00:00,25.62,0.11519
2025-12-27,AMZN,CALL,2026-01-16,205.0,27.2,28.65,28.65,67,7518,0.01488,1.0,0.0,-0.0204,0.0,50,225,AMZN260116C00205000,2025-12-26 00:00:00,27.92,0.11770
2025-12-27,AMZN,CALL,2026-01-16,200.0,33.2,33.5,33.4,43,10870,0.3856,0.95523,0.00439,-0.06716,0.05265,30,17,AMZN260116C00200000,2025-12-26 00:00:00,33.35,0.10860
2025-12-27,AMZN,CALL,2026-01-16,150.0,81.75,83.4,82.86,14,9272,0.01488,1.0,0.0,-0.01493,0.0,83,224,AMZN260116C00150000,2025-12-26 00:00:00,82.58,0.08612
2025-12-27,AMZN,CALL,2026-01-16,195.0,37.45,38.5,38.31,50,10585,0.31731,0.99129,0.00133,-0.02915,0.01317,30,248,AMZN260116C00195000,2025-12-26 00:00:00,37.98,0.11076
2025-12-27,AMZN,CALL,2026-01-16,185.0,46.55,48.45,48.3,19,3828,0.01488,1.0,0.0,-0.01841,0.0,44,260,AMZN260116C00185000,2025-12-26 00:00:00,47.50,0.10622
2025-12-27,AMZN,CALL,2026-01-16,180.0,53.0,53.25,53.1,19,8068,0.54169,0.97989,0.00161,-0.05241,0.02713,19,21,AMZN260116C00180000,2025-12-26 00:00:00,53.12,0.10052
2025-12-27,AMZN,CALL,2026-01-16,175.0,57.5,59.6,58.0,33,4759,0.70754,0.96178,0.0021,-0.09449,0.04631,252,225,AMZN260116C00175000,2025-12-26 00:00:00,58.55,0.09499
2025-12-27,AMZN,CALL,2026-01-16,170.0,62.3,63.5,63.14,9,7130,0.48316,0.99727,0.00031,-0.02225,0.00469,90,239,AMZN260116C00170000,2025-12-26 00:00:00,62.90,0.09723
2025-12-27,AMZN,CALL,2026-01-16,165.0,67.3,68.95,64.3,0,1599,0.70754,0.98293,0.00107,-0.05575,0.0236,241,236,AMZN260116C00165000,2025-12-26 00:00:00,68.12,0.09230
2025-12-27,AMZN,CALL,2026-01-16,160.0,71.8,74.25,73.21,11,4774,0.7173,0.98842,0.00076,-0.04448,0.01689,222,223,AMZN260116C00160000,2025-12-26 00:00:00,73.03,0.09022
2025-12-27,AMZN,CALL,2026-01-16,190.0,42.85,43.45,43.32,4,13583,0.44414,0.9755,0.00232,-0.0522,0.03205,22,79,AMZN260116C00190000,2025-12-26 00:00:00,43.15,0.10567
2025-12-27,AMZN,CALL,2026-01-16,370.0,0.0,0.02,0.01,0,951,0.60999,0.00101,0.0001,-0.00277,0.00189,200,0,AMZN260116C00370000,2025-12-26 00:00:00,0.01,0.00013
