date,open,high,low,close,volume,par_sar,base_bb,upper_bb,lower_bb,candle_position,sma_200,ema_50,cmf,atr_14,rsi_14
2021-07-29,38.0,40.25,33.35,34.82,102474737,,,,,1,,,,,
2021-07-30,34.93,36.9795,33.25,35.15,40632228,40.25,,,,2,,,,,
2021-08-02,35.97,37.98,35.3,37.68,19948534,40.25,,,,3,,,,,
2021-08-03,37.911,48.59,37.1594,46.8,93819198,33.25,,,,4,,,,,
2021-08-04,54.45,85.0,54.4,70.39,175790537,33.5568,,,,5,,,,,
2021-08-05,62.9,66.5,50.46,50.97,82470402,35.614528,,,,6,,,,,
2021-08-06,57.77,60.88,53.1,55.01,70131720,37.58994688,,,,7,,,,,
2021-08-09,59.0835,59.96,56.0,56.83,27495240,39.4863490048,,,,8,,,,,
2021-08-10,56.4852,58.49,53.5,53.94,17066352,41.306895044608,,,,9,,,,,
2021-08-11,54.5683,54.6058,49.0,51.19,15893137,43.05461924282368,,,,10,,,,,
2021-08-12,50.125,50.39,47.52,48.1,13426242,44.73243447311073,,,,11,,,,,
2021-08-13,48.45,53.2,48.22,50.63,25659808,46.3431370941863,,,,12,,,,,
2021-08-16,49.4,49.79,47.0,47.19,12052503,85.0,,,,13,,,,,
2021-08-17,47.3,48.85,46.01,46.67,9160299,84.24,,,,14,,,,8.836850000000002,
2021-08-18,47.9651,52.06,47.2,49.8,24407995,82.71079999999999,,,,15,,,,8.59064642857143,59.45707070707071
2021-08-19,45.06,46.88,44.135,44.69,18517574,81.242768,,,,16,,,,8.38167168367347,55.59420237208711
2021-08-20,45.2,45.56,42.44,42.64,11764299,79.01630192,,,,17,,,,8.005837991982508,54.07634361694465
2021-08-23,44.16,46.85,43.32,45.29,15664716,76.09019776640001,,,,18,,,,7.734706706840901,55.75791063754918
2021-08-24,46.46,50.24,46.0,49.38,17122747,73.39818194508801,,,,19,,,,7.535799084923694,58.296058631650894
2021-08-25,48.425,50.99,47.5,48.98,10837516,70.92152738948097,48.3075,63.73523071452833,32.87976928547167,20,,,-0.1864736375491602,7.246813436000573,57.94593161048616
2021-08-26,48.0,49.8499,46.4,46.86,7187728,68.6430051983225,48.9095,63.07289574395922,34.746104256040766,21,,,-0.1360227668915108,6.975605333429103,56.02535512799406
2021-08-27,46.7986,48.1,46.14,46.87,6058053,66.5467647824567,49.4955,62.231093390180206,36.759906609819794,22,,,-0.1464255031544673,6.617347809612738,56.032757769290455
2021-08-30,46.3,46.6,42.56,43.64,12363840,64.61822359986017,49.7935,61.65841849950931,37.92858150049069,23,,,-0.1799340430674107,6.452537251783257,52.933200102614215
2021-08-31,42.03,44.5,41.51,44.32,8847512,62.84396571187136,49.6695,61.70754049669217,37.63145950330783,24,,,-0.3035641110745993,6.205213162370167,53.51617606008119
2021-09-01,43.76,47.12,43.7,44.57,11012953,60.71056914068422,48.3785,55.96670472839265,40.79029527160734,25,,,-0.4554511139809176,6.006269365058011,53.74302095954743
2021-09-02,45.202,45.7999,44.2,44.49,4099172,58.7905122266158,48.0545,55.725344738358245,40.38365526164176,26,,,-0.3405687460743624,5.691528696125295,53.65279029709214
2021-09-03,44.6928,44.88,43.15,43.35,4676645,57.06246100395422,47.4715,54.69873813084924,40.24426186915076,27,,,-0.3046775707295873,5.408562360687775,52.30514370249147
2021-09-07,43.33,43.39,41.75,42.13,6179176,55.5072149035588,46.7365,52.92213586060483,40.550864139395166,28,,,-0.2802358329453863,5.139379334924362,50.83359647443616
2021-09-08,42.0,42.21,39.81,40.05,7834862,54.10749341320292,46.042,51.94932968438371,40.13467031561628,29,,,-0.2588088039749865,4.943709382429765,48.33673031823591
2021-09-09,40.5,42.54,40.3813,41.28,6981918,52.391794203618566,45.5465,51.30405251821469,39.7889474817853,30,,,-0.2588069462307414,4.768444426541925,49.90375577934513
2021-09-10,41.5,42.52,40.72,41.17,5521802,50.88197889918434,45.2,51.13260819538945,39.26739180461054,-1,,,-0.2446756480411774,4.55641268178893,49.75839982493518
2021-09-13,41.22,41.3899,39.8,40.6,4309173,49.55334143128222,44.6985,50.40155628588751,38.99544371411248,-1,,,-0.2660450721636648,4.344518918804007,48.96255116872739
2021-09-14,41.0,41.0,39.23,40.02,4298047,48.18787363090271,44.34,50.26848378592706,38.41151621407293,-1,,,-0.2259805786665884,4.160624710318007,48.11917738394397
2021-09-15,40.2,41.94,39.83,41.87,5835873,46.75461384995828,44.1,50.02038174444848,38.17961825555152,-1,,,-0.1763732058651022,4.014151516723863,51.0173657869688
2021-09-16,41.62,42.43,40.91,41.95,4206706,45.55067563396495,43.7075,49.0797616280297,38.33523837197029,-1,,,-0.1978402930964423,3.8359978369578727,51.14446313613904
2021-09-17,41.92,42.9012,41.9,42.38,5000840,44.53936753253056,43.592,48.97412077159181,38.20987922840819,-1,,,-0.146842367519586,3.633512277175168,51.86739419207647
2021-09-20,40.62,41.56,40.0301,40.7,4437794,43.68986872732567,43.495,49.010528986416496,37.9794710135835,-1,,,-0.0902516333533736,3.5418256859483708,48.827403646803376
2021-09-21,41.04,42.69,40.7938,42.29,5984827,42.97628973095356,43.345,48.82013104866003,37.86986895133997,-1,,,-0.0848817131123734,3.430980994094916,51.712028186654216
2021-09-22,43.0004,46.94,42.76,46.88,14619488,39.23,43.22,48.232939257561405,38.20706074243859,-1,,,-0.0577202955595156,3.518053780230993,58.91251196877491
2021-09-23,46.285,47.84,44.71,45.94,12129439,39.3842,43.068,47.52684559050898,38.60915440949102,-1,,,-0.0639074635230542,3.4903356530716363,57.036751638194616
2021-09-24,44.7,46.55,44.35,44.91,6057991,39.722432,42.9705,47.17121648650559,38.76978351349442,-1,,,-0.0480674728106427,3.398168820709376,54.97136949877932
2021-09-27,44.93,45.91,43.95,44.76,4041686,40.04713472,42.865,46.76381263976625,38.96618736023374,-1,,,-0.0426687975443381,3.2954424763729917,54.66094109206047
2021-09-28,43.92,45.96,42.51,44.62,5791895,40.3588493312,42.914,46.8746837793492,38.953316220650805,-1,,,0.0086381702767185,3.3064822994892067,54.35243385563856
2021-09-29,44.17,45.4625,43.1,43.13,4597599,40.658095357952,42.8545,46.76433618582671,38.944663814173296,-1,,,-0.0871664477990007,3.2390549923828345,51.05005152703496
2021-09-30,43.13,43.13,41.41,42.08,3535993,40.94537154363392,42.73,46.571379960378685,38.88862003962132,-1,,,-0.0540642903395713,3.130551064355489,48.79988396918698
2021-10-01,42.3617,42.78,41.12,41.9,2655845,47.84,42.6005,46.36976770076093,38.83123229923908,-1,,,-0.0340545666408133,3.025511702615812,48.40598429725592
2021-10-04,41.8,41.8123,40.25,40.93,2647750,47.7056,42.47950000000001,46.29978519877754,38.65921480122248,-1,,,-0.006768814975385,2.9272608667146827,46.23993680746722
2021-10-05,41.074,42.4899,41.0509,42.01,2813392,47.407376000000006,42.47350000000001,46.29633808184425,38.65066191815577,-1,,,0.0305625971172514,2.8295922333779195,48.97751917095346
2021-10-06,42.0,42.65,41.7,42.06,2730242,47.12108096000001,42.574000000000005,46.23913519532368,38.90886480467633,-1,,,0.0838249319838987,2.6953356452794965,49.10672994037499
2021-10-07,42.2374,42.84,41.68,41.84,2895418,46.846237721600005,42.60200000000001,46.23558555699447,38.96841444300555,-1,,45.115,0.0782004683194013,2.5856688134738186,48.52444563589326
2021-10-08,41.8,42.06,41.05,41.78,3688931,46.58238821273601,42.63250000000001,46.22752920711356,39.03747079288645,-1,,44.98421568627451,0.1226653012409596,2.473121041082832,48.35603944807896
2021-10-11,41.1723,42.468,41.01,42.07,3733178,46.329092684226566,42.706,46.19020665288413,39.22179334711588,-1,,44.86993271818531,0.1397574046892987,2.4006123952912013,49.272414142858366
2021-10-12,42.0,42.05,40.5,40.53,3717965,46.0859289768575,42.73150000000001,46.14341603061939,39.31958396938063,-1,,44.69973927825647,0.1097780213691919,2.3412829384846865,44.73310275053002
2021-10-13,40.62,40.83,39.86,40.52,3914428,45.8524918177832,42.66400000000001,46.192832101417935,39.13516789858208,-1,,44.53582793401112,0.071217038325589,2.243334157164352,44.70430229093736
2021-10-14,40.59,41.79,40.55,40.93,3827495,45.49294230871621,42.61300000000001,46.21044965218411,39.0155503478159,-1,,44.39442291699108,0.0408145188748672,2.1738102887954693,46.23277113142078
2021-10-15,41.641,41.7,40.8601,41.03,2579553,45.15496577019324,42.5455,46.20797716716427,38.883022832835735,-1,,44.26248476338359,0.0280415394526379,2.078530982452936,46.62033379118493
2021-10-18,40.95,41.25,40.31,40.65,4019789,44.83726782398164,42.543000000000006,46.21057740204586,38.87542259795415,-1,,44.12081869423129,0.022324788746869,1.9972073408491549,45.28453075630056
