date,open,high,low,close,volume,candle_position,sma_200,ema_14,cmf
1997-12-02,18.86,19.29,18.61,18.63,705600,26,14.81223447119998,17.846232393592008,0.0186615135718164
1997-12-03,18.67,19.01,18.02,18.86,1134200,27,14.84512278474998,17.911396173360266,0.0308850517844364
1997-12-04,18.91,18.97,18.61,18.67,1113600,28,14.87744056599998,17.96014164540154,-0.0969112355639644
1997-12-05,18.76,18.84,18.52,18.53,787400,29,14.90871965964998,17.99719231344015,-0.1197477252017265
1997-12-08,18.65,18.65,18.36,18.42,953200,30,14.93896070879998,18.024524100314977,-0.2014626800879289
1997-12-09,18.44,18.44,17.28,17.55,1609800,-1,14.96475338124998,17.993907258359172,-0.2185130402004076
1997-12-10,17.55,17.55,17.04,17.25,926400,-1,14.98921952759998,17.945722988142453,-0.1942077120075578
1997-12-11,17.25,17.25,16.24,16.24,1436400,-1,15.00895074494998,17.835912157939713,-0.2513213935600436
1997-12-12,16.66,16.87,16.36,16.51,1210200,-1,15.03104138824998,17.750285767750054,-0.2504755321497912
1997-12-15,16.58,17.36,16.58,17.34,1453600,-1,15.05739108819998,17.723926109185534,-0.1845244580287251
1997-12-16,17.36,17.59,17.06,17.06,571200,-1,15.08279097279998,17.680945784721953,-0.2277580477646933
1997-12-17,17.23,17.27,16.79,16.93,325000,-1,15.10799832199998,17.6321884495786,-0.2346809064922674
1997-12-18,16.93,17.17,16.91,16.93,598400,-1,15.13245353589998,17.586576748960624,-0.2720364902808683
1997-12-19,16.58,16.6,16.26,16.4,1056600,-1,15.15388220224998,17.509707998059937,-0.3040397014645152
1997-12-22,16.47,17.3,16.4,17.21,540000,-1,15.17815902859998,17.49031955108833,-0.2657483353315063
1997-12-23,17.27,17.27,16.96,17.02,848000,-1,15.20064310284998,17.45996777876005,-0.2621008549502309
1997-12-24,17.1,17.1,16.58,16.66,352600,-1,15.222456840099978,17.408367218840045,-0.2936133972468807
1997-12-26,16.66,16.85,16.66,16.75,251200,-1,15.246060114049978,17.366202824076172,-0.2779955260121124
1997-12-29,17.0,17.17,16.85,17.17,864400,-1,15.27231000929998,17.35362993671642,-0.2112963433940473
1997-12-30,17.38,17.64,17.25,17.57,585800,-1,15.30242473084998,17.36747450144439,-0.2357761111917278
1997-12-31,17.61,17.74,17.53,17.66,988800,-1,15.33404794244998,17.386545920706045,-0.1788183122262271
1998-01-02,17.74,17.83,17.34,17.55,348200,-1,15.36576010754998,17.39704286324114,-0.2370400268022182
1998-01-05,17.55,17.8,17.45,17.53,639000,-1,15.39775347944998,17.405638573354615,-0.2190274196254537
1998-01-06,17.53,17.64,17.21,17.21,795000,-1,15.42804020079998,17.392871545396254,-0.2250548072347571
1998-01-07,17.21,17.28,16.64,16.66,1049400,-1,15.454259722199978,17.34543189666101,-0.2490122730103808
1998-01-08,16.66,16.77,16.39,16.68,1155600,1,15.48104418894998,17.3022768807474,-0.165516976643142
1998-01-09,16.66,16.73,15.6,15.63,751400,2,15.50392754819998,17.194585489086275,-0.2008322952009094
1998-01-12,15.41,16.2,15.06,15.94,1670600,3,15.52912057709998,17.113426094951677,-0.0529393284368366
1998-01-13,16.09,16.9,16.09,16.89,588800,4,15.56122493515,17.098703308825762,0.0132514439801465
1998-01-14,17.17,17.32,16.94,17.23,828400,5,15.5939055064,17.106962566320874,-0.0515906657905521
1998-01-15,17.23,17.3,16.66,16.68,858400,6,15.6253434894,17.07919266849372,-0.0662895875903271
1998-01-16,16.73,17.09,16.68,16.68,576600,7,15.6567814724,17.053214376977998,-0.0934555558094782
1998-01-20,16.68,16.98,16.43,16.96,905400,8,15.6900194611,17.04727225910845,-0.0050087647424312
1998-01-21,16.92,17.11,16.58,16.68,691400,9,15.720608983149996,17.02335334884339,-0.0188422789644911
1998-01-22,16.66,16.83,16.54,16.58,788800,10,15.74987574025,16.994857541821236,-0.0832828932577916
1998-01-23,16.66,16.89,16.43,16.62,839800,11,15.779332218949998,16.970648194606962,-0.0582113918835916
1998-01-26,16.7,16.96,16.7,16.71,364200,12,15.80935727515,16.954120793019417,-0.0622889569742762
1998-01-27,16.64,17.25,16.64,17.04,841200,13,15.842031972749998,16.959467851534292,-0.0437146729533692
1998-01-28,17.06,17.49,16.89,17.0,1160800,14,15.87451694875,16.96202191788692,-0.1397081806499573
1998-01-29,17.07,17.61,16.98,17.45,1143200,15,15.906544654399998,16.99378745415228,-0.1218008216456764
1998-01-30,17.38,17.45,16.94,17.0,733200,16,15.936484247649998,16.994127352594067,-0.1738691382706178
1998-02-02,17.15,17.78,17.15,17.68,775600,17,15.96804763455,17.038509695007352,-0.1349078744617077
1998-02-03,17.57,17.87,17.47,17.87,588200,18,16.001408090349997,17.092268763716554,-0.0801699644714335
1998-02-04,17.93,18.29,17.83,18.06,975800,19,16.036377068249998,17.154799609283227,-0.0333426308407465
1998-02-05,18.06,18.31,18.04,18.29,699200,20,16.070976000799998,17.227984330619794,0.0596694379994146
1998-02-06,18.25,18.55,18.25,18.55,628000,21,16.107374351749996,17.31358360219271,0.0646472904133895
1998-02-09,18.55,18.55,18.21,18.27,411000,22,16.1414070563,17.37530018463189,0.0926094403251363
1998-02-10,18.27,18.31,17.99,18.0,471800,23,16.17269760815,17.415898907558866,0.0121604376373134
1998-02-11,18.0,18.29,17.91,17.95,523400,24,16.204457765049998,17.450206326426034,-0.0539914269635528
1998-02-12,17.87,17.93,17.61,17.83,575200,25,16.233480468099998,17.47495630149532,-0.0671191097774079
1998-02-13,17.76,17.8,17.42,17.57,475000,26,16.2619293074,17.480973358818204,-0.0186167024571183
1998-02-17,17.76,18.1,17.68,18.1,507400,27,16.291997241399997,17.52087450921703,0.0581789881923055
1998-02-18,17.91,18.48,17.78,18.37,1450000,28,16.32169630485,17.57533753700948,0.065355482697211
1998-02-19,18.29,18.29,18.18,18.25,471000,29,16.3505433831,17.61894275849274,0.1080570219422911
1998-02-20,18.27,18.42,18.19,18.42,557200,30,16.3785472868,17.67075083342869,0.1898456900610252
1998-02-23,18.35,18.76,18.35,18.52,746000,1,16.40749686165,17.725336503530066,0.1914160384589091
1998-02-24,18.52,18.52,18.1,18.14,443600,2,16.4336064861,17.751920310399093,0.1867624874911287
1998-02-25,18.25,18.8,18.25,18.71,386600,3,16.4626562081,17.813509343921734,0.1922511750033396
1998-02-26,18.8,19.05,18.61,18.93,562400,4,16.4922786191,17.88581301528162,0.2767935316330689
1998-02-27,18.86,18.92,18.59,18.76,338600,5,16.5207644626,17.942435840747322,0.2486833055359274
1998-03-02,18.88,18.88,18.4,18.52,339600,6,16.54754574845,17.9794934458604,0.2899018932819179
1998-03-03,18.52,18.67,18.23,18.37,611200,7,16.573473874450002,18.004368155159728,0.2276569659231787
1998-03-04,18.25,18.29,18.0,18.06,378400,8,16.5978842276,18.00805387869781,0.1612167449500221
1998-03-05,18.08,18.1,17.87,17.95,359000,9,16.621442595599998,18.004157751039887,0.159366818082601
1998-03-06,17.93,18.86,17.93,18.76,794200,10,16.6481372438,18.05314543226312,0.1609683528647563
1998-03-09,18.69,19.31,18.63,18.67,655200,11,16.673509127099997,18.09285256631066,0.0511012734919197
1998-03-10,18.59,19.28,18.57,19.28,1129800,12,16.70248219665,18.169166280742232,0.1671945858178937
1998-03-11,19.39,19.92,19.37,19.79,1236000,13,16.734393601649998,18.273604809726603,0.2411857477629551
1998-03-12,19.73,20.64,19.66,20.3,864800,14,16.7690547952,18.40435364909908,0.2879571275132204
1998-03-13,20.19,20.43,19.81,20.09,610200,15,16.80276679335,18.51320296528624,0.2645448008011968
1998-03-16,20.02,20.41,20.0,20.41,508800,16,16.83809142515,18.63583792107422,0.3104798120558371
1998-03-17,20.53,20.6,20.19,20.49,428400,17,16.873229859549998,18.755456985521043,0.2880926769053549
1998-03-18,20.49,20.49,20.05,20.17,422600,18,16.90637856655,18.846550514842267,0.2132964683702062
1998-03-19,20.3,20.96,20.26,20.91,335200,19,16.94247265735,18.979503446142765,0.2263483565490841
1998-03-20,20.83,21.17,20.51,20.87,714600,20,16.9768686516,19.101430748327104,0.1815471054454999
1998-03-23,21.02,21.06,20.72,20.79,388400,21,17.011827937,19.21059573166084,0.1802244873786995
1998-03-24,20.87,21.36,20.83,21.1,575000,22,17.0479279015,19.332301978650463,0.2093733797952518
1998-03-25,21.1,21.32,20.11,20.51,726600,23,17.08202991545,19.40821188841495,0.1614357086299788
1998-03-26,20.26,20.4,20.21,20.3,642400,24,17.1132029919,19.465760271097857,0.1380599126646706
1998-03-27,20.91,20.93,20.38,20.47,778000,25,17.1457954562,19.53061194780122,0.0908294411345905
1998-03-30,20.51,20.68,19.84,19.96,380600,26,17.1733634019,19.55807436471727,0.082541006518117
1998-03-31,20.15,20.9,20.15,20.7,1089000,27,17.2029413522,19.631596321187125,0.1370881228379259
1998-04-01,20.72,20.72,20.43,20.56,497400,28,17.2327960673,19.691781770142796,0.1506054652491482
1998-04-02,20.68,21.25,20.6,21.17,853200,29,17.26437191115,19.787322439811,0.2017913818901273
1998-04-03,21.82,21.88,21.69,21.69,966200,30,17.297570828,19.909806386919968,0.0834767054380226
1998-04-06,21.89,22.28,21.29,21.44,701200,-1,17.32500923125,20.008447644538037,0.0902005082989384
1998-04-07,21.44,21.59,21.38,21.55,435800,-1,17.35452618885,20.108082103600097,0.0301541683280333
1998-04-08,21.63,21.63,20.77,20.96,465000,-1,17.38279414135,20.16327657240009,-0.0404560695052048
1998-04-09,21.04,21.65,21.04,21.61,455800,-1,17.41523584485,20.25660064514847,-0.0307531900170833
1998-04-13,21.99,22.05,21.48,21.76,518800,-1,17.449474795350003,20.35371334804212,-0.0263214913859115
1998-04-14,21.82,22.05,21.7,21.89,780400,-1,17.485227416100003,20.45314406171682,-0.0604600028590616
1998-04-15,21.97,22.26,21.89,22.26,411600,-1,17.523564170300002,20.569457543541542,-0.0426761381038147
1998-04-16,22.26,22.26,21.76,21.95,553600,-1,17.563404000950005,20.658647853635635,-0.0361596254654857
