date,open,high,low,close,volume,par_sar,base_bb,upper_bb,lower_bb,candle_position,sma_200,ema_50,cmf,atr_14,rsi_14
2012-10-12,48.05,51.37,45.05,48.69,18137056,,,,,-1,,,,,
2012-10-15,48.74001,53.0,48.60001,51.94,3092272,45.05,,,,-1,,,,,
2012-10-16,53.49001,53.5,51.91,52.16,805382,45.05,,,,-1,,,,,
2012-10-17,52.02,57.21001,52.0,55.41,1386467,45.388,,,,-1,,,,,
2012-10-18,55.08,55.10001,50.87,53.42,1523359,46.0973206,,,,-1,,,,,
2012-10-19,52.33,55.58,51.53,55.25,1442157,46.764081964,,,,-1,,,,,
2012-10-22,55.58,56.22,54.11,55.39999,478184,47.39083764616,,,,-1,,,,,
2012-10-23,55.37,55.50999,54.14,54.38,386235,47.9799879873904,,,,-1,,,,,
2012-10-24,54.00999,54.25,51.86,52.12,469572,48.53378930814698,,,,-1,,,,,
2012-10-25,53.33,53.33,48.60001,49.24001,800579,57.21001,,,,-1,,,,,
2012-10-26,49.64999,50.5,48.2,50.0,484592,57.03781,,,,-1,,,,,
2012-10-31,51.0,51.03,48.09,48.5,400835,56.6842976,,,,-1,,,,,
2012-11-01,49.10001,49.66,48.17999,48.92,305879,56.168639744,,,,-1,,,,,
2012-11-02,50.74001,50.74001,48.3,48.52,178857,55.683921359360006,,,,-1,,,,3.2857142857142856,
2012-11-05,49.98,50.0,48.74001,49.88,310177,55.22828607779841,,,,-1,,,,3.1567346938775507,52.79474456504381
2012-11-06,48.53,50.33,48.25,48.53999,509833,54.799988913130505,,,,-1,,,,3.079825072886297,49.44334852120746
2012-11-07,48.42999,48.71001,46.82001,48.07001,284010,54.39738957834268,,,,1,,,,2.9948375676801327,48.28561437580062
2012-11-08,49.25,49.67999,47.69,49.05,278591,53.79119921207526,,,,2,,,,2.923062741417266,50.86896768944008
2012-11-09,49.60001,49.60001,47.60001,48.0,120364,53.233504075109245,,,,3,,,,2.85712968845889,48.0966704748668
2012-11-12,47.47,47.67999,46.38,46.99001,274709,52.72042454910051,50.7240005,56.14701207513957,45.30098892486044,4,,,0.1416148896964056,2.7687632821403976,45.52649072413897
2012-11-13,46.21001,47.27,46.0,46.99001,279139,52.086382094190455,50.639001,56.23732756140336,45.04067443859664,5,,,0.136547230484434,2.661708761987512,45.52649072413897
2012-11-14,46.77,48.5,46.75,47.38,267137,51.3560162428876,50.411001,56.14851109690748,44.67349090309252,6,,,0.0189991762956826,2.596586707559833,46.79960991685859
2012-11-15,48.11,48.62,47.07001,47.94,371792,50.713294293741086,50.200001,55.97497353674127,44.425028463258734,7,,,0.0764196272801392,2.521829799876987,48.65527164561266
2012-11-16,47.5,48.95,47.4001,48.85001,194171,50.14769897849216,49.8720015,55.14984673609137,44.59415626390862,8,,,0.0584486209917396,2.4524062427429167,51.60913371588176
2012-11-19,49.95,49.95,48.92,49.61,216127,46.0,49.6815015,54.702114970695504,44.6608880293045,9,,,0.0381500085205027,2.3558050825469943,53.98978096515851
2012-11-20,49.86,51.0,49.62,50.71001,314837,46.079,49.454502000000005,53.81459091745816,45.09441308254185,10,,,-0.1035864409039918,2.2868190052222093,57.26674072693253
2012-11-21,51.05,52.10001,51.05,51.95,441269,46.27584,49.2820025,52.89684517985689,45.66715982014311,11,,,-0.073849261247375,2.222760504849194,60.66749063873357
2012-11-23,52.46001,52.46001,50.42999,50.78999,148719,46.6252902,49.102502,51.96520971126632,46.23979428873368,12,,,-0.0531915224041847,2.2089933259313943,56.164521460705885
2012-11-26,50.8,51.75,50.0,50.82001,341615,47.092067784,49.0375025,51.673238376402445,46.40176662359756,13,,,-0.0012034219050783,2.176208088364866,56.25501235471676
2012-11-27,51.0,53.19,50.73,51.85001,852420,47.52150316128,49.16800250000001,52.07537596072916,46.26062903927085,14,,,0.0760227936268074,2.196478939195947,59.35524879420451
2012-11-28,51.05,53.22,49.02,53.19,1232635,48.088352845152,49.3275025,52.71097826467673,45.94402673532327,15,,,0.1967716365881223,2.3395875863962368,63.02643845169957
2012-11-29,53.14,53.67999,49.62,51.7,1467481,48.70415050373376,49.487502500000005,52.999525428477504,45.975479571522506,16,,,0.2105146199589081,2.46247347308222,56.87478944567262
2012-11-30,51.97,51.99001,49.595,50.10001,584162,49.02,49.546503,53.05805566002998,46.03495033997002,17,,,0.1647840324566591,2.457654653576347,51.106338162407646
2012-12-03,50.10001,51.33,49.25999,50.10001,621795,53.67999,49.6255035,53.11213082252364,46.13887617747636,18,,,0.1600068218728617,2.4299657497494644,51.106338162407646
2012-12-04,49.59,49.89,48.7,49.7,346017,53.59159,49.61650350000001,53.10138546904404,46.131621530955975,19,,,0.1576775250461046,2.3563974819102165,49.6463488098226
2012-12-05,49.75,49.89999,48.24001,48.3,370374,53.39592639999999,49.604504000000006,53.10574469668615,46.10326330331387,20,,,0.1627909372874333,2.306653376059487,44.820301565841575
2012-12-06,48.99001,48.99001,47.74001,48.39999,163472,53.08657141599999,49.62100300000001,53.096176949050594,46.14582905094942,21,,,0.1557138426892212,2.2311781349123807,45.22980894011512
2012-12-07,48.85001,51.33,48.5,51.2,681250,52.65884650271999,49.72850300000001,53.25894863704906,46.19805736295096,22,,,0.2045608421284676,2.2810946967043533,55.24598791815821
2012-12-10,51.88,52.5,49.78,51.5,612316,47.74001,49.903503000000015,53.42083753003213,46.3861684699679,23,,,0.2182264349541474,2.312445075511185,56.17082966603048
2012-12-11,51.78,52.84,50.39999,51.69,445465,47.8352098,50.13850250000001,53.46887322262986,46.80813177737016,24,,,0.2187485987413298,2.321556855831815,56.77999792213076
2012-12-12,52.0,53.02,51.34,51.39999,326529,48.035401408,50.35900150000001,53.3975141381444,47.32048886185562,25,,,0.1717832036995279,2.275731366129542,55.51175334257274
2012-12-13,51.60001,51.60001,50.2,50.27,156170,48.33447732352,50.50350150000001,53.21933145015619,47.78767154984384,26,,,0.1670613614534261,2.2131798399774314,50.75477815046009
2012-12-14,50.0,50.97,49.94,50.48,158471,48.6156086841088,50.630501500000015,53.07938263108044,48.1816203689196,27,,,0.1668296439805926,2.1286669942647576,51.58511483540054
2012-12-17,50.39,51.05,50.10001,50.94,148645,48.879872163062274,50.73500100000001,53.04551308180083,48.4244889181992,28,,,0.1619176990406342,2.044475780388704,53.43716506862224
2012-12-18,51.12,53.41,50.02,53.39,517107,49.12827983327854,50.92400100000001,53.44437013331166,48.403631866688364,29,,,0.2010718695698053,2.140584653218081,61.81543960313133
2012-12-19,53.5,57.10001,52.64999,55.13,1444446,49.47081744661626,51.145000500000016,54.25720623550804,48.032794764492,30,,,0.1790012590308375,2.3055443208453608,66.43471036333582
2012-12-20,55.0,56.89999,52.74001,56.16,799800,50.02,51.35550050000002,55.15142235089866,47.559578649101375,-1,,,0.1909022248339351,2.43800401221355,68.83788437418855
2012-12-21,54.94,56.258,54.0,55.95,1955620,50.728001000000006,51.61350100000002,55.891431617963015,47.33557038203703,-1,,,0.2796033227652457,2.425146582769725,67.77247885146284
