date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_12_ema,ema_26_ema,ema_5_ema,mfi_14_mfi,mom_10_mom,rsi_14_rsi,sar_14_sar,sma_100_sma,sma_20_sma,sma_50_sma,sma_8_sma,stochrsi_14_fastd,stochrsi_14_fastk
1999-11-12,47.88,49.94,47.44,22.44,6009500,,,,,,,,,,,,,,,,,,
1999-11-19,49.63,51.25,49.19,22.84,6465000,,,,,,,,,,,,21.4822,,,,,,
1999-11-26,50.5,51.0,48.44,22.64,4703500,,,,,,,,,,,,21.4995,,,,,,
1999-12-03,49.38,51.88,48.25,23.21,5993600,,,,,,,,,,,,21.5165,,,,,,
1999-12-10,50.88,51.75,49.81,22.79,6611400,,,,,,,,22.7851,,,,21.5561,,,,,,
1999-12-17,50.31,51.25,49.31,22.71,7217300,,,,,,,,22.7593,,,,21.5948,,,,,,
1999-12-23,50.25,52.94,50.25,23.81,4722600,,,,,,,,23.111,,,,21.6328,,,,,,
1999-12-31,52.44,54.81,51.81,24.44,4901200,,,,,,,,23.5541,,,,21.7042,,,,23.111,,
2000-01-07,53.5,53.94,50.69,24.21,12862800,,,,,,,,23.7739,,,,21.8305,,,,23.3324,,
2000-01-14,53.0,54.75,51.0,23.7,7372100,,,,,,,,23.7496,,,,21.9518,,,,23.4399,,
2000-01-21,51.75,54.5,49.06,22.93,13137100,,,,,,,,23.4778,,0.4922,,22.0682,,,,23.4765,,
2000-01-28,51.0,51.88,47.56,22.2,11418900,,,,,,23.1613,,23.0517,,-0.6412,,24.8622,,,,23.3505,,
2000-02-04,48.94,49.25,44.25,21.77,11397000,,,,,,22.9478,,22.6255,,-0.8683,,24.8293,,,,23.223,,
2000-02-11,48.0,48.25,44.81,20.78,9944400,,,,,,22.6142,,22.0103,,-2.4278,,24.7342,,,,22.982,,
2000-02-18,45.94,47.75,43.63,20.19,9419600,,1.5331,,,,22.2406,,21.402,25.3404,-2.6082,35.2528,24.6409,,,,22.5284,,
2000-02-25,44.5,45.06,40.0,19.48,11901900,,1.5875,,,,21.8155,,20.7606,19.1338,-3.2297,32.0597,24.4954,,,,21.9081,,
2000-03-03,42.88,45.31,42.5,19.59,10254200,,1.5652,,,,21.4733,,20.3708,25.7046,-4.2231,33.1054,24.2414,,,,21.3303,,
2000-03-10,43.19,44.88,43.13,20.06,12841800,,1.5081,,,,21.2556,,20.2666,28.7468,-4.3822,37.3789,23.9975,,,,20.8749,,
2000-03-17,44.0,55.44,43.81,24.54,19279500,,1.778,,,,21.7616,,21.6925,35.2854,0.3308,62.3004,18.1443,,,,21.0762,,
2000-03-24,53.5,53.69,50.31,23.64,12074500,,1.7708,19.2819,22.3991,25.5163,22.0498,,22.3401,42.5396,-0.0657,57.3222,18.2148,,22.3991,,21.2557,,
2000-03-31,51.75,53.5,47.0,21.93,13185100,,1.8553,19.2498,22.3735,25.4972,22.0315,,22.2037,37.1511,-1.0036,49.3582,18.2847,,22.3735,,21.2754,79.736,55.6699
2000-04-07,49.75,53.13,48.44,23.69,12486100,,1.8812,19.2451,22.4162,25.5873,22.2873,,22.7006,40.0672,1.4948,56.147,18.3538,,22.4162,,21.6397,71.5056,75.3088
2000-04-14,52.88,52.88,45.75,20.91,12249800,,1.9783,19.0937,22.3295,25.5653,22.0752,,22.1031,40.4924,-0.865,45.7192,18.4222,,22.3295,,21.73,43.6596,0.0
2000-04-20,46.13,51.63,44.69,23.01,10280600,,2.0623,19.0934,22.3198,25.5461,22.2194,,22.4062,46.0753,2.2328,52.8431,18.49,,22.3198,,22.1719,45.5686,61.397
2000-04-28,50.63,55.19,49.69,24.46,11538200,,2.0936,19.0487,22.403,25.7572,22.5638,,23.0901,53.9554,4.2725,57.0157,18.5571,,22.403,,22.7802,53.799,100.0
2000-05-05,53.75,56.0,50.25,23.55,8857100,,2.1307,19.0557,22.445,25.8344,22.7153,22.5205,23.2431,54.6081,4.071,53.7919,18.6235,,22.445,,23.2165,77.6196,71.4619
2000-05-12,52.06,53.75,49.0,23.52,7338900,,2.1328,19.0623,22.4304,25.7985,22.8394,22.5947,23.3359,55.7095,3.9304,53.6938,18.7601,,22.4304,,23.0887,80.6852,70.5936
2000-05-19,51.75,53.81,50.69,23.24,5787200,15.653,2.0817,19.1066,22.3704,25.6342,22.901,22.6425,23.3039,60.7601,3.1817,52.626,18.894,,22.3704,,23.0393,47.3518,0.0
2000-05-26,51.63,56.25,49.75,24.34,11337000,15.4446,2.144,19.0979,22.3769,25.656,23.123,22.7685,23.6507,67.048,-0.2,56.2947,19.0252,,22.3769,,23.341,51.3899,83.5761
2000-06-02,53.56,57.0,53.25,25.91,11398000,15.4601,2.1126,18.9031,22.4873,26.0715,23.5515,23.0011,24.4031,73.9077,2.2726,60.9099,19.2214,,22.4873,,23.6177,61.192,100.0
2000-06-09,56.0,57.94,55.38,25.58,7381500,15.7354,2.0421,18.7922,22.6195,26.4467,23.8634,23.192,24.795,73.8116,3.6479,59.4855,19.4889,,22.6195,,24.2015,88.794,82.8059
2000-06-16,55.94,56.13,53.25,24.98,9354800,15.1755,1.9918,18.8024,22.7586,26.7149,24.0355,23.3246,24.8574,67.1658,1.288,56.8904,19.8312,,22.7586,,24.4477,78.0948,51.4786
2000-06-23,54.38,55.0,52.0,24.13,11829800,14.216,1.9471,18.9043,22.8763,26.8483,24.0495,23.384,24.6138,57.2894,3.2184,53.2969,20.1564,,22.8763,,24.4063,44.7615,0.0
2000-06-30,53.0,54.13,51.13,24.38,9416000,13.374,1.9056,19.155,23.0564,26.9578,24.1006,23.4579,24.5363,49.8435,1.3689,54.2244,20.4653,,23.0564,,24.5103,21.2207,12.1836
2000-07-07,53.81,53.94,50.88,23.56,5159100,12.6794,1.869,19.5496,23.225,26.9004,24.017,23.4653,24.2101,52.5557,-0.9005,50.7183,20.7588,,23.225,,24.5148,4.0612,0.0
2000-07-14,52.0,54.0,51.13,24.21,8745100,12.0106,1.8288,20.195,23.4617,26.7285,24.0472,23.5207,24.211,51.332,0.6641,53.3051,21.0376,,23.4617,,24.6365,18.0317,41.9117
2000-07-21,53.19,54.81,52.63,24.1,5452900,11.2466,1.769,20.9388,23.6871,26.4355,24.0552,23.5635,24.1738,58.0958,0.5776,52.7871,21.3025,,23.6871,,24.6058,33.6389,59.005
2000-07-28,52.06,53.5,49.5,22.67,7344500,11.4869,1.7727,21.5693,23.818,26.0666,23.8428,23.4977,23.674,51.4532,-0.5654,46.6714,21.5541,,23.818,,24.2016,33.6389,0.0
2000-08-04,49.81,53.94,49.5,24.41,7035400,11.5198,1.7905,21.5705,23.8114,26.0523,23.9305,23.5655,23.9204,49.5666,0.069,53.7188,21.7932,,23.8114,,24.056,53.0017,100.0
2000-08-11,53.44,56.19,52.31,25.55,6704400,10.751,1.7888,21.5441,23.9072,26.2703,24.1799,23.7126,24.4641,56.3892,-0.3565,57.662,22.0203,,23.9072,,24.1271,66.6667,100.0
2000-08-18,55.88,58.88,54.19,26.8,8655900,10.9407,1.8135,21.6523,24.1508,26.6494,24.5835,23.9415,25.2438,63.285,1.2245,61.5435,22.236,,24.1508,,24.4617,100.0,100.0
2000-08-25,58.63,59.69,58.0,26.63,6054300,11.3625,1.7389,21.5876,24.2976,27.0077,24.8984,24.1407,25.7059,63.6113,1.6479,60.7152,22.5101,,24.2976,,24.7428,98.1434,94.4303
2000-09-01,58.13,60.94,58.13,27.45,7637000,12.1217,1.7061,22.0537,24.6249,27.1961,25.2916,24.3861,26.2887,62.7487,3.3276,63.2522,22.8364,,24.6249,,25.2299,98.1434,100.0
2000-09-08,60.75,62.94,60.69,28.48,5808800,13.3637,1.6697,21.9381,24.8982,27.8583,25.7818,24.6893,27.0186,61.0071,4.097,66.1765,23.2288,,24.8982,,25.763,98.1434,100.0
2000-09-15,62.81,64.44,62.06,28.92,9833000,14.9003,1.6307,21.6924,25.1212,28.5501,26.2644,25.0025,27.6519,62.333,5.361,67.3778,23.7168,,25.1212,,26.3655,100.0,100.0
2000-09-22,64.25,64.44,60.63,28.66,9698000,15.7008,1.6383,21.7013,25.377,29.0526,26.6335,25.2737,27.989,61.3599,4.4503,65.9155,24.2826,,25.377,,27.1141,92.6842,78.0525
2000-09-29,63.13,67.88,62.88,30.49,12005200,17.2456,1.6841,21.5349,25.7252,29.9155,27.2263,25.6599,28.8216,72.3215,6.3874,70.7917,24.7917,,25.7252,,27.8732,92.6842,100.0
2000-10-06,66.0,66.69,62.5,28.97,8901300,18.5061,1.7064,21.757,26.0119,30.2668,27.495,25.9053,28.8721,71.4826,6.2989,62.7656,25.4683,,26.0119,,28.301,59.3508,0.0
2000-10-13,63.56,65.63,62.38,28.8,10436700,19.6187,1.6903,21.8865,26.2349,30.5833,27.6965,26.1201,28.8496,67.3078,4.3913,61.923,26.0705,,26.2349,,28.5511,33.3333,0.0
2000-10-20,61.0,63.0,59.13,28.55,14068800,19.2257,1.7018,21.9072,26.367,30.8267,27.8277,26.3,28.7495,57.1023,2.998,60.597,26.6064,,26.367,24.1977,28.791,0.0,0.0
2000-10-27,62.44,64.88,60.88,28.75,10557300,19.3815,1.7105,21.9651,26.5253,31.0856,27.9689,26.4811,28.7481,59.2197,1.9421,61.2826,26.9539,,26.5253,24.3238,28.9524,2.2416,6.7247
2000-11-03,63.69,66.31,63.5,29.26,7981100,19.8911,1.6941,22.0881,26.7392,31.3903,28.1676,26.687,28.9189,64.8215,2.6302,63.0995,26.9539,,26.7392,24.4522,29.0502,35.5749,100.0
2000-11-10,64.19,68.0,63.56,30.29,8628300,20.7655,1.7177,22.3139,27.0472,31.7805,28.4935,26.9536,29.3746,65.7183,2.8319,66.4733,27.3926,,27.0472,24.6051,29.2211,68.9082,100.0
2000-11-17,65.88,68.38,64.13,30.91,12885300,21.6656,1.7334,22.5216,27.3736,32.2256,28.8654,27.2467,29.8866,67.73,2.4322,68.3696,27.8252,,27.3736,24.7592,29.502,100.0,100.0
2000-11-24,67.88,69.31,67.63,31.31,7608100,22.7188,1.6642,22.952,27.7614,32.5707,29.2417,27.5478,30.3616,67.8297,2.3932,69.5606,28.2601,,27.7614,24.9295,29.6052,100.0,100.0
2000-12-01,68.69,68.94,64.5,29.6,10914800,22.3123,1.6899,23.4483,28.0308,32.6133,29.2972,27.7,30.1085,60.9637,0.939,59.3118,28.7269,,28.0308,25.0674,29.6838,66.6667,0.0
2000-12-08,65.44,66.5,62.0,28.76,10413500,21.0561,1.7126,24.0453,28.264,32.4827,29.2151,27.7788,29.6601,54.4809,-1.7234,55.0261,31.5943,,28.264,25.1664,29.6786,33.3333,0.0
2000-12-15,63.75,64.25,59.13,27.34,12935800,20.1069,1.7572,25.1058,28.4972,31.8887,28.9264,27.7462,28.8863,48.1738,-1.6345,48.6052,31.5615,,28.4972,25.2244,29.5273,0.0,0.0
2000-12-22,60.0,60.38,58.5,27.17,12475200,19.4061,1.693,25.7287,28.6348,31.541,28.6554,27.7031,28.3126,41.0532,-1.6393,47.8725,31.4702,,28.6348,25.2834,29.3298,0.0,0.0
2000-12-29,59.56,64.0,59.5,28.9,4975100,18.4276,1.7188,26.2636,28.8025,31.3414,28.6938,27.7922,28.51,45.7229,0.3554,55.1695,31.3273,,28.8025,25.3875,29.2853,21.2629,63.7887
2001-01-05,63.25,63.56,54.25,25.06,12266400,18.0986,1.8997,25.8128,28.7151,31.6175,28.1341,27.5895,27.3587,37.5194,-3.6894,41.3703,31.1888,,28.7151,25.4299,28.6316,21.2629,0.0
2001-01-12,54.94,62.69,54.94,28.22,14368400,17.7931,2.0187,26.0418,28.7946,31.5474,28.1473,27.6362,27.6457,45.47,-1.0405,51.9993,30.9319,,28.7946,25.5503,28.2952,46.9383,77.0263
2001-01-19,61.75,62.44,59.38,27.39,10287700,17.5095,1.9743,26.0328,28.7916,31.5504,28.0314,27.6182,27.5617,52.2937,-2.8925,49.4764,30.6854,,28.7916,25.6627,27.8055,45.2565,58.7432
2001-01-26,60.0,61.06,58.0,27.14,10279700,17.5981,1.933,25.8749,28.7246,31.5742,27.8939,27.5826,27.4204,53.7415,-3.7727,48.6893,30.4487,,28.7246,25.7899,27.4974,62.9363,53.0392
2001-02-02,59.44,60.99,56.55,26.34,12634400,18.0331,1.9398,25.5659,28.5958,31.6257,27.6554,27.4908,27.0614,46.1186,-4.9683,46.2284,30.2215,,28.5958,25.913,27.1949,52.4962,45.7061
2001-02-09,57.7,60.33,57.7,27.2,7232000,18.437,1.887,25.4329,28.5227,31.6125,27.5856,27.4694,27.1082,45.605,-2.4005,49.2151,30.0034,,28.5227,26.0675,27.1778,50.1663,51.7537
2001-02-16,59.1,60.72,57.4,26.9,8012600,18.6477,1.8605,25.3154,28.3437,31.372,27.4809,27.4276,27.0405,39.8023,-1.8582,48.2179,29.794,,28.3437,26.2138,27.1453,52.904,61.2521
2001-02-23,57.95,58.55,56.25,25.85,7727100,19.1566,1.815,24.9871,28.1873,31.3875,27.2293,27.3104,26.6423,31.7726,-1.4929,44.7339,29.5929,,28.1873,26.3295,26.7629,37.6686,0.0
2001-03-02,56.61,59.75,56.3,26.91,10087400,19.0991,1.7978,24.859,28.0925,31.3261,27.1802,27.2808,26.7314,32.304,-0.2557,48.7398,29.4,,28.0925,26.3769,26.9946,50.2154,89.3942
2001-03-09,58.4,59.8,57.8,26.45,8375300,19.0235,1.7333,24.6851,27.9877,31.2904,27.0683,27.2195,26.6387,38.9734,-2.4514,47.161,29.2147,,27.9877,26.4332,26.7738,47.8521,54.162
2001-03-16,56.25,56.93,48.47,22.82,20813400,20.9762,1.9156,23.718,27.6913,31.6647,26.4144,26.8934,25.3649,37.1527,-2.2386,36.9015,29.0368,,27.6913,26.4509,26.2018,47.8521,0.0
2001-03-23,49.89,53.86,49.6,23.55,15861700,22.7894,1.918,23.1172,27.406,31.6948,25.9743,26.646,24.7612,37.0254,-4.6662,39.7596,28.6934,,27.406,26.4481,25.7538,26.1015,24.1426
2001-03-30,52.75,55.0,52.1,24.87,8949300,23.982,1.8953,22.9249,27.1353,31.3456,25.8045,26.5145,24.7978,43.7119,-2.5226,44.5942,28.3671,,27.1353,26.5274,25.5697,29.708,64.9813
2001-04-06,54.35,55.63,50.6,23.99,10583000,25.3592,1.9242,22.7422,26.7891,30.8361,25.5251,26.3274,24.5279,39.0002,-3.1496,42.1527,28.0572,,26.7891,26.5469,25.168,46.7694,51.1842
2001-04-12,52.2,54.76,49.6,23.55,11739100,26.8118,1.9554,22.6893,26.4012,30.1132,25.2218,26.1219,24.2032,39.4214,-2.7897,40.9639,27.7627,,26.4012,26.5288,24.7491,56.3247,52.8085
2001-04-20,51.0,55.03,49.96,24.37,14168600,28.0325,1.9813,22.6356,26.1397,29.6439,25.0911,25.9923,24.2596,38.6512,-2.8294,44.1596,27.483,,26.1397,26.5453,24.5649,65.0008,91.0099
2001-04-27,53.05,54.85,51.25,25.04,9410400,29.166,1.9574,22.6356,25.9534,29.2711,25.0826,25.9215,24.5183,37.8067,-1.8695,46.6775,27.2172,,25.9534,26.5756,24.3307,81.2728,100.0
2001-05-04,54.75,55.26,51.6,23.9,10044600,30.0003,1.9372,22.4122,25.7813,29.1504,24.9001,25.7715,24.3111,38.1535,-1.949,43.0847,26.9648,,25.7813,26.5887,24.0111,76.0425,37.1175
2001-05-11,52.3,53.87,51.61,23.92,8162400,30.7751,1.8726,22.2189,25.6188,29.0186,24.7486,25.634,24.1791,39.5878,-2.9945,43.1604,26.7249,,25.6188,26.5801,24.1483,58.5199,38.4422
2001-05-18,51.75,55.81,51.51,25.48,9798100,30.4448,1.8793,22.4005,25.4477,28.495,24.8617,25.6229,24.614,40.3541,-0.9696,49.3771,26.4971,,25.4477,26.5716,24.3896,58.5199,100.0
2001-05-25,55.5,57.15,55.17,25.61,7165200,29.4891,1.8098,22.4329,25.4755,28.5181,24.9771,25.622,24.9466,45.5924,2.7944,49.8593,26.2806,,25.4755,26.5723,24.4822,79.4807,100.0
