date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,52.0,52.69,50.63,7.68,2970800,-346112.6214,,,,,,,,,,,,-0.1796,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,11883200.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,51.5,54.25,51.25,7.74,2824800,-6044930.5435,,,,,,,,,,,,0.1665,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,23182400.0,,,,,,7.5361,,,,,,,,,,,,0.4578,,,,,
1999-11-26,51.06,51.31,48.31,7.29,1448600,-9405682.5435,,,,,,,,,,,,-0.7067,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,17388000.0,,,,,,8.0861,,,,,,,,,,,,0.5411,,,,,
1999-12-03,48.69,50.44,47.5,7.46,2722000,-1332267.5775,,,,,,,,,,,,0.466,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,28276000.0,,,,,,8.0861,,,,,,,,,,,,0.4382,,,,,
1999-12-10,49.69,50.0,45.13,7.0,2506700,-3905881.5405,,,,,,,,,,,,-0.5647,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,18249200.0,,,,,,8.066,,,,,,,,,,,,0.7348,,,,,
1999-12-17,46.69,47.88,43.56,6.78,3114600,-5174792.6516,,,,,,,,,,,,-0.2755,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,5790800.0,,,,,,8.0258,,,,,,,,,,,,0.6439,,,,,
1999-12-23,45.75,46.19,44.38,6.73,1591300,-6264965.0273,,,,,,,,,,,,-0.3425,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-574400.0,,,,,,7.9645,,,,,,19.4175,20.2581,,,,,0.2698,,,,,
1999-12-31,45.63,47.69,43.5,7.03,2147000,273392.9679,,,,,,,,,,,,0.3723,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,8013600.0,,,,,,7.9056,,,,,,30.5253,53.17,,,,,0.6245,,,,,
2000-01-07,46.94,47.12,42.88,6.72,2687300,577615.6094,,,,,,,,,,,,-0.4434,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-2735600.0,,,,,,7.8345,,,,28.2083,34.682,34.682,30.618,,,,,0.6424,,,,,
2000-01-14,44.94,45.0,39.56,6.4,7817300,8164995.0212,4059270.5107,,,,,,,,,,,-0.3676,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-34004800.0,,,,,,7.748,,,,35.5594,41.471,41.471,40.625,,,,,0.8198,,,,,
2000-01-21,42.56,42.56,37.5,5.78,8736700,-9515599.4452,-847832.6917,,,,,,,,,,,-0.753,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,-1.9091,,-68951600.0,,,-24.8425,,,7.6184,,,,34.6632,27.8366,27.8366,12.2669,,,,,0.8108,,,,,
2000-01-28,38.94,43.0,37.88,6.26,5570300,4062006.8048,1541939.1407,,,,,,,,,,,0.5977,,,,,6.9062,,,,,,,,,,0,,,,,,,,,,,,,,-1.4816,,-46670400.0,,,-19.1375,,,7.456,,,,33.8862,32.351,32.351,44.1609,,,,,0.7632,,,,,
2000-02-04,42.06,45.06,41.06,6.55,5117300,13068454.8048,5245084.7866,,,,,,,,,,,0.47,,,,,6.8513,,,,,,,,,,0,,,,,,,,,,,,,,-0.7453,,-26201200.0,,,-10.2166,,,7.3067,,,,33.7705,41.1239,41.1239,66.9439,,,,,0.5962,,,,,
2000-02-11,43.69,43.69,39.69,5.94,4090000,-1737345.1952,1572245.752,,,,,,,,,,,-0.9525,,,,,6.7118,6.812,,,,,,,,,0,,,,,,,,,,,6.7588,6.8378,,-1.5174,,-42561200.0,,,-20.3356,,,7.1693,,,,40.3345,47.5288,47.5288,31.4815,,,,,0.6335,6.7879,,,-85.791,6.5276
2000-02-18,39.88,40.31,36.94,5.63,3758800,-9923312.0406,-2677836.554,,,,100.0,7.1429,-92.8571,0.6048,,,,-0.6419,,-44.0778,,52.0735,6.5451,6.6542,,,,,,,,,0,5.9099,,,,,,,,,29.6999,6.6852,6.8014,31.3229,-1.368,10.7458,-57596400.0,9.8715,,-19.5518,0.7324,27.9611,7.043,,,,41.5243,35.9204,35.9204,9.3357,,,,,0.4917,6.6555,,,-95.6411,6.3698
2000-02-25,37.81,37.94,34.94,5.24,3337800,-22206416.0406,-8081327.2652,,,,100.0,0.0,-100.0,0.5936,,,,-0.9167,,-48.7265,,56.3853,6.3437,6.4651,,,,,,,,,0,5.8195,,,,,,,,,23.6688,6.3487,6.4329,33.3577,-1.5461,11.3379,-70947600.0,9.3032,,-22.7971,0.6763,25.6367,6.9056,,,,32.4845,14.0044,14.0044,1.196,,,,,0.448,6.5084,,,-99.2625,6.1792
2000-03-03,34.94,37.38,34.56,5.47,4453200,-13868509.6576,-6904209.8647,,,,100.0,0.0,-100.0,0.5813,,,,0.5993,,-41.1816,,57.1737,6.2093,6.3325,,,,,,,,,0,5.7893,,,,,,,,,29.4888,6.3487,6.3397,32.2627,-1.2565,10.6268,-53134800.0,8.7909,,-18.6786,0.7499,29.4092,6.7368,,,,20.0204,10.1365,10.1365,19.8778,,,,,0.4211,6.3629,,,-86.8849,6.0438
2000-03-10,36.44,36.56,34.0,5.25,5393600,-16396759.6576,-6599449.5768,,,,100.0,0.0,-100.0,0.5678,,,,-0.5117,,-44.0994,,58.3681,6.0612,6.1876,,,,,,,,,0,5.7266,,,,,,,,,28.8179,6.1348,6.2651,31.6878,-1.7875,10.8238,-74709200.0,8.3301,,-25.4133,0.7031,27.9503,6.5635,,,,11.6955,10.9456,10.9456,11.7631,,,,,0.3928,6.2239,,,-92.8949,5.8959
