date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_12_ema,ema_26_ema,ema_5_ema,mfi_14_mfi,mom_10_mom,rsi_14_rsi,sar_14_sar,sma_100_sma,sma_20_sma,sma_50_sma,sma_8_sma,stochrsi_14_fastd,stochrsi_14_fastk
1999-11-12,29.13,30.56,27.0,15.13,20132800,,,,,,,,,,,,,,,,,,
1999-11-19,28.13,29.25,27.44,14.73,12439200,,,,,,,,,,,,14.1783,,,,,,
1999-11-26,28.25,28.5,27.44,14.49,8686700,,,,,,,,,,,,14.1901,,,,,,
1999-12-03,27.31,28.0,26.13,14.39,15262800,,,,,,,,,,,,15.3598,,,,,,
1999-12-10,27.0,28.0,26.31,14.26,15652000,,,,,,,,14.5991,,,,15.3442,,,,,,
1999-12-17,27.0,27.0,24.25,12.9,16144900,,,,,,,,14.0341,,,,15.3287,,,,,,
1999-12-23,24.44,25.5,24.19,12.97,18019500,,,,,,,,13.6786,,,,15.2782,,,,,,
1999-12-31,24.0,24.56,22.88,12.7,13607300,,,,,,,,13.3536,,,,15.203,,,,13.9463,,
2000-01-07,24.0,24.81,22.69,12.94,15370800,,,,,,,,13.2143,,,,15.0781,,,,13.6722,,
2000-01-14,24.63,25.5,23.75,12.77,12437300,,,,,,,,13.0669,,,,14.9232,,,,13.4269,,
2000-01-21,24.19,25.06,23.25,12.41,11275800,,,,,,,,12.8472,,-2.7209,,14.7761,,,,13.1668,,
2000-01-28,23.63,23.94,22.69,12.04,13517500,,,,,,13.4775,,12.5793,,-2.6914,,14.6363,,,,12.8738,,
2000-02-04,23.0,23.88,22.88,12.28,13016800,,,,,,13.2926,,12.4782,,-2.2123,,14.5035,,,,12.6263,,
2000-02-11,23.5,23.5,19.88,11.45,24806300,,,,,,13.0095,,12.1362,,-2.9356,,14.3773,,,,12.4448,,
2000-02-18,21.69,22.06,20.94,11.09,14645600,,0.9332,,,,12.7138,,11.7867,19.4773,-3.168,10.3591,14.1445,,,,12.2098,,
2000-02-25,20.63,21.88,19.88,10.85,12704100,,0.9357,,,,12.4271,,11.4746,19.8128,-2.0539,9.8639,13.9256,,,,11.9782,,
2000-03-03,19.94,20.75,19.13,10.32,18984500,,0.9305,,,,12.1026,,11.089,19.2767,-2.6496,8.8438,13.7198,,,,11.6509,,
2000-03-10,19.19,19.75,17.81,9.55,22497800,,0.9378,,,,11.7101,,10.5764,19.2552,-3.1523,7.6214,13.4724,,,,11.2483,,
2000-03-17,17.25,22.06,17.19,11.12,27823100,,1.056,,,,11.6188,,10.7564,29.5325,-1.8194,29.152,13.1532,,,,11.0869,,
2000-03-24,20.69,23.38,20.19,12.25,18650100,,1.1019,9.5417,12.5313,15.521,11.7151,,11.2527,37.4662,-0.527,40.0097,12.793,,12.5313,,11.1121,,
2000-03-31,23.0,24.19,21.75,12.68,18620600,,1.116,9.6642,12.4087,15.1533,11.863,,11.7272,45.9078,0.2685,43.5682,9.1519,,12.4087,,11.1622,100.0,100.0
2000-04-07,23.94,25.06,22.38,12.05,15982600,,1.1382,9.7437,12.2744,14.805,11.8915,,11.8342,52.6023,0.0046,39.8589,9.1892,,12.2744,,11.2367,96.5604,89.6811
2000-04-14,22.31,24.19,20.56,11.12,13264300,,1.1949,9.7439,12.1058,14.4677,11.7723,,11.595,46.2666,-1.1594,35.0878,9.2722,,12.1058,,11.2402,76.9518,41.1743
2000-04-20,20.88,22.81,20.06,11.98,13900300,,1.2142,9.8682,11.9854,14.1025,11.8041,,11.7229,40.3918,0.5268,42.0081,9.3536,,11.9854,,11.3813,70.8194,81.603
2000-04-28,22.0,24.06,21.94,12.64,12698300,,1.2081,10.0307,11.9048,13.7788,11.9333,,12.0301,45.8821,1.5566,46.7274,9.4334,,11.9048,,11.6721,74.2591,100.0
2000-05-05,23.94,25.0,22.69,12.18,9486800,,1.2096,10.0459,11.8686,13.6914,11.9715,12.4336,12.0805,51.0544,1.331,44.0411,9.5116,,11.8686,,12.0009,86.1745,76.9205
2000-05-12,22.56,26.5,22.56,13.61,12990300,,1.273,9.9818,11.9007,13.8195,12.2233,12.5206,12.5897,51.2637,3.2902,53.0041,9.5882,,11.9007,,12.3124,92.3068,100.0
2000-05-19,26.0,28.0,25.5,14.24,16948700,39.4528,1.2772,9.8269,11.9776,14.1282,12.5338,12.648,13.1403,61.0965,4.6904,56.3475,9.7238,,11.9776,,12.5619,92.3068,100.0
2000-05-26,26.75,30.13,25.69,14.36,20922000,38.4883,1.3486,9.6909,12.049,14.407,12.8154,12.7752,13.5482,68.9185,3.2476,56.9845,9.9311,,12.049,,12.7729,100.0,100.0
2000-06-02,26.81,28.25,26.63,14.97,8026200,37.5927,1.3143,9.4917,12.1589,14.826,13.1468,12.9377,14.022,73.6752,2.7244,60.0856,10.2366,,12.1589,,13.138,100.0,100.0
2000-06-09,27.75,28.5,26.31,14.3,11187500,36.5448,1.3042,9.4282,12.2534,15.0787,13.3242,13.0386,14.1146,74.657,1.6234,55.3334,10.5268,,12.2534,,13.536,77.6307,32.8922
2000-06-16,26.75,27.13,22.19,11.99,22734300,34.492,1.4001,9.4247,12.2508,15.0769,13.119,12.961,13.4066,72.8244,-0.0575,42.7719,10.8026,,12.2508,,13.5374,44.2974,0.0
2000-06-23,21.94,24.25,21.94,12.79,13834600,32.6918,1.3885,9.4407,12.2767,15.1128,13.069,12.9486,13.2025,65.1907,1.6778,47.2593,11.0645,,12.2767,,13.5561,19.6035,25.9183
2000-06-30,23.56,24.38,22.23,11.92,8949000,30.9504,1.3716,9.4841,12.3002,15.1163,12.8924,12.8725,12.7753,59.4777,-0.058,43.2872,11.3133,,12.3002,,13.5236,9.6314,2.976
2000-07-07,22.5,24.88,22.5,12.69,6597600,29.0578,1.3743,9.6161,12.3804,15.1447,12.8617,12.8592,12.7477,57.0519,0.048,47.4864,11.5497,,12.3804,,13.4092,22.1419,37.5315
2000-07-14,23.69,25.31,23.06,13.33,10392800,27.062,1.3622,9.804,12.5044,15.2048,12.9337,12.894,12.9418,55.923,1.1488,50.7329,11.7743,,12.5044,,13.2952,46.8358,100.0
2000-07-21,24.38,25.94,23.5,13.26,13315400,25.3959,1.3583,10.1289,12.6515,15.1741,12.984,12.9212,13.048,62.7328,-0.3477,50.3666,11.9876,,12.6515,,13.1572,77.5372,95.0801
2000-07-28,24.56,28.25,24.31,14.77,14125700,24.9441,1.4121,10.662,12.9122,15.1625,13.2581,13.0578,13.6206,69.9318,0.5243,57.5087,12.1903,,12.9122,,13.1318,98.36,100.0
2000-08-04,27.75,29.94,26.88,15.81,13531400,25.1692,1.4283,10.7233,13.1467,15.57,13.65,13.2613,14.3489,70.5495,1.4412,61.6154,12.3828,,13.1467,,13.32,98.36,100.0
2000-08-11,29.56,30.44,28.31,15.51,13016600,25.5545,1.4078,10.7181,13.3097,15.9013,13.9354,13.4276,14.7343,71.5172,0.5358,59.8182,12.5657,,13.3097,,13.7593,94.6744,84.0232
2000-08-18,28.94,29.75,28.75,15.4,7628700,25.9123,1.3455,10.7187,13.446,16.1734,14.1613,13.5739,14.9574,66.2304,1.1037,59.1874,12.7903,,13.446,,14.0855,87.4796,78.4156
2000-08-25,28.56,29.94,28.56,15.37,7131700,26.3183,1.3022,10.8412,13.6122,16.3832,14.3474,13.7071,15.0954,59.7816,3.3807,58.9759,13.0015,,13.6122,,14.5168,66.0553,35.7271
2000-09-01,28.69,29.94,28.38,15.9,9199000,26.7675,1.2693,11.1588,13.8513,16.5439,14.5861,13.8694,15.3632,56.8587,3.1047,61.4131,13.1999,,13.8513,,14.9176,68.827,92.3382
2000-09-08,29.13,30.63,29.0,16.3,9663900,27.4664,1.2413,11.3173,14.0675,16.8178,14.8503,14.0497,15.6765,57.5654,4.3822,63.2161,13.3864,,14.0675,,15.2892,76.0218,100.0
2000-09-15,30.0,33.75,30.0,17.48,18552800,29.1207,1.297,11.2667,14.3095,17.3523,15.2554,14.3041,16.2789,66.9956,4.791,67.9284,13.605,,14.3095,,15.8171,97.4461,100.0
2000-09-22,33.0,34.0,31.5,17.99,12228800,30.7231,1.3006,11.3251,14.5999,17.8748,15.6761,14.5771,16.8493,78.2842,4.66,69.7214,13.9717,,14.5999,,16.2201,100.0,100.0
2000-09-29,33.31,35.63,32.56,18.73,13791100,32.6142,1.3259,11.158,14.856,18.5539,16.1457,14.8846,17.4757,86.0935,5.4681,72.1639,14.3634,,14.856,,16.5855,100.0,100.0
2000-10-06,34.25,36.0,32.5,18.39,16647000,34.4549,1.3659,11.0723,15.0636,19.0549,16.4916,15.1446,17.7819,79.677,3.6284,69.4341,14.8474,,15.0636,,16.9467,89.8306,69.4917
2000-10-13,34.19,34.19,30.81,17.41,14474300,34.8078,1.3985,11.1119,15.2161,19.3202,16.6335,15.3126,17.659,71.899,1.6081,62.0177,15.3484,,15.2161,,17.1979,56.4972,0.0
2000-10-20,32.88,35.19,31.25,18.59,15365600,35.4427,1.4503,11.0404,15.3973,19.7541,16.935,15.5557,17.9706,73.2565,3.0884,66.6357,15.7943,,15.3973,13.768,17.6007,38.3356,45.5151
2000-10-27,34.0,37.56,33.69,20.08,15144700,36.6491,1.4957,10.9126,15.6861,20.4595,17.4182,15.8905,18.6723,74.2904,4.6723,71.3469,16.1912,,15.6861,13.867,18.1228,45.8208,91.9473
2000-11-03,37.13,40.31,36.13,19.7,18642400,38.3169,1.5497,11.3085,16.0717,20.8349,17.7699,16.173,19.0162,75.6859,4.3326,68.7247,16.6774,,16.0717,13.9663,18.5479,69.7852,71.8931
2000-11-10,36.75,38.63,36.69,20.55,11209200,39.8655,1.5187,11.5657,16.4595,21.3533,18.1976,16.4972,19.5275,75.8336,4.6511,71.3086,17.3336,,16.4595,14.0876,18.9312,87.81,99.5896
2000-11-17,38.25,39.63,37.75,21.02,13725600,41.4851,1.4826,12.102,16.9144,21.7268,18.6317,16.8322,20.0247,76.4329,4.7158,72.6567,17.9044,,16.9144,14.2202,19.3098,90.4943,100.0
2000-11-24,38.31,39.38,37.25,20.48,8337700,42.605,1.4587,12.6637,17.3038,21.9439,18.916,17.1024,20.1764,75.2468,2.9966,68.6631,18.4011,,17.3038,14.3447,19.5288,66.5299,0.0
2000-12-01,38.19,39.69,36.0,21.25,12095000,42.8377,1.4972,13.1326,17.6998,22.2669,19.275,17.4095,20.534,79.3566,3.259,71.104,18.8332,,17.6998,14.5116,19.8856,53.7066,61.1199
2000-12-08,38.75,44.19,38.56,23.82,17302200,43.9953,1.608,13.4013,18.2278,23.0542,19.9743,17.8844,21.6296,80.7199,5.0922,77.4332,19.2091,,18.2278,14.7286,20.6865,53.7066,100.0
2000-12-15,44.0,44.75,38.88,21.62,14309900,45.1627,1.7201,13.8027,18.5706,23.3385,20.2279,18.1613,21.6273,73.452,3.2284,64.4407,19.4896,,18.5706,14.907,21.0652,53.7066,0.0
2000-12-22,39.94,42.88,39.81,22.4,12357500,46.2466,1.716,14.0317,18.9005,23.7692,20.5624,18.4755,21.8856,73.1541,4.9888,66.5824,20.2002,,18.9005,15.0964,21.356,38.8281,16.4842
2000-12-29,42.0,44.19,41.31,23.58,6130100,47.4768,1.7048,14.2912,19.3043,24.3174,21.027,18.8538,22.4512,72.6335,4.9888,69.5705,20.8042,,19.3043,15.3126,21.8408,18.6555,39.4822
2001-01-05,42.94,42.94,37.25,20.6,13114500,46.1839,1.827,14.8574,19.5644,24.2713,20.9621,18.9835,21.8358,65.5674,0.5291,55.9725,24.2267,,19.5644,15.4765,21.8476,18.6555,0.0
2001-01-12,38.0,39.69,33.56,18.92,16243500,43.4166,1.9336,15.4291,19.7416,24.0541,20.6473,18.9785,20.8624,65.3946,-0.7882,50.002,24.1861,,19.7416,15.614,21.5847,13.1607,0.0
2001-01-19,35.0,37.13,33.88,18.81,14847800,40.847,1.9211,15.921,19.8873,23.8537,20.3651,18.9662,20.1793,64.8865,-1.7372,49.6546,24.0657,,19.8873,15.7447,21.3763,-0.0,0.0
2001-01-26,35.06,38.94,34.5,20.51,13034800,39.0425,1.9556,16.4833,20.0975,23.7118,20.387,19.0804,20.2886,64.7349,-0.5115,55.1786,23.9478,,20.0975,15.9258,21.2836,9.2456,27.7368
2001-02-02,38.0,40.25,37.35,21.79,12171900,37.7538,1.9281,16.8367,20.3129,23.7891,20.6029,19.2811,20.7893,64.4022,1.3105,58.8595,23.8322,,20.3129,16.1399,21.0299,42.5789,100.0
2001-02-09,39.8,41.49,39.4,22.41,12397000,36.9035,1.8712,17.1147,20.534,23.9533,20.8814,19.5131,21.3305,63.406,1.164,60.5524,23.719,,20.534,16.3711,21.1287,75.9123,100.0
2001-02-16,41.6,42.1,40.55,22.55,10117700,36.2807,1.7974,17.3034,20.7253,24.1471,21.1387,19.7384,21.7383,63.3914,-1.2668,60.9437,23.6079,,20.7253,16.6158,21.1476,100.0,100.0
2001-02-23,41.89,41.89,38.3,21.52,10847200,34.6843,1.8079,17.618,20.8816,24.1451,21.1973,19.8703,21.6655,56.5172,-0.1029,56.5091,23.4992,,20.8816,16.8552,20.8898,74.3597,23.0791
2001-03-02,40.0,41.9,39.6,22.54,12426600,33.2691,1.7695,18.2168,21.1379,24.059,21.404,20.0681,21.9572,62.2426,0.1384,59.6321,23.3926,,21.1379,17.0837,21.1317,64.5012,70.4244
2001-03-09,41.68,42.29,40.9,22.48,10122100,32.0872,1.6971,18.6034,21.332,24.0606,21.5688,20.2464,22.1299,62.019,-1.1071,59.3387,23.2881,,21.332,17.2883,21.5767,52.4372,63.8082
2001-03-16,42.0,42.2,37.75,21.65,14543900,29.9263,1.7488,18.7414,21.4107,24.0799,21.5811,20.3503,21.9695,52.6539,1.0437,55.6067,23.1857,,21.4107,17.4677,21.9312,44.7442,0.0
2001-03-23,39.56,39.9,37.5,21.33,12880500,28.0137,1.7171,18.9389,21.4918,24.0448,21.5421,20.4227,21.7556,53.3287,2.4119,54.1822,23.0853,,21.4918,17.6533,22.0337,21.2694,0.0
2001-03-30,39.45,41.94,39.22,22.81,12374600,26.5642,1.7006,19.0286,21.605,24.1814,21.7376,20.5997,22.1079,53.3225,3.9997,59.3688,22.987,,21.605,17.8872,22.1615,31.723,95.1689
2001-04-06,41.9,43.45,40.25,22.38,15870700,25.7291,1.7034,19.0902,21.6732,24.2561,21.8369,20.7318,22.1996,55.9368,1.8755,57.3458,18.1687,,21.6732,18.0953,22.1577,52.0548,60.9954
2001-04-12,41.35,41.59,40.18,22.17,7212900,24.922,1.6365,19.2263,21.7574,24.2886,21.8874,20.838,22.1882,57.7231,0.3749,56.2997,18.2233,,21.7574,18.2857,22.1091,65.6636,40.8265
