date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,97.0,109.0,96.0,19.74,34080900,136323600.0,,,,,,,,,,,,0.9231,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,136323600.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,108.9,113.3,103.5,19.43,50285600,91169183.6735,,,,,,,,,,,,-0.1633,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-64818800.0,,,,,,17.3847,,,,,,,,,,,,1.7747,,,,,
1999-11-26,107.6,108.5,100.1,18.47,21097300,44956050.3401,,,,,,,,,,,,-0.6667,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-149208000.0,,,,,,17.4161,,,,,,,,,,,,1.5212,,,,,
1999-12-03,101.8,111.0,97.38,19.97,32797500,162661028.3137,,,,,,,,,,,,0.6241,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-18018000.0,,,,,,17.4471,,,,,,,,,,,,2.4665,,,,,
1999-12-10,109.5,115.4,106.6,19.81,32770100,114995428.3137,,,,,,,,,,,,-0.0114,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-149098400.0,,,,,,17.4778,,,,,,,,,,,,1.5936,,,,,
1999-12-17,109.3,115.0,100.0,20.06,32216800,171696996.3137,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-20231200.0,,,,,,17.5462,,,,,,,,,,,,2.7164,,,,,
1999-12-23,113.8,123.9,113.5,22.02,19654700,215542096.3137,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,58387600.0,,,,,,17.6132,,,,,,78.2908,91.3273,,,,,2.3723,,,,,
1999-12-31,121.8,129.0,120.1,22.94,11152200,237094662.6058,,,,,,,,,,,,0.5506,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,102996400.0,,,,,,17.758,,,,,,86.1754,92.7261,,,,,1.6117,,,,,
2000-01-07,128.4,128.4,111.0,21.17,31285100,196819591.3415,,,,,,,,,,,,-0.6609,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-22144000.0,,,,,,17.9821,,,,81.7475,80.7764,80.7764,58.2759,,,,,3.151,,,,,
2000-01-14,119.1,139.0,117.9,24.56,48410100,328054554.3746,67885467.7016,,,,,,,,,,,0.782,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,171496400.0,,,,,,18.1972,,,,82.5711,80.7613,80.7613,91.2821,,,,,4.0021,,,,,
