date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,64.81,83.06,63.5,3.75,89936700,305306588.9571,,,,,,,,,,,,0.5179,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1798734000.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,75.63,80.0,73.31,3.9,39904300,611895680.1379,,,,,,,,,,,,0.3453,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2596820000.0,,,,,,3.175,,,,,,,,,,,,0.3345,,,,,
1999-11-26,77.88,95.13,76.0,4.66,55020000,1482206814.4819,,,,,,,,,,,,0.7972,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3697220000.0,,,,,,3.1832,,,,,,,,,,,,0.9565,,,,,
1999-12-03,95.5,96.88,81.97,4.33,62872700,998959905.0251,,,,,,,,,,,,-0.5996,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2439766000.0,,,,,,3.2147,,,,,,,,,,,,0.7455,,,,,
1999-12-10,86.88,113.0,84.38,5.34,85087100,1951507313.8302,,,,,,,,,,,,0.6925,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,4141508000.0,,,,,,3.2636,,,,,,,,,,,,1.431,,,,,
1999-12-17,106.6,106.6,91.0,4.7,41855400,1442803221.5225,,,,,,,,,,,,-0.8038,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3304400000.0,,,,,,3.359,,,,,,,,,,,,0.785,,,,,
1999-12-23,97.75,101.6,89.06,4.5,38911700,781242261.3949,,,,,,,,,,,,-0.618,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2526166000.0,,,,,,3.4507,,,,,,59.1302,37.8378,,,,,0.627,,,,,
1999-12-31,87.75,88.25,76.0,3.81,49268400,-183211805.5439,,,,,,,,,,,,-0.9486,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1540798000.0,,,,,,3.5387,,,,,,30.1565,0.3514,,,,,0.7,,,,,
2000-01-07,81.5,91.5,64.0,3.48,101319800,-1390206950.2712,,,,,,,,,,,,-0.4342,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-485598000.0,,,,,,5.65,,,,35.2662,16.512,16.512,11.3469,,,,,1.375,,,,,
2000-01-14,72.56,72.63,63.0,3.21,53396800,-2180900998.0386,-1214059670.0412,,,,,,,,,,,-0.8629,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-1553534000.0,,,,,,5.6255,,,,17.1745,4.8551,4.8551,2.867,,,,,0.4815,,,,,
2000-01-21,63.44,67.5,60.0,3.1,31070300,-2460947968.7052,-1355997102.2454,,,,,,,,,,,-0.184,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,-0.644,,-2174940000.0,,,-17.1871,,,5.576,,,,9.2519,6.3886,6.3886,4.9519,,,,,0.375,,,,,
2000-01-28,67.56,73.38,60.0,3.08,65724200,-3443372482.9055,-1603379569.734,,,,,,,,,,,-0.4387,,,,,3.9876,,,,,,,,,,0,,,,,,,,,,,,,,-0.8125,,-3489424000.0,,,-20.8494,,,5.4987,,,,5.2128,4.3947,4.3947,5.3651,,,,,0.669,,,,,
2000-02-04,60.38,85.94,58.44,3.93,92901400,-2582598783.9964,-1284937168.6233,,,,,,,,,,,0.6611,,,,,3.9784,,,,,,,,,,0,,,,,,,,,,,,,,-0.7285,,-1631396000.0,,,-15.6448,,,5.3988,,,,11.5029,23.7253,23.7253,60.859,,,,,1.375,,,,,
2000-02-11,76.19,84.0,73.13,3.81,57470800,-3084873485.0084,-1197667484.9798,,,,,,,,,,,0.0,,,,,3.9524,3.9706,,,,,,,,,0,,,,,,,,,,,4.2098,4.286,,-0.5185,,-2780812000.0,,,-11.9801,,,5.2749,,,,23.9033,43.5899,43.5899,64.5455,,,,,0.5435,4.0379,,,-67.467,3.7966
2000-02-18,75.69,76.19,63.88,3.24,30710400,-3612264107.2667,-1220893495.5732,,,,85.7143,28.5714,-57.1429,0.7867,,,,-0.8887,,-8.4501,,11.3401,3.8424,3.8729,,,,,,,,,0,3.8019,,,,,,,,,58.4173,4.2098,4.286,18.5156,-2.0975,24.3001,-3395020000.0,23.2521,,-39.3158,0.864,45.7749,5.1573,,,,38.9217,49.45,49.45,22.9455,,,,,0.6155,3.9073,,,-88.4348,3.6988
2000-02-25,64.94,71.75,63.06,3.46,24866800,-3414817709.1079,-1056580873.6225,,,,78.5714,21.4286,-57.1429,0.7616,,,,0.4822,,-4.3677,,10.2059,3.7831,3.8173,,,,,,,,,0,3.7979,,,,,,,,,54.8336,4.2098,4.286,18.12,-1.2465,22.0326,-2897684000.0,22.239,,-26.5044,0.887,47.8161,5.0455,,,,45.0537,42.1212,42.1212,38.8727,,,,,0.4345,3.7753,,,-80.4069,3.6351
2000-03-03,66.56,68.97,62.06,3.12,31822500,-3970214742.393,-1070026504.904,,,,71.4286,14.2857,-57.1429,0.7324,,,,-0.5876,,-9.8968,,8.7509,3.6818,3.725,,,,,,,,,0,3.7631,,,,,,,,,49.3505,4.2098,4.286,17.9738,-1.375,23.4371,-3534134000.0,21.4212,,-30.5556,0.6711,45.0516,4.9393,,,,39.0328,25.5273,25.5273,14.7636,,,,,0.3535,3.6491,,,-92.5587,3.5314
2000-03-10,62.88,69.0,60.56,3.34,29811300,-3673514600.2129,-883847262.9252,,,,64.2857,7.1429,-57.1429,0.7102,,,,0.4739,,-5.555,,6.48,3.6299,3.6742,,,,,,,,,0,3.7509,,,,,,,,,46.1336,4.2098,4.286,17.9647,-0.4625,21.2391,-2937908000.0,20.4543,,-12.1503,0.7726,47.2225,4.8385,,,,31.5049,26.8663,26.8663,26.9625,,,,,0.422,3.5531,,,-84.5308,3.4715
2000-03-17,64.0,66.94,60.0,3.24,31523900,-3430044709.723,-649865583.9665,,,,57.1429,0.0,-57.1429,0.6843,,,,0.1167,,-7.4166,,5.5935,3.57,3.6164,,,,,,,,,0,3.6935,,,,,,,,,35.0349,3.8938,4.126,17.5844,-0.2375,21.1169,-3568386000.0,19.6681,,-6.8286,0.6074,46.2917,4.7426,,,,25.4018,23.8119,23.8119,29.7097,,,,,0.347,3.4817,,,-86.7733,3.4072
2000-03-24,63.5,75.25,62.25,3.63,49650900,-2828123029.723,-303546582.2138,,,,50.0,0.0,-50.0,0.6818,2.55,3.7813,5.0126,0.7069,-42.3661,0.6146,,16.6793,3.5799,3.6188,,,,,,,,,0,3.6909,,,,,,,,,42.4591,3.7922,4.001,16.319,0.422,18.7603,-2575368000.0,22.8526,,13.1362,0.7728,50.3073,4.6516,,3.7813,,32.4355,46.6284,46.6284,83.2131,,,,,0.65,3.4453,,,-66.9833,3.4153
2000-03-31,72.25,75.13,63.0,3.35,25982200,-3005050459.2366,-190570574.3226,,,,42.8571,0.0,-42.8571,0.6765,2.5159,3.7615,5.0071,-0.4328,-51.1212,-4.9138,,16.6793,3.5445,3.583,,,,,,,,,0,3.6746,,,,,,,,,44.1154,3.5062,3.7485,15.2186,0.247,20.1929,-3095012000.0,21.3116,,7.96,0.7444,47.5431,4.5651,,3.7615,,41.1273,52.9415,52.9415,45.9016,64.0874,47.4056,,,0.6065,3.4145,,,-74.1077,3.3957
2000-04-07,65.44,68.63,55.75,3.38,36168400,-2401869378.4913,64892734.0812,,,,100.0,7.1429,-92.8571,0.6741,2.4807,3.7355,4.9904,0.1646,-74.2673,-4.3063,,4.2883,3.5189,3.5556,,,,,,,,,0,3.6695,,,,,,,,,45.6772,3.5062,3.6812,18.1588,0.2935,19.9568,-2371644000.0,19.7859,,9.5153,0.8874,47.8468,4.483,,3.7355,,54.2654,63.2263,63.2263,60.5641,62.0443,38.7274,,,0.644,3.3985,,,-66.965,3.3907
2000-04-14,67.25,68.44,40.81,2.34,48679200,-2947682485.9831,-10166695.2356,,,,100.0,0.0,-100.0,0.7247,2.3013,3.6199,4.9385,-0.7372,-140.8503,-22.2169,,15.6021,3.3381,3.3941,,,,,,,,,0,3.6083,,,,,,,,,51.3122,3.136,3.1687,23.2553,-1.584,30.9159,-3345228000.0,16.978,,-40.3259,0.674,38.8916,4.3812,,3.6199,,52.5104,41.3635,41.3635,17.6249,28.711,0.0,,,1.3815,3.3729,,,-86.55,3.252
2000-04-20,45.25,56.25,44.63,2.62,33215000,-2725868028.1518,30628747.1025,,,,92.8571,21.4286,-71.4286,0.7144,2.1892,3.5344,4.8797,0.6136,-137.5775,-15.9985,,15.6021,3.2275,3.2907,,,,,,,,,0,3.588,,,,,,,,,53.7469,3.136,3.1687,21.8509,-1.1905,27.2778,-2680928000.0,15.9527,,-31.2508,0.8153,42.0007,4.2174,,3.5344,,47.2837,37.2612,37.2612,33.5947,21.9877,27.2358,,,0.581,3.3386,,,-74.363,3.1608
2000-04-28,49.38,57.44,44.88,2.76,43949900,-2161797655.5403,224010296.8806,,,,85.7143,14.2857,-71.4286,0.7082,2.3034,3.4057,4.5079,0.4626,-130.2595,-12.8396,,13.6006,3.1555,3.2199,,,,,,,,,0,3.5781,,,,,,,,,59.1119,3.136,3.1687,20.4157,-0.478,25.6653,-1801930000.0,15.5272,,-14.7645,0.8893,43.5802,4.065,,3.4057,,36.5548,31.0398,31.0398,41.8998,26.5306,52.3559,,,0.628,3.2954,,,-68.1365,3.0939
2000-05-05,56.0,60.31,53.0,2.92,30218500,-1856718955.1299,379826854.0222,,,-0.4592,78.5714,7.1429,-71.4286,0.6838,2.3718,3.3168,4.2618,0.342,-90.6276,-9.0717,,8.712,3.12,3.1806,3.577,,,,,,,,0,3.5734,,,,,,,,,56.3031,3.136,3.1687,19.6084,-0.5315,23.3762,-1197560000.0,16.4657,-12.8378,-15.3768,0.9483,45.4641,3.9233,,3.3168,,38.2205,46.3606,46.3606,63.5873,50.995,73.3933,,,0.3655,3.2423,,,-60.8021,3.0524
2000-05-12,56.81,59.25,49.0,2.69,26763700,-1895885345.3738,396578243.7732,,,-0.4643,71.4286,0.0,-71.4286,0.6715,2.4142,3.2261,4.0381,-0.2985,-116.7483,-13.5338,2.6844,14.2506,3.0535,3.1148,3.5111,,,,,,,,0,3.5199,,,,,,,,,44.1658,3.0767,3.1203,20.7024,-0.4375,24.9868,-1732834000.0,15.5379,-13.1295,-14.0,0.6842,43.2331,3.7915,,3.2261,,42.7246,50.7734,50.7734,46.8332,63.9349,66.0555,,,0.5125,3.1694,,,-70.0394,2.9807
2000-05-19,53.63,62.38,50.88,2.63,26894100,-2270064127.9825,248321632.0437,11.177,,-0.4844,64.2857,0.0,-64.2857,0.6646,2.3619,3.1674,3.9729,-0.087,-92.6196,-14.598,2.6215,8.6934,2.9886,3.0504,3.446,,,,,,,,0,3.469,,,,,,,,,38.3385,2.9893,2.925,19.3829,-0.7125,25.2566,-2270716000.0,16.2823,-13.8884,-21.3068,0.6908,42.701,3.6689,,3.1674,,49.6548,51.8303,51.8303,45.0704,53.2227,20.2194,,,0.575,3.089,,,-66.5913,2.9134
