date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2008-11-21,24.0,26.5,22.96,15.31,3300,-3300.0,,,,,,,,,,,,-0.2938,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3300.0,,,,,,,,,,,,,,,,,,,,,,,
2008-11-28,23.7,25.38,22.13,16.46,128000,69561.5385,,,,,,,,,,,,0.3015,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,131300.0,,,,,,17.6717,,,,,,,,,,,,2.1673,,,,,
2008-12-05,24.04,37.2,23.16,16.24,45700,31673.5043,,,,,,,,,,,,0.0228,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,85600.0,,,,,,14.7575,,,,,,,,,,,,9.3627,,,,,
2008-12-12,24.92,26.0,24.5,16.54,54800,-475.8291,,,,,,,,,,,,-0.0733,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,140400.0,,,,,,14.7575,,,,,,,,,,,,1.0936,,,,,
2008-12-19,24.95,25.77,24.75,16.82,21400,-2154.2604,,,,,,,,,,,,0.2647,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,161800.0,,,,,,14.858,,,,,,,,,,,,0.6802,,,,,
2008-12-26,24.99,26.08,24.99,16.82,15700,-12089.5052,,,,,,,,,,,,0.1836,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,146100.0,,,,,,14.9575,,,,,,,,,,,,0.8299,,,,,
2009-01-02,25.11,27.13,24.96,17.16,56600,-36342.9221,,,,,,,,,,,,0.2166,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,202700.0,,,,,,15.056,,,,,,19.7713,18.3155,,,,,1.4557,,,,,
2009-01-09,25.38,26.45,25.15,16.94,122100,-140005.6339,,,,,,,,,,,,-0.1002,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,80600.0,,,,,,15.1535,,,,,,23.6811,32.2337,,,,,0.8707,,,,,
2009-01-16,26.0,26.0,24.4,16.61,43700,-164538.9673,,,,,,,,,,,,-0.7807,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,36900.0,,,,,,15.25,,,,21.5273,21.1295,21.1295,12.8393,,,,,1.0706,,,,,
2009-01-23,24.49,25.15,23.8,16.8,19500,-147927.8561,-65256.8406,,,,,,,,,,,0.4148,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,56400.0,,,,,,15.3456,,,,24.1158,27.5369,27.5369,37.5375,,,,,0.9056,,,,,
2009-01-30,24.34,24.94,24.04,16.33,21200,-154994.5228,-59743.4051,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,1.0164,,35200.0,,,6.6383,,,15.4402,,,,23.6213,22.1977,22.1977,16.2162,,,,,0.6775,,,,,
2009-02-06,25.27,25.27,23.43,16.48,44000,-144472.7837,-48708.864,,,,,,,,,,,-0.3804,,,,,16.5424,,,,,,,,,,0,,,,,,,,,,,,,,0.0237,,79200.0,,,0.1439,,,15.5339,,,,26.7451,30.5007,30.5007,37.7483,,,,,1.2343,,,,,
2009-02-13,26.1,26.1,24.01,16.29,19400,-158860.3435,-44344.5149,,,,,,,,,,,-0.8708,,,,,16.5031,,,,,,,,,,0,,,,,,,,,,,,,,0.0425,,59800.0,,,0.2619,,,15.6266,,,,27.0994,28.5999,28.5999,31.8352,,,,,1.402,,,,,
