date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,40.0,40.38,37.56,26.81,4932800,-979563.1206,,,,,,,,,,,,-0.4645,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,4932800.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,38.63,39.94,37.0,25.64,2403400,-3382963.1206,,,,,,,,,,,,-0.5544,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2529400.0,,,,,,27.9842,,,,,,,,,,,,2.0375,,,,,
1999-11-26,36.88,38.25,36.5,25.82,2585500,-3752320.2634,,,,,,,,,,,,0.2114,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,5114900.0,,,,,,27.9608,,,,,,,,,,,,1.2128,,,,,
1999-12-03,37.0,37.0,34.75,24.78,3262300,-4114798.0412,,,,,,,,,,,,-0.5556,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1852600.0,,,,,,27.9075,,,,,,,,,,,,1.7326,,,,,
1999-12-10,35.81,35.81,34.31,24.26,2151700,-4286934.0412,,,,,,,,,,,,-0.54,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-299100.0,,,,,,27.7927,,,,,,,,,,,,1.0395,,,,,
1999-12-17,34.75,38.19,33.5,26.29,3686200,-993719.1158,,,,,,,,,,,,0.6802,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3387100.0,,,,,,27.6321,,,,,,,,,,,,3.2503,,,,,
1999-12-23,38.0,40.25,37.94,27.81,4396800,2946270.4946,,,,,,,,,,,,0.9221,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,7783900.0,,,,,,23.2162,,,,,,59.5112,98.2222,,,,,1.6009,,,,,
1999-12-31,40.38,41.06,39.63,27.72,2348700,1812981.6834,,,,,,,,,,,,-0.2657,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,5435200.0,,,,,,23.2162,,,,,,84.3817,85.9788,,,,,0.991,,,,,
2000-01-07,39.38,42.75,38.0,29.63,9317700,11130681.6834,,,,,,,,,,,,0.7095,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,14752900.0,,,,,,23.321,,,,79.5422,94.7337,94.7337,100.0,,,,,3.2919,,,,,
2000-01-14,33.0,34.75,27.38,20.75,22657800,4213442.8774,3253940.9846,,,,,,,,,,,-0.4152,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-7904900.0,,,,,,29.6267,,,,82.2201,67.5449,67.5449,16.6558,,,,,10.6517,,,,,
2000-01-21,29.25,29.38,25.06,17.71,6855500,-1055135.8263,688973.887,,,,,,,,,,,-0.8542,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,-9.0994,,-14760400.0,,,-33.9364,,,29.6267,,,,67.3687,39.8274,39.8274,2.8265,,,,,3.3819,,,,,
2000-01-28,25.75,27.25,22.75,17.94,9452100,2641685.507,753296.5089,,,,,,,,,,,0.0289,,,,,24.5959,,,,,,,,,,0,,,,,,,,,,,,,,-7.7064,,-5308300.0,,,-30.0541,,,29.3815,,,,39.6944,11.7108,11.7108,15.65,,,,,3.1186,,,,,
2000-02-04,25.88,27.63,24.94,18.84,4511900,5677573.6111,1677093.2047,,,,,,,,,,,0.487,,,,,23.7109,,,,,,,,,,0,,,,,,,,,,,,,,-6.9718,,-796400.0,,,-27.0067,,,28.973,,,,21.699,13.5588,13.5588,22.2,,,,,1.8642,,,,,
2000-02-11,27.06,28.44,23.44,16.59,4973400,1698853.6111,636590.6525,,,,,,,,,,,-0.624,,,,,22.6155,23.6132,,,,,,,,,0,,,,,,,,,,,23.1088,22.6964,,-8.1846,,-5769800.0,,,-33.035,,,28.5768,,,,13.7306,15.9222,15.9222,9.9167,,,,,3.4651,24.6937,,,-94.05,22.0149
2000-02-18,23.69,24.94,22.69,15.72,5862300,-4163446.3889,-1712218.6327,,,,100.0,57.1429,-42.8571,2.7998,,,,-0.4444,,-45.045,,47.9516,21.5554,22.5614,,,,,,,,,0,16.4933,,,,,,,,,33.981,22.6757,22.6757,36.6765,-8.5311,17.8052,-11632100.0,12.9025,,-35.1714,0.5865,27.4775,28.1925,,,,13.3955,10.7056,10.7056,0.0,,,,,1.5593,23.904,,,-100.0,20.9631
2000-02-25,22.75,23.19,21.38,14.82,5343500,-9506946.3889,-4217643.4646,,,,100.0,50.0,-50.0,2.6894,,,,-0.7569,,-47.1443,,50.6189,20.5187,21.5288,,,,,,,,,0,16.3083,,,,,,,,,33.6506,22.2217,22.2217,37.9502,-11.4764,18.1511,-16975600.0,12.4422,,-43.6479,0.5778,26.4278,27.6938,,,,9.9778,3.3056,3.3056,0.0,,,,,1.2544,22.8337,,,-100.0,19.8958
2000-03-03,21.63,24.38,20.69,16.5,5108200,-5976889.4783,-3735967.9275,,,,100.0,42.8571,-57.1429,2.68,,,,0.5908,,-36.7117,,43.4285,19.9005,20.8584,,,,,,,,,0,16.3235,,,,,,,,,37.7153,22.2217,21.9826,35.1933,-11.3101,16.2415,-11867400.0,13.8811,,-40.6678,0.6392,31.6441,27.0499,,,,9.1435,13.4194,13.4194,40.2581,,,,,2.5572,21.6163,,,-85.8568,19.1562
2000-03-10,23.69,23.81,21.56,14.94,4892100,-10868989.4783,-4755862.6689,,,,92.8571,35.7143,-57.1429,2.5999,,,,-0.9467,,-40.8907,,43.4285,19.1376,20.0695,,,,,,,,,0,16.2081,,,,,,,,,37.8234,22.2217,21.9826,33.5909,-12.7793,17.4007,-16759500.0,13.249,,-46.1,0.6031,29.5547,26.2872,,,,11.2954,17.1613,17.1613,11.2258,,,,,1.5593,20.4399,,,-96.0562,18.2974
2000-03-17,21.56,27.5,21.5,17.94,5793900,-8203795.4783,-3892724.9114,,,,85.7143,28.5714,-57.1429,2.7112,,,,0.72,,-23.9656,,22.4124,18.9527,19.7849,,,,,,,,,0,16.2748,,,,,,,,,42.0913,22.2217,21.9826,29.7066,-11.6913,15.1166,-10965600.0,18.8286,,-39.462,0.7394,38.0172,25.5703,,,,24.3819,42.5651,42.5651,76.2115,,,,,4.1581,19.3896,,,-76.4733,17.9314
2000-03-24,25.13,30.88,24.5,21.22,5179700,-3446265.3843,-1671979.4433,,,,78.5714,21.4286,-57.1429,2.8334,11.9188,21.5862,31.2536,0.8605,-25.4174,-8.5563,,6.9533,19.3015,19.9763,,,,,,,,,0,16.411,,,,,,,,,42.3774,22.2217,21.9826,26.2328,0.4713,13.3522,-5785900.0,22.8219,,2.2712,0.8071,45.7218,24.8964,,21.5862,,40.4517,61.6286,61.6286,97.4485,,,,,4.4215,18.4946,,,-54.9864,18.0636
2000-03-31,30.5,33.25,28.88,22.35,8557600,1194812.8766,865212.1897,,,,71.4286,14.2857,-57.1429,2.8473,11.9869,21.3631,30.7392,0.4005,8.6993,-3.779,,2.358,19.7705,20.2928,,,,,,,,,0,16.5933,,,,,,,,,44.2914,22.2217,21.9826,24.1498,4.6363,12.7397,2771700.0,25.3162,,26.1737,0.8036,48.1105,24.263,,21.3631,,64.2532,88.566,88.566,92.0382,100.0,100.0,,,3.0285,17.8355,,,-47.5975,18.3948
2000-04-07,32.25,32.5,29.25,20.27,3891000,-2696187.1234,586453.1132,,,,64.2857,7.1429,-57.1429,2.8048,11.9184,21.0945,30.2706,-0.9231,0.2769,-11.4987,,2.358,19.8475,20.2899,,,,,,,,,0,16.7493,,,,,,,,,40.6838,22.2217,21.9826,22.7057,2.3355,13.8367,-1119300.0,23.8024,,13.0216,0.7312,44.2507,23.6675,,21.0945,,78.4476,85.148,85.148,65.9574,93.0663,79.1989,,,2.2523,17.4579,,,-61.1967,18.5007
2000-04-14,29.31,29.44,25.5,17.8,5213000,-7406410.4737,-1079606.0398,,,,57.1429,0.0,-57.1429,2.7995,11.679,20.694,29.7089,-0.9188,-36.8614,-19.7287,,11.7421,19.5331,19.9584,,,,,,,,,0,16.8351,,,,,,,,,30.0061,18.5834,19.2105,27.9537,-1.0395,15.7243,-6332300.0,22.0788,,-5.5167,0.6009,40.1357,23.1078,,20.694,,79.4219,64.5517,64.5517,35.6596,66.7292,20.9888,,,2.7305,17.3479,,,-64.4381,18.3486
2000-04-20,24.88,26.38,24.44,18.11,5412200,-3389107.3809,-384796.8874,,,,50.0,0.0,-50.0,2.6956,11.482,20.3606,29.2392,0.6443,-47.7353,-18.2648,,15.2941,19.3139,19.7118,,,,,,,,,0,16.8571,,,,,,,,,37.9277,18.5834,18.6908,28.9404,1.5177,14.8856,-920100.0,21.2623,,9.1479,0.8727,40.8676,22.5816,,20.3606,,63.3221,40.2666,40.2666,19.1827,36.4552,9.1779,,,1.3445,17.5311,,,-56.6879,18.3498
2000-04-28,25.81,28.06,25.63,18.75,5455300,-2423766.2286,241578.7586,,,,42.8571,71.4286,28.5714,2.6233,11.3672,20.0855,28.8038,0.5144,-27.3002,-15.0627,,7.8834,19.2276,19.5839,,,,,,,,,0,16.8738,,,,,,,,,45.6724,18.5834,18.6908,27.5654,3.0285,13.9887,4535200.0,23.5369,,19.2596,1.0587,42.4687,22.087,,20.0855,,44.3374,28.1938,28.1938,29.7389,19.8071,29.2547,,,1.684,17.8582,,,-49.2834,18.4621
2000-05-05,27.13,30.13,26.0,20.49,4787700,1042389.4615,1578729.3553,,,-2.8919,35.7143,64.2857,28.5714,2.6404,11.5491,19.7951,28.0411,0.5884,1.4031,-6.6991,,0.595,19.4212,19.7042,21.1345,,,,,,,,0,16.9366,,,,,,,,,54.9872,18.5834,18.6908,25.3601,5.6689,12.8889,9322900.0,25.6637,-13.6831,38.2601,1.1422,46.6505,21.6221,,19.7951,,35.314,37.4818,37.4818,63.5236,46.1442,100.0,,,2.8622,18.2803,,,-29.379,18.7955
2000-05-12,29.38,33.0,29.25,22.56,4215600,4268728.6615,3008787.1307,,,-2.1585,28.5714,57.1429,28.5714,2.6374,12.0225,19.5328,27.0431,0.848,61.687,2.463,19.5984,11.0343,19.9048,20.0856,21.2404,,,,,,,,0,17.077,,,,,,,,,55.2884,18.6908,18.6908,23.5201,6.0639,11.6882,13538500.0,29.3545,-10.2925,36.7493,1.1975,51.2315,14.3386,,19.5328,,42.7943,62.7074,62.7074,94.8598,76.4182,100.0,,,2.5988,18.7264,,,-5.4936,19.3818
2000-05-19,32.56,34.81,32.0,22.87,3712700,3198519.7647,2979763.6507,20.2154,,-1.3808,21.4286,100.0,78.5714,2.5881,12.583,19.2902,25.9975,0.1566,108.9262,3.7682,20.3563,16.9574,20.361,20.4568,21.3611,,,,,,,,0,17.3998,,,,,,,,,61.5846,18.8432,19.2313,22.2192,7.9282,11.3169,17251200.0,31.2936,-6.6177,53.0612,1.3784,51.8841,14.4239,,19.2902,,60.1663,80.3097,80.3097,82.5458,100.0,100.0,,,1.9474,19.1394,,,-12.8187,19.9733
2000-05-26,33.0,35.81,33.0,24.26,3410100,4642654.6401,3156500.2646,20.2087,,-0.6745,14.2857,100.0,85.7143,2.5424,13.7055,19.0217,24.3379,0.7117,160.2369,9.6841,21.3152,20.1216,20.9602,20.9633,21.5755,,,,,,,,0,17.9854,,,,,,,,,68.2099,19.5363,19.5778,20.9701,6.3204,10.4815,20661300.0,31.535,-3.2423,35.2396,1.5425,54.8421,14.6179,,19.0217,,77.6112,89.8163,89.8163,92.0432,100.0,100.0,,,1.9474,19.5207,,59.1002,-5.3571,20.6898
2000-06-02,34.88,36.94,34.75,25.34,2155900,6050388.4301,3389762.334,20.4553,,0.1701,7.1429,100.0,92.8571,2.4692,13.2987,19.2511,25.2035,0.7671,168.9268,14.119,22.3568,23.6613,21.6335,21.5465,21.8541,,,,,,,,0,18.8512,,,,,,,,,73.6658,20.1392,19.9694,20.0252,4.1165,9.7454,22817200.0,32.439,0.817,19.3991,1.71,57.0595,14.9239,,19.2511,,86.8326,90.3718,90.3718,96.5265,100.0,100.0,,,1.5177,19.9553,,67.9271,-2.3385,21.4692
2000-06-09,36.44,36.69,34.5,24.69,3049000,6147845.0511,3208036.4387,20.592,,0.7164,0.0,92.8571,92.8571,2.4012,13.2445,19.6,25.9555,-0.3699,134.5244,10.6313,23.0317,22.3693,22.1041,21.9659,22.0644,,,,,,,,0,19.349,,,,,,,,,67.8711,20.1392,20.2501,19.6268,2.3424,9.7245,19768200.0,30.9378,3.4373,10.4806,1.4964,55.3157,15.3509,,19.6,,90.2332,90.5115,90.5115,82.9649,90.026,70.0781,,,1.5177,20.4541,,65.2456,-8.4845,22.0625
2000-06-16,35.75,36.75,35.25,24.82,3951600,5146773.0511,2523531.4416,20.7339,,1.0729,7.1429,85.7143,78.5714,2.304,13.2502,19.9441,26.638,0.04,122.3667,11.197,23.5993,22.5784,22.5215,22.3461,22.2683,,,,,,,,0,20.0501,,,,,,,,,74.0223,21.5703,20.2501,18.979,4.5462,9.2837,23719800.0,30.0486,5.1618,22.4274,1.6609,55.5985,15.7609,,19.9441,,88.8075,85.539,85.539,77.1255,80.6161,71.7704,,,1.0395,21.0326,,65.2282,-7.3187,22.5944
2000-06-23,35.56,35.75,31.31,22.35,4462000,2574088.3664,1195513.2303,19.4649,,1.283,0.0,78.5714,78.5714,2.3621,13.3666,20.1194,26.8723,-0.7455,66.753,-2.0137,23.4331,2.9682,22.4951,22.3466,22.2743,15.6467,,3.0613,1.4268,,,,0,20.1414,,,,,,,0.1949,3.8483,66.4852,21.5703,21.2688,25.5875,4.5462,10.5689,19257800.0,27.1529,6.2353,25.5352,1.2461,48.9932,16.1545,,20.1194,,78.3265,58.9289,58.9289,16.6963,47.2828,0.0,,,3.1186,21.5762,,55.2,-37.52,22.7033
