date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2021-04-23,60.0,62.95,55.7,58.5,13380547,-3056563.8765,,,,,,,,,,,,-0.207,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,13380547.0,,,,,,,,,,,,,,,,,,,,,,,
2021-04-30,58.77,61.11,57.65,58.01,2313034,-4888272.8822,,,,,,,,,,,,-0.2197,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,11067513.0,,,,,,55.705,,,,,,,,,,,,3.46,,,,,
2021-05-07,58.53,60.41,54.72,57.26,3922270,-5308762.2847,,,,,,,,,,,,-0.2232,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,7145243.0,,,,,,61.11,,,,,,,,,,,,5.69,,,,,
2021-05-14,59.21,59.21,49.41,57.26,7027414,-1078431.7233,,,,,,,,,,,,-0.199,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,7145243.0,,,,,,61.11,,,,,,,,,,,,9.8004,,,,,
2021-05-21,56.17,70.17,55.82,68.35,4603785,2357212.9172,,,,,,,,,,,,0.8491,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,11749028.0,,,,,,49.41,,,,,,,,,,,,14.3449,,,,,
2021-05-28,68.42,75.18,66.52,74.31,4369243,5848571.065,,,,,,,,,,,,0.6801,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,16118271.0,,,,,,49.41,,,,,,,,,,,,8.66,,,,,
2021-06-04,74.25,74.72,67.67,74.36,2390652,7995071.3714,,,,,,,,,,,,0.0156,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,18508923.0,,,,,,49.9254,,,,,,94.8919,96.818,,,,,7.05,,,,,
2021-06-11,74.2,82.51,72.22,82.42,4773481,12685051.2461,,,,,,,,,,,,0.7988,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,23282404.0,,,,,,50.4305,,,,,,97.7234,99.7281,,,,,10.29,,,,,
2021-06-18,82.5,90.03,80.3,88.21,6802855,16944051.3633,,,,,,,,,,,,0.5866,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,30085259.0,,,,,,51.3929,,,,96.5634,97.0751,97.0751,94.6791,,,,,9.7342,,,,,
2021-06-25,88.0,88.0,77.59,84.86,3516302,18339087.6034,7813455.3497,,,,,,,,,,,-0.3016,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,26568957.0,,,,,,52.9384,,,,95.2013,90.8055,90.8055,78.0094,,,,,10.62,,,,,
2021-07-02,85.31,86.46,69.41,72.07,5846288,14316978.6157,5963656.8398,,,,,,,,,,,-0.7765,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,13.57,,20722669.0,,,23.1966,,,54.422,,,,84.0009,64.1222,64.1222,19.678,,,,,17.05,,,,,
2021-07-09,72.02,72.15,63.95,66.18,3282534,12819757.5482,4188381.9425,,,,,,,,,,,-0.7122,,,,,70.1492,,,,,,,,,,0,,,,,,,,,,,,,,8.17,,17440135.0,,,14.0838,,,55.8463,,,,63.4468,35.4127,35.4127,8.5506,,,,,8.2003,,,,,
2021-07-16,66.55,69.67,59.43,60.75,3340844,10340224.892,2292428.9173,,,,,,,,,,,-0.5664,,,,,68.7031,,,,,,,,,,0,,,,,,,,,,,,,,3.49,,14099291.0,,,6.095,,,57.2137,,,,36.7941,10.8474,10.8474,4.3137,,,,,10.24,,,,,
2021-07-23,59.98,64.85,58.15,63.35,3289256,12160034.9055,1887439.6006,,,,,,,,,,,0.5033,,,,,67.8796,68.9921,,,,,,,,,0,,,,,,,,,,,72.735,69.72,,6.09,,17388547.0,,,10.6357,,,90.03,,,,18.785,10.0949,10.0949,17.4204,,,,,6.6956,72.9579,,,-65.6819,70.9419
2021-07-30,63.5,66.39,60.0,61.47,2368824,10881228.8357,1143283.8943,,,,21.4286,57.1429,35.7143,9.1589,,,,-0.3177,,4.6312,,4.0364,66.8935,67.9892,,,,,,,,,0,63.3339,,,,,,,,,47.1715,72.735,69.72,23.6068,-6.88,14.8998,15019723.0,25.5927,,-10.0658,1.0508,52.3156,89.7112,,,,10.6987,11.1538,11.1538,11.7273,,,,,6.3892,73.83,,,-70.3102,69.939
2021-08-06,62.02,64.36,56.58,58.65,2825756,9559152.7637,314261.092,,,,14.2857,50.0,35.7143,9.0604,,,,-0.4332,,-0.0996,,2.0957,65.6253,66.744,,,,,,,,,0,63.3108,,,,,,,,,46.7891,72.735,69.72,24.9401,-15.66,15.4483,12193967.0,23.9162,,-21.0739,1.011,49.9502,89.3956,,,,11.7987,14.1474,14.1474,13.2945,,,,,7.78,73.7471,,,-77.2526,68.5317
2021-08-13,59.34,63.45,55.34,56.46,5951553,5251431.9117,-1424092.2429,,,,7.1429,42.8571,35.7143,8.9925,,,,-0.3551,,-3.7397,,4.2982,64.2152,65.3728,,,,,,,,,0,63.2757,,,,,,,,,45.4196,72.335,69.72,24.279,-17.9,15.9272,6242414.0,22.2779,,-24.0721,0.986,48.1302,88.7393,,,,12.0824,10.9459,10.9459,7.8158,,,,,8.11,72.6179,,,-82.644,66.8264
2021-08-20,56.37,70.33,54.62,69.97,7846397,12738223.193,376387.0044,,,,0.0,35.7143,35.7143,9.4723,,,,0.8657,,16.4781,,8.0605,65.1006,65.9857,,,,,,,,,0,63.4439,,,,,,,,,55.9976,72.335,72.325,21.2433,-12.45,13.5377,14088811.0,24.9681,,-15.1056,1.222,58.2391,87.7373,,,,21.5665,39.6063,39.6063,97.7085,,,,,15.71,70.9582,,,-56.6507,66.93
2021-08-27,70.57,77.03,68.73,74.2,5383350,14454794.712,1624911.543,,,,92.8571,28.5714,-64.2857,9.3882,,,,0.4376,,21.6283,,18.2161,66.5005,67.081,,,,,,,,,0,63.5783,,,,,,,,,56.9632,72.335,72.325,19.8332,-14.01,12.6526,19472161.0,28.6683,,-15.8826,1.0856,60.8141,86.4126,,,,38.2858,64.3051,64.3051,87.3912,,,,,8.295,69.1773,,,-44.7049,67.4766
2021-09-03,74.28,79.67,68.8,77.98,7882641,19885490.5445,3715901.0243,,,,85.7143,21.4286,-64.2857,9.4938,48.7378,68.231,87.7242,0.3405,68.314,26.0184,,21.8872,68.2666,68.5342,,,,,,,,,0,63.7084,,,,,,,,,59.5442,72.335,72.325,18.135,-6.88,12.1747,27354802.0,28.2978,,-8.1075,1.0494,63.0092,85.1409,,68.231,,65.5653,92.7844,92.7844,93.2535,,,,,10.8662,67.7429,,,-34.0299,68.4714
2021-09-10,77.57,80.22,67.91,77.38,7900392,24140535.1391,5587374.4537,,,,78.5714,14.2857,-64.2857,9.695,49.8302,69.175,88.5198,-0.0154,58.3663,24.8232,,19.9281,69.6686,69.7136,,,,,,,,,0,63.8178,,,,,,,,,51.2355,72.335,72.325,17.1065,5.31,12.529,19454410.0,25.6213,,7.3678,1.0406,62.4116,83.9201,,69.175,,82.3133,89.8503,89.8503,88.9062,98.6612,95.9835,,,12.31,66.8011,,,-35.7244,69.3513
2021-09-17,77.56,77.74,70.24,72.75,6945171,21843998.5951,5114317.915,,,,71.4286,7.1429,-64.2857,9.5382,51.2124,69.912,88.6116,-0.6413,39.3996,15.7034,,19.9281,70.1427,70.1185,,,,,,,,,0,64.0142,,,,,,,,,42.7121,72.335,72.325,16.1069,6.57,13.1109,12509239.0,24.1242,,9.9275,0.8827,57.8517,82.7481,,69.912,,88.9871,84.3267,84.3267,70.8203,65.3278,0.0,,,7.5,66.2573,,,-48.7998,69.5851
2021-09-24,70.59,80.75,69.34,79.47,5326401,25975343.8054,5770375.7238,,,,64.2857,0.0,-64.2857,9.6719,52.8291,71.0225,89.2159,0.7783,59.5166,24.3433,,24.6577,71.5777,71.3653,,,,,,,,,0,64.3139,,,,,,,,,40.6859,70.66,71.31,14.6997,18.72,12.1705,17835640.0,24.3213,,30.8148,0.9009,62.1717,81.6229,,71.0225,,85.8099,83.2526,83.2526,90.0312,59.9146,83.7605,,,11.41,66.4595,,,-25.5542,70.807
