date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_12_ema,ema_26_ema,ema_5_ema,mfi_14_mfi,mom_10_mom,rsi_14_rsi,sar_14_sar,sma_100_sma,sma_20_sma,sma_50_sma,sma_8_sma,stochrsi_14_fastd,stochrsi_14_fastk
2014-10-10,20.23,20.23,18.95,15.57,33574,,,,,,,,,,,,,,,,,,
2014-10-17,18.89,19.01,18.44,15.51,23267,,,,,,,,,,,,16.6264,,,,,,
2014-10-24,18.98,19.73,18.98,16.22,27596,,,,,,,,,,,,16.6117,,,,,,
2014-10-31,19.74,20.34,19.58,16.71,24900,,,,,,,,,,,,15.1561,,,,,,
2014-11-07,20.44,20.53,20.15,16.58,6778,,,,,,,,16.1167,,,,15.1717,,,,,,
2014-11-14,20.39,20.75,20.34,17.05,7076,,,,,,,,16.4283,,,,15.2057,,,,,,
2014-11-21,20.7,20.75,20.24,16.77,7068,,,,,,,,16.5436,,,,15.2611,,,,,,
2014-11-28,20.49,20.72,20.45,17.02,12114,,,,,,,,16.7024,,,,15.3328,,,,16.4287,,
2014-12-05,20.7,20.7,20.12,16.72,5045,,,,,,,,16.7072,,,,15.4017,,,,16.5716,,
2014-12-12,20.32,20.32,19.72,16.49,6538,,,,,,,,16.6337,,,,15.4677,,,,16.6938,,
2014-12-19,19.96,20.49,19.28,16.82,3858,,,,,,,,16.697,,1.2501,,15.5312,,,,16.7698,,
2014-12-26,20.67,20.96,20.66,17.21,3569,,,,,,16.5555,,16.8677,,1.7004,,15.5921,,,,16.8324,,
2015-01-02,20.81,20.83,20.28,16.7,6972,,,,,,16.5778,,16.812,,0.4848,,15.6738,,,,16.8478,,
2015-01-09,20.31,20.5,19.81,16.77,5556,,,,,,16.608,,16.7994,,0.0657,,15.7514,,,,16.8132,,
2015-01-16,20.3,20.37,19.69,16.18,3363,,0.5254,,,,16.5424,,16.5936,60.231,-0.3953,56.3035,15.8252,,,,16.7391,,
2015-01-23,19.8,21.03,19.8,17.21,13824,,0.5666,,,,16.6454,,16.7996,74.1264,0.1603,64.4711,15.8952,,,,16.7631,,
2015-01-30,21.28,21.28,20.0,16.82,14408,,0.6013,,,,16.6728,,16.8076,59.5776,0.0493,59.927,15.9786,,,,16.7764,,
2015-02-06,20.12,21.47,20.12,17.65,11648,,0.6376,,,,16.8225,,17.0869,54.913,0.6255,65.4785,16.0843,,,,16.9213,,
2015-02-13,21.34,21.9,21.12,17.94,2821,,0.6378,,,,16.9949,,17.3723,53.2978,1.2263,67.2474,16.2092,,,,17.0612,,
2015-02-20,22.04,22.37,21.9,18.39,2926,,0.6238,15.4714,16.8166,18.1618,17.2088,,17.7099,51.4601,1.8984,69.7294,16.3703,,16.8166,,17.2082,,
2015-02-27,22.36,22.61,22.14,18.21,30197,,0.6071,15.5992,16.9485,18.2979,17.3632,,17.8775,66.9959,1.389,67.5774,16.5718,,16.9485,,17.3972,92.6818,78.0455
2015-03-06,22.53,22.53,21.82,17.93,9820,,0.6054,15.8283,17.0697,18.3112,17.4509,,17.8961,58.0712,0.7241,64.1249,16.793,,17.0697,,17.5421,59.3485,0.0
2015-03-13,21.94,21.94,21.37,17.7,7954,,0.5956,15.9385,17.1441,18.3497,17.4897,,17.8317,56.5393,1.0027,61.3455,16.9898,,17.1441,,17.7323,26.0152,0.0
2015-03-20,21.67,23.0,21.6,18.36,9661,,0.6388,15.929,17.2267,18.5245,17.6237,,18.008,62.7435,1.5862,65.8941,17.165,,17.2267,,17.8759,18.0848,54.2544
2015-03-27,22.48,22.48,21.5,17.97,7867,,0.6507,15.9962,17.2962,18.5961,17.6763,,17.994,57.8418,1.7842,61.2369,17.3736,,17.2962,,18.0187,18.0848,0.0
2015-04-02,21.89,22.17,21.6,17.82,5156,,0.6377,16.0206,17.3345,18.6485,17.6982,17.0894,17.9354,54.4423,0.6066,59.5398,17.5571,,17.3345,,18.0402,18.0848,0.0
2015-04-10,21.68,22.59,21.68,18.53,5292,,0.6456,16.0368,17.4224,18.8081,17.8266,17.1964,18.1347,59.1159,1.7095,64.6451,17.6702,,17.4224,,18.114,26.7814,80.3443
2015-04-17,22.72,22.94,22.1,18.39,18530,21.344,0.6489,16.0574,17.4907,18.9241,17.9126,17.2844,18.2182,66.7124,0.7397,62.8771,17.7524,,17.4907,,18.114,44.2884,52.5211
2015-04-24,22.67,23.42,22.54,19.01,12882,22.8771,0.6641,16.0739,17.6056,19.1372,18.082,17.4126,18.4835,70.9999,1.0709,67.007,17.8181,,17.6056,,18.2142,77.6218,100.0
2015-05-01,23.43,23.43,22.21,18.4,13603,23.6421,0.6882,16.2229,17.7013,19.1797,18.1312,17.4858,18.4562,62.0499,0.0165,60.0059,18.0041,,17.7013,,18.2727,52.921,6.242
2015-05-08,22.46,22.59,22.02,18.57,3722,23.9761,0.6725,16.3219,17.7884,19.255,18.1981,17.5658,18.4928,66.241,0.3534,61.1785,19.2564,,17.7884,,18.3806,40.9973,16.7498
2015-05-15,22.65,22.95,22.17,18.86,4571,24.6621,0.6702,16.3588,17.8711,19.3833,18.3002,17.6618,18.6159,64.6609,0.9287,63.2664,19.2564,,17.8711,,18.4433,23.1878,46.5716
2015-05-22,22.91,23.39,22.91,19.2,8924,25.717,0.6505,16.4784,17.996,19.5136,18.4385,17.7757,18.8102,66.2956,1.4958,65.5395,19.2448,,17.996,,18.5974,47.4535,79.0391
2015-05-29,23.36,23.47,23.13,19.01,7515,26.7699,0.624,16.638,18.1078,19.5775,18.5264,17.8671,18.8768,67.4257,0.6493,63.1777,18.0976,,18.1078,,18.7463,60.9765,57.3188
2015-06-05,23.3,23.59,23.11,19.25,12101,27.8609,0.6078,17.0019,18.2613,19.5207,18.6381,17.9697,19.0019,63.0085,1.2863,64.9237,18.1095,,18.2613,,18.8362,74.0787,85.8781
2015-06-12,23.4,23.54,23.0,19.22,5188,28.6196,0.5961,17.1336,18.3615,19.5894,18.727,18.0621,19.0733,65.1733,1.3979,64.4329,18.1351,,18.3615,,18.9401,65.4479,53.1468
2015-06-19,23.34,23.89,23.3,19.59,8342,29.6755,0.5876,17.378,18.4996,19.6212,18.859,18.1749,19.244,71.608,1.052,67.1608,18.1601,,18.4996,,19.0115,79.675,100.0
2015-06-26,24.04,24.04,23.27,19.18,27959,30.8052,0.5908,17.4894,18.5764,19.6635,18.9088,18.2495,19.2235,55.2335,0.7972,61.6076,18.2043,,18.5764,,19.1091,51.0489,0.0
2015-07-02,23.0,23.25,22.72,18.87,17785,30.562,0.585,17.5691,18.6228,19.6765,18.9028,18.2955,19.1057,51.4979,-0.1438,57.6281,18.2664,,18.6228,,19.1471,33.3333,0.0
2015-07-10,22.74,23.09,22.25,18.94,19604,29.402,0.5926,17.5942,18.6503,19.7065,18.9079,18.3429,19.0491,46.9946,0.5342,58.2397,19.7578,,18.6503,,19.1564,2.1385,6.4156
2015-07-17,23.15,23.98,23.15,19.6,18504,29.3842,0.6054,17.6067,18.7198,19.8328,19.0146,18.4362,19.2333,51.0874,1.0356,63.9183,19.7431,,18.7198,,19.2067,24.1336,65.9853
2015-07-24,23.99,24.19,23.69,19.71,9590,29.581,0.5915,17.6777,18.8085,19.9393,19.1213,18.5303,19.3914,48.7801,0.8457,64.7406,18.2866,,18.8085,,19.2939,57.467,100.0
2015-07-31,23.94,23.94,23.4,19.5,11802,29.2071,0.5833,17.8504,18.8985,19.9466,19.18,18.6024,19.4286,41.461,0.3041,61.8122,18.3026,,18.8985,,19.3253,74.9378,58.8281
2015-08-07,23.89,23.89,23.18,19.21,7015,28.4517,0.5833,17.9149,18.9408,19.9667,19.1842,18.6472,19.3548,43.0314,0.1972,57.7455,18.3183,,18.9408,,19.3241,52.9427,0.0
2015-08-14,23.9,23.9,23.0,19.23,6284,27.4205,0.5945,18.075,19.0041,19.9333,19.1915,18.6905,19.3138,42.3192,-0.0205,57.9935,18.334,,19.0041,,19.2799,20.7913,3.5457
2015-08-21,23.64,23.64,21.6,17.77,19206,26.4631,0.6718,18.0597,19.0016,19.9436,18.9726,18.6222,18.7988,36.5602,-1.4473,42.1751,19.881,,19.0016,,19.1032,1.1819,0.0
2015-08-28,20.2,22.32,20.2,18.33,15454,26.8597,0.7482,18.025,18.9914,19.9577,18.8734,18.6004,18.6417,30.6789,-1.2575,48.0085,19.8598,,18.9914,,19.0354,11.084,29.7062
2015-09-04,22.13,22.22,21.21,17.56,9310,27.2281,0.7588,17.8247,18.9499,20.075,18.6706,18.523,18.2795,26.4649,-1.6273,41.7398,19.7946,,18.9499,,18.8628,9.9021,0.0
2015-09-11,21.82,22.19,21.76,17.98,4440,27.5701,0.7533,17.6976,18.8983,20.099,18.5647,18.4829,18.1805,23.1808,-0.8876,45.9451,19.7307,,18.8983,,18.6605,18.5265,25.8733
2015-09-18,21.91,22.82,21.9,18.4,11197,26.8942,0.7547,17.6971,18.8981,20.0991,18.539,18.4766,18.2529,28.3292,-0.5382,49.7408,19.6682,,18.8981,17.9324,18.4967,41.9578,100.0
2015-09-25,22.5,22.5,21.47,17.72,7940,26.6839,0.7613,17.5554,18.8558,20.1561,18.413,18.4205,18.0752,23.8505,-1.882,44.2729,19.6068,,18.8558,17.9753,18.2738,52.5111,31.66
2015-10-02,21.31,21.66,20.7,17.78,26598,27.1497,0.7632,17.4188,18.8015,20.1842,18.3151,18.3729,17.9758,24.3721,-1.9306,44.8262,19.5467,,18.8015,18.0207,18.095,56.7453,38.5759
2015-10-09,22.01,22.28,21.7,18.25,3325,26.674,0.7469,17.3635,18.7539,20.1442,18.3044,18.3634,18.0657,28.4199,-1.2575,49.2515,19.4878,,18.7539,18.0613,17.9718,53.7622,91.0507
2015-10-16,22.14,22.27,21.8,18.3,1635,26.2323,0.7211,17.32,18.7185,20.117,18.3042,18.3589,18.1447,32.8895,-0.9045,49.7804,19.4301,,18.7185,18.0932,18.0385,76.5422,100.0
2015-10-23,22.38,22.6,21.94,18.57,5322,25.3433,0.7084,17.3068,18.6846,20.0624,18.3457,18.3749,18.2879,25.9936,-0.6575,52.3249,19.3735,,18.6846,18.1331,18.0693,97.0169,100.0
2015-10-30,22.87,22.92,22.46,18.84,7233,24.0648,0.6849,17.3074,18.6656,20.0239,18.4213,18.4091,18.471,24.4089,1.0684,54.7173,19.3181,,18.6656,18.1688,18.2296,100.0,100.0
2015-11-06,23.03,23.75,23.02,19.52,9200,22.8287,0.6847,17.3127,18.6624,20.012,18.5903,18.4914,18.8205,32.2025,1.1918,60.2843,16.6018,,18.6624,18.2237,18.4217,100.0,100.0
2015-11-13,23.6,23.88,22.58,18.57,11181,21.2534,0.7121,17.3031,18.6318,19.9605,18.5872,18.4972,18.7371,31.2293,1.0153,50.9077,16.631,,18.6318,18.2548,18.4433,70.2441,10.7324
2015-11-20,22.69,23.73,22.69,19.4,3113,19.7906,0.7278,17.2912,18.6581,20.0249,18.7117,18.5638,18.9568,34.4371,1.4136,57.1525,16.6909,,18.6581,18.3083,18.6528,59.1107,66.5998
2015-11-27,23.54,24.07,23.37,19.62,9716,18.7499,0.7169,17.2665,18.6922,20.1178,18.8511,18.6419,19.1772,45.1316,1.2203,58.6739,16.7496,,18.6922,18.371,18.883,53.3858,82.8253
2015-12-04,24.1,24.47,23.7,19.72,20018,18.258,0.7109,17.2561,18.6983,20.1406,18.9855,18.7221,19.3597,59.236,2.0052,59.4204,16.8406,,18.6983,18.429,19.0679,80.0707,90.787
2015-12-11,24.08,24.08,23.24,19.1,19530,17.163,0.7095,17.2877,18.668,20.0482,19.0032,18.7501,19.2733,54.455,1.3232,53.3491,16.9714,,18.668,18.4668,19.1676,67.4304,28.6788
