date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2017-04-21,22.05,23.95,21.85,23.0,3673459,349853.2381,,,,,,,,,,,,0.4524,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3673459.0,,,,,,,,,,,,,,,,,,,,,,,
2017-04-28,23.37,23.48,22.13,22.71,1670809,114702.3418,,,,,,,,,,,,-0.4889,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2002650.0,,,,,,21.85,,,,,,,,,,,,1.35,,,,,
2017-05-05,22.73,25.57,22.62,25.09,1458276,1098420.7282,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3460926.0,,,,,,21.8663,,,,,,,,,,,,2.95,,,,,
2017-05-12,25.39,25.82,23.76,24.2,1166741,430093.3593,,,,,,,,,,,,-0.5777,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2294185.0,,,,,,21.9404,,,,,,,,,,,,2.06,,,,,
2017-05-19,24.85,25.99,19.43,21.39,5325430,-1713067.4944,,,,,,,,,,,,-0.5274,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-3031245.0,,,,,,25.99,,,,,,,,,,,,6.56,,,,,
2017-05-26,20.94,23.45,19.85,23.32,3225858,1279811.8723,,,,,,,,,,,,0.6611,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,194613.0,,,,,,25.99,,,,,,,,,,,,3.6,,,,,
2017-06-02,23.31,23.35,21.08,21.56,1260591,552334.2468,,,,,,,,,,,,-0.7709,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-1065978.0,,,,,,25.99,,,,,,40.5488,32.4695,,,,,2.27,,,,,
2017-06-09,21.32,21.99,20.84,20.99,727237,15406.999,,,,,,,,,,,,-0.2879,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-1793215.0,,,,,,25.9244,,,,,,38.5163,23.7805,,,,,1.1464,,,,,
2017-06-16,21.07,21.34,20.06,20.74,634182,55043.374,,,,,,,,,,,,-0.2578,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-2427397.0,,,,,,25.8595,,,,34.8238,25.4065,25.4065,19.9695,,,,,1.28,,,,,
2017-06-23,20.63,21.34,20.29,20.89,605319,141517.5169,-72268.9669,,,,,,,,,,,0.2476,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-1822078.0,,,,,,25.7952,,,,29.3786,24.213,24.213,28.8889,,,,,1.05,,,,,
2017-06-30,21.08,21.36,20.78,21.08,736348,166908.8272,-51442.877,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,-1.92,,-1085730.0,,,-8.3478,,,25.7315,,,,25.4133,26.6205,26.6205,31.003,,,,,0.58,,,,,
2017-07-07,21.17,23.27,21.17,22.87,1143446,874756.351,186977.7244,,,,,,,,,,,0.8095,,,,,22.32,,,,,,,,,,0,,,,,,,,,,,,,,0.16,,57716.0,,,0.7045,,,25.6685,,,,33.3257,49.1436,49.1436,87.5389,,,,,2.19,,,,,
2017-07-14,23.21,23.97,22.87,23.87,851857,1571730.2601,489279.8757,,,,,,,,,,,0.6,,,,,22.5585,,,,,,,,,,0,,,,,,,,,,,,,,-1.22,,909573.0,,,-4.8625,,,25.6061,,,,49.253,71.9948,71.9948,97.4425,,,,,1.1,,,,,
2017-07-21,24.09,25.41,23.65,24.99,700491,1937896.0101,684976.2329,,,,,,,,,,,0.5114,,,,,22.9325,22.6214,,,,,,,,,0,,,,,,,,,,,22.915,22.71,,0.79,,1610064.0,,,3.2645,,,25.5443,,,,71.1326,92.2594,92.2594,91.7969,,,,,1.76,22.1386,,,-15.2439,22.5548
2017-07-28,24.99,25.48,24.47,25.35,941535,2637055.6636,925223.1567,,,,28.5714,28.5714,0.0,2.0647,,,,0.3564,,15.1711,,9.5931,23.3045,22.9852,,,,,,,,,0,24.9987,,,,,,,,,38.6231,23.045,22.71,18.4584,3.96,8.1449,2551599.0,22.3757,,18.5133,1.1022,57.5855,25.4832,,,,86.5818,95.4911,95.4911,97.234,,,,,1.01,22.1121,,,-9.7561,22.9186
2017-08-04,25.41,26.96,25.23,26.53,1438592,3362599.1679,1170249.5445,,,,21.4286,100.0,78.5714,2.0406,,,,0.6485,,21.6026,,21.0304,23.8007,23.4579,,,,,,,,,0,25.0631,,,,,,,,,46.7938,23.635,23.194,17.2653,3.21,7.6917,3990191.0,26.4611,,13.765,1.1682,60.8013,19.43,,,,93.8764,93.8788,93.8788,92.6054,,,,,1.727,22.225,,,-5.6854,23.4173
