date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2010-07-25,0.08,0.08,0.05,0.05,0,0.0,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2010-08-01,0.06,0.07,0.06,0.06,0,0.0,,,,,,,,,,,,0.3669,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.0,,,,,,0.0505,,,,,,,,,,,,0.0194,,,,,
2010-08-08,0.06,0.06,0.06,0.06,0,0.0,,,,,,,,,,,,0.1698,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.0,,,,,,0.0507,,,,,,,,,,,,0.0053,,,,,
2010-08-15,0.07,0.07,0.06,0.07,0,0.0,,,,,,,,,,,,-0.8769,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.0,,,,,,0.0509,,,,,,,,,,,,0.0101,,,,,
2010-08-22,0.07,0.07,0.07,0.07,0,0.0,,,,,,,,,,,,0.1111,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.0,,,,,,0.0513,,,,,,,,,,,,0.0047,,,,,
2010-08-29,0.06,0.06,0.06,0.06,0,0.0,,,,,,,,,,,,-0.9,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.0,,,,,,0.0517,,,,,,,,,,,,0.002,,,,,
2010-09-05,0.06,0.06,0.06,0.06,0,0.0,,,,,,,,,,,,-0.68,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.0,,,,,,0.0521,,,,,,45.7819,32.8571,,,,,0.005,,,,,
2010-09-12,0.06,0.06,0.06,0.06,0,0.0,,,,,,,,,,,,-0.037,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.0,,,,,,0.0524,,,,,,33.2756,13.6364,,,,,0.0027,,,,,
2010-09-19,0.06,0.06,0.06,0.06,0,0.0,,,,,,,,,,,,0.1351,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.0,,,,,,0.0528,,,,35.2558,26.71,26.71,33.6364,,,,,0.0037,,,,,
2010-09-26,0.06,0.06,0.06,0.06,0,0.0,0.0,,,,,,,,,,,-0.1429,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.0,,,,,,0.0532,,,,30.8033,32.4242,32.4242,50.0,,,,,0.0007,,,,,
2010-10-03,0.06,0.06,0.06,0.06,0,0.0,0.0,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.0106,,0.0,,,20.9901,,,0.0535,,,,32.8932,39.5455,39.5455,35.0,,,,,0.0011,,,,,
2010-10-10,0.06,0.1,0.06,0.1,0,0.0,0.0,,,,,,,,,,,1.0,,,,,0.0644,,,,,,,,,,0,,,,,,,,,,,,,,0.0354,,0.0,,,57.9378,,,0.0539,,,,44.5455,61.6667,61.6667,100.0,,,,,0.0354,,,,,
2010-10-17,0.1,0.1,0.09,0.1,0,0.0,0.0,,,,,,,,,,,0.6931,,,,,0.0702,,,,,,,,,,0,,,,,,,,,,,,,,0.0411,,0.0,,,67.4877,,,0.0552,,,,59.1238,76.1594,76.1594,93.4783,,,,,0.0101,,,,,
2010-10-24,0.1,0.12,0.1,0.12,0,0.0,0.0,,,,,,,,,,,0.7,,,,,0.0771,0.0707,,,,,,,,,0,,,,,,,,,,,0.0828,0.0828,,0.0497,,0.0,,,76.1103,,,0.0572,,,,78.5507,97.8261,97.8261,100.0,,,,,0.018,0.0666,,,-0.0,0.0781
2010-10-31,0.13,0.2,0.13,0.19,0,0.0,0.0,,,,0.0,100.0,100.0,0.0144,,,,0.9043,,91.8499,,89.5166,0.0949,0.087,,,,,,,,,0,0.1446,,,,,,,,,0.0,0.1267,0.1274,4.0277,0.1265,7.4991,0.0,72.8128,,191.6667,3.8119,95.925,0.0601,,,,90.0878,96.2779,96.2779,95.3556,,,,,0.0839,0.0713,,,-4.4787,0.0944
