date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2010-01-15,33.5,33.55,32.25,32.25,431100,-431100.0,,,,,,,,,,,,-0.9615,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,431100.0,,,,,,,,,,,,,,,,,,,,,,,
2010-01-22,32.25,32.25,31.5,31.5,20800,-451900.0,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,410300.0,,,,,,33.55,,,,,,,,,,,,0.75,,,,,
2010-01-29,31.1,31.25,30.5,30.63,119700,-530104.0,,,,,,,,,,,,-0.6267,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,290600.0,,,,,,33.5295,,,,,,,,,,,,1.0,,,,,
2010-02-05,30.25,30.5,29.75,30.5,40500,-489604.0,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,250100.0,,,,,,33.4689,,,,,,,,,,,,0.88,,,,,
2010-02-12,30.0,30.0,29.1,29.74,194800,-407355.1111,,,,,,,,,,,,-0.2889,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,55300.0,,,,,,33.3573,,,,,,,,,,,,1.4,,,,,
2010-02-19,29.74,29.74,29.1,29.7,1700,-405867.6111,,,,,,,,,,,,-0.0625,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,53600.0,,,,,,33.187,,,,,,,,,,,,0.64,,,,,
2010-02-26,29.1,29.75,29.1,29.75,87630,-318237.6111,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,141230.0,,,,,,33.0236,,,,,,21.2207,30.2326,,,,,0.65,,,,,
2010-03-05,29.75,31.75,29.75,31.75,251600,-66637.6111,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,392830.0,,,,,,32.8666,,,,,,49.7601,100.0,,,,,2.0,,,,,
2010-03-12,31.5,33.0,31.5,32.5,535700,111952.8629,,,,,,,,,,,,0.6666,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,928530.0,,,,,,29.1,,,,47.8172,72.4707,72.4707,87.1795,,,,,1.5001,,,,,
2010-03-19,33.0,34.75,32.25,34.75,395300,507252.8629,355562.8571,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1323830.0,,,,,,29.139,,,,72.6524,95.7265,95.7265,100.0,,,,,2.5,,,,,
2010-03-26,34.75,35.25,34.25,34.75,209900,507252.8629,380173.4692,,,,,,,,,,,0.0001,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,2.5,,1323830.0,,,7.7519,,,29.2512,,,,87.0712,93.0165,93.0165,91.8699,,,,,1.0,,,,,
2010-04-01,34.5,35.0,34.25,35.0,400900,908152.8629,483239.3134,,,,,,,,,,,0.6667,,,,,31.9017,,,,,,,,,,0,,,,,,,,,,,,,,3.5,,1724730.0,,,11.1111,,,29.4312,,,,94.8393,95.7748,95.7748,95.4545,,,,,0.75,,,,,
2010-04-09,34.5,35.0,34.5,34.7,149100,878332.8629,471983.5847,,,,,,,,,,,0.4,,,,,32.3322,,,,,,,,,,0,,,,,,,,,,,,,,4.07,,1575630.0,,,13.2876,,,29.6057,,,,93.2258,90.8861,90.8861,85.3337,,,,,0.5,,,,,
2010-04-16,34.75,36.1,34.75,36.1,238000,1116332.8629,500198.6426,,,,,,,,,,,1.0,,,,,32.9118,32.4014,,,,,,,,,0,,,,,,,,,,,32.9,32.6,,5.6,,1813630.0,,,18.3607,,,29.7751,,,,93.419,93.5961,93.5961,100.0,,,,,1.4,31.8712,,,-0.0,33.3051
2010-04-23,36.0,36.25,35.51,36.25,55800,1172132.8629,484023.1079,,,,42.8571,100.0,57.1429,1.1221,,,,0.3378,,41.2371,,36.5018,33.4254,32.9146,,,,,,,,,0,36.1147,,,,,,,,,78.0523,32.975,32.675,19.9784,6.51,3.0956,1869430.0,42.9475,,21.8897,1.124,70.6186,30.0281,,,,93.1978,95.1112,95.1112,100.0,,,,,0.74,32.4066,,,-0.0,33.8183
2010-04-30,36.27,38.0,36.27,37.9,203000,1351664.6548,490527.4949,,,,35.7143,100.0,64.2857,1.167,,,,0.9422,,50.3351,,47.2853,34.1138,33.5793,,,,,,,,,0,36.4418,,,,,,,,,80.6988,33.8,33.55,17.7,8.2,3.0791,2072430.0,49.4539,,27.6094,1.2032,75.1676,30.3392,,,,95.9395,99.1111,99.1111,97.3333,,,,,1.75,33.0473,,,-1.1236,34.5133
2010-05-07,38.5,39.99,37.0,37.85,166900,1279657.6314,425683.6462,,,,28.5714,100.0,71.4286,1.2972,,,,-0.2174,,49.5794,,56.3609,34.6886,34.1487,,,,,,,,,0,36.8067,,,,,,,,,85.6417,33.8,34.545,14.63,8.1,3.4272,1905530.0,52.4201,,27.2269,1.2357,74.7897,30.7988,,,,93.4467,86.1178,86.1178,61.02,,,,,2.99,33.7255,,,-19.6511,35.1408
2010-05-14,37.5,38.25,37.5,37.6,47300,1244970.9647,349421.4373,,,,21.4286,92.8571,71.4286,1.2581,,,,0.1333,,45.637,,56.3609,35.1365,34.6089,,,,,,,,,0,37.0022,,,,,,,,,85.08,33.8,34.545,13.9753,5.85,3.3461,1858230.0,50.074,,18.4252,1.2328,72.8185,31.4422,,,,85.381,70.9142,70.9142,54.3893,,,,,0.75,34.3811,,,-21.9467,35.6661
2010-05-21,37.6,38.2,36.5,36.75,144700,1142829.7882,253958.2105,,,,14.2857,85.7143,71.4286,1.2897,,,,-0.5,,32.8195,,42.1028,35.3847,34.8944,,,,,,,,,0,36.9424,,,,,,,,,85.472,33.8,34.545,18.3924,4.25,3.5094,1713530.0,45.1422,,13.0769,1.2357,66.4097,32.0405,,,,68.2427,47.696,47.696,27.6786,,,,,1.7,34.992,,,-29.7521,36.0105
2010-05-28,36.5,36.5,35.25,36.0,228300,1188489.7882,206346.144,,,,7.1429,78.5714,71.4286,1.3047,28.1282,33.7985,39.4688,-0.4,57.6809,22.5691,,26.5665,35.4794,35.0418,,,,,,,,,0,36.7769,,,,,,,,,78.0178,33.825,34.545,23.9499,1.25,3.6242,1485230.0,41.279,,3.5971,1.2121,61.2845,32.597,,33.7985,,50.4135,32.6302,32.6302,15.8228,,,,,1.5,35.5321,,,-36.6391,36.1881
2010-06-04,36.0,36.0,34.75,35.0,57000,1154289.7882,157227.9219,,,,0.0,71.4286,71.4286,1.3008,28.2892,33.936,39.5828,-0.8,37.0279,10.3415,,20.8738,35.4056,35.0362,,,,,,,,,0,36.5764,,,,,,,,,75.7172,34.825,34.87,25.0947,0.25,3.7166,1428230.0,38.3348,,0.7194,1.1765,55.1707,33.1145,,33.936,,32.139,16.0908,16.0908,4.771,0.0,0.0,,,1.25,35.9634,,,-48.7305,36.1724
2010-06-11,34.75,35.0,33.75,34.5,797000,1313689.7882,173558.8381,,,,0.0,64.2857,64.2857,1.2972,28.5477,34.086,39.6243,-0.2,12.4941,4.7164,,10.1982,35.2663,34.9647,,,,,,,,,0,36.4688,,,,,,,,,55.5632,35.2,35.745,29.0111,-0.5,3.7599,631230.0,35.6003,,-1.4286,1.0866,52.3582,33.5958,,34.086,,20.3804,12.4201,12.4201,16.6667,0.0,0.0,,,1.25,36.25,,,-64.6635,36.04
