date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,37.13,43.63,37.06,9.94,2573534,7133030.6925,,,,,,,,,,,,0.9513,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,7720595.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,43.63,45.38,41.13,9.94,1695267,7432195.1631,,,,,,,,,,,,-0.0588,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,7720595.0,,,,,,8.4904,,,,,,,,,,,,0.9737,,,,,
1999-11-26,43.88,43.88,39.63,9.41,863200,6585244.942,,,,,,,,,,,,-0.6635,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,5130999.0,,,,,,8.5094,,,,,,,,,,,,0.9737,,,,,
1999-12-03,41.19,43.56,39.56,9.94,1223467,9925305.302,,,,,,,,,,,,0.5475,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,8801395.0,,,,,,8.5283,,,,,,,,,,,,0.9164,,,,,
1999-12-10,43.13,49.19,42.0,10.71,1879534,11736871.2366,,,,,,,,,,,,0.5035,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,14439992.0,,,,,,8.547,,,,,,,,,,,,1.6472,,,,,
1999-12-17,47.06,49.13,44.5,11.17,1331001,15074431.12,,,,,,,,,,,,0.365,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,18432990.0,,,,,,8.6014,,,,,,,,,,,,1.0607,,,,,
1999-12-23,48.72,53.13,46.44,12.17,981401,18018630.12,,,,,,,,,,,,0.6592,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,21377189.0,,,,,,8.6548,,,,,,91.7718,100.0,,,,,1.5327,,,,,
1999-12-31,53.88,54.63,47.13,10.97,1167334,15217032.52,,,,,,,,,,,,-0.8,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,17875192.0,,,,,,8.7603,,,,,,83.5467,55.209,,,,,1.7182,,,,,
2000-01-07,48.44,49.0,40.88,9.71,2022468,11391284.0273,,,,,,,,,,,,-0.7463,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,11807794.0,,,,,,8.9105,,,,76.8971,55.3727,55.3727,10.9091,,,,,1.8603,,,,,
2000-01-14,45.69,49.63,42.88,11.18,2564534,17215620.3903,2509734.773,,,,,,,,,,,0.4622,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,19501389.0,,,,,,9.0547,,,,60.061,41.2636,41.2636,57.6727,,,,,1.661,,,,,
2000-01-21,48.13,52.38,46.94,11.37,1730734,17158353.5006,2654226.6546,,,,,,,,,,,0.2757,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,1.4319,,24693587.0,,,14.4076,,,9.1932,,,,46.903,44.0727,44.0727,63.6364,,,,,1.2463,,,,,
2000-01-28,50.0,50.44,42.88,9.85,969534,14342092.9133,1575960.7234,,,,,,,,,,,-0.9259,,,,,10.5295,,,,,,,,,,0,,,,,,,,,,,,,,-0.0871,,21784990.0,,,-0.876,,,9.3261,,,,43.6374,45.5758,45.5758,15.4182,,,,,1.732,,,,,
2000-02-04,43.53,49.38,40.75,11.11,1021200,16780899.13,1767566.5729,,,,,,,,,,,0.5759,,,,,10.619,,,,,,,,,,0,,,,,,,,,,,,,,1.7045,,24848585.0,,,18.1198,,,12.5156,,,,46.0709,48.5642,48.5642,66.638,,,,,1.9771,,,,,
2000-02-11,49.44,49.5,45.0,10.65,646601,16134299.7967,1479526.7623,,,,,,,,,,,-0.6533,,,,,10.6243,10.5799,,,,,,,,,0,,,,,,,,,,,10.7894,10.503,,0.7148,,22908787.0,,,7.1923,,,12.4838,,,,45.9908,43.8324,43.8324,49.4411,,,,,1.0309,10.7574,,,-46.2721,10.737
2000-02-18,46.38,46.72,39.5,9.05,636734,14224102.7967,619399.9068,,,,0.0,50.0,50.0,1.4274,,,,-0.9529,,-7.2496,,9.7846,10.382,10.3758,,,,,,,,,0,10.6343,,,,,,,,,70.5649,10.6107,10.7825,22.7066,-1.661,15.774,20998590.0,18.6591,,-15.508,0.9106,46.3752,12.4523,,,,43.6965,38.693,38.693,0.0,,,,,1.6541,10.7512,,,-100.0,10.533
2000-02-25,39.84,42.88,38.88,9.56,884734,15378678.9267,578585.8794,,,,100.0,42.8571,-57.1429,1.3909,,,,0.4775,,-2.6043,,11.5363,10.2563,10.2677,,,,,,,,,0,10.6271,,,,,,,,,64.8365,10.6107,10.7115,22.3449,-1.6037,14.5422,23652788.0,17.7226,,-14.359,0.9624,48.6979,12.3843,,,,35.7605,24.756,24.756,24.827,,,,,0.9164,10.7241,,,-81.7778,10.4061
2000-03-03,42.25,42.81,37.25,9.01,1794934,13984055.2432,65546.6163,,,,100.0,35.7143,-64.2857,1.3826,,,,-0.5288,,-7.2937,,16.1461,10.0639,10.0995,,,,,,,,,0,10.6158,,,,,,,,,62.1587,10.5889,10.5248,22.8321,-3.1661,15.3519,18267991.0,16.4841,,-26.0117,0.9574,46.3531,12.28,,,,25.7767,13.8811,13.8811,16.8163,,,,,1.2738,10.6621,,,-88.1473,10.2082
2000-03-10,39.81,40.31,38.06,8.74,1311535,10294274.7988,-1324312.9161,,,,92.8571,28.5714,-64.2857,1.3206,,,,-0.7467,,-9.5616,,16.1461,9.8595,9.9176,,,,,,,,,0,10.5877,,,,,,,,,56.2128,10.4537,10.5248,22.1573,-2.2337,15.118,14333391.0,15.9969,,-20.3634,0.879,45.2192,12.1301,,,,18.3043,16.2757,16.2757,7.1837,,,,,0.5155,10.5214,,,-94.9367,9.9782
2000-03-17,38.31,40.69,34.56,9.01,1925267,13469548.7221,-762185.3023,,,,100.0,21.4286,-78.5714,1.3266,,,,0.1631,,-6.7493,,25.7779,9.7282,9.796,,,,,,,,,0,10.5522,,,,,,,,,46.8754,10.4537,10.2166,24.9453,-0.7033,14.7306,20109186.0,14.7204,,-7.244,0.8409,46.6253,11.9863,,,,17.0592,21.0208,21.0208,39.0625,,,,,1.4044,10.3401,,,-76.3328,9.7956
