date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,33.13,33.38,32.81,2.35,128800,-343466.6667,,,,,,,,,,,,-0.2281,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1030400.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,32.94,33.44,32.63,2.38,114400,436148.1481,,,,,,,,,,,,0.5432,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1945600.0,,,,,,2.3271,,,,,,,,,,,,0.0578,,,,,
1999-11-26,33.19,33.44,32.13,2.34,77100,403189.3695,,,,,,,,,,,,-0.3359,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1328800.0,,,,,,2.3849,,,,,,,,,,,,0.0934,,,,,
1999-12-03,32.5,32.5,31.81,2.29,253200,256406.7608,,,,,,,,,,,,-0.5362,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-696800.0,,,,,,2.3849,,,,,,,,,,,,0.067,,,,,
1999-12-10,32.38,32.5,29.13,2.15,95100,-25789.0849,,,,,,,,,,,,-0.6499,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-1457600.0,,,,,,2.3849,,,,,,,,,,,,0.2403,,,,,
1999-12-17,30.25,33.0,30.25,2.34,153100,1092119.2788,,,,,,,,,,,,0.9564,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-232800.0,,,,,,2.3756,,,,,,,,,,,,0.2004,,,,,
1999-12-23,33.0,33.63,32.75,2.39,124300,1928319.2788,,,,,,,,,,,,0.6364,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,761600.0,,,,,,2.0775,,,,,,70.0151,98.4444,,,,,0.0628,,,,,
1999-12-31,33.81,33.94,33.0,2.42,84800,2606719.2788,,,,,,,,,,,,0.1383,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1440000.0,,,,,,2.0807,,,,,,95.1505,100.0,,,,,0.067,,,,,
2000-01-07,33.81,33.81,32.31,2.37,127200,2695206.2353,,,,,,,,,,,,-0.4491,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,422400.0,,,,,,2.0875,,,,86.4781,94.2687,94.2687,84.3617,,,,,0.1073,,,,,
2000-01-14,33.88,33.94,32.19,2.38,100100,2919430.2353,1097582.9019,,,,,,,,,,,-0.3257,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1223200.0,,,,,,2.0941,,,,92.8965,89.2703,89.2703,83.4493,,,,,0.1253,,,,,
