date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2013-10-11,12.42,12.86,12.24,10.15,5433700,3155051.6129,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,5433700.0,,,,,,,,,,,,,,,,,,,,,,,
2013-10-18,12.7,12.97,12.03,9.71,3004300,1109570.7618,,,,,,,,,,,,-0.5532,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2429400.0,,,,,,9.5917,,,,,,,,,,,,0.7495,,,,,
2013-10-25,12.33,12.71,12.23,9.83,3324700,-829837.5715,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,5754100.0,,,,,,9.5917,,,,,,,,,,,,0.4226,,,,,
2013-11-01,12.4,12.53,11.2,8.95,5892700,-6456701.4813,,,,,,,,,,,,-0.8797,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-138600.0,,,,,,10.3412,,,,,,,,,,,,1.0604,,,,,
2013-11-08,11.42,11.44,11.09,8.92,4882600,-8549244.3384,,,,,,,,,,,,-0.6571,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-5021200.0,,,,,,10.3271,,,,,,,,,,,,0.2791,,,,,
2013-11-15,11.16,11.44,11.12,9.02,3951300,-7808375.5884,,,,,,,,,,,,0.4687,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-1069900.0,,,,,,10.2974,,,,,,,,,,,,0.2551,,,,,
2013-11-22,11.42,11.54,11.14,9.03,4540600,-8262435.5884,,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3470700.0,,,,,,10.2683,,,,,,10.4063,14.1975,,,,,0.3189,,,,,
2013-11-29,11.42,11.55,11.26,9.03,3601700,-10125383.8643,,,,,,,,,,,,-0.3103,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,7072400.0,,,,,,10.2398,,,,,,14.1888,16.6667,,,,,0.2312,,,,,
2013-12-06,11.2,11.26,10.41,8.39,4303700,-13315185.0407,,,,,,,,,,,,-0.8,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2768700.0,,,,,,10.2118,,,,12.6998,13.5044,13.5044,9.6491,,,,,0.7335,,,,,
2013-12-13,10.49,10.7,10.23,8.24,2473000,-14735844.6152,-5150112.0461,,,,,,,,,,,-0.3404,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,295700.0,,,,,,10.1545,,,,12.9968,11.2972,11.2972,7.5758,,,,,0.3747,,,,,
2013-12-20,10.54,11.05,10.35,8.69,5679500,-11490416.0438,-3764669.5728,,,,,,,,,,,0.5143,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,-1.4591,,5975200.0,,,-14.3755,,,10.0746,,,,15.8208,22.6608,22.6608,50.7576,,,,,0.5741,,,,,
2013-12-27,11.08,11.37,10.98,9.02,1623600,-10366385.2746,-2498008.8096,,,,,,,,,,,0.5897,,,,,9.0814,,,,,,,,,,0,,,,,,,,,,,,,,-0.6937,,7598800.0,,,-7.1429,,,9.9978,,,,26.8917,46.7172,46.7172,81.8182,,,,,0.3747,,,,,
2014-01-03,11.41,11.44,11.08,8.88,1773300,-11548585.2746,-2128892.242,,,,,,,,,,,-0.75,,,,,9.0508,,,,,,,,,,0,,,,,,,,,,,,,,-0.9488,,5825500.0,,,-9.6513,,,9.9242,,,,46.2129,69.2608,69.2608,75.2066,,,,,0.287,,,,,
2014-01-10,11.2,11.45,10.87,9.09,3787600,-8414019.7573,-786992.5959,,,,,,,,,,,0.3448,,,,,9.0567,9.0678,,,,,,,,,0,,,,,,,,,,,9.1931,9.2489,,0.1355,,9613100.0,,,1.5138,,,9.8535,,,,66.7623,84.3088,84.3088,95.9016,,,,,0.4624,8.9319,,,-57.2993,8.8898
2014-01-17,11.43,11.88,11.39,9.4,2776200,-6657648.3287,392356.5862,,,,64.2857,7.1429,-57.1429,0.4653,,,,0.7347,,-19.6653,,32.7158,9.1096,9.1121,,,,,,,,,0,9.0998,,,,,,,,,60.2422,9.0336,9.2489,31.5558,0.4784,4.9497,12389300.0,15.9981,,5.3619,0.9262,40.1674,9.7856,,,,80.6594,88.4086,88.4086,94.1176,,,,,0.3907,8.8622,,,-43.0657,8.9341
