date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2022-09-23,20.6,22.0,20.2,16.08,22905469,-21632942.9444,,,,,,,,,,,,-0.1944,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,22905469.0,,,,,,,,,,,,,,,,,,,,,,
2022-09-30,20.1,20.8,19.14,15.64,12771500,-25941400.7758,,,,,,,,,,,,-0.247,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,10133969.0,,,,,,17.4706,,,,,,,,,,,1.3182,,,,,
2022-10-07,19.81,21.01,19.58,16.02,8158517,-27910711.6207,,,,,,,,,,,,0.2666,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,18292486.0,,,,,,17.4479,,,,,,,,,,,1.074,,,,,
2022-10-14,19.99,20.67,19.18,16.08,10601199,-26558880.8757,,,,,,,,,,,,0.0201,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,28893685.0,,,,,,17.4255,,,,,,,,,,,1.1969,,,,,
2022-10-21,20.18,21.69,20.12,17.38,8424630,-18670851.5126,,,,,,,,,,,,0.9299,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,37318315.0,,,,,,15.1995,,,,,,,,,,,1.3415,,,,,
2022-10-28,21.6,23.02,21.56,18.48,6930950,-11834846.0332,,,,,,,,,,,,0.9658,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,44249265.0,,,,,,15.2217,,,,,,,,,,,1.1728,,,,,
2022-11-04,23.0,23.26,21.23,17.49,5980612,-14633654.6046,,,,,,,,,,,,-0.6059,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,38268653.0,,,,,,15.2871,,,,,86.4662,63.4804,,,,,1.6307,,,,,
2022-11-11,21.74,23.5,21.47,18.11,6753236,-14268030.3688,,,,,,,,,,,,0.3941,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,45021889.0,,,,,,15.389,,,,,80.3381,77.7778,,,,,1.6306,,,,,
2022-11-18,22.62,22.85,21.66,17.62,5347469,-17188916.7973,,,,,,,,,,,,-0.5798,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,39674420.0,,,,,,15.5286,,,77.2468,64.9362,64.9362,53.5503,,,,,0.9559,,,,,
2022-11-25,21.86,22.62,21.6,17.99,2064708,-16055351.6209,1980652.7225,,,,,,,,,,,0.5196,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,41739128.0,,,,,,15.6626,,,68.6947,60.8098,60.8098,51.1013,,,,,0.8194,,,,,
