date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_50_sma,sma_7_sma
1999-11-12,18.38,18.38,17.75,7.77,31300,,,,,,,,,,,,,,,,,,,
1999-11-19,18.0,21.0,17.75,8.64,74800,,,,,,,,,,,,,,,,9.0683,,,
1999-11-26,20.0,20.38,19.31,8.55,53900,,,,,,,,,,,,,,,,9.0683,,,
1999-12-03,19.81,20.75,19.5,8.85,43700,,,,,,,,,,,,,,,,9.0683,,,
1999-12-10,20.06,20.12,18.25,8.5,146900,,,,,,,,,,,,,,,,9.0542,,,
1999-12-17,19.38,21.0,18.75,9.07,38100,,,,,,,,,,,,,,,,7.6648,,,
1999-12-23,21.0,22.0,20.62,9.5,16600,,,,,,,,8.6981,,,,,,,,7.6789,,,8.6981
1999-12-31,22.0,23.0,21.06,9.5,33000,,,,,,,,8.8986,,,,,,,,7.7153,,,8.9449
2000-01-07,23.0,23.12,21.5,9.8,55700,,,,,,,,9.1235,,,,,,,,7.7818,,,9.1108
2000-01-14,22.5,23.75,21.31,9.66,92200,,,,,,,,9.2586,,,,,,,,7.8699,,,9.2694
2000-01-21,22.38,22.75,19.88,8.64,59300,,,,,,,,9.1031,,,,,0.8636,11.1111,,7.9892,,,9.2385
2000-01-28,20.5,20.5,19.0,8.42,78100,,,,,,,,8.9325,,,,,-0.2159,-2.5,,8.1025,,,9.2268
2000-02-04,19.5,19.5,18.5,8.26,67100,,,,,,,,8.7635,,,,,-0.298,-3.4831,,10.2558,,,9.1108
2000-02-11,19.12,19.25,17.25,7.45,93300,,,,,,8.758,,8.4348,,,,,-1.4034,-15.8537,,10.2331,8.758,,8.8178
2000-02-18,17.5,18.88,16.0,8.04,98500,,0.8544,,,,8.6623,,8.3362,,,,45.439,-0.462,-5.4342,52.2963,10.1774,8.7771,,8.6093
2000-02-25,18.75,18.75,17.38,7.51,67700,,0.8356,,,,8.508,,8.1285,,,,44.6868,-1.5632,-17.2381,47.5889,10.0794,8.6963,,8.2817
2000-03-03,17.88,18.0,16.25,7.66,158200,,0.8299,,,,8.3956,,8.0125,,,,35.7533,-1.8352,-19.3182,49.0623,9.9843,8.6327,,7.9961
2000-03-10,17.66,18.0,17.25,7.59,97400,,0.7939,,,,8.288,,7.9066,,,,38.2984,-1.9114,-20.1203,48.3639,9.892,8.5425,,7.8464
2000-03-17,17.38,20.38,16.0,8.87,95500,,0.8734,,,,8.3653,,8.1469,,,,49.2761,-0.9301,-9.493,58.932,9.8025,8.5686,,7.9103
2000-03-24,20.25,20.5,18.5,8.38,39800,,0.8731,7.1125,8.5327,9.953,8.3668,,8.2042,,,,49.2942,-1.288,-13.3271,54.3295,9.7157,8.5191,,7.9274
2000-03-31,19.5,19.75,18.0,8.05,41700,,0.8652,7.1511,8.5466,9.9421,8.3245,,8.1656,,,,46.5274,-0.5866,-6.7918,51.457,9.6315,8.4156,,8.0133
