date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2017-05-05,11.6,11.73,8.14,10.92,9165817,5029710.1643,,,,,,,,,,,,-0.1894,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,9165817.0,,,,,,,,,,,,,,,,,,,,,,,
2017-05-12,11.04,11.47,9.61,11.35,2590961,7286353.616,,,,,,,,,,,,0.1667,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,11756778.0,,,,,,8.14,,,,,,,,,,,,1.86,,,,,
2017-05-19,11.45,11.88,10.91,11.4,1841889,7305342.1624,,,,,,,,,,,,-0.0515,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,13598667.0,,,,,,8.1733,,,,,,,,,,,,0.97,,,,,
2017-05-26,12.39,12.39,10.31,10.73,3739400,5076084.47,,,,,,,,,,,,-0.7981,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,9859267.0,,,,,,8.2474,,,,,,,,,,,,2.08,,,,,
2017-06-02,10.79,10.88,9.03,9.53,2975988,3713098.0961,,,,,,,,,,,,-0.6829,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,6883279.0,,,,,,8.3717,,,,,,,,,,,,1.845,,,,,
2017-06-09,9.57,14.5,8.85,13.3,12558689,10941839.5099,,,,,,,,,,,,0.6596,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,19441968.0,,,,,,8.4923,,,,,,,,,,,,5.655,,,,,
2017-06-16,13.53,19.8,12.13,19.31,7207668,17228579.9166,,,,,,,,,,,,0.7536,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,26649636.0,,,,,,8.7326,,,,,,69.0043,95.5272,,,,,7.67,,,,,
2017-06-23,19.75,22.8,18.37,21.43,6759415,19807228.0769,,,,,,,,,,,,0.3792,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,33409051.0,,,,,,8.845,,,,,,88.1632,90.1827,,,,,4.43,,,,,
2017-06-30,21.5,23.7,20.2,20.47,3801302,16592412.6712,,,,,,,,,,,,-0.2943,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,29607749.0,,,,,,9.6823,,,,81.7188,87.9888,87.9888,78.2565,,,,,3.5,,,,,
2017-07-07,20.42,21.5,18.63,21.0,2073513,17943447.274,4473149.5444,,,,,,,,,,,0.2021,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,31681262.0,,,,,,10.6635,,,,86.5244,83.4212,83.4212,81.8243,,,,,2.87,,,,,
2017-07-14,21.0,23.52,20.33,22.93,2760822,19683024.7724,4461130.1951,,,,,,,,,,,0.605,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,12.01,,34442084.0,,,109.9817,,,11.5761,,,,85.2951,84.4752,84.4752,93.3449,,,,,3.19,,,,,
2017-07-21,23.21,23.36,21.09,21.4,1760151,18403274.314,3643462.5704,,,,,,,,,,,-0.797,,,,,16.1475,,,,,,,,,,0,,,,,,,,,,,,,,10.05,,32681933.0,,,88.5463,,,12.4248,,,,81.7451,77.3391,77.3391,56.848,,,,,2.2709,,,,,
2017-07-28,21.44,21.75,20.03,20.41,1682966,17463944.4535,2678860.6255,,,,,,,,,,,-0.5988,,,,,16.8033,,,,,,,,,,0,,,,,,,,,,,,,,9.01,,30998967.0,,,79.0351,,,13.214,,,,74.5271,61.7671,61.7671,35.1085,,,,,1.72,,,,,
2017-08-04,20.25,20.25,16.2,18.02,3471065,17112552.6881,1928911.4841,,,,,,,,,,,-0.5506,,,,,16.9905,16.5857,,,,,,,,,0,,,,,,,,,,,16.23,15.92,,7.29,,27527902.0,,,67.9404,,,13.948,,,,59.3487,38.94,38.94,24.8634,,,,,4.21,17.2491,,,-36.5039,18.7207
