date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,81.88,90.25,81.69,21.65,4060500,11726116.8224,,,,,,,,,,,,0.8388,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,16242000.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,89.25,94.5,87.38,22.36,3601100,16015067.3842,,,,,,,,,,,,0.3862,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,30646400.0,,,,,,19.855,,,,,,,,,,,,1.7305,,,,,
1999-11-26,98.5,120.3,98.0,28.39,10840400,45765402.8102,,,,,,,,,,,,0.8206,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,74008000.0,,,,,,19.8861,,,,,,,,,,,,6.8784,,,,,
1999-12-03,116.4,119.0,99.25,26.64,6063300,46932012.4305,,,,,,,,,,,,-0.3443,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,49754800.0,,,,,,20.0732,,,,,,,,,,,,4.8003,,,,,
1999-12-10,110.1,114.4,103.0,27.76,3827400,61704433.4831,,,,,,,,,,,,0.3596,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,65064400.0,,,,,,20.2565,,,,,,,,,,,,2.7708,,,,,
1999-12-17,114.1,124.4,78.25,19.81,16631500,4548292.638,,,,,,,,,,,,-0.7064,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-1461600.0,,,,,,30.2358,,,,,,,,,,,,11.2169,,,,,
1999-12-23,86.11,86.63,78.5,20.61,13329900,33995402.6011,,,,,,,,,,,,-0.1599,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,51858000.0,,,,,,30.2358,,,,,,35.1526,14.2145,,,,,1.976,,,,,
1999-12-31,85.0,86.5,79.88,20.42,2433300,36377243.0845,,,,,,,,,,,,-0.1511,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,42124800.0,,,,,,30.2358,,,,,,11.2387,12.4594,,,,,1.609,,,,,
2000-01-07,85.0,115.1,79.38,20.02,8077200,9495453.1629,,,,,,,,,,,,-0.0733,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,9816000.0,,,,,,30.1236,,,,19.4219,11.8743,11.8743,8.9491,,,,,8.6818,,,,,
2000-01-14,85.13,107.1,84.13,20.61,7746600,-19656314.5341,-16325688.0468,,,,,,,,,,,-0.0139,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,40802400.0,,,,,,30.0126,,,,11.6625,11.8743,11.8743,14.2145,,,,,6.0083,,,,,
2000-01-21,84.31,84.38,68.63,16.77,7717100,-49074389.7087,-29265784.4954,,,,,,,,,,,-0.9721,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,-4.8756,,9934000.0,,,-22.5241,,,29.9026,,,,10.5784,7.9866,7.9866,0.7962,,,,,3.9326,,,,,
2000-01-28,71.0,79.25,67.88,17.27,10349100,-67315019.7878,-37702771.2954,,,,,,,,,,,0.0053,,,,,21.859,,,,,,,,,,0,,,,,,,,,,,,,,-5.0895,,51330400.0,,,-22.7609,,,29.6382,,,,9.0364,7.2484,7.2484,6.7344,,,,,2.7635,,,,,
2000-02-04,72.56,92.36,70.0,20.89,5519700,-57914743.5803,-34735744.2571,,,,,,,,,,,0.5984,,,,,21.7096,,,,,,,,,,0,,,,,,,,,,,,,,-7.5006,,73409200.0,,,-26.4212,,,29.244,,,,10.1647,15.2591,15.2591,38.2465,,,,,5.4347,,,,,
2000-02-11,86.38,88.75,79.63,19.87,3435700,-65268347.0891,-32703948.4708,,,,,,,,,,,-0.5077,,,,,21.4265,21.6475,,,,,,,,,0,,,,,,,,,,,22.5796,23.3671,,-6.769,,59666400.0,,,-25.4106,,,28.8616,,,,16.4298,26.7819,26.7819,35.3646,,,,,2.2166,21.5478,,,-75.46,20.487
2000-02-18,82.5,92.5,79.75,22.0,3762700,-54939366.6969,-25613179.2998,,,,78.5714,35.7143,-42.8571,4.5085,,,,0.6275,,1.142,,29.7936,21.5142,21.694,,,,,,,,,0,19.8804,,,,,,,,,42.5233,22.5796,23.3671,15.7287,-5.7604,20.4964,74717200.0,29.0782,,-20.7531,1.0162,50.571,28.4907,,,,32.4011,55.1625,55.1625,91.8765,,,,,3.0989,21.016,,,-59.9788,20.5335
2000-02-25,88.75,92.88,81.0,20.36,3847100,-63203507.4377,-23013438.5746,,,,71.4286,28.5714,-42.8571,4.3927,,,,-0.4209,,-4.3707,,30.0575,21.3359,21.5156,,,,,,,,,0,19.8854,,,,,,,,,39.0076,22.5796,23.3671,14.939,0.5469,21.5796,59328800.0,27.779,,2.7607,0.9103,47.8146,28.131,,,,48.506,63.5737,63.5737,63.48,,,,,2.8875,20.5121,,,-71.9214,20.3579
