date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,27.28,27.66,24.37,11.84,3263500,-1041542.5532,,,,,,,,,,,,-0.5441,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3263500.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,25.49,26.91,24.62,11.86,2070600,-1430345.1733,,,,,,,,,,,,0.0262,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,5334100.0,,,,,,11.3165,,,,,,,,,,,,1.0634,,,,,
1999-11-26,25.33,25.33,22.9,11.2,1986100,-1585636.9428,,,,,,,,,,,,-0.5391,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3348000.0,,,,,,12.496,,,,,,,,,,,,1.1906,,,,,
1999-12-03,23.52,24.96,23.52,11.22,2164900,-2066725.8317,,,,,,,,,,,,0.3889,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,5512900.0,,,,,,12.496,,,,,,,,,,,,0.6712,,,,,
1999-12-10,23.96,24.33,22.59,10.67,2387100,-3603249.9696,,,,,,,,,,,,-0.6092,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3125800.0,,,,,,12.4778,,,,,,,,,,,,0.811,,,,,
1999-12-17,22.9,23.03,20.04,9.54,3173300,-5863828.2305,,,,,,,,,,,,-0.8127,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-47500.0,,,,,,12.4388,,,,,,,,,,,,1.3937,,,,,
1999-12-23,20.47,23.77,20.16,10.73,2836600,-4190155.6543,,,,,,,,,,,,0.7091,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2789100.0,,,,,,12.3459,,,,,,23.0386,56.5217,,,,,1.6826,,,,,
1999-12-31,22.78,23.71,22.15,10.93,1966000,-2854283.8595,,,,,,,,,,,,0.4359,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,4755100.0,,,,,,12.2557,,,,,,44.1287,69.5122,,,,,0.7271,,,,,
2000-01-07,22.96,23.15,20.72,10.27,2179700,-2683854.6414,,,,,,,,,,,,-0.3827,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2575400.0,,,,,,12.1683,,,,41.547,57.4736,57.4736,46.3869,,,,,1.2771,,,,,
2000-01-14,21.78,22.53,19.91,9.86,2663800,-2805860.7482,-160384.1724,,,,,,,,,,,-0.2366,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-88400.0,,,,,,12.0834,,,,50.3433,49.4275,49.4275,32.3834,,,,,1.2212,,,,,
