date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2001-11-09,43.5,44.3,41.0,16.79,7691400,-6059890.9091,,,,,,,,,,,,-0.4545,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,15382800.0,,,,,,,,,,,,,,,,,,,,,,,
2001-11-16,42.0,47.2,41.7,18.71,5697500,3677654.5455,,,,,,,,,,,,0.8727,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,26777800.0,,,,,,16.3921,,,,,,,,,,,,2.1989,,,,,
2001-11-23,46.75,49.7,46.4,19.66,3891000,9007145.4545,,,,,,,,,,,,0.7364,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,34559800.0,,,,,,16.4169,,,,,,,,,,,,1.3194,,,,,
2001-11-30,49.7,51.0,47.51,20.33,3893800,16125324.2511,,,,,,,,,,,,0.3295,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,42347400.0,,,,,,16.486,,,,,,,,,,,,1.3953,,,,,
2001-12-07,50.8,51.9,47.35,19.43,2486600,13884651.7236,,,,,,,,,,,,-0.4835,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,37374200.0,,,,,,16.6031,,,,,,,,,,,,1.8191,,,,,
2001-12-14,48.6,48.87,46.9,19.19,1726900,14287887.2566,,,,,,,,,,,,-0.3046,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,33920400.0,,,,,,16.769,,,,,,,,,,,,0.7876,,,,,
2001-12-21,48.1,49.6,45.25,18.29,4149700,7896395.3026,,,,,,,,,,,,-0.5402,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,25621000.0,,,,,,16.9282,,,,,,46.3361,7.5188,,,,,1.7392,,,,,
2001-12-28,45.75,48.5,45.6,19.39,2866000,13628395.3026,,,,,,,,,,,,0.9483,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,31353000.0,,,,,,17.0811,,,,,,39.3852,48.8722,,,,,1.1594,,,,,
2002-01-04,48.7,50.25,46.9,19.13,3335000,10781201.2728,,,,,,,,,,,,-0.2507,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,24683000.0,,,,,,17.2279,,,,39.2003,31.8797,31.8797,39.2481,,,,,1.3394,,,,,
2002-01-11,47.86,51.8,46.4,20.59,3682800,17328401.2728,4667176.7101,,,,,,,,,,,0.6741,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,32048600.0,,,,,,17.3688,,,,44.1483,61.18,61.18,95.4198,,,,,2.159,,,,,
2002-01-18,51.6,52.4,49.4,20.38,3415300,17692699.9394,4873744.2071,,,,,,,,,,,-0.2067,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,3.5903,,25218000.0,,,21.381,,,17.504,,,,54.8875,71.6026,71.6026,80.1399,,,,,1.1994,,,,,
2002-01-25,50.73,54.1,50.05,21.54,3377800,23714358.211,6431163.6143,,,,,,,,,,,0.7778,,,,,19.454,,,,,,,,,,0,,,,,,,,,,,,,,2.8306,,31973600.0,,,15.1282,,,17.6763,,,,74.591,90.9905,90.9905,97.4118,,,,,1.6192,,,,,
2002-02-01,53.4,54.5,51.8,21.25,3850100,23714358.211,6483638.4978,,,,,,,,,,,-0.0926,,,,,19.7303,,,,,,,,,,0,,,,,,,,,,,,,,1.5872,,24273400.0,,,8.0724,,,17.9135,,,,83.1849,86.9617,86.9617,83.3333,,,,,1.0795,,,,,
2002-02-08,52.97,58.84,51.4,23.07,5828100,31798496.9207,8487909.7671,,,,,,,,,,,0.6358,,,,,20.2439,19.8405,,,,,,,,,0,,,,,,,,,,,19.9304,19.9584,,2.7387,,35929600.0,,,13.471,,,18.1848,,,,89.4931,90.527,90.527,90.836,,,,,2.9746,19.6442,,,-6.3901,20.4764
