date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,18.31,20.25,18.31,3.32,3477000,5018350.5155,,,,,,,,,,,,0.6804,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,13908000.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,19.63,21.81,19.13,3.32,3353300,-3389924.1114,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,13908000.0,,,,,,3.1005,,,,,,,,,,,,0.4538,,,,,
1999-11-26,19.5,19.94,18.38,3.34,4606000,10546178.4527,,,,,,,,,,,,0.1603,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,32332000.0,,,,,,3.1064,,,,,,,,,,,,0.2642,,,,,
1999-12-03,19.5,19.56,17.0,2.94,3961800,-596384.0473,,,,,,,,,,,,-0.8281,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,16484800.0,,,,,,3.6932,,,,,,,,,,,,0.4657,,,,,
1999-12-10,17.0,17.31,14.38,2.65,9566300,-6212095.9927,,,,,,,,,,,,-0.4676,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-21780400.0,,,,,,3.685,,,,,,,,,,,,0.508,,,,,
1999-12-17,15.88,17.19,15.75,2.91,6017900,17859504.0073,,,,,,,,,,,,0.9097,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2291200.0,,,,,,3.66,,,,,,,,,,,,0.2642,,,,,
1999-12-23,17.19,17.5,16.5,2.89,3195200,19393200.0073,,,,,,,,,,,,-0.13,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-10489600.0,,,,,,3.6355,,,,,,34.2816,48.2014,,,,,0.1693,,,,,
1999-12-31,16.94,17.69,16.06,2.97,2481300,27735239.2711,,,,,,,,,,,,0.3804,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-564400.0,,,,,,3.6115,,,,,,49.137,61.39,,,,,0.276,,,,,
2000-01-07,17.19,17.38,14.75,2.73,4921100,28708232.427,,,,,,,,,,,,-0.403,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-20248800.0,,,,,,3.588,,,,45.8575,54.1538,54.1538,52.8701,,,,,0.4758,,,,,
2000-01-14,15.88,17.13,15.63,2.88,4065500,42204177.3399,14027885.7655,,,,,,,,,,,0.7517,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-3986800.0,,,,,,3.5649,,,,55.7469,63.9499,63.9499,77.5896,,,,,0.2593,,,,,
2000-01-21,17.25,17.94,16.0,2.76,4342500,29310981.4636,10157572.1711,,,,,,,,,,,-0.5155,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,-0.5673,,-21356800.0,,,-17.0669,,,3.5423,,,,59.1374,59.3086,59.3086,47.466,,,,,0.3291,,,,,
2000-01-28,16.0,16.25,15.19,2.59,5065000,11344566.3692,1934259.7914,,,,,,,,,,,-0.7075,,,,,2.9429,,,,,,,,,,0,,,,,,,,,,,,,,-0.737,,-41616800.0,,,-22.1705,,,3.5202,,,,56.8013,47.1455,47.1455,16.3808,,,,,0.1798,,,,,
2000-02-04,15.5,16.81,15.06,2.66,3989100,6876774.3692,-3027234.5268,,,,,,,,,,,0.1086,,,,,2.8996,,,,,,,,,,0,,,,,,,,,,,,,,-0.6826,,-25660400.0,,,-20.4115,,,3.4985,,,,45.9186,31.3017,31.3017,30.0583,,,,,0.2969,,,,,
2000-02-11,15.94,16.13,14.88,2.65,3987300,10066614.3692,-3766784.5181,,,,,,,,,,,-0.248,,,,,2.8614,2.902,,,,,,,,,0,,,,,,,,,,,2.9657,3.0641,,-0.2915,,-41609600.0,,,-9.9043,,,3.4772,,,,34.0323,23.6496,23.6496,24.5098,,,,,0.2121,2.8765,,,-82.791,2.7905
2000-02-18,15.63,16.56,15.31,2.66,3650100,4343257.5692,-5547960.813,,,,28.5714,7.1429,-21.4286,0.3119,,,,0.048,,-35.315,,33.8033,2.8307,2.8699,,,,,,,,,0,2.6523,,,,,,,,,49.7728,2.9657,3.0641,28.9472,0.015,11.717,-27009200.0,14.3211,,0.5677,0.8008,32.3425,3.4564,,,,27.3214,27.0129,27.0129,26.4706,,,,,0.2121,2.8328,,,-81.982,2.7584
2000-02-25,15.63,15.81,13.69,2.35,3664300,-7686708.4685,-9599980.2353,,,,100.0,0.0,-100.0,0.3153,,,,-0.8255,,-45.0107,,43.3289,2.7575,2.8012,,,,,,,,,0,2.6195,,,,,,,,,43.9827,2.8495,2.8495,33.0723,-0.5562,13.3898,-41666400.0,13.0765,,-19.1075,0.7084,27.4947,3.4359,,,,23.2286,19.0234,19.0234,6.0897,,,,,0.3596,2.7886,,,-96.9422,2.6918
2000-03-03,14.06,18.13,13.81,2.94,8214300,12696924.8648,-3899197.5534,,,,92.8571,0.0,-92.8571,0.3451,,,,0.7523,,-11.043,,17.2973,2.785,2.8193,,,,,,,,,0,2.627,,,,,,,,,54.5275,2.6641,2.8173,27.7753,0.0477,11.7523,-8809200.0,19.5835,,1.6513,0.8781,44.4785,3.4025,,,,28.0223,38.0306,38.0306,81.5315,,,,,0.7329,2.7559,,,-37.9525,2.7119
2000-03-10,17.13,19.44,17.0,3.15,5108200,18391311.7501,599263.694,,,,85.7143,0.0,-85.7143,0.35,,,,0.5861,,-1.694,,5.6312,2.841,2.8632,,,,,,,,,0,2.6337,,,,,,,,,61.8561,2.7516,2.8101,25.3096,0.1751,11.1169,11623600.0,22.6111,,5.8883,1.0698,49.153,3.3701,,,,38.1643,57.439,57.439,84.6957,,,,,0.4139,2.7385,,,-15.3043,2.7642
2000-03-17,18.31,19.38,17.88,3.14,2934300,16356863.7501,1737740.4139,,,,78.5714,92.8571,14.2857,0.3432,,,,0.1267,,-2.12,,5.6312,2.8867,2.8999,,,,,,,,,0,2.6529,,,,,,,,,73.0953,2.7516,2.8101,23.9047,0.4071,10.9355,-113600.0,21.356,,14.9032,1.1858,48.94,3.3387,,,,59.5876,83.2931,83.2931,83.6522,,,,,0.2545,2.7342,,,-16.3478,2.8132
2000-03-24,18.31,19.69,17.75,3.13,5025900,10553762.7192,199063.2518,,,,71.4286,100.0,28.5714,0.3422,2.3668,2.8998,3.4328,0.067,80.6399,-2.5747,,2.8245,2.9239,2.9303,,,,,,,,,0,2.6609,,,,,,,,,72.9148,2.7516,2.8314,22.1892,0.2443,10.9389,-20217200.0,20.9701,,8.4706,1.0747,48.7127,2.3224,,2.8998,,74.4123,82.5048,82.5048,79.1667,,,,,0.3291,2.7394,,,-20.8333,2.8562
2000-03-31,18.38,24.06,18.25,3.59,7529700,10916639.8276,-333031.3483,,,,64.2857,100.0,35.7143,0.3882,2.3268,2.9133,3.4998,0.4836,191.7424,16.5562,,26.7305,3.0271,3.0189,,,,,,,,,0,2.7135,,,,,,,,,75.4737,2.9747,3.202,18.0186,0.838,10.7978,9901600.0,31.1658,,30.4,1.2444,58.2781,2.3326,,2.9133,,81.357,78.2729,78.2729,72.0,98.9945,100.0,,,0.9856,2.7658,,,-27.676,2.9592
