date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,70.94,76.31,69.88,9.7,2066900,5696029.2379,,,,,,,,,,,,0.6796,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,8267600.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,75.31,80.81,75.06,10.29,2055500,11429980.5423,,,,,,,,,,,,0.8052,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,16489600.0,,,,,,8.9991,,,,,,,,,,,,0.7405,,,,,
1999-11-26,79.88,79.88,76.13,9.83,999300,7816511.7423,,,,,,,,,,,,-0.952,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,12492400.0,,,,,,9.0132,,,,,,,,,,,,0.4906,,,,,
1999-12-03,76.56,78.38,75.44,9.98,1400400,10064772.9668,,,,,,,,,,,,0.3197,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,18094000.0,,,,,,9.0271,,,,,,,,,,,,0.3786,,,,,
1999-12-10,77.0,77.13,72.75,9.45,1125200,6858723.6517,,,,,,,,,,,,-0.8265,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,13593200.0,,,,,,9.0409,,,,,,,,,,,,0.6117,,,,,
1999-12-17,73.63,74.0,70.75,9.11,1457600,1028323.6517,,,,,,,,,,,,-0.8862,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,7762800.0,,,,,,9.0546,,,,,,,,,,,,0.4185,,,,,
1999-12-23,71.0,72.94,69.38,9.08,1582100,-1318161.7415,,,,,,,,,,,,-0.1404,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1434400.0,,,,,,10.4067,,,,,,14.2295,10.6667,,,,,0.4585,,,,,
1999-12-31,70.75,73.13,70.19,9.35,1667100,3082074.9932,,,,,,,,,,,,0.6395,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,8102800.0,,,,,,10.3919,,,,,,15.5926,36.1111,,,,,0.3786,,,,,
2000-01-07,72.38,73.69,67.5,9.42,2081100,9900283.0707,,,,,,,,,,,,0.1212,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,16427200.0,,,,,,10.3774,,,,21.6341,35.0803,35.0803,58.4631,,,,,0.7971,,,,,
2000-01-14,73.0,73.5,70.81,9.18,2299200,4122367.8291,-137107.3323,,,,,,,,,,,-0.6283,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,7230400.0,,,,,,10.3437,,,,33.912,51.0632,51.0632,58.6154,,,,,0.3464,,,,,
