date,open,high,low,close,volume,ema_12_ema,ema_26_ema,sma_200_sma,sma_20_sma,sma_50_sma
1999-11-12,55.88,57.63,55.75,6.4,1628560,,,,,
1999-11-19,57.38,58.88,56.5,6.41,1472640,,,,,
1999-11-26,56.75,57.69,54.44,6.23,677280,,,,,
1999-12-03,55.44,55.69,53.81,6.1,663200,,,,,
1999-12-10,55.0,55.63,52.38,5.96,644960,,,,,
1999-12-17,53.06,54.88,52.52,5.98,1972320,,,,,
1999-12-23,54.13,54.13,52.25,5.93,1509920,,,,,
1999-12-31,52.94,55.88,52.38,6.2,1192480,,,,,
2000-01-07,53.4,56.44,52.0,6.35,1276480,,,,,
2000-01-14,54.63,54.63,52.44,5.95,1839920,,,,,
2000-01-21,51.31,54.0,50.94,5.9,636720,,,,,
2000-01-28,51.75,51.75,46.81,5.28,813920,6.0565,,,,
2000-02-04,47.63,48.88,46.13,5.42,617360,5.9587,,,,
2000-02-11,48.88,55.56,48.88,5.66,1098960,5.9127,,,,
2000-02-18,50.44,54.19,49.94,5.88,1648240,5.9073,,,,
2000-02-25,51.44,52.13,49.0,5.53,1055920,5.8487,,,,
2000-03-03,47.63,49.63,46.75,5.43,616960,5.7839,,,,
2000-03-10,47.63,50.44,46.94,5.5,1366080,5.74,,,,
2000-03-17,47.75,50.19,46.94,5.28,1031280,5.6693,,,,
2000-03-24,47.25,49.44,47.25,5.48,737200,5.6397,,,5.8423,
2000-03-31,48.88,51.0,48.0,5.71,1441920,5.6504,,,5.8078,
2000-04-07,49.38,50.38,48.0,5.55,1057440,5.6356,,,5.7653,
2000-04-14,48.0,49.5,46.5,5.24,919680,5.5744,,,5.7157,
2000-04-20,48.5,51.13,48.5,5.58,773920,5.5757,,,5.6901,
2000-04-28,49.69,52.0,49.13,5.85,390160,5.6178,,,5.6844,
2000-05-05,50.0,50.88,47.56,5.51,490560,5.6015,5.7804,,5.6613,
2000-05-12,49.25,53.38,49.13,5.77,670160,5.6267,5.7793,,5.6528,
2000-05-19,51.13,53.25,50.5,5.9,437840,5.6686,5.7882,,5.6377,
2000-05-26,52.19,55.25,51.94,6.12,471040,5.7376,5.8125,,5.6261,
2000-06-02,55.13,55.25,52.88,6.11,653120,5.7948,5.8345,,5.6341,
2000-06-09,53.44,56.5,52.88,6.07,403600,5.8368,5.8518,,5.6426,
2000-06-16,54.25,56.44,54.25,6.38,409680,5.921,5.8913,,5.6978,
2000-06-23,55.5,56.25,54.0,6.36,749920,5.989,5.9262,,5.7449,
2000-06-30,55.94,58.69,55.69,6.62,703680,6.0859,5.9775,,5.7929,
2000-07-07,57.25,59.38,56.75,6.53,961760,6.1548,6.0187,,5.8257,
2000-07-14,57.19,57.75,54.81,6.24,611520,6.1683,6.0353,,5.8615,
2000-07-21,54.38,56.0,53.69,6.29,300720,6.1872,6.0542,,5.9047,
2000-07-28,56.44,57.0,55.25,6.29,354320,6.2032,6.0718,,5.9443,
2000-08-04,55.5,57.75,54.88,6.38,454880,6.2299,6.0944,,5.9991,
2000-08-11,55.94,56.5,55.31,6.38,344880,6.2537,6.1159,,6.0445,
2000-08-18,55.94,60.75,55.94,6.9,405920,6.3526,6.1737,,6.1039,
2000-08-25,60.0,61.5,58.81,6.74,444880,6.4121,6.2156,,6.1631,
2000-09-01,58.5,60.0,57.5,6.62,498480,6.4439,6.2455,,6.2322,
2000-09-08,58.38,59.06,55.63,6.33,354880,6.426,6.2516,,6.2694,
2000-09-15,55.63,58.0,54.13,6.19,870320,6.389,6.2467,,6.2862,
2000-09-22,54.81,56.63,53.56,6.32,896560,6.3784,6.2521,,6.3266,
2000-09-29,54.0,55.0,52.94,6.02,994960,6.3235,6.235,,6.3394,
2000-10-06,53.75,55.75,53.63,6.22,825600,6.3077,6.234,,6.3555,
2000-10-13,54.63,58.56,54.63,6.36,488480,6.3151,6.243,,6.3675,
2000-10-20,55.31,55.69,52.63,6.1,586880,6.2821,6.2324,,6.367,6.0304
2000-10-27,53.5,54.69,52.25,6.11,732800,6.2562,6.2236,,6.3693,6.0248
2000-11-03,53.0,55.69,52.75,6.26,386080,6.2562,6.226,,6.3629,6.0218
2000-11-10,56.44,58.0,56.44,6.54,273360,6.2999,6.2493,,6.3718,6.028
2000-11-17,57.5,60.0,55.63,6.83,1782080,6.3808,6.292,,6.3821,6.0426
2000-11-24,59.56,61.44,59.0,6.9,301520,6.4613,6.3373,,6.4006,6.0614
2000-12-01,59.88,62.81,59.38,6.89,793360,6.5272,6.3783,,6.433,6.0797
2000-12-08,60.81,61.13,55.63,6.4,1246000,6.5082,6.3802,,6.4386,6.0891
2000-12-15,54.81,58.81,53.44,6.67,914000,6.5328,6.4015,,6.4575,6.0984
2000-12-22,59.5,62.81,58.69,7.04,739280,6.6108,6.4488,,6.4906,6.1123
2000-12-29,61.28,65.0,61.28,7.36,437920,6.7263,6.5164,,6.5395,6.1405
2001-01-05,65.25,66.38,62.56,7.3,932480,6.8142,6.5743,,6.5595,6.1685
2001-01-12,64.56,66.0,62.63,7.54,446880,6.9261,6.6459,,6.5996,6.2137
2001-01-19,64.19,64.94,61.88,7.2,673360,6.969,6.6873,,6.6289,6.2494
2001-01-26,62.69,64.0,62.19,7.19,446640,7.0029,6.7245,,6.672,6.28
2001-02-02,62.87,66.15,62.74,7.39,192640,7.0624,6.7738,,6.7322,6.3102
2001-02-09,66.01,67.95,64.45,7.65,655920,7.1531,6.8388,,6.7988,6.3528
2001-02-16,67.1,67.4,62.28,7.21,573920,7.1621,6.8665,,6.8583,6.3884
2001-02-23,62.9,63.15,60.3,7.07,311520,7.1486,6.8819,,6.901,6.42
2001-03-02,62.2,67.3,62.0,7.65,891680,7.2252,6.9385,,6.9655,6.4673
2001-03-09,66.8,68.5,65.15,7.72,377280,7.3006,6.996,,7.0463,6.512
2001-03-16,66.95,66.95,62.65,7.27,487520,7.2966,7.0167,,7.1043,6.5434
2001-03-23,63.9,65.37,59.55,6.92,792560,7.2381,7.0093,,7.1374,6.5706
2001-03-30,61.1,66.12,60.4,7.41,613520,7.264,7.0387,,7.1807,6.614
2001-04-06,64.9,69.0,64.35,7.66,790320,7.3255,7.085,,7.2226,6.6556
2001-04-12,68.04,68.85,65.0,7.59,391860,7.3663,7.1224,,7.2569,6.6904
2001-04-20,66.06,66.99,64.29,7.6,487900,7.4015,7.1574,,7.2922,6.7321
2001-04-27,66.91,70.25,66.15,7.92,1608720,7.4815,7.214,,7.368,6.7752
2001-05-04,68.3,69.45,64.84,7.62,2186880,7.5034,7.2444,,7.4158,6.8097
2001-05-11,66.8,66.9,64.55,7.48,424160,7.499,7.2615,,7.4376,6.8369
2001-05-18,65.32,67.05,64.85,7.61,539280,7.5161,7.2873,,7.45,6.8669
2001-05-25,65.4,65.91,63.92,7.38,653920,7.4957,7.2944,,7.4543,6.8932
2001-06-01,65.65,66.2,64.2,7.45,247920,7.4886,7.3059,,7.4497,6.9145
