date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,33.0,35.75,32.94,5.71,6183534,-2508620.9146,,,,,,,,,,,,0.4448,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,37101183.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,34.19,36.38,33.5,6.05,3371734,16738348.3007,,,,,,,,,,,,0.7361,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,57331574.0,,,,,,5.49,,,,,,,,,,,,0.48,,,,,
1999-11-26,36.19,36.88,34.94,5.96,1728734,15027437.4553,,,,,,,,,,,,-0.2268,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,46959177.0,,,,,,5.4957,,,,,,,,,,,,0.3233,,,,,
1999-12-03,35.75,37.38,34.88,6.17,3567668,29926010.6713,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,68365173.0,,,,,,5.5088,,,,,,,,,,,,0.4167,,,,,
1999-12-10,36.94,37.25,34.75,5.98,3096734,28142292.9433,,,,,,,,,,,,-0.424,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,49784780.0,,,,,,5.5304,,,,,,,,,,,,0.4167,,,,,
1999-12-17,35.75,40.25,35.0,6.25,4141801,26958921.9433,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,74635571.0,,,,,,5.5514,,,,,,,,,,,,0.875,,,,,
1999-12-23,37.88,40.13,36.38,6.53,4000600,38928710.162,,,,,,,,,,,,0.3493,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,98639157.0,,,,,,5.5977,,,,,,68.7342,80.7273,,,,,0.625,,,,,
1999-12-31,39.0,39.5,37.75,6.38,2359201,33832838.882,,,,,,,,,,,,-0.3943,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,84483959.0,,,,,,5.6421,,,,,,68.2379,64.7273,,,,,0.2917,,,,,
2000-01-07,38.19,38.38,35.0,6.36,3849668,53923993.4264,,,,,,,,,,,,-0.0089,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,61385965.0,,,,,,5.6847,,,,68.7079,69.1515,69.1515,62.0,,,,,0.5633,,,,,
2000-01-14,38.06,38.5,33.88,6.07,4371067,56762346.8896,17215648.8088,,,,,,,,,,,-0.3506,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,35159579.0,,,,,,6.7083,,,,64.3427,55.6386,55.6386,40.1884,,,,,0.77,,,,,
