date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_50_sma,sma_7_sma
2021-10-01,47.34,47.48,40.05,41.89,9257134,,,,,,,,,,,,,,,,,,,
2021-10-08,41.71,44.5,39.0,42.58,5697795,,,,,,,,,,,,,,,,47.48,,,
2021-10-15,42.51,43.86,40.88,41.45,1915042,,,,,,,,,,,,,,,,47.3952,,,
2021-10-22,41.5,48.08,40.02,46.92,5796969,,,,,,,,,,,,,,,,39.0,,,
2021-10-29,47.0,50.63,42.79,50.25,6541308,,,,,,,,,,,,,,,,39.0908,,,
2021-11-05,50.03,53.36,36.05,38.29,34288422,,,,,,,,,,,,,,,,53.3559,,,
2021-11-12,38.4,41.75,36.82,37.72,8617983,,,,,,,,42.7286,,,,,,,,53.3559,,,42.7286
2021-11-19,38.0,39.55,34.59,38.31,6873745,,,,,,,,41.6239,,,,,,,,53.3559,,,42.2171
2021-11-26,37.92,38.06,33.73,35.55,3864561,,,,,,,,40.1054,,,,,,,,52.9806,,,41.2129
2021-12-03,35.71,36.23,27.94,28.46,7673766,,,,,,,,37.1941,,,,,,,,52.4031,,,39.3571
2021-12-10,28.51,30.05,25.77,26.64,8321096,,,,,,,,34.5556,,,,,-15.25,-36.4049,,51.4245,,,36.46
2021-12-17,26.64,27.66,23.19,27.02,10388720,,,,,,,,32.6717,,,,,-15.56,-36.543,,50.1416,,,33.1414
2021-12-23,26.51,29.66,25.63,27.94,4847825,,,,,,,,31.4888,,,,,-13.51,-32.5935,,48.5245,,,31.6629
2021-12-31,27.91,28.95,23.9,26.26,4917352,,,,,,36.3771,,30.1816,,,,,-20.66,-44.0324,,47.0044,36.3771,,30.0257
2022-01-07,26.4,26.81,20.84,22.8,8730759,,6.3035,,,,34.5669,,28.3362,,,,18.4045,-27.45,-54.6269,27.1924,45.5756,35.0136,,27.81
2022-01-14,22.37,25.78,21.9,23.1,6290146,,6.1304,,,,33.0379,,27.0271,,,,22.3397,-15.19,-39.6709,27.7501,43.8441,33.6221,,26.0314
2022-01-21,22.89,23.68,20.57,20.7,3865479,,5.9147,,,,31.3929,,25.4453,,,,20.4052,-17.02,-45.122,26.032,42.2338,32.14,,24.9229
2022-01-28,20.19,22.61,18.52,20.32,7197343,,5.7843,,,,29.9165,,24.164,,,,14.5877,-17.99,-46.959,25.76,40.5007,30.24,,24.02
2022-02-04,20.48,23.35,18.55,20.84,9648165,,5.714,,,,28.7063,,23.333,,,,12.1923,-14.71,-41.3783,26.8857,38.5224,28.1393,,23.1371
2022-02-11,20.84,23.72,18.1,18.41,12052486,,5.7073,12.6358,31.7725,50.9092,27.3335,,22.1023,,,,17.575,-10.05,-35.3127,24.9796,36.7222,26.7193,,21.7757
2022-02-18,18.72,22.44,18.4,18.97,21079254,,5.5882,11.3063,30.6265,49.9467,26.2183,,21.3192,,,,17.0424,-7.67,-28.7913,26.2768,34.86,25.38,,20.7343
2022-02-25,18.63,19.45,15.6,17.97,8862289,,5.4641,10.1431,29.396,48.6489,25.1186,,20.4819,,,,17.6701,-9.05,-33.4937,25.4312,33.184,23.9271,,20.0443
2022-03-04,17.95,19.99,16.8,17.02,10799548,,5.3016,9.0361,28.1745,47.3129,24.0387,,19.6164,,,,24.2423,-10.92,-39.0838,24.6206,31.2498,22.6036,,19.1757
2022-03-11,17.0,18.61,15.69,17.21,12884168,,5.1315,9.0477,26.689,44.3303,23.1282,,19.0148,,,,24.3792,-9.05,-34.4631,25.1345,29.5283,21.8,,18.6771
2022-03-18,17.02,20.65,16.43,20.06,14773778,,5.0664,11.0421,25.1795,39.3169,22.7191,,19.2761,,,,33.8507,-2.74,-12.0175,32.5622,27.9962,21.33,,18.64
2022-03-25,20.1,20.8,18.33,20.1,16926898,,4.8809,11.3339,24.27,37.2061,22.3699,,19.4821,,,,44.6219,-3.0,-12.987,32.6632,26.6326,20.8357,,18.5343
2022-04-01,19.95,21.26,17.16,17.96,16812266,,4.8252,11.6536,23.282,34.9104,21.7819,,19.1016,,,,37.6292,-2.74,-13.2367,30.0691,25.419,20.1229,,18.47
2022-04-08,18.23,20.26,15.76,16.44,16686795,50.8789,4.8019,12.4606,22.1885,31.9164,21.0697,,18.4362,,,,35.7483,-3.88,-19.0945,28.3471,24.3389,19.4214,,18.1086
2022-04-14,16.14,19.58,16.04,19.12,15205829,50.7222,4.7118,13.7441,21.367,28.9899,20.8097,,18.6071,,,,43.3349,-1.72,-8.2534,35.3746,23.3776,19.1586,,18.2729
2022-04-22,18.94,20.01,17.37,17.78,15379605,50.3404,4.5638,13.7988,20.833,27.8672,20.4058,,18.4003,,,,45.5418,-0.63,-3.4221,33.6002,22.5221,18.7786,,18.3814
2022-04-29,17.75,19.89,16.96,18.17,13373445,50.073,4.4471,13.8189,20.4095,27.0001,20.1077,,18.3428,,,,43.5044,-0.8,-4.2172,34.628,21.7607,18.5979,,18.5186
2022-05-06,18.22,18.69,14.8,15.77,21268861,50.2537,4.4073,13.7041,19.847,25.9899,19.5293,,17.6996,,,,41.2023,-2.2,-12.2426,31.4062,21.083,18.2729,,17.9057
2022-05-13,15.28,17.12,12.91,16.19,16701450,50.746,4.3932,14.1673,19.2595,24.3517,19.0841,,17.3222,,,,35.3959,-0.83,-4.8766,32.5882,20.329,17.9407,,17.3471
2022-05-20,15.9,16.62,14.78,15.88,10118885,51.203,4.2109,14.5769,18.7405,22.9041,18.6569,,16.9616,-5.7034,1.4395,-7.1429,40.3785,-1.33,-7.7281,32.1479,19.3646,17.76,,17.05
2022-05-27,15.46,16.14,13.5,16.09,9650829,51.8418,4.0986,14.5327,18.405,22.2773,18.3146,,16.7437,-5.4051,1.3902,-6.7953,43.5175,-3.97,-19.7906,32.8102,18.5255,17.5543,,17.0
2022-06-03,15.84,16.55,14.99,15.36,11407593,52.1652,3.9172,14.5769,18.018,21.4591,17.9207,,16.3978,-5.168,1.3018,-6.4699,48.2949,-4.74,-23.5821,31.6535,17.7955,17.3679,,16.4629
2022-06-10,15.6,16.61,11.54,12.35,23745785,53.0142,3.9996,13.5842,17.6005,21.6168,17.1779,,15.3858,-5.1635,1.0451,-6.2086,41.3324,-5.61,-31.2361,27.3691,17.1603,17.0343,,15.6871
2022-06-17,11.61,12.0,10.51,11.3,29139315,53.9402,3.8453,12.4829,17.1495,21.8161,16.3942,,14.3644,-5.1849,0.819,-6.0039,40.1571,-5.14,-31.2652,26.0447,16.61,16.6121,,14.7057
2022-06-24,11.78,13.65,11.02,13.5,12834503,53.7971,3.7589,12.1805,16.7825,21.3845,16.0083,,14.1483,-4.9671,0.8294,-5.7965,38.2212,-5.62,-29.3933,33.3246,16.61,16.1436,,14.3814
2022-07-01,13.47,13.8,12.38,13.47,10549296,53.5751,3.5918,11.7816,16.5355,21.2894,15.6699,,13.9787,-4.7422,0.8435,-5.5856,34.74,-4.31,-24.2407,33.2765,15.695,15.67,,13.9929
2022-07-08,13.21,16.08,13.08,15.28,11827040,52.0933,3.5495,11.7042,16.351,20.9978,15.6179,,14.304,-4.3676,0.9745,-5.342,41.4988,-2.89,-15.9053,38.9979,10.51,15.4786,,13.9071
2022-07-15,15.22,15.36,11.47,12.25,18841418,51.114,3.5739,11.1553,16.065,20.9747,15.1688,,13.7905,-4.266,0.8608,-5.1268,42.0872,-3.52,-22.3209,33.7765,10.5657,15.1793,,13.3586
2022-07-22,12.51,14.17,12.41,13.03,12658036,50.2046,3.4557,10.8053,15.8655,20.9257,14.8836,,13.6004,-4.0756,0.841,-4.9166,40.0646,-3.16,-19.5182,36.1466,10.6208,14.7443,,13.0257
2022-07-29,12.89,13.22,11.51,13.11,7304265,49.5841,3.331,10.5035,15.6605,20.8175,14.6472,,13.4778,-3.8736,0.8344,-4.708,33.1112,-2.77,-17.4433,36.398,10.6754,14.4107,,13.1343
2022-08-05,12.73,15.6,12.67,15.31,13396676,47.7287,3.3023,10.6772,15.423,20.1688,14.7355,,13.9358,-3.4956,0.9699,-4.4655,40.3563,-0.78,-4.8477,43.0401,10.7295,14.2064,,13.7071
2022-08-12,15.48,17.02,14.75,16.83,13694085,45.342,3.2286,10.9657,15.2595,19.5533,15.0148,,14.6594,-3.0385,1.1416,-4.1801,50.1494,1.47,9.5703,47.147,10.783,14.2821,,14.1829
2022-08-19,16.8,16.96,14.08,14.39,9902219,43.3509,3.2037,10.9577,15.081,19.2043,14.9315,,14.592,-2.8403,1.0718,-3.9121,52.1562,2.04,16.5182,41.9217,10.9077,14.1536,,14.3143
2022-08-26,14.1,14.73,13.2,13.99,9162633,41.7938,3.0841,10.8584,14.9585,19.0586,14.806,,14.4415,-2.6846,0.982,-3.6666,46.7602,2.69,23.8053,41.1172,11.03,14.0186,,14.13
2022-09-02,13.74,14.39,12.7,13.3,6794175,40.5126,2.9845,10.9853,14.6675,18.3497,14.6052,,14.1561,-2.587,0.8637,-3.4507,47.7624,-0.2,-1.4815,39.7018,11.1498,13.8193,,14.28
2022-09-09,13.39,14.67,12.76,14.47,5751488,39.1688,2.9078,11.108,14.502,17.896,14.5871,22.1624,14.2346,-2.3878,0.8503,-3.2381,45.7126,1.0,7.4239,43.268,11.2672,13.7557,22.1624,14.4857
