date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_50_sma,sma_7_sma
2020-06-12,41.9,64.4,40.66,51.22,51741537,,,,,,,,,,,,,,,,,,,
2020-06-19,49.85,52.4,43.25,45.37,16130109,,,,,,,,,,,,,,,,40.66,,,
2020-06-26,45.25,55.0,44.0,51.57,14614515,,,,,,,,,,,,,,,,40.7774,,,
2020-07-02,51.51,51.99,44.78,45.05,9832123,,,,,,,,,,,,,,,,41.0619,,,
2020-07-10,46.0,47.65,42.13,43.71,8181824,,,,,,,,,,,,,,,,41.3406,,,
2020-07-17,44.0,44.05,38.2,41.16,9284367,,,,,,,,,,,,,,,,55.0,,,
2020-07-24,40.76,43.74,38.32,39.59,6656825,,,,,,,,45.3814,,,,,,,,54.832,,,45.3814
2020-07-31,39.95,43.0,39.34,40.87,3798141,,,,,,,,44.2536,,,,,,,,54.6657,,,43.9029
2020-08-07,41.0,48.39,40.85,46.1,8932428,,,,,,,,44.7152,,,,,,,,54.501,,,44.0071
2020-08-14,46.44,47.99,36.9,38.88,13863396,,,,,,,,43.2564,,,,,,,,54.338,,,42.1943
2020-08-21,39.41,40.73,36.67,36.83,16547334,,,,,,,,41.6498,,,,,-14.39,-28.0945,,53.9893,,,41.02
2020-08-28,36.69,39.14,35.28,37.21,9126727,,,,,,,,40.5398,,,,,-8.16,-17.9855,,53.4697,,,40.0914
2020-09-04,37.35,39.75,31.31,32.61,13687043,,,,,,,,38.5574,,,,,-18.96,-36.7656,,52.7421,,,38.87
2020-09-11,31.64,33.9,31.38,31.99,6859669,,,,,,41.5829,,36.9155,,,,,-13.06,-28.99,,51.6705,41.5829,,37.7843
2020-09-18,33.29,33.84,30.83,32.34,13492977,,6.3092,,,,40.3505,,35.7717,,,,20.8302,-11.37,-26.0124,29.3706,50.6525,40.2343,,36.5657
2020-09-25,31.5,40.13,31.36,39.21,16805538,,6.485,,,,40.1984,,36.6312,,,,31.5263,-1.95,-4.7376,39.2006,49.4631,39.7943,,35.5814
2020-10-02,39.8,44.62,37.43,42.06,11078518,,6.5353,,,,40.4466,,37.9884,,,,28.2727,2.47,6.2389,42.7598,48.3451,39.115,,36.0357
2020-10-09,41.97,46.2,41.48,42.28,7453941,,6.4057,,,,40.6911,,39.0613,,,,34.6984,1.41,3.45,43.037,47.2942,38.9171,,36.8143
2020-10-16,42.7,44.31,40.56,42.63,5039696,,6.216,,,,40.9496,,39.9535,,,,35.6439,-3.47,-7.5271,43.5057,46.3064,38.84,,37.5886
2020-10-23,42.88,47.7,40.78,43.17,8634105,,6.2663,30.5862,41.1925,51.7988,41.2457,,40.7576,,,,42.5568,4.29,11.034,44.2677,30.83,38.9836,,39.0971
2020-10-30,42.53,43.72,35.5,37.99,7531131,,6.4055,30.9038,40.531,50.1582,40.8116,,40.0657,,,,42.3695,1.16,3.1496,38.8539,30.9987,38.8693,,39.9543
2020-11-06,38.28,42.59,36.43,41.67,6024649,,6.3879,30.9586,40.346,49.7334,40.926,,40.4668,,,,43.2573,4.46,11.986,44.0856,31.1657,38.9264,,41.2871
2020-11-13,39.81,44.28,37.0,42.24,12398334,,6.4516,31.9565,39.8795,47.8025,41.1012,,40.9101,,,,44.3248,9.63,29.5308,44.8724,31.3311,38.6507,,41.72
