date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2022-02-18,20.19,20.42,19.96,17.0,31879,14553.4565,,,,,,,,,,,,0.2283,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,31879.0,,,,,,,,,,,,,,,,,,,,,,,
2022-02-25,20.7,21.45,20.36,17.21,67360,-29704.2699,,,,,,,,,,,,-0.1404,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,99239.0,,,,,,16.7195,,,,,,,,,,,,0.9675,,,,,
2022-03-04,20.98,23.76,20.83,19.88,447053,409037.4341,,,,,,,,,,,,0.9408,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,546292.0,,,,,,16.732,,,,,,,,,,,,2.6914,,,,,
2022-03-11,24.35,27.24,22.61,19.41,165994,283197.4903,,,,,,,,,,,,-0.2549,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,380298.0,,,,,,16.7954,,,,,,,,,,,,3.8783,,,,,
2022-03-18,22.67,22.67,21.48,18.9,56926,329599.3558,,,,,,,,,,,,-0.0924,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,323372.0,,,,,,16.9761,,,,,,,,,,,,1.4156,,,,,
2022-03-25,23.03,24.04,22.91,19.99,58135,369973.5881,,,,,,,,,,,,0.7375,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,381507.0,,,,,,17.1513,,,,,,,,,,,,1.2397,,,,,
2022-04-01,23.31,23.45,22.41,19.2,83860,369021.1839,,,,,,,,,,,,-0.3709,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,297647.0,,,,,,17.3213,,,,,,39.773,32.6361,,,,,1.2194,,,,,
2022-04-08,23.36,23.36,22.56,19.24,74625,370476.3714,,,,,,,,,,,,-0.4903,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,372272.0,,,,,,17.4862,,,,,,36.4782,25.8299,,,,,0.6701,,,,,
2022-04-14,22.84,24.04,22.52,20.04,74844,434181.6696,,,,,,,,,,,,0.7151,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,447116.0,,,,,,17.6461,,,,42.5335,51.3493,51.3493,95.582,,,,,1.2731,,,,,
2022-04-22,24.33,24.33,23.37,19.62,133097,314922.6534,65061.431,,,,,,,,,,,-0.948,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,314019.0,,,,,,17.8013,,,,48.6082,57.9971,57.9971,52.5795,,,,,0.8041,,,,,
2022-04-29,22.75,23.8,22.65,19.59,119018,349075.6447,51069.4535,,,,,,,,,,,0.5565,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,2.5925,,195001.0,,,15.2501,,,17.9518,,,,58.5797,66.3926,66.3926,51.0162,,,,,0.9633,,,,,
2022-05-06,23.19,23.73,22.98,19.71,58379,376941.8873,49569.3169,,,,,,,,,,,0.4587,,,,,19.1497,,,,,,,,,,0,,,,,,,,,,,,,,2.5021,,253380.0,,,14.5374,,,18.0978,,,,59.1983,53.2051,53.2051,56.0197,,,,,0.6282,,,,,
2022-05-13,23.24,23.24,22.36,19.28,107660,429426.1373,61148.8572,,,,,,,,,,,-0.2563,,,,,19.1695,,,,,,,,,,0,,,,,,,,,,,,,,-0.6017,,145720.0,,,-3.0266,,,18.2394,,,,55.4502,46.7531,46.7531,33.2234,,,,,0.9834,,,,,
2022-05-20,22.88,23.43,22.63,19.47,99716,481771.1159,76982.1753,,,,,,,,,,,0.4501,,,,,19.2153,19.1816,,,,,,,,,0,,,,,,,,,,,18.5213,19.7686,,0.0586,,245436.0,,,0.3021,,,18.3767,,,,48.1986,44.6377,44.6377,44.6701,,,,,0.67,19.3947,,,-54.9451,19.4596
2022-05-27,23.25,24.01,23.14,20.11,119821,601592.1159,114585.9259,,,,0.0,21.4286,21.4286,1.2952,,,,0.8735,,36.9372,,54.1765,19.3532,19.3056,,,,,,,,,0,19.5201,,,,,,,,,78.1573,18.6616,19.9361,13.6527,1.2146,6.44,365257.0,45.9354,,6.4273,1.1831,68.4686,18.5099,,,,50.2295,59.2978,59.2978,100.0,,,,,0.7288,19.506,,,-46.9484,19.5837
2022-06-03,24.34,24.7,23.77,20.56,360535,839290.8305,195183.7852,,,,0.0,14.2857,14.2857,1.2582,,,,0.218,,40.3366,,56.8454,19.5385,19.4726,,,,,,,,,0,19.6118,,,,,,,,,81.6644,19.7276,20.1346,13.0087,0.5657,6.1201,725792.0,47.2801,,2.8299,1.1944,70.1683,18.6392,,,,61.081,79.3074,79.3074,93.2521,,,,,0.7764,19.5865,,,-42.1145,19.7375
2022-06-10,24.59,25.54,24.35,20.61,308321,661063.0794,153702.8264,,,,0.0,7.1429,7.1429,1.2392,,,,0.0084,,40.7111,,59.89,19.7028,19.6237,,,,,,,,,0,19.6304,,,,,,,,,80.5969,19.7518,20.4052,12.2154,1.4034,6.0137,1034113.0,48.6939,,7.3083,1.0365,70.3555,18.7645,,,,75.5132,87.9344,87.9344,70.5512,,,,,0.9926,19.6341,,,-45.8333,19.866
2022-06-17,24.29,24.7,23.41,19.79,155149,556962.3263,89637.3921,,,,7.1429,0.0,-7.1429,1.2276,,,,-0.5203,,26.2829,,47.292,19.7157,19.6454,,,,,,,,,0,19.632,,,,,,,,,71.836,19.7518,19.6911,16.2665,0.5475,6.2041,878964.0,45.4566,,2.8457,1.0195,63.1415,18.8861,,,,77.7393,65.9761,65.9761,34.1251,,,,,1.0764,19.6898,,,-47.1911,19.8782
2022-06-24,23.88,25.41,22.88,19.35,61953,506077.6093,39089.3597,,,,0.0,85.7143,85.7143,1.2913,,,,-0.3059,,19.3423,,50.4876,19.6602,19.6067,,,,,,,,,0,19.6288,,,,,,,,,71.4898,19.9045,20.0597,14.2568,-0.6876,6.6715,817011.0,43.3321,,-3.4309,1.0242,59.6711,19.0041,,,,63.88,37.7295,37.7295,8.5122,,,,,2.1193,19.7359,,,-76.5039,19.8293
2022-07-01,23.06,23.8,22.29,18.86,76845,452760.9654,-2107.3456,,,,100.0,78.5714,-21.4286,1.2891,17.6134,19.3912,21.1689,-0.3585,-25.2567,11.8222,,42.7941,19.5377,19.5077,,,,,,,,,0,19.603,,,,,,,,,67.7169,19.7352,20.0303,16.0864,-0.7536,6.8334,740166.0,40.1541,,-3.8412,0.9436,55.9111,22.8176,,19.3912,,40.0949,16.5792,16.5792,7.1002,,,,,1.2607,19.76,,,-92.8998,19.7106
2022-07-08,22.07,22.07,20.72,18.15,210270,537896.9521,8319.7567,,,,100.0,71.4286,-28.5714,1.3047,17.9283,19.4487,20.9691,-0.2976,-165.6687,1.7728,,24.5473,19.3243,19.3267,,,,,,,,,0,19.5574,,,,,,,,,63.9183,19.3784,19.3728,22.2259,-1.4422,7.1883,529896.0,36.6876,,-7.3608,0.9452,50.8864,22.7762,,19.4487,,22.0259,11.769,11.769,19.6947,0.0,0.0,,,1.5081,19.7733,,,-80.3053,19.5074
2022-07-15,21.51,21.78,20.33,17.54,118253,518748.1215,5736.2381,,,,100.0,64.2857,-35.7143,1.2983,18.0371,19.4651,20.893,-0.3948,-215.5355,-6.0263,,20.4305,19.0495,19.0883,,,,,,,,,0,19.4511,,,,,,,,,59.2263,19.0723,19.2094,22.5513,-2.1749,7.4025,411643.0,34.1319,,-11.0325,0.9116,46.9868,22.6678,,19.4651,,13.7556,12.9185,12.9185,11.9606,0.0,0.0,,,1.2146,19.7359,,,-88.3266,19.2327
2022-07-22,21.29,21.44,20.82,17.47,57058,469035.2229,-11659.8724,,,,92.8571,57.1429,-35.7143,1.2426,17.6894,19.3447,21.0001,-0.6937,-179.7475,-6.8428,,20.4305,18.8071,18.873,,,,,,,,,0,19.2122,,,,,,,,,58.7368,19.0398,19.2094,21.8505,-1.8047,7.1116,354585.0,33.0712,,-9.3615,0.8718,46.5786,22.4986,,19.3447,,12.9057,14.0295,14.0295,10.4331,0.0,0.0,,,0.5193,19.6279,,,-89.8175,18.9655
