date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_50_sma,sma_7_sma
1999-11-12,14.56,14.69,14.31,1.13,82300,,,,,,,,,,,,,,,,,,,
1999-11-19,14.5,14.69,13.31,1.1,137400,,,,,,,,,,,,,,,,1.0369,,,
1999-11-26,14.13,14.38,13.63,1.09,73400,,,,,,,,,,,,,,,,1.0369,,,
1999-12-03,14.13,14.38,13.69,1.11,87100,,,,,,,,,,,,,,,,1.0369,,,
1999-12-10,14.13,14.5,14.0,1.09,71300,,,,,,,,,,,,,,,,1.038,,,
1999-12-17,14.0,14.0,13.31,1.08,213200,,,,,,,,,,,,,,,,1.1444,,,
1999-12-23,14.25,16.0,14.25,1.23,330600,,,,,,,,1.1185,,,,,,,,1.0369,,,1.1185
1999-12-31,16.38,20.31,16.38,1.56,546400,,,,,,,,1.2284,,,,,,,,1.0369,,,1.1797
2000-01-07,20.75,21.0,18.63,1.62,489100,,,,,,,,1.3254,,,,,,,,1.0478,,,1.2534
2000-01-14,21.5,23.0,21.06,1.7,648700,,,,,,,,1.4202,,,,,,,,1.0655,,,1.3411
2000-01-21,22.19,24.75,21.94,1.79,646400,,,,,,,,1.5131,,,,,0.6622,58.6207,,1.0945,,,1.4385
2000-01-28,24.0,25.88,23.63,1.86,525300,,,,,,,,1.6011,,,,,0.7642,69.4268,,1.1362,,,1.5491
2000-02-04,23.0,25.25,21.88,1.95,454600,,,,,,,,1.6889,,,,,0.8616,79.0,,1.189,,,1.6736
2000-02-11,25.75,30.13,25.56,2.31,656300,,,,,,1.4736,,1.8449,,,,,1.2028,108.3509,,1.2386,1.4736,,1.8287
2000-02-18,29.81,45.5,29.69,3.2,1530600,,0.2522,,,,1.7037,,2.1834,,,,89.7683,2.1081,193.2857,96.9092,1.3162,1.6214,,2.0631
2000-02-25,40.0,40.0,34.0,2.8,1102500,,0.2734,,,,1.8492,,2.3363,,,,72.7544,1.7143,158.5946,80.9568,1.4945,1.7425,,2.2315
2000-03-03,35.75,38.81,34.31,3.02,609400,,0.2789,,,,2.0051,,2.5069,,,,75.8444,1.7918,146.0317,82.6599,1.6585,1.8802,,2.4193
2000-03-10,38.5,39.0,31.5,2.66,463500,,0.3008,,,,2.0929,,2.5461,,,,70.5987,1.1055,70.95,71.6893,1.8094,1.9911,,2.5438
2000-03-17,33.25,33.56,26.75,2.31,631000,,0.3207,,,,2.1216,,2.4866,,,,65.2953,0.6918,42.7952,62.7241,1.9482,2.0781,,2.6071
2000-03-24,30.19,32.0,26.0,2.43,512300,,0.3312,0.4786,1.852,3.2254,2.1621,,2.4713,,,,62.3192,0.7206,42.2761,64.3054,3.5446,2.1741,,2.6747
2000-03-31,31.38,31.63,26.38,2.26,253400,,0.3367,0.566,1.9085,3.251,2.1751,,2.4183,,,,59.9331,0.4674,26.087,60.3879,3.5294,2.2479,,2.667
2000-04-07,28.75,31.63,25.0,2.41,350900,,0.3496,0.6683,1.974,3.2797,2.2064,,2.4163,,,,59.921,0.5453,29.2398,62.6215,3.5144,2.3087,,2.5544
2000-04-14,31.0,31.0,22.0,1.74,369800,,0.3747,0.7595,2.0066,3.2537,2.1447,,2.2481,,,,56.4153,-0.2088,-10.6943,49.3887,3.4831,2.3178,,2.4041
2000-04-20,22.5,24.0,20.88,1.75,398700,,0.3653,0.8542,2.0388,3.2234,2.0925,,2.1243,,,,52.1808,-0.5601,-24.2169,49.5497,3.43,2.3213,,2.2233
2000-04-28,22.25,24.56,21.0,1.91,222600,,0.359,0.9754,2.0799,3.1844,2.0686,,2.0715,,,,50.3496,-1.2854,-40.1851,52.351,3.3579,2.3299,,2.1161
2000-05-05,24.81,26.5,23.63,2.05,158400,,0.3493,1.1228,2.1283,3.1339,2.0661,,2.0661,,,,48.5787,-0.7455,-26.6722,54.6545,3.2886,2.3431,,2.0792
2000-05-12,25.94,26.44,23.56,1.92,140800,,0.3404,1.2396,2.1629,3.0863,2.0464,,2.0292,,,,50.084,-1.1,-36.4387,52.0529,3.2221,2.3407,,2.0068
2000-05-19,24.63,25.5,23.63,1.88,147900,39.9734,0.3265,1.2883,2.1793,3.0702,2.0248,,1.9931,,,,45.134,-0.779,-29.2483,51.3633,3.1583,2.3101,,1.9533
2000-05-26,23.63,23.94,21.56,1.73,168100,37.8122,0.3178,1.3075,2.1851,3.0627,1.986,,1.9281,,,,24.9138,-0.5749,-24.9072,48.3236,3.097,2.2055,,1.8566
2000-06-02,22.5,25.56,22.5,1.99,110300,36.2486,0.3135,1.3442,2.1992,3.0542,1.986,,1.9427,,,,34.0923,-0.4386,-18.0854,53.3088,3.0382,2.1477,,1.8913
2000-06-09,26.25,28.88,25.88,2.14,304000,35.5876,0.3099,1.3817,2.2167,3.0518,2.0069,,1.9926,,,,26.0107,-0.1169,-5.1724,56.1145,2.9818,2.0851,,1.9469
2000-06-16,27.75,29.25,26.38,2.13,142000,35.0549,0.3038,1.4096,2.2301,3.0506,2.0237,,2.0277,,,,32.7798,-0.2773,-11.5061,55.8975,2.9276,2.0472,,1.9783
2000-06-23,27.63,29.75,27.38,2.28,124300,34.6739,0.2953,1.4358,2.2464,3.0571,2.0577,,2.0905,,,,42.3686,0.5352,30.6971,58.5857,2.8755,2.0451,,2.011
2000-06-30,29.5,30.0,27.5,2.31,175600,34.3794,0.2881,1.4358,2.2464,3.0571,2.0917,,2.1461,0.2053,-0.088,0.2933,54.1585,0.5601,31.9556,59.2156,2.8256,2.0371,,2.0674
2000-07-07,29.69,31.44,29.38,2.42,74100,34.4437,0.279,1.5178,2.2073,2.8967,2.1348,,2.2133,0.2086,-0.0678,0.2764,60.8912,0.5017,26.2215,61.1121,2.7776,2.0482,,2.1431
2000-07-14,31.25,32.0,30.38,2.39,140800,34.6316,0.2681,1.5458,2.1868,2.8279,2.1684,,2.2566,0.2065,-0.0559,0.2624,57.5446,0.3365,16.4196,60.2598,2.7316,2.0465,,2.2364
2000-07-21,30.38,31.5,29.63,2.34,101500,34.4296,0.2593,1.6307,2.153,2.6752,2.1915,,2.2779,0.199,-0.0507,0.2497,63.2611,0.423,22.0463,58.897,2.6874,2.0892,,2.2872
2000-07-28,29.88,30.38,27.25,2.15,113600,33.1482,0.2582,1.6605,2.1274,2.5943,2.1863,,2.2465,0.1758,-0.0591,0.2349,69.6442,0.268,14.2208,53.3571,2.6449,2.1178,,2.2886
2000-08-04,27.81,29.44,26.88,2.29,115600,31.7997,0.254,1.6609,2.1267,2.5924,2.2006,,2.2583,0.1668,-0.0545,0.2213,68.5937,0.5601,32.3146,56.6294,2.6042,2.1449,,2.3115
2000-08-11,29.31,30.13,28.0,2.24,115200,30.7734,0.2477,1.6687,2.1172,2.5656,2.2052,,2.2525,0.1532,-0.0545,0.2077,68.1865,0.2485,12.5098,54.9103,2.5651,2.1582,,2.3053
2000-08-18,28.5,29.0,28.0,2.22,105000,29.8205,0.2356,1.6689,2.115,2.5611,2.2066,,2.2432,0.1393,-0.0547,0.194,68.8376,0.0732,3.4182,54.3184,2.5276,2.1794,,2.2914
2000-08-25,28.06,30.44,27.81,2.43,174600,29.6491,0.2342,1.6674,2.1158,2.5642,2.236,,2.2893,0.1437,-0.0403,0.1839,76.3164,0.2943,13.7969,59.4372,2.4915,2.2181,,2.2931
2000-09-01,30.31,32.25,29.88,2.58,162100,29.9995,0.231,1.7005,2.1575,2.6145,2.2814,,2.3611,0.1574,-0.0213,0.1786,83.6045,0.298,13.0785,62.6205,1.6266,2.2784,,2.3204
2000-09-08,32.5,32.5,30.63,2.51,110100,30.3923,0.2252,1.7537,2.1952,2.6367,2.3115,,2.3976,0.1608,-0.0143,0.1751,83.8472,0.1942,8.3974,60.2515,1.6361,2.3156,,2.344
2000-09-15,31.38,31.75,30.63,2.53,111200,30.757,0.2155,1.7813,2.2261,2.671,2.3409,,2.4312,0.1636,-0.0092,0.1728,75.6247,0.1169,4.8423,60.8202,1.6554,2.3434,,2.3982
2000-09-22,31.44,31.69,30.31,2.51,83300,30.8929,0.208,1.7959,2.249,2.7022,2.3631,,2.4502,0.1619,-0.0087,0.1706,69.8681,0.121,5.0708,59.8972,1.6742,2.3701,,2.4287
2000-09-29,31.25,32.56,31.0,2.5,116000,31.2971,0.202,1.839,2.2782,2.7173,2.3816,,2.4631,0.1584,-0.0098,0.1681,69.9747,0.1598,6.8243,59.677,1.6926,2.386,,2.4668
2000-10-06,31.06,31.06,28.94,2.31,138700,30.42,0.2011,1.8992,2.2995,2.6999,2.3723,,2.4254,0.1386,-0.0236,0.1622,61.1611,0.1598,7.4221,52.6219,1.7199,2.386,,2.4806
2000-10-13,28.75,28.75,26.19,2.2,168800,28.2808,0.2025,2.0127,2.3227,2.6328,2.349,,2.3683,0.1124,-0.0398,0.1523,54.0572,-0.0963,-4.1988,48.8436,1.7463,2.3704,,2.4477
2000-10-20,27.75,28.38,26.81,2.2,154500,26.2944,0.1969,2.0572,2.3333,2.6094,2.3287,2.0672,2.3255,0.0906,-0.0493,0.14,54.0591,-0.0379,-1.6944,48.8436,1.772,2.3569,2.0672,2.3935
2000-10-27,27.75,28.56,27.19,2.19,154900,24.533,0.1907,2.0658,2.3358,2.6057,2.3106,2.0721,2.2923,0.0721,-0.0543,0.1264,60.8106,-0.0232,-1.0466,48.6747,1.7969,2.3463,2.0884,2.3485
2000-11-03,27.5,28.69,26.75,2.28,147300,22.8806,0.1882,2.0882,2.3432,2.5982,2.3067,2.0803,2.2897,0.064,-0.05,0.1139,67.3136,-0.1454,-5.9908,52.0104,1.821,2.3555,2.112,2.3128
2000-11-10,28.38,29.25,27.38,2.2,84100,21.4311,0.1854,2.0784,2.3394,2.6004,2.2928,2.0851,2.2677,0.0504,-0.0508,0.1012,66.7863,-0.3747,-14.5426,48.9514,1.8444,2.349,2.1343,2.2692
2000-11-17,26.88,26.88,23.88,2.05,215400,21.2488,0.1931,2.037,2.3264,2.6158,2.2607,2.0838,2.214,0.0274,-0.0591,0.0864,58.2614,-0.4546,-18.1326,43.7673,1.8671,2.3359,2.1531,2.2051
2000-11-24,23.06,23.13,21.5,2.0,435900,21.1032,0.19,1.9873,2.3058,2.6242,2.2264,2.0806,2.1612,0.005,-0.0652,0.0702,51.013,-0.5291,-20.8966,42.1674,1.8892,2.3207,2.1714,2.1609
2000-12-01,22.75,23.38,21.06,1.97,236100,21.156,0.1911,1.9382,2.2852,2.6321,2.1928,2.0765,2.1145,-0.0148,-0.068,0.0532,42.4584,-0.5326,-21.2448,41.2423,2.6015,2.2884,2.1892,2.1291
2000-12-08,22.5,24.75,21.81,2.17,142000,20.3483,0.1961,1.927,2.2765,2.626,2.1895,2.0801,2.128,-0.0147,-0.0543,0.0396,41.2009,-0.3332,-13.3206,49.4205,2.5941,2.2592,2.2081,2.125
2000-12-15,24.75,25.13,21.5,1.95,192400,19.3742,0.205,1.8916,2.2662,2.6409,2.1572,2.0749,2.0828,-0.0322,-0.0574,0.0252,34.9023,-0.3651,-15.7913,42.1997,2.5868,2.2192,2.2158,2.0899
2000-12-22,22.25,23.06,20.63,1.87,228400,18.9081,0.2057,1.833,2.2451,2.6571,2.1189,2.0668,2.0296,-0.0516,-0.0614,0.0099,33.8594,-0.3271,-14.8863,40.0089,2.5796,2.172,2.2209,2.0311
2000-12-29,21.38,21.94,20.81,1.92,270900,18.4753,0.1982,1.7935,2.2293,2.6651,2.0924,2.0611,2.0021,-0.0622,-0.0577,-0.0046,31.9985,-0.2775,-12.6305,42.0928,2.5645,2.13,2.2252,1.9908
2001-01-05,21.94,22.31,20.06,1.78,159200,18.4576,0.1982,1.73,2.2076,2.6852,2.0509,2.0501,1.947,-0.0809,-0.0611,-0.0198,26.7638,-0.4108,-18.7371,38.1203,2.5497,2.0786,2.225,1.952
2001-01-12,20.06,21.0,19.06,1.86,512100,18.9166,0.1964,1.6897,2.1792,2.6686,2.0253,2.0426,1.9249,-0.0885,-0.0549,-0.0335,24.1981,-0.4233,-18.5495,41.4396,2.5265,2.0462,2.2249,1.9314
2001-01-19,21.13,21.56,20.94,1.87,163200,18.9254,0.1862,1.6726,2.1438,2.6151,2.0046,2.0358,1.9112,-0.0925,-0.0471,-0.0453,29.4482,-0.3319,-15.0716,41.9407,2.4929,2.0228,2.2232,1.9165
