date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_50_sma,sma_7_sma
1999-11-12,39.0,44.75,38.69,19.65,125713600,,,,,,,,,,,,,,,,,,,
1999-11-19,44.5,45.13,42.88,20.02,85970400,,,,,,,,,,,,,,,,17.6831,,,
1999-11-26,43.5,43.5,41.31,19.52,50990000,,,,,,,,,,,,,,,,17.7125,,,
1999-12-03,42.25,42.5,37.0,17.11,126065200,,,,,,,,,,,,,,,,20.6264,,,
1999-12-10,37.75,37.94,22.5,13.91,491644000,,,,,,,,,,,,,,,,20.5893,,,
1999-12-17,31.5,32.13,28.94,13.71,191083200,,,,,,,,,,,,,,,,20.3831,,,
1999-12-23,29.06,33.88,27.88,15.08,123710000,,,,,,,,17.0027,,,,,,,,20.1812,,,17.0027
1999-12-31,33.88,39.75,33.0,17.83,110839200,,,,,,,,17.2098,,,,,,,,19.9832,,,16.7424
2000-01-07,39.75,39.94,34.06,16.29,111554800,,,,,,,,16.9799,,,,,,,,19.7892,,,16.2092
2000-01-14,36.25,36.94,32.0,15.95,96430400,,,,,,,,16.7217,,,,,,,,19.5991,,,15.6981
2000-01-21,36.25,40.13,35.75,17.83,121098400,,,,,,,,16.9991,,,,,-1.8219,-9.2705,,19.4128,,,15.8008
2000-01-28,39.38,43.88,36.0,19.2,163212000,,,,,,,,17.5499,,,,,-0.8205,-4.0978,,10.2835,,,16.5566
2000-02-04,42.13,43.44,40.0,18.29,91973600,,,,,,,,17.7345,,,,,-1.2367,-6.3341,,10.3813,,,17.2104
2000-02-11,39.94,41.75,38.25,18.12,73181200,,,,,,17.3235,,17.8306,,,,,1.0073,5.8865,,10.4781,17.3235,,17.6442
2000-02-18,39.06,40.0,37.44,17.2,91532400,,2.4591,,,,17.3076,,17.6741,,,,47.7009,3.2922,23.6637,43.1759,10.5739,17.1486,,17.5547
2000-02-25,38.0,39.56,35.63,17.83,55018400,,2.4118,,,,17.3774,,17.7134,,,,43.2484,4.1197,30.0457,45.2353,10.6688,16.992,,17.7748
2000-03-03,39.0,40.75,37.0,18.4,123571600,,2.362,,,,17.5141,,17.8856,,,,48.5669,3.32,22.0126,47.1184,10.7628,16.9118,,18.1256
