date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2014-10-31,29.85,31.98,29.37,31.5,32169147,20336817.069,,,,,,,,,,,,0.6322,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,32169147.0,,,,,,,,,,,,,,,,,,,,,,,
2014-11-07,30.61,31.89,29.01,29.76,32240869,4888067.3398,,,,,,,,,,,,-0.2951,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-71722.0,,,,,,31.98,,,,,,,,,,,,2.88,,,,,
2014-11-14,29.03,31.3,28.56,30.7,18416214,15238786.1573,,,,,,,,,,,,0.6095,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,18344492.0,,,,,,31.9503,,,,,,,,,,,,2.74,,,,,
2014-11-21,30.7,32.5,30.21,32.3,15270881,27842264.3626,,,,,,,,,,,,0.6987,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,33615373.0,,,,,,28.56,,,,,,,,,,,,2.29,,,,,
2014-11-28,32.88,35.38,32.34,35.2,6209936,33316813.2047,,,,,,,,,,,,0.7632,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,39825309.0,,,,,,28.56,,,,,,,,,,,,3.08,,,,,
2014-12-05,35.01,35.18,33.71,34.1,6538658,30247647.2047,,,,,,,,,,,,-0.619,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,33286651.0,,,,,,28.6964,,,,,,,,,,,,1.49,,,,,
2014-12-12,34.1,34.34,32.58,32.86,5162621,26727184.984,,,,,,,,,,,,-0.7046,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,28124030.0,,,,,,28.8301,,,,,,80.5474,63.0499,,,,,1.7599,,,,,
2014-12-19,32.91,34.57,32.39,33.98,6620316,29764027.1859,,,,,,,,,,,,0.4908,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,34744346.0,,,,,,28.9611,,,,,,72.4007,72.9207,,,,,2.18,,,,,
2014-12-26,33.9,34.38,33.51,33.73,3442198,28062710.933,,,,,,,,,,,,-0.1954,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,31302148.0,,,,,,29.0894,,,,71.171,60.5647,60.5647,45.7237,,,,,0.87,,,,,
2015-01-02,33.57,34.29,32.74,33.42,2001225,27817399.4814,2186843.442,,,,,,,,,,,-0.0968,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,29300923.0,,,,,,29.2153,,,,61.6065,51.854,51.854,36.9176,,,,,1.55,,,,,
