date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2015-07-17,79.5,79.7,76.4,49.98,45890442,43943574.7636,,,,,,,,,,,,0.0394,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,45890442.0,,,,,,,,,,,,,,,,,,,,,,,
2015-07-24,79.95,81.2,75.95,48.3,27700660,21697462.2813,,,,,,,,,,,,-0.6359,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,18189782.0,,,,,,47.9537,,,,,,,,,,,,2.9536,,,,,
2015-07-31,76.63,79.94,76.29,50.24,15881324,33488801.4704,,,,,,,,,,,,0.7781,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,34071106.0,,,,,,47.9838,,,,,,,,,,,,2.3074,,,,,
2015-08-07,80.0,81.19,77.29,49.6,14779093,27577164.2704,,,,,,,,,,,,-0.3949,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,19292013.0,,,,,,48.0129,,,,,,,,,,,,2.4654,,,,,
2015-08-14,79.43,80.48,75.12,48.31,16321104,19186844.7239,,,,,,,,,,,,-0.5613,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2970909.0,,,,,,51.3254,,,,,,,,,,,,3.3903,,,,,
2015-08-21,75.86,76.41,72.26,45.69,15068029,4191432.7311,,,,,,,,,,,,-0.8651,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-12097120.0,,,,,,51.3254,,,,,,,,,,,,2.6298,,,,,
2015-08-28,68.24,75.25,61.42,47.22,27712142,29659352.0962,,,,,,,,,,,,0.4664,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,15615022.0,,,,,,51.2125,,,,,,29.5632,67.1219,,,,,8.7428,,,,,
2015-09-04,74.21,74.43,69.64,44.61,15938605,19909850.4992,,,,,,,,,,,,-0.7599,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-323583.0,,,,,,50.841,,,,,,37.8387,46.2822,,,,,3.1924,,,,,
2015-09-11,71.85,74.5,70.81,46.63,13153489,27787685.3745,,,,,,,,,,,,0.5176,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,12829906.0,,,,,,50.4806,,,,42.2614,59.3824,59.3824,64.7429,,,,,2.4844,,,,,
2015-09-18,73.5,77.76,72.56,47.69,18997977,29850310.363,-449626.9682,,,,,,,,,,,0.3727,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,31827883.0,,,,,,50.131,,,,54.2767,65.6091,65.6091,85.8022,,,,,3.2904,,,,,
