date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,64.5,66.31,63.31,26.68,7615100,3502946.0,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,7615100.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,66.94,69.56,65.38,26.88,10717100,-4034918.5933,,,,,,,,,,,,-0.2249,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,18332200.0,,,,,,25.7881,,,,,,,,,,,,1.7026,,,,,
1999-11-26,66.0,67.63,65.31,26.96,5729200,-5417828.9381,,,,,,,,,,,,0.0819,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,24061400.0,,,,,,25.8136,,,,,,,,,,,,0.945,,,,,
1999-12-03,65.94,67.19,62.75,27.34,8944100,3284538.6294,,,,,,,,,,,,0.268,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,33005500.0,,,,,,28.334,,,,,,,,,,,,1.8086,,,,,
1999-12-10,67.13,67.81,62.94,25.87,6626500,-2448591.6957,,,,,,,,,,,,-0.7853,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,26379000.0,,,,,,28.3062,,,,,,,,,,,,1.8808,,,,,
1999-12-17,62.75,65.44,60.88,25.84,10197200,-2314418.0115,,,,,,,,,,,,0.0965,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,16181800.0,,,,,,28.2788,,,,,,,,,,,,1.8649,,,,,
1999-12-23,63.19,65.56,62.0,26.38,5061700,-266988.798,,,,,,,,,,,,0.368,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,21243500.0,,,,,,28.2111,,,,,,30.9766,54.3641,,,,,1.4559,,,,,
1999-12-31,64.56,66.5,64.13,26.76,5044100,265089.2611,,,,,,,,,,,,0.3713,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,26287600.0,,,,,,28.1449,,,,,,50.113,68.4808,,,,,0.9693,,,,,
2000-01-07,64.5,65.94,62.06,26.94,7852200,7874437.7147,,,,,,,,,,,,0.3557,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,34139800.0,,,,,,28.0799,,,,49.0225,65.9778,65.9778,75.0886,,,,,1.5868,,,,,
2000-01-14,66.5,68.0,64.44,26.76,7148800,4741817.49,2195816.7696,,,,,,,,,,,-0.2978,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,26991000.0,,,,,,28.0163,,,,61.7652,69.2048,69.2048,64.0449,,,,,1.4559,,,,,
2000-01-21,65.31,66.13,63.13,26.46,7034400,5023193.49,2042962.3107,,,,,,,,,,,-0.2067,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,-0.2241,,19956600.0,,,-0.8401,,,27.9539,,,,65.5016,61.3223,61.3223,44.8333,,,,,1.2269,,,,,
2000-01-28,64.25,66.06,60.88,25.82,9346300,3796266.0769,1404321.0997,,,,,,,,,,,-0.2162,,,,,26.5583,,,,,,,,,,0,,,,,,,,,,,,,,-1.0658,,10610300.0,,,-3.9644,,,27.8928,,,,59.1178,46.8265,46.8265,31.6011,,,,,2.1184,,,,,
