date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,22.62,24.25,22.25,8.5,14042800,24434472.0,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,28085600.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,24.12,24.12,22.75,8.14,13650100,11880365.4307,,,,,,,,,,,,-0.7299,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,785400.0,,,,,,7.8378,,,,,,,,,,,,0.4826,,,,,
1999-11-26,22.87,23.69,21.62,8.23,10852700,26874917.1215,,,,,,,,,,,,0.2415,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,22490800.0,,,,,,8.4965,,,,,,,,,,,,0.7292,,,,,
1999-12-03,23.12,23.12,20.5,7.24,18577400,-8578136.3136,,,,,,,,,,,,-0.9771,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-14664000.0,,,,,,8.4965,,,,,,,,,,,,1.011,,,,,
1999-12-10,19.44,19.56,15.0,5.66,84966400,-99507090.6996,,,,,,,,,,,,-0.7412,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-184596800.0,,,,,,8.471,,,,,,,,,,,,1.9586,,,,,
1999-12-17,15.81,16.56,14.88,5.72,42552700,-45809635.9377,,,,,,,,,,,,0.2619,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-99491400.0,,,,,,8.3754,,,,,,,,,,,,0.5918,,,,,
1999-12-23,16.0,19.5,15.94,6.82,29585500,9039886.5342,,,,,,,,,,,,0.9466,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-40320400.0,,,,,,8.2501,,,,,,25.7504,50.9648,,,,,1.2541,,,,,
1999-12-31,19.25,19.75,18.56,6.65,14556100,-4904612.6254,,,,,,,,,,,,-0.3193,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-69432600.0,,,,,,8.1297,,,,,,38.0713,48.4223,,,,,0.4192,,,,,
2000-01-07,19.12,20.19,18.56,6.67,37832700,-45290439.6193,,,,,,,,,,,,-0.1104,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,6232800.0,,,,,,8.0142,,,,40.8124,58.6156,58.6156,76.4595,,,,,0.5742,,,,,
2000-01-14,18.94,19.19,17.81,6.5,21644500,-49054700.4889,-18236302.5984,,,,,,,,,,,-0.3623,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-37056200.0,,,,,,7.9033,,,,53.554,63.9751,63.9751,67.0433,,,,,0.4861,,,,,
