date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2018-10-12,163.49,164.91,153.77,139.94,8659300,-4819359.0664,,,,,,,,,,,,-0.6508,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,8659300.0,,,,,,,,,,,,,,,,,,,,,,,
2018-10-19,156.61,167.52,155.99,143.17,11751300,-8702485.9528,,,,,,,,,,,,0.281,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,20410600.0,,,,,,137.7251,,,,,,,,,,,,10.3269,,,,,
2018-10-26,165.23,168.95,160.52,147.73,58618600,-5851522.0145,,,,,,,,,,,,-0.0344,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,79029200.0,,,,,,137.8483,,,,,,,,,,,,8.1505,,,,,
2018-11-02,166.22,169.16,155.44,143.16,107698986,-44472441.1923,,,,,,,,,,,,-0.465,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-28669786.0,,,,,,138.1177,,,,,,,,,,,,12.2884,,,,,
2018-11-09,157.65,166.85,157.45,144.67,21873464,-47404416.154,,,,,,,,,,,,0.4117,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-6796322.0,,,,,,138.5195,,,,,,,,,,,,8.4192,,,,,
2018-11-16,160.06,162.3,152.56,141.59,12322900,-45759675.9076,,,,,,,,,,,,-0.2033,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-19119222.0,,,,,,151.5093,,,,,,,,,,,,8.7237,,,,,
2018-11-23,158.61,161.45,156.02,139.89,7650842,-52931459.6609,,,,,,,,,,,,-0.4457,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-26770064.0,,,,,,151.3606,,,,,,35.1593,21.8675,,,,,4.8634,,,,,
2018-11-30,157.04,160.61,151.52,142.45,13858401,-43829737.5519,,,,,,,,,,,,0.2211,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-12911663.0,,,,,,151.2134,,,,,,32.6025,42.6871,,,,,8.1415,,,,,
2018-12-07,162.3,164.42,152.36,136.78,13227365,-56267409.1191,,,,,,,,,,,,-0.7944,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-26139028.0,,,,,,150.9034,,,,30.6297,24.1274,24.1274,7.8278,,,,,10.8016,,,,,
2018-12-14,156.03,162.46,154.11,140.56,12313328,-60263710.7814,-14935028.7259,,,,,,,,,,,0.1078,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-13825700.0,,,,,,150.5995,,,,29.1825,30.8176,30.8176,41.938,,,,,8.7237,,,,,
2018-12-21,157.19,159.44,152.44,137.85,16765311,-73819662.2471,-18031678.1756,,,,,,,,,,,-0.5829,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,-2.0843,,-30591011.0,,,-1.4895,,,150.3017,,,,25.9056,22.7717,22.7717,18.5494,,,,,6.3025,,,,,
2018-12-28,152.7,158.56,145.95,140.73,9131374,-67946907.0417,-15790641.9146,,,,,,,,,,,0.2863,,,,,141.5438,,,,,,,,,,0,,,,,,,,,,,,,,-2.4365,,-21459637.0,,,-1.7018,,,150.0099,,,,31.1198,39.7699,39.7699,58.8225,,,,,11.3535,,,,,
2019-01-04,156.23,158.16,151.93,141.02,7147177,-64310221.4735,-12281214.2257,,,,,,,,,,,0.0642,,,,,141.4636,,,,,,,,,,0,,,,,,,,,,,,,,-6.7073,,-14312460.0,,,-4.5402,,,149.4518,,,,36.1818,46.0037,46.0037,60.6394,,,,,5.6092,,,,,
2019-01-11,155.78,161.98,155.15,144.25,9611652,-59680304.1851,-8255909.7407,,,,,,,,,,,0.6486,,,,,141.8916,141.6995,,,,,,,,,0,,,,,,,,,,,142.2572,141.4579,,1.0838,,-4700808.0,,,0.7571,,,148.9104,,,,51.749,69.4733,69.4733,88.9582,,,,,6.1494,141.3353,,,-36.1328,141.2227
2019-01-18,158.37,161.45,156.21,144.77,10168923,-52073018.2767,-3438156.9586,,,,78.5714,21.4286,-57.1429,8.1837,,,,0.4618,,11.9988,,30.3226,142.3341,142.1086,,,,,,,,,0,144.2554,,,,,,,,,44.9438,142.2572,141.4579,17.0386,0.1013,5.653,5468115.0,9.1098,,0.07,1.0345,55.9994,148.3853,,,,65.4006,80.7247,80.7247,92.5764,,,,,4.7179,141.0821,,,-33.5352,141.6318
2019-01-25,161.61,161.78,156.43,143.01,7039309,-52770370.3832,-1376583.1309,,,,71.4286,14.2857,-57.1429,7.9432,,,,-0.5178,,6.9746,,28.8452,142.4384,142.2291,,,,,,,,,0,144.2498,,,,,,,,,41.8079,142.2572,141.4579,16.2489,1.4267,5.5542,-1571194.0,8.9734,,1.0077,0.9989,53.4873,147.8759,,,,79.1712,87.3155,87.3155,80.4117,,,,,4.8169,140.8951,,,-42.2687,141.7608
