date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,56.63,58.0,53.25,10.15,6465200,24554149.0526,,,,,,,,,,,,0.2632,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,25860800.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,53.75,56.63,52.75,9.64,10443900,31229631.5269,,,,,,,,,,,,0.3222,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-15914800.0,,,,,,10.1699,,,,,,,,,,,,0.8995,,,,,
1999-11-26,55.0,55.06,50.75,8.98,6291700,11201296.4921,,,,,,,,,,,,-0.884,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-41081600.0,,,,,,10.1607,,,,,,,,,,,,0.7557,,,,,
1999-12-03,51.44,56.13,47.94,9.46,12090800,33699927.9939,,,,,,,,,,,,0.3053,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,7281600.0,,,,,,10.1355,,,,,,,,,,,,1.4361,,,,,
1999-12-10,53.69,55.13,51.13,9.1,9147000,10832427.9939,,,,,,,,,,,,-0.4525,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-29306400.0,,,,,,10.0836,,,,,,,,,,,,0.7014,,,,,
1999-12-17,52.13,57.5,51.75,9.93,8148000,33448441.9069,,,,,,,,,,,,0.7809,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3285600.0,,,,,,8.4059,,,,,,,,,,,,1.0082,,,,,
1999-12-23,56.38,59.31,54.19,10.27,5946800,50266735.6569,,,,,,,,,,,,0.4258,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,27072800.0,,,,,,8.4227,,,,,,74.4546,93.4037,,,,,0.8978,,,,,
1999-12-31,58.5,60.0,58.19,10.48,5501100,66192572.121,,,,,,,,,,,,0.6906,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,49077200.0,,,,,,8.4622,,,,,,94.0419,97.927,,,,,0.3174,,,,,
2000-01-07,58.81,59.44,51.38,9.42,7256200,54236947.3071,,,,,,,,,,,,-0.6278,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,20052400.0,,,,,,8.524,,,,80.7064,73.6228,73.6228,29.5378,,,,,1.4676,,,,,
2000-01-14,54.0,55.75,51.75,9.5,8007100,60676570.4432,13821168.348,,,,,,,,,,,0.0418,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,52080800.0,,,,,,8.5839,,,,73.6419,53.2608,53.2608,32.3177,,,,,0.6954,,,,,
