date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,95.31,96.19,93.13,19.68,4686500,6309928.1046,,,,,,,,,,,,0.1242,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,9373000.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,95.25,103.4,95.19,21.16,6130700,15482214.5816,,,,,,,,,,,,0.8672,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,21634400.0,,,,,,19.1538,,,,,,,,,,,,1.8059,,,,,
1999-11-26,100.5,100.9,95.44,19.75,4128400,7406882.7135,,,,,,,,,,,,-0.9158,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,13377600.0,,,,,,19.1761,,,,,,,,,,,,1.4187,,,,,
1999-12-03,94.25,100.8,93.19,20.54,6822200,15708271.9382,,,,,,,,,,,,0.6649,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,27022000.0,,,,,,19.1982,,,,,,,,,,,,1.5738,,,,,
1999-12-10,98.5,99.06,93.0,19.43,4289700,9790467.9778,,,,,,,,,,,,-0.7525,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,18442600.0,,,,,,19.2201,,,,,,,,,,,,1.3049,,,,,
1999-12-17,93.75,96.88,92.94,19.67,6799000,11309026.3534,,,,,,,,,,,,0.3503,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,32040600.0,,,,,,21.3834,,,,,,,,,,,,0.8148,,,,,
1999-12-23,93.5,94.63,91.88,19.24,4463600,10042987.0807,,,,,,,,,,,,-0.16,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,23113400.0,,,,,,21.3618,,,,,,15.424,13.082,,,,,0.6721,,,,,
1999-12-31,92.06,98.81,92.06,20.24,4158500,16068191.5252,,,,,,,,,,,,0.8622,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,31430400.0,,,,,,21.3145,,,,,,33.7612,67.2646,,,,,1.3959,,,,,
2000-01-07,96.06,103.8,90.63,21.26,9331800,31897531.8441,,,,,,,,,,,,0.5118,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,50094000.0,,,,,,18.7425,,,,35.5899,57.5845,57.5845,92.407,,,,,2.7236,,,,,
2000-01-14,100.4,103.6,98.94,20.54,6938000,20225016.8226,5682080.3378,,,,,,,,,,,-0.2339,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,36218000.0,,,,,,18.7425,,,,55.5129,75.193,75.193,65.9074,,,,,0.9637,,,,,
2000-01-21,97.25,99.94,94.5,19.63,6169700,9881696.2344,976518.4641,,,,,,,,,,,-0.4246,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,-0.0465,,23878600.0,,,-0.2364,,,18.7425,,,,65.4859,63.6801,63.6801,32.7259,,,,,1.125,,,,,
2000-01-28,95.81,98.31,90.25,19.08,10172600,-366630.3165,-4298089.7017,,,,,,,,,,,-0.4417,,,,,20.0182,,,,,,,,,,0,,,,,,,,,,,,,,-2.0784,,3533400.0,,,-9.824,,,21.4661,,,,58.8903,37.7978,37.7978,14.7601,,,,,1.6668,,,,,
2000-02-04,92.25,97.38,89.06,18.42,7831600,-16029830.3165,-11048893.9784,,,,,,,,,,,-0.3834,,,,,19.772,,,,,,,,,,0,,,,,,,,,,,,,,-1.3318,,-12129800.0,,,-6.7435,,,21.4381,,,,39.1022,15.8287,15.8287,0.0,,,,,1.7206,,,,,
2000-02-11,89.25,90.19,81.31,17.15,8965700,-27378306.4426,-16417020.4974,,,,,,,,,,,-0.7106,,,,,19.369,19.6992,,,,,,,,,0,,,,,,,,,,,19.2058,19.1406,,-3.3854,,-30061200.0,,,-16.4837,,,21.3777,,,,20.328,7.3576,7.3576,7.3127,,,,,1.8364,19.9102,,,-92.7523,19.3942
2000-02-18,83.25,91.88,82.38,18.11,7971900,-25934972.9689,-16661373.3774,,,,92.8571,57.1429,-35.7143,1.4991,,,,0.4537,,-12.5505,,6.1682,19.1749,19.487,,,,,,,,,0,17.171,,,,,,,,,44.9441,19.2058,19.1406,20.7312,-1.3194,8.2786,-14117400.0,18.3223,,-6.7916,0.9201,43.7248,21.2408,,,,12.2688,13.6202,13.6202,33.548,,,,,1.9646,19.8159,,,-72.2099,19.182
2000-02-25,87.75,93.94,85.19,17.84,7386400,-38816854.5689,-19345446.1212,,,,85.7143,50.0,-35.7143,1.522,,,,-0.166,,-14.4825,,1.4222,18.9703,19.268,,,,,,,,,0,17.21,,,,,,,,,45.2055,19.2058,19.1406,18.8482,-1.8284,8.5294,-28890200.0,19.392,,-9.2938,0.8435,42.7587,21.108,,,,14.7868,23.3826,23.3826,29.287,,,,,1.8209,19.6506,,,-77.8622,18.9497
2000-03-03,86.94,94.63,84.63,18.63,7750300,-39219870.1689,-18813031.1964,,,,78.5714,42.8571,-35.7143,1.562,,,,0.256,,-6.9302,,3.3714,18.9172,19.1823,,,,,,,,,0,17.2331,,,,,,,,,51.3148,19.2058,19.1406,16.9529,-0.6199,8.3864,-13389600.0,18.1359,,-3.2212,0.9431,46.5349,20.9792,,,,25.3675,39.0996,39.0996,54.4639,,,,,2.081,19.4492,,,-61.0834,18.853
2000-03-10,89.31,91.25,80.38,16.96,10475600,-55853619.571,-22177506.1553,,,,100.0,35.7143,-64.2857,1.612,,,,-0.7185,,-19.1794,,8.6145,18.6161,18.886,,,,,,,,,0,17.216,,,,,,,,,43.0581,19.1098,19.0967,19.2851,-3.2815,9.5044,-34340800.0,16.226,,-16.2116,0.8258,40.4103,20.8543,,,,31.0063,30.5368,30.5368,7.8596,,,,,2.2621,19.1861,,,-95.0817,18.545
2000-03-17,79.0,89.25,78.19,17.87,10028700,-48019264.4172,-19044995.9846,,,,100.0,28.5714,-71.4286,1.6612,,,,0.6221,,-10.5969,,14.1391,18.5016,18.7508,,,,,,,,,0,17.2301,,,,,,,,,49.7354,19.1098,18.8688,19.3385,-3.3875,9.2953,-14283400.0,14.5473,,-15.9342,0.9199,44.7015,20.6892,,,,35.3343,36.3666,36.3666,46.7762,,,,,2.3016,18.9175,,,-69.193,18.3927
2000-03-24,85.94,93.25,84.75,18.91,10928500,-38350756.182,-12955807.7504,,,,92.8571,21.4286,-71.4286,1.6689,16.8067,19.2055,21.6044,0.5812,-46.4505,-1.6021,,2.009,18.5648,18.7723,,,,,,,,,0,17.2477,,,,,,,,,57.7073,19.1098,18.8688,17.8132,-1.6253,8.8246,7573600.0,17.1116,,-7.9136,0.9613,49.1989,20.4684,,19.2055,,36.9484,43.9419,43.9419,77.1898,,,,,1.7689,18.6641,,,-49.1625,18.3939
2000-03-31,90.94,92.0,87.38,18.43,7299000,-45491769.169,-11559115.9913,,,,85.7143,14.2857,-71.4286,1.6184,16.7318,19.143,21.5542,-0.5152,-46.5144,-5.4448,,2.009,18.544,18.7266,,,,,,,,,0,17.2606,,,,,,,,,56.386,19.1098,18.8688,17.0271,-1.2043,8.7815,-7024400.0,16.3565,,-6.1339,0.9576,47.2776,20.2585,,19.143,,47.5521,62.3479,62.3479,63.0779,82.7345,78.1382,,,0.9614,18.4558,,,-58.4567,18.3379
2000-04-07,89.38,95.56,89.25,19.07,7422900,-49138518.7728,-11097242.7828,,,,78.5714,7.1429,-71.4286,1.6068,16.8112,19.0386,21.266,0.3566,3.6668,0.1141,,8.0749,18.6247,18.7722,,,,,,,,,0,17.2885,,,,,,,,,57.5523,19.1098,18.8688,15.8834,-0.0092,8.4267,7821400.0,18.6739,,-0.048,0.942,50.0571,20.0592,,19.0386,,59.6124,72.5475,72.5475,77.3748,92.7127,100.0,,,1.4567,18.3021,,,-46.1579,18.3749
2000-04-14,91.88,98.31,88.31,18.9,8905600,-58044118.7728,-12733054.399,,,,71.4286,0.0,-71.4286,1.6407,16.7922,18.996,21.1998,-0.107,13.4296,-1.3814,,15.0599,18.6667,18.7889,,,,,,,,,0,17.3488,,,,,,,,,57.1713,18.7489,18.8481,14.3958,0.4799,8.6821,-9989800.0,19.5005,,2.6056,0.8889,49.3093,16.2715,,18.996,,67.5403,67.7254,67.7254,62.7237,88.0587,86.0378,,,2.081,18.2053,,,-49.0371,18.4004
2000-04-20,89.19,92.31,88.0,19.2,4480900,-49331835.2461,-9472609.4473,,,,64.2857,0.0,-64.2857,1.5876,16.8382,18.929,21.0199,0.71,-10.4174,1.404,,14.0082,18.7483,18.8434,,,,,,,,,0,17.3854,,,,,,,,,52.0383,18.2971,18.4697,14.0957,2.0452,8.2698,-1028000.0,18.6881,,11.9238,0.9347,50.702,16.3134,,18.929,,68.4697,65.1361,65.1361,55.3097,95.3459,100.0,,,0.8969,18.1797,,,-33.4469,18.4882
2000-04-28,91.25,97.63,85.31,18.03,13670600,-70814206.6747,-14112944.7445,,,,57.1429,0.0,-57.1429,1.6573,16.746,18.8591,20.9721,-0.375,-25.3831,-9.0933,,26.4351,18.6375,18.7347,,,,,,,,,0,17.4005,,,,,,,,,49.0138,18.0789,18.365,12.4934,-0.0798,9.1931,-28369200.0,21.4723,,-0.4405,0.9182,45.4533,16.3548,,18.8591,,58.5302,42.7291,42.7291,10.1538,62.0126,0.0,,,2.5638,18.2073,,,-58.0517,18.4329
