date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2005-05-13,21.7,22.4,20.2,19.57,855200,513120.0,,,,,,,,,,,,0.1182,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,855200.0,,,,,,,,,,,,,,,,,,,,,,,
2005-05-20,22.24,23.44,20.73,20.59,1182400,1398829.2251,,,,,,,,,,,,0.3173,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2037600.0,,,,,,18.0022,,,,,,,,,,,,2.4152,,,,,
2005-05-27,23.45,23.8,21.2,19.63,659500,1160394.6097,,,,,,,,,,,,-0.5462,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1378100.0,,,,,,18.0311,,,,,,,,,,,,2.3171,,,,,
2005-06-03,21.68,25.95,21.0,22.98,589700,1711972.5895,,,,,,,,,,,,0.8303,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1967800.0,,,,,,18.0947,,,,,,,,,,,,4.4114,,,,,
2005-06-10,25.72,28.24,25.38,23.97,1027500,1776640.4217,,,,,,,,,,,,0.4126,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2995300.0,,,,,,18.2457,,,,,,,,,,,,2.5488,,,,,
2005-06-17,27.2,29.59,26.61,25.58,551600,1998761.227,,,,,,,,,,,,0.5034,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3546900.0,,,,,,18.5225,,,,,,,,,,,,2.6558,,,,,
2005-06-24,28.75,28.9,26.55,23.95,708400,1483698.5405,,,,,,,,,,,,-0.8017,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2838500.0,,,,,,18.9149,,,,,,80.5412,68.3353,,,,,2.0899,,,,,
2005-07-01,26.66,28.6,25.27,24.78,270100,1624020.7627,,,,,,,,,,,,0.3423,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3108600.0,,,,,,19.2877,,,,,,79.1506,79.1618,,,,,2.9677,,,,,
2005-07-08,27.59,29.1,27.58,25.66,168400,1723731.289,,,,,,,,,,,,0.7895,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3277000.0,,,,,,19.6419,,,,78.6727,76.3262,76.3262,81.4815,,,,,1.3546,,,,,
2005-07-15,28.91,29.0,27.15,25.04,251500,1730528.5863,225482.3442,,,,,,,,,,,-0.4378,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3025500.0,,,,,,19.9783,,,,76.9537,75.3842,75.3842,65.5093,,,,,1.6487,,,,,
2005-07-22,28.2,28.2,26.01,24.04,248100,1699940.9151,183259.5671,,,,,,,,,,,-0.5616,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,4.4649,,2777400.0,,,22.8142,,,20.2979,,,,71.8343,63.7924,63.7924,44.3864,,,,,1.9517,,,,,
2005-07-29,27.07,27.6,26.35,24.18,180500,1744704.9151,163569.7432,,,,,,,,,,,0.048,,,,,23.3301,,,,,,,,,,0,,,,,,,,,,,,,,3.5915,,2957900.0,,,17.4459,,,20.6015,,,,63.9988,52.8199,52.8199,48.564,,,,,1.114,,,,,
2005-08-05,27.04,28.1,27.0,24.13,205300,1569266.7333,84823.5989,,,,,,,,,,,0.0364,,,,,23.4537,,,,,,,,,,0,,,,,,,,,,,,,,4.5006,,2752600.0,,,22.9233,,,20.89,,,,53.0461,42.5261,42.5261,34.6278,,,,,0.9803,,,,,
2005-08-12,27.01,34.1,26.81,29.38,1124400,2345082.5277,291748.5109,,,,,,,,,,,0.8176,,,,,24.3659,23.8199,,,,,,,,,0,,,,,,,,,,,24.4768,24.1961,,6.3988,,3877000.0,,,27.8402,,,21.164,,,,50.5846,56.408,56.408,86.0321,,,,,6.4968,24.133,,,-8.1295,24.8735
