date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,113.5,117.44,108.5,170.25,39564467,11493799.3221,,,,,,,,,,,,0.2796,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,16956199.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,115.0,126.19,112.06,184.02,39508233,26484637.6788,,,,,,,,,,,,0.7346,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,33888297.0,,,,,,159.2416,,,,,,,,,,,,20.7381,,,,,
1999-11-26,125.38,125.38,114.0,174.7,23565500,25313166.7931,,,,,,,,,,,,-0.558,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,23788798.0,,,,,,159.5013,,,,,,,,,,,,16.702,,,,,
1999-12-03,119.63,124.81,114.19,181.99,29935733,36185706.6236,,,,,,,,,,,,0.4115,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,36618395.0,,,,,,159.7583,,,,,,,,,,,,15.5866,,,,,
1999-12-10,125.63,136.44,124.25,192.26,39697001,38014010.8639,,,,,,,,,,,,0.4405,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,53631394.0,,,,,,160.0128,,,,,,,,,,,,18.2578,,,,,
1999-12-17,128.25,133.69,118.81,193.27,40357099,50358259.9325,,,,,,,,,,,,0.2224,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,70927291.0,,,,,,160.8175,,,,,,,,,,,,21.8592,,,,,
1999-12-23,131.94,147.38,130.5,212.73,28761134,58931102.128,,,,,,,,,,,,0.7624,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,83253490.0,,,,,,161.6061,,,,,,84.4474,92.3252,,,,,24.7973,,,,,
1999-12-31,145.0,149.5,141.31,216.32,14791933,61787314.8643,,,,,,,,,,,,0.2747,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,89592889.0,,,,,,163.2531,,,,,,88.8198,93.647,,,,,12.0314,,,,,
2000-01-07,151.25,153.63,118.0,189.23,55008100,52517477.0596,,,,,,,,,,,,-0.6298,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,66017991.0,,,,,,165.5078,,,,81.7904,72.104,72.104,30.3396,,,,,52.3417,,,,,
2000-01-14,132.38,154.13,131.38,221.82,46414433,66935824.2253,14659804.3683,,,,,,,,,,,0.8185,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,85909889.0,,,,,,168.5168,,,,77.5661,71.7745,71.7745,91.3368,,,,,37.196,,,,,
2000-01-21,143.5,147.69,140.0,212.1,40164134,69330898.7286,14763708.701,,,,,,,,,,,0.1144,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,41.8501,,68696690.0,,,24.5817,,,171.9911,,,,69.5918,64.8969,64.8969,73.0141,,,,,16.1594,,,,,
2000-01-28,146.5,147.44,125.0,188.4,40469567,57010714.323,9544001.008,,,,,,,,,,,-0.8133,,,,,194.7568,,,,,,,,,,0,,,,,,,,,,,,,,4.3879,,51352591.0,,,2.3845,,,175.257,,,,66.9705,64.2402,64.2402,28.3698,,,,,32.9651,,,,,
2000-02-04,128.5,157.56,126.31,229.17,48147401,75585154.9589,12451078.8806,,,,,,,,,,,0.88,,,,,200.0511,,,,,,,,,,0,,,,,,,,,,,,,,54.4733,,71987190.0,,,31.1817,,,178.3269,,,,64.9835,65.8135,65.8135,96.0566,,,,,45.9073,,,,,
2000-02-11,154.63,161.38,148.5,222.19,34581166,67093285.7632,9806463.368,,,,,,,,,,,-0.2624,,,,,203.4573,199.1745,,,,,,,,,0,,,,,,,,,,,199.7093,198.1572,,40.2011,,57166692.0,,,22.0897,,,182.0463,,,,65.1936,65.5271,65.5271,72.155,,,,,18.9212,200.9498,,,-19.12,207.0094
2000-02-18,152.63,152.63,143.0,212.92,35126933,58104418.8369,4972984.512,,,,0.0,92.8571,92.8571,24.8293,,,,-0.7985,,19.8639,,1.052,204.9134,201.0075,,,,,,,,,0,221.8772,,,,,,,,,55.1364,201.9328,200.7697,20.878,20.6578,11.6612,42112294.0,21.322,,10.7445,1.2506,59.9319,185.5538,,,,68.5604,74.3407,74.3407,54.8103,,,,,14.1468,203.9253,,,-33.2629,208.8424
2000-02-25,146.0,164.75,144.56,233.94,35792167,65086588.0202,4765162.0372,,,,0.0,100.0,100.0,25.1743,,,,0.6563,,27.5037,,13.2284,209.3796,205.399,,,,,,,,,0,222.3594,,,,,,,,,55.6428,204.32,204.6686,19.0034,40.6776,10.7608,57451793.0,24.7976,,21.0474,1.2713,63.7519,189.6753,,,,70.3036,71.043,71.043,86.1635,,,,,29.6598,206.8766,,,-10.8148,213.0719
2000-03-03,160.19,180.44,154.69,257.54,45670334,76860792.0788,7993284.8582,,,,0.0,100.0,100.0,26.0781,,,,0.5872,,34.994,,25.9351,216.7883,212.3506,,,,,,,,,0,225.0306,,,,,,,,,62.2067,219.7635,216.3326,16.9171,44.8056,10.126,77024792.0,28.7646,,21.0621,1.4742,67.497,194.3866,,,,74.1831,77.1656,77.1656,90.5228,,,,,37.8276,210.3726,,,-7.731,219.9716
2000-03-10,176.5,184.63,160.0,257.08,57147301,82200638.9729,10286260.4914,,,,0.0,100.0,100.0,26.7999,,,,-0.0609,,34.7047,,28.9282,222.9872,218.3147,,,,,,,,,0,227.2226,,,,,,,,,65.0787,222.9701,222.287,15.1983,40.7657,10.4247,52533092.0,27.5705,,18.8455,1.4126,67.3524,201.4552,,,,77.5755,84.518,84.518,76.8676,,,,,36.1823,213.8303,,,-14.4529,226.0216
2000-03-17,167.0,177.06,143.5,219.78,64677900,64393018.2077,4623120.2351,,,,28.5714,92.8571,64.2857,28.4096,,,,-0.5215,,13.2872,,10.1654,222.4935,218.5098,,,,,,,,,0,227.0986,,,,,,,,,55.4802,222.9701,222.287,19.5637,30.5517,12.9265,24813994.0,23.9913,,16.1456,1.1431,56.6436,209.1302,,,,74.2569,61.0872,61.0872,15.871,,,,,49.3361,217.3106,,,-52.5633,226.3827
