date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2007-09-21,101.03,101.03,99.67,60.18,258700,-117936.7647,,,,,,,,,,,,-0.7279,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,258700.0,,,,,,,,,,,,,,,,,,,,,,,
2007-09-28,99.96,102.7,99.92,60.59,214200,-210397.1964,,,,,,,,,,,,0.2698,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,472900.0,,,,,,59.9605,,,,,,,,,,,,1.6724,,,,,
2007-10-05,100.42,101.64,100.2,60.47,220200,-335788.863,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,252700.0,,,,,,59.9788,,,,,,,,,,,,0.8663,,,,,
2007-10-12,100.52,100.8,100.35,60.49,100800,-346988.863,,,,,,,,,,,,0.0667,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,353500.0,,,,,,59.9968,,,,,,,,,,,,0.2707,,,,,
2007-10-19,100.57,101.9,100.45,61.14,197900,-222794.6358,,,,,,,,,,,,0.7311,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,551400.0,,,,,,60.0147,,,,,,,,,,,,0.8722,,,,,
2007-10-26,101.77,103.51,101.1,60.85,207800,-421989.1169,,,,,,,,,,,,-0.2573,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,343600.0,,,,,,60.0324,,,,,,,,,,,,1.4498,,,,,
2007-11-02,101.25,101.9,100.2,60.84,158300,-475887.2346,,,,,,,,,,,,-0.1001,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,185300.0,,,,,,60.0771,,,,,,42.408,28.2757,,,,,0.6858,,,,,
2007-11-09,100.3,100.56,99.6,60.63,135300,-442062.2346,,,,,,,,,,,,-0.1042,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,50000.0,,,,,,60.121,,,,,,26.8876,18.1251,,,,,0.5809,,,,,
2007-11-16,100.1,101.0,99.97,60.99,231100,-300779.5685,,,,,,,,,,,,0.6801,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,281100.0,,,,,,60.164,,,,32.282,27.5504,27.5504,36.2503,,,,,0.6228,,,,,
2007-11-23,100.5,100.96,100.25,61.0,225800,-170388.0192,20401.9251,,,,,,,,,,,0.4366,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,506900.0,,,,,,60.2061,,,,28.2491,30.3093,30.3093,36.5524,,,,,0.4296,,,,,
