date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_7_sma
2025-08-01,19.75,19.88,16.85,16.93,15893220,,,,,,,,,,,,,,,,,
2025-08-08,16.93,18.0,15.66,17.95,7630652,,,,,,,,,,,,,,,19.88,,
2025-08-15,17.97,18.31,16.6,17.94,8353542,,,,,,,,,,,,,,,19.8378,,
2025-08-22,18.24,18.39,16.75,17.53,6195073,,,,,,,,,,,,,,,19.7961,,
2025-08-29,17.5,17.5,16.25,17.04,3324271,,,,,,,,,,,,,,,19.7547,,
2025-09-05,17.22,17.33,16.52,17.03,3552037,,,,,,,,,,,,,,,19.7138,,
2025-09-12,17.03,18.37,16.9,18.23,5236918,,,,,,,17.5214,,,,,,,,19.6733,,17.5214
2025-09-19,18.21,18.7,17.01,17.06,10252271,,,,,,,17.4061,,,,,,,,19.6332,,17.54
2025-09-26,17.05,17.15,15.14,15.69,7413111,,,,,,,16.9771,,,,,,,,19.5935,,17.2171
2025-10-03,15.76,16.16,14.78,14.78,12953101,,,,,,,16.4278,,,,,,,,19.5044,,16.7657
2025-10-10,14.91,15.36,14.03,14.07,5609588,,,,,,,15.8383,,,,,-2.86,-16.8931,,19.3627,,16.2714
2025-10-17,14.21,14.49,13.25,13.55,5746151,,,,,,,15.2663,,,,,-4.4,-24.5125,,19.1494,,15.7729
2025-10-24,13.61,14.33,13.44,13.56,4541388,,,,,,,14.8397,,,,,-4.38,-24.4147,,18.8544,,15.2771
2025-10-31,13.61,13.93,12.23,12.4,5900982,,,,,,15.9829,14.2298,,,,,-5.13,-29.2641,,18.5742,15.9829,14.4443
2025-11-07,12.3,12.39,11.77,12.31,3779795,,1.4373,,,,15.4931,13.7498,,,,25.2657,-4.73,-27.7582,24.5595,18.1935,15.6529,13.7657
2025-11-14,12.45,15.3,12.22,14.18,17209674,,1.5546,,,,15.3181,13.8574,,,,38.9743,-2.85,-16.7352,38.2541,17.7439,15.3836,13.55
2025-11-21,14.04,15.64,13.9,15.43,9773345,,1.5679,,,,15.333,14.2505,,,,38.9483,-2.8,-15.3593,45.3903,17.3257,15.2043,13.6429
2025-11-28,15.36,15.74,14.46,15.72,6113273,,1.5473,,,,15.3846,14.6179,,,,45.45,-1.34,-7.8546,46.9229,16.9368,15.075,13.8786
2025-12-05,15.57,15.88,15.08,15.73,3940883,,1.4939,,,,15.4306,14.8959,,,,49.2954,0.04,0.2549,46.9782,16.5752,14.9814,14.19
2025-12-12,15.7,16.0,15.13,15.92,3364530,,1.4494,12.0683,15.6525,19.2367,15.4959,15.1519,,,,49.0473,1.14,7.7131,48.0841,16.2388,14.9021,14.5271
2025-12-19,15.89,16.66,15.25,16.6,4087346,,1.4466,12.0725,15.636,19.1995,15.6431,15.514,,,,48.1203,2.53,17.9815,51.9473,11.7701,14.7857,15.1271
2025-12-26,16.48,17.56,16.27,16.38,3167444,,1.4354,12.135,15.5575,18.98,15.7414,15.7305,,,,56.4428,2.83,20.8856,50.6345,11.819,14.7371,15.7086
2026-01-02,16.38,16.67,15.74,15.78,5544406,,1.3993,12.2027,15.4495,18.6963,15.7465,15.7429,,,,57.6819,2.22,16.3717,47.1359,11.9338,14.7436,15.9371
2026-01-09,15.64,17.61,15.48,17.56,5058940,,1.4515,12.2003,15.451,18.7017,15.9883,16.1971,,,,69.8614,5.16,41.6129,56.6954,12.0463,14.9421,16.2414
2026-01-16,17.15,17.97,16.76,17.72,5675071,,1.4342,12.1553,15.485,18.8147,16.2192,16.5779,,,,76.7975,5.41,43.948,57.4404,12.2133,15.2029,16.5271
2026-01-23,17.49,18.39,17.48,17.73,4966855,,1.3964,12.1123,15.52,18.9277,16.4206,16.8659,,,,83.2556,3.55,25.0353,57.4896,12.4435,15.5014,16.8129
2026-01-30,17.88,18.0,16.7,16.99,3672179,,1.3895,12.2083,15.458,18.7077,16.4966,16.8969,,,,78.2435,1.56,10.1102,52.6379,12.7406,15.7464,16.9657
2026-02-06,16.79,17.09,10.48,11.1,13722137,16.6646,1.7624,11.4871,15.16,18.8329,15.777,15.4477,,,,72.4354,-4.62,-29.3893,30.5431,18.385,15.6536,16.18
