date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,27.38,32.0,26.5,0.06,4063800,1950623021.0,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1950623021.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,32.22,44.38,30.88,0.08,8903200,5274482690.6667,,,,,,,,,,,,0.7896,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,6224156882.0,,,,,,0.0506,,,,,,,,,,,,0.0258,,,,,
1999-11-26,43.97,44.0,35.56,0.07,3275100,4704522445.5577,,,,,,,,,,,,-0.6777,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,4652109670.0,,,,,,0.051,,,,,,,,,,,,0.0161,,,,,
1999-12-03,38.13,40.13,34.63,0.07,3103100,5110746241.8304,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3162622417.0,,,,,,0.0513,,,,,,,,,,,,0.0105,,,,,
1999-12-10,38.25,40.5,36.38,0.07,1833200,4897169650.3255,,,,,,,,,,,,-0.0752,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2282686860.0,,,,,,0.0516,,,,,,,,,,,,0.0079,,,,,
1999-12-17,37.5,38.81,35.13,0.07,2204900,5276795720.7277,,,,,,,,,,,,0.0353,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1224335391.0,,,,,,0.052,,,,,,,,,,,,0.007,,,,,
1999-12-23,37.69,46.5,36.38,0.09,2754600,6567646361.0123,,,,,,,,,,,,0.8587,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2546542727.0,,,,,,0.0523,,,,,,70.9904,98.989,,,,,0.0193,,,,,
1999-12-31,47.38,47.44,44.13,0.09,1626800,7112599512.7253,,,,,,,,,,,,-0.1329,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3327406334.0,,,,,,0.053,,,,,,81.6953,96.0968,,,,,0.0063,,,,,
2000-01-07,47.25,47.63,39.5,0.08,2044600,6705792219.3403,,,,,,,,,,,,-0.6605,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2345998828.0,,,,,,0.0542,,,,78.5714,83.0286,83.0286,54.0,,,,,0.0155,,,,,
2000-01-14,42.0,45.69,39.88,0.08,2600600,7202099247.1596,1305957937.3963,,,,,,,,,,,0.3339,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3594286201.0,,,,,,0.0556,,,,79.4165,73.5256,73.5256,70.48,,,,,0.0111,,,,,
2000-01-21,44.5,48.25,42.5,0.09,2396200,6952061111.7248,1087976186.02,,,,,,,,,,,0.0435,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.0244,,4744461624.0,,,39.8438,,,0.057,,,,73.8507,64.998,64.998,70.5139,,,,,0.011,,,,,
2000-01-28,46.19,46.19,35.88,0.07,2873300,5974192055.0643,588754752.7904,,,,,,,,,,,-0.8545,,,,,0.0777,,,,,,,,,,0,,,,,,,,,,,,,,-0.0105,,3365278317.0,,,-12.8265,,,0.0588,,,,63.1879,51.04,51.04,12.1261,,,,,0.0197,,,,,
2000-02-04,37.56,41.06,35.0,0.08,1367400,6522234867.7937,505381902.084,,,,,,,,,,,0.495,,,,,0.0777,,,,,,,,,,0,,,,,,,,,,,,,,0.0044,,4021629986.0,,,6.0392,,,0.0605,,,,52.524,41.5341,41.5341,41.9623,,,,,0.0116,,,,,
2000-02-11,40.75,51.75,38.0,0.1,5560900,8512024998.3937,1058446059.0692,,,,,,,,,,,0.6727,,,,,0.0804,0.079,,,,,,,,,0,,,,,,,,,,,0.0783,0.0747,,0.0227,,6690860649.0,,,31.1303,,,0.0621,,,,46.8181,47.8802,47.8802,89.5522,,,,,0.0263,0.0801,,,-6.9307,0.0816
2000-02-18,50.12,68.25,49.63,0.13,7535000,11790840972.095,2231736836.8254,,,,0.0,100.0,100.0,0.016,,,,0.927,,50.0141,,57.0974,0.0878,0.0856,,,,,,,,,0,0.1,,,,,,,,,72.7923,0.1001,0.0947,12.0727,0.0562,12.4136,10307658838.0,44.2067,,77.5962,2.1056,75.0071,0.0643,,,,55.2379,76.2993,76.2993,97.3835,,,,,0.0356,0.0819,,,-2.3281,0.0882
2000-02-25,65.25,66.69,58.5,0.12,3285300,11249789639.0926,2336681563.8772,,,,0.0,92.8571,92.8571,0.016,,,,-0.4957,,37.095,,57.0974,0.0923,0.0898,,,,,,,,,0,0.1009,,,,,,,,,70.795,0.1001,0.0983,11.1076,0.045,13.7296,8730715629.0,40.6728,,62.6096,1.427,68.5475,0.0689,,,,70.9157,88.5675,88.5675,78.7669,,,,,0.017,0.0838,,,-20.9994,0.0927
2000-03-03,60.88,64.75,57.5,0.11,3483800,10214164536.0057,1837670822.7001,,,,7.1429,85.7143,78.5714,0.0159,,,,-0.2759,,32.5089,,54.2102,0.0954,0.0928,,,,,,,,,0,0.1016,,,,,,,,,68.01,0.1001,0.0983,11.2839,0.0239,14.1286,7058492467.0,38.0018,,26.9513,1.5393,66.2544,0.0732,,,,82.5078,82.6566,82.6566,71.8195,,,,,0.0139,0.0863,,,-27.8703,0.0961
2000-03-10,59.25,145.0,58.0,0.23,12848300,12553440054.7298,2210784018.8398,,,,0.0,100.0,100.0,0.0266,,,,0.6753,,64.8851,,82.3091,0.1154,0.1105,,,,,,,,,0,0.1274,,,,,,,,,83.576,0.1484,0.1719,6.1038,0.1357,11.8127,13225673380.0,62.9016,,151.3847,3.0947,82.4426,0.0772,,,,82.1139,75.1176,75.1176,74.7664,,,,,0.1662,0.0911,,,-24.5455,0.1143
