date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_50_sma,sma_7_sma
1999-11-12,44.88,51.25,44.88,14.78,4060300,,,,,,,,,,,,,,,,,,,
1999-11-19,49.38,50.94,46.75,14.4,4579400,,,,,,,,,,,,,,,,13.2697,,,
1999-11-26,48.38,49.5,46.94,14.16,2483700,,,,,,,,,,,,,,,,13.2876,,,
1999-12-03,47.0,48.5,46.06,14.08,4411100,,,,,,,,,,,,,,,,13.3053,,,
1999-12-10,47.13,47.19,43.0,13.0,6038700,,,,,,,,,,,,,,,,15.0614,,,
1999-12-17,42.25,44.38,40.88,12.56,6786200,,,,,,,,,,,,,,,,15.0386,,,
1999-12-23,42.5,46.06,42.06,13.39,3854100,,,,,,,,13.7678,,,,,,,,14.9809,,,13.7678
1999-12-31,46.25,49.0,45.0,14.36,2659700,,,,,,,,13.9158,,,,,,,,14.9243,,,13.7072
2000-01-07,48.31,48.5,44.56,13.66,3787200,,,,,,,,13.8507,,,,,,,,14.8688,,,13.6014
2000-01-14,46.38,50.31,44.88,14.38,3778200,,,,,,,,13.9831,,,,,,,,12.1513,,,13.6332
2000-01-21,48.0,50.25,45.0,13.67,4541300,,,,,,,,13.9057,,,,,-1.1103,-7.5106,,12.1793,,,13.5747
2000-01-28,45.88,48.38,41.56,13.39,5757500,,,,,,,,13.7777,,,,,-1.0024,-6.9631,,12.2071,,,13.6307
2000-02-04,45.13,51.25,45.13,14.9,5139000,,,,,,,,14.0585,,,,,0.7431,5.2488,,12.2345,,,13.9653
2000-02-11,51.25,51.25,46.25,13.97,3563600,,,,,,13.9077,,14.0364,,,,,-0.113,-0.802,,12.2945,13.9077,,14.0477
2000-02-18,47.0,53.38,46.56,15.75,5343000,,1.3638,,,,14.1539,,14.4658,,,,41.7713,2.7525,21.1706,54.5498,12.3533,13.977,,14.2468
2000-02-25,51.88,52.75,47.13,14.48,4064000,,1.3853,,,,14.1974,,14.4695,,,,34.4264,1.922,15.3044,48.3343,12.4587,13.9831,,14.3647
2000-03-03,47.75,54.13,47.63,15.21,4556200,,1.4252,,,,14.3324,,14.6546,,,,40.8395,1.8162,13.5597,51.7273,12.5609,14.0582,,14.4832
2000-03-10,50.88,50.88,46.13,13.79,7747800,,1.4248,,,,14.2601,,14.4384,,,,38.7491,-0.5698,-3.9682,45.4673,12.7058,14.0373,,14.4999
2000-03-17,44.56,48.38,41.0,13.14,13580400,,1.4806,,,,14.1101,,14.1126,,,,35.039,-0.52,-3.8083,42.8901,16.1815,14.0468,,14.463
2000-03-24,44.75,46.56,42.0,13.57,7190100,,1.4722,12.5054,14.0322,15.559,14.0375,,13.9759,,,,43.7742,-0.8148,-5.6663,45.0939,16.1422,14.1188,,14.2722
2000-03-31,45.31,46.06,43.06,13.36,3664900,,1.4311,12.4482,13.961,15.4737,13.9471,,13.8218,,,,39.0387,-0.3137,-2.2941,44.2135,16.1034,14.1163,,14.185
2000-04-07,44.56,47.0,43.0,13.51,4555600,,1.4143,12.4055,13.9166,15.4278,13.8887,,13.7436,,,,40.3866,0.1152,0.8601,45.0507,16.0649,14.0556,,13.8643
2000-04-14,45.13,45.69,42.19,12.8,3467500,,1.388,12.2662,13.8486,15.431,13.7432,,13.5071,,,,40.6503,-2.1033,-14.1153,41.8325,16.0268,13.9943,,13.6238
2000-04-20,42.94,43.5,37.44,12.05,8293100,,1.4183,11.9867,13.7469,15.5072,13.5175,,13.1428,,,,34.1591,-1.9203,-13.7452,38.7048,15.9891,13.8278,,13.1724
2000-04-28,40.31,43.44,39.69,12.22,5760200,,1.397,11.8513,13.7079,15.5646,13.3446,,12.9123,,,,40.2466,-3.5333,-22.4283,39.8098,15.8932,13.7241,,12.9482
2000-05-05,40.63,40.75,38.94,11.77,4036800,,1.3387,11.6871,13.6686,15.65,13.1349,,12.6272,,,,41.3145,-2.7084,-18.7036,37.8748,15.7991,13.6082,,12.7535
2000-05-12,39.88,40.94,39.38,11.91,3790600,,1.2764,11.4712,13.5944,15.7175,12.9715,,12.4478,,,,39.7095,-3.3003,-21.6981,38.8563,15.707,13.3946,,12.5169
2000-05-19,39.75,41.44,39.13,12.07,3227400,20.4429,1.2345,11.2885,13.4799,15.6714,12.8515,,12.3536,,,,43.8487,-1.7189,-12.4648,40.0536,15.6167,13.2589,,12.3329
2000-05-26,40.0,42.63,38.38,12.4,3625200,20.4157,1.2377,11.1782,13.4172,15.6563,12.7914,,12.3654,,,,41.838,-0.7345,-5.5916,42.5292,15.5282,13.0194,,12.1746
2000-06-02,41.75,46.44,41.25,13.68,3715200,19.1312,1.2622,11.183,13.3822,15.5815,12.9099,,12.6942,,,,47.1835,0.1146,0.8446,50.9877,15.4415,12.9623,,12.3007
2000-06-09,45.38,45.63,42.5,12.96,3243700,17.9384,1.2394,11.1445,13.3467,15.5489,12.9171,,12.7616,,,,41.408,-0.3957,-2.9619,46.831,15.3565,12.8018,,12.4312
2000-06-16,43.13,43.38,38.0,11.59,5317800,17.9776,1.2665,10.9256,13.2566,15.5875,12.7403,,12.4689,,,,43.4664,-1.918,-14.198,40.0877,15.2732,12.6447,,12.3413
2000-06-23,38.5,39.5,35.63,11.63,8841300,18.6184,1.2593,10.7877,13.0931,15.3984,12.5923,,12.2592,,,,47.4992,-1.1674,-9.1221,40.3514,15.1916,12.5372,,12.321
2000-06-30,37.88,40.1,37.88,12.04,5911500,18.9638,1.2171,10.6849,12.9967,15.3085,12.519,,12.205,-0.4927,-0.1067,-0.386,45.8577,-0.0076,-0.0631,43.1892,15.0577,12.4284,,12.3399
2000-07-07,39.75,40.44,38.38,11.8,3322000,19.1389,1.1745,10.8103,12.7989,14.7875,12.4229,,12.1035,-0.516,-0.1041,-0.412,51.1808,-0.4219,-3.452,41.9194,14.9277,12.3169,,12.301
2000-07-14,38.94,39.56,36.88,11.35,4959900,19.71,1.1482,10.7155,12.6422,14.569,12.2795,,11.9144,-0.5644,-0.122,-0.4425,43.9512,-0.425,-3.6106,39.5976,14.8017,12.1625,,12.1505
2000-07-21,37.81,38.25,36.0,11.33,5063700,20.469,1.1146,10.8394,12.4482,14.0569,12.1528,,11.768,-0.5974,-0.1239,-0.4734,43.3304,-0.5806,-4.8752,39.5033,14.6795,12.0576,,11.8146
2000-07-28,37.38,37.63,33.75,10.2,3584300,21.7111,1.1184,10.5052,12.2687,14.0322,11.8924,,11.376,-0.7064,-0.1864,-0.52,46.8569,-1.871,-15.5002,34.0485,14.5609,11.9255,,11.4198
2000-08-04,33.88,37.81,33.88,11.01,3260400,22.7737,1.123,10.3642,12.1623,13.9603,11.7743,,11.2837,-0.7195,-0.1595,-0.5599,44.2542,-1.3939,-11.2406,40.3842,14.3849,11.8388,,11.3363
2000-08-11,35.94,37.5,35.56,11.08,2971800,23.7604,1.0845,10.303,12.0381,13.7732,11.682,,11.2334,-0.7155,-0.1244,-0.591,49.7731,-2.5982,-18.9921,40.9541,14.2159,11.7895,,11.2581
2000-08-18,36.69,36.75,35.06,10.63,3889300,24.8072,1.0447,10.1745,11.9017,13.6288,11.5418,,11.0827,-0.7402,-0.1193,-0.6209,43.644,-2.3332,-17.9981,38.5718,14.0537,11.6981,,11.0564
