date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2001-08-10,14.9,15.7,14.11,14.2,1119800,-993030.1887,,,,,,,,,,,,-0.4403,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1119800.0,,,,,,,,,,,,,,,,,,,,,,,
2001-08-17,14.35,16.46,13.82,14.14,454000,-1336969.5826,,,,,,,,,,,,-0.0795,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,665800.0,,,,,,16.46,,,,,,,,,,,,2.64,,,,,
2001-08-24,14.14,17.42,13.9,14.05,437200,-1736908.219,,,,,,,,,,,,-0.0256,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,228600.0,,,,,,13.82,,,,,,,,,,,,3.52,,,,,
2001-08-31,14.0,15.0,13.86,14.4,513900,-1763955.5874,,,,,,,,,,,,0.3509,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,742500.0,,,,,,13.82,,,,,,,,,,,,1.14,,,,,
2001-09-07,14.5,14.65,13.95,13.98,379600,-2111018.4445,,,,,,,,,,,,-0.7429,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,362900.0,,,,,,13.856,,,,,,,,,,,,0.7,,,,,
2001-09-10,13.96,14.35,13.96,14.35,6500,-2104518.4445,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,369400.0,,,,,,13.86,,,,,,,,,,,,0.39,,,,,
2001-09-21,14.01,14.11,10.1,10.5,809100,-2752201.9857,,,,,,,,,,,,-0.8753,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-439700.0,,,,,,17.42,,,,,,8.2104,5.4645,,,,,4.25,,,,,
2001-09-28,10.5,10.86,9.65,10.25,931200,-2759897.8535,,,,,,,,,,,,-0.2066,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-1370900.0,,,,,,17.3468,,,,,,10.4672,11.215,,,,,1.21,,,,,
2001-10-05,10.25,14.0,10.0,14.0,409900,-2349997.8535,,,,,,,,,,,,0.9375,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-961000.0,,,,,,17.1929,,,,17.7458,34.5598,34.5598,87.0,,,,,4.0,,,,,
2001-10-12,14.2,15.56,13.21,15.0,192300,-2249347.2152,-286598.6703,,,,,,,,,,,0.3404,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-768700.0,,,,,,17.042,,,,35.9801,62.9132,62.9132,90.5245,,,,,2.35,,,,,
2001-10-19,14.9,18.6,14.73,18.35,252800,-2029208.7139,-131452.5069,,,,,,,,,,,0.8915,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,4.15,,-515900.0,,,29.2254,,,9.65,,,,63.0167,91.5771,91.5771,97.2067,,,,,3.87,,,,,
2001-10-26,18.6,18.8,16.15,16.41,1001200,-2833946.8271,-312086.43,,,,,,,,,,,-0.8264,,,,,14.1358,,,,,,,,,,0,,,,,,,,,,,,,,2.27,,-1517100.0,,,16.0537,,,9.7395,,,,80.5646,87.2037,87.2037,73.8798,,,,,2.65,,,,,
2001-11-02,16.38,17.0,15.7,15.7,466100,-3300046.8271,-505915.1777,,,,,,,,,,,-0.5231,,,,,14.3765,,,,,,,,,,0,,,,,,,,,,,,,,1.65,,-1983200.0,,,11.7438,,,9.9207,,,,85.8002,78.6197,78.6197,64.7727,,,,,1.3,,,,,
2001-11-09,15.64,16.1,14.7,15.6,1410900,-2896932.5414,-410952.831,,,,,,,,,,,-0.0286,,,,,14.5647,14.3521,,,,,,,,,0,,,,,,,,,,,14.3,14.225,,1.2,,-3394100.0,,,8.3333,,,10.0983,,,,75.4309,60.4691,60.4691,42.7549,,,,,1.4,13.7877,,,-34.9727,14.7714
2001-11-16,15.5,16.55,15.4,16.1,412200,-2807323.8457,-306233.3923,,,,50.0,78.5714,28.5714,2.1836,,,,0.5217,,11.3501,,27.2482,14.8009,14.5852,,,,,,,,,0,15.6088,,,,,,,,,29.2855,14.3,14.225,18.9181,2.12,13.5626,-2981900.0,33.0891,,15.1645,1.1338,55.675,10.2723,,,,62.1045,47.2247,47.2247,34.1463,,,,,1.15,14.0652,,,-29.5082,15.0045
2001-11-23,16.22,17.0,16.22,16.75,155800,-2751395.6406,-217758.8846,,,,42.8571,71.4286,28.5714,2.0919,,,,0.6795,,14.9083,,29.554,15.1008,14.8738,,,,,,,,,0,15.6363,,,,,,,,,26.5437,14.3,14.225,18.2952,2.4,12.4889,-2826100.0,33.6459,,16.7247,1.1846,57.4541,10.4429,,,,49.9981,42.3004,42.3004,50.0,,,,,0.9,14.4623,,,-22.4044,15.3061
