date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_50_sma,sma_7_sma
2013-06-28,17.25,17.92,13.04,15.0,2065700,,,,,,,,,,,,,,,,,,,
2013-07-05,14.85,17.39,14.42,15.2,175500,,,,,,,,,,,,,,,,13.035,,,
2013-07-12,15.2,16.95,15.19,16.94,301600,,,,,,,,,,,,,,,,13.0786,,,
2013-07-19,17.37,18.5,16.22,17.75,1050300,,,,,,,,,,,,,,,,13.1217,,,
2013-07-26,17.7,17.7,15.5,16.57,560400,,,,,,,,,,,,,,,,13.2292,,,
2013-08-02,16.67,16.89,13.88,14.06,712400,,,,,,,,,,,,,,,,13.3346,,,
2013-08-09,14.06,16.0,14.0,15.42,623500,,,,,,,,15.8486,,,,,,,,13.438,,,15.8486
2013-08-16,15.35,16.1,14.35,15.66,372100,,,,,,,,15.8014,,,,,,,,13.5392,,,15.9429
2013-08-23,15.5,16.52,15.0,15.82,99700,,,,,,,,15.8061,,,,,,,,13.6384,,,16.0314
2013-08-30,16.03,18.25,15.56,17.94,199400,,,,,,,,16.3396,,,,,,,,13.7356,,,16.1743
2013-09-06,19.09,19.45,17.76,19.07,366300,,,,,,,,17.0222,,,,,4.07,27.1333,,13.8309,,,16.3629
2013-09-13,19.11,22.37,18.13,21.34,498900,,,,,,,,18.1016,,,,,6.14,40.3947,,13.9995,,,17.0443
2013-09-20,21.43,21.44,17.46,17.88,383800,,,,,,,,18.0462,,,,,0.94,5.549,,14.3343,,,17.59
2013-09-27,17.9,24.38,17.9,21.37,1183700,,,,,,17.1443,,18.8772,,,,,3.62,20.3944,,14.6557,17.1443,,18.44
2013-10-04,21.31,22.42,18.84,19.03,1368400,,2.8727,,,,17.3957,,18.9154,,,,61.7976,2.46,14.8461,58.7571,15.142,17.4321,,18.9214
2013-10-11,18.83,19.84,15.35,17.2,704200,,2.9882,,,,17.3696,,18.4865,,,,56.1346,3.14,22.3329,54.1216,24.38,17.575,,19.1186
2013-10-18,17.05,19.79,16.8,19.24,405100,,2.9877,,,,17.619,,18.6749,,,,56.8701,3.82,24.773,58.0908,24.2897,17.7393,,19.3043
2013-10-25,19.2,21.95,17.74,20.71,946700,,3.0745,,,,18.0311,,19.1837,,,,57.0609,5.05,32.2478,60.7275,24.2003,17.9507,,19.5386
2013-11-01,20.66,20.98,16.51,17.5,596600,,3.1742,,,,17.9603,,18.7628,,,,56.4679,1.68,10.6195,52.9008,24.1118,18.0171,,18.99
2013-11-08,17.51,18.9,16.17,16.86,726200,,3.1424,13.4333,17.528,21.6227,17.8136,,18.2871,,,,55.7868,-1.08,-6.0201,51.4763,24.0242,18.2171,,18.8443
2013-11-15,16.86,17.34,14.48,14.56,636900,,3.1223,13.3529,17.506,21.6591,17.3798,,17.3553,,,,49.7458,-4.51,-23.6497,46.618,23.9374,18.1557,,17.8714
2013-11-22,14.59,15.52,13.15,14.75,367200,,3.0685,13.2762,17.4835,21.6908,17.0292,,16.704,,,,46.2887,-6.59,-30.881,47.0624,23.7483,18.0907,,17.26
2013-11-29,14.68,16.98,14.33,15.67,172700,,3.0386,13.144,17.42,21.696,16.8479,,16.4455,,,,46.6667,-2.21,-12.3602,49.2653,23.4303,18.08,,17.0414
2013-12-06,15.75,16.92,15.2,16.62,277500,,2.9441,13.0766,17.3635,21.6504,16.8175,,16.4891,,,,47.0191,-4.75,-22.2274,51.5091,23.1219,17.9857,,16.6671
2013-12-13,16.83,17.26,15.6,16.98,358700,,2.8524,13.1086,17.384,21.6594,16.8392,,16.6118,,,,46.7187,-2.05,-10.7725,52.3688,22.8228,17.8364,,16.1343
2013-12-20,17.07,19.72,16.94,18.84,1904700,,2.8468,13.59,17.623,21.656,17.106,,17.1689,,,,53.8731,1.64,9.5349,56.6456,22.5326,17.6579,,16.3257
2013-12-27,18.83,19.2,17.62,17.8,466700,,2.7567,13.8377,17.742,21.6463,17.1985,,17.3267,,,,53.5178,-1.44,-7.4844,53.7401,22.2511,17.6521,,16.46
2014-01-03,17.99,17.99,16.21,17.45,338500,18.5546,2.6869,14.0418,17.8315,21.6212,17.232,,17.3575,,,,44.7024,-3.26,-15.7412,52.7593,21.9781,17.3721,,16.8729
2014-01-10,17.54,20.22,16.25,19.5,426200,18.9213,2.7785,14.2773,18.0155,21.7537,17.5344,,17.8931,,,,55.9603,2.0,11.4286,57.6362,21.7132,17.4057,,17.5514
2014-01-17,19.75,30.0,19.3,29.32,2091400,21.4226,3.3443,12.4009,18.5845,24.7681,19.1058,,20.7498,,,,72.2208,12.46,73.9027,72.3576,13.15,18.2714,,19.5014
2014-01-24,29.32,30.4,21.75,26.9,2314400,23.8017,3.7233,11.8062,18.976,26.1458,20.1451,,22.2874,,,,78.3002,12.34,84.7527,66.248,13.3185,18.8186,,20.97
2014-01-31,26.63,27.75,24.8,26.07,1660100,26.0109,3.668,11.4582,19.2125,26.9668,20.9351,,23.233,,,,64.081,11.32,76.7458,64.2444,13.6601,19.2014,,22.2686
2014-02-07,26.05,26.89,21.67,22.76,751000,26.5729,3.7789,11.5791,19.4565,27.3339,21.1784,,23.1148,,,,62.4723,7.09,45.2457,56.8589,13.9949,19.5771,,22.8286
2014-02-14,22.83,27.73,22.83,26.62,2675800,27.2719,3.864,11.2746,19.719,28.1634,21.9039,,23.9911,2.1979,1.1259,1.0721,72.6238,10.0,60.1685,62.3016,14.323,20.2743,,24.0886
