date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2024-03-28,47.09,74.9,46.08,49.32,91182606,-70680757.0451,,,,,,,,,,,,0.0774,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,91182606.0,,,,,,,,,,,,,,,,,,,,,,
2024-04-05,48.95,51.35,44.0,47.56,34216367,-71751473.2914,,,,,,,,,,,,-0.1891,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,56966239.0,,,,,,74.9,,,,,,,,,,,7.35,,,,,
2024-04-12,47.86,49.18,41.72,42.27,15539586,-84999668.7097,,,,,,,,,,,,-0.7493,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,41426653.0,,,,,,74.591,,,,,,,,,,,7.4599,,,,,
2024-04-19,41.94,43.83,37.35,40.88,12126159,-83914302.6264,,,,,,,,,,,,-0.1636,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,29300494.0,,,,,,73.9336,,,,,,,,,,,6.48,,,,,
2024-04-26,40.88,46.2,40.51,45.43,9076948,-77291273.7728,,,,,,,,,,,,0.7998,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,38377442.0,,,,,,72.8361,,,,,,,,,,,5.689,,,,,
2024-05-03,46.05,49.64,44.15,46.64,9589055,-78180475.6302,,,,,,,,,,,,0.1075,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,47966497.0,,,,,,71.7715,,,,,,,,,,,5.489,,,,,
2024-05-10,46.99,55.16,46.75,53.53,30227517,-59670164.9821,,,,,,,,,,,,0.7776,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,78194014.0,,,,,,70.7388,,,,,59.5743,90.8478,,,,,8.52,,,,,
2024-05-17,56.49,66.15,55.59,62.04,39101884,-51005542.9594,,,,,,,,,,,,0.5256,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,117295898.0,,,,,,69.7372,,,,,80.978,85.7292,,,,,12.62,,,,,
2024-05-24,61.9,62.46,53.11,54.72,17250958,-62315529.3273,,,,,,,,,,,,-0.7679,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,100044940.0,,,,,,68.7656,,,72.6284,77.3327,77.3327,55.4212,,,,,9.35,,,,,
2024-05-31,55.12,59.49,53.45,54.24,8754192,-68779717.4598,3060679.68,,,,,,,,,,,-0.1457,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,91290748.0,,,,,,67.8231,,,73.5496,62.338,62.338,45.8636,,,,,6.04,,,,,
2024-06-07,57.55,63.8,53.96,59.8,13683404,-66215382.2256,2114436.1018,,,,,,,,,,,0.2285,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,10.48,,104974152.0,,,21.249,,,66.9089,,,65.285,56.1843,56.1843,67.268,,,,,9.845,,,,,
2024-06-14,60.01,69.59,58.26,60.94,15638302,-74455511.3466,-1086744.2734,,,,,,,,,,,0.0821,,,,,51.4475,,,,,,,,,,0,,,,,,,,,,,,,,13.38,,120612454.0,,,28.1329,,,37.35,,,57.3567,53.5479,53.5479,47.5121,,,,,11.33,,,,,
2024-06-21,61.0,61.64,54.45,57.3,12123364,-76966125.503,-3096354.9063,,,,,,,,,,,-0.5147,,,,,52.3479,,,,,,,,,,0,,,,,,,,,,,,,,15.03,,108489090.0,,,35.5571,,,37.6724,,,52.1557,46.735,46.735,25.4248,,,,,7.1887,,,,,
2024-06-28,57.32,65.82,55.95,63.89,12072796,-69614807.9792,-1297925.9617,,,,,,,,,,,0.6657,,,,,54.1236,52.7543,,,,,,,,,0,,,,,,,,,,,52.385,56.125,,23.01,,120561886.0,,,56.2867,,,37.9916,,,48.7189,45.8736,45.8736,64.684,,,,,9.87,52.6925,,,-29.3209,55.963
2024-07-05,64.2,76.2,62.2,72.97,15004074,-61534042.4107,2126940.9204,,,,21.4286,100.0,78.5714,8.6594,,,,0.6264,,37.297,,52.1654,57.023,55.4497,,,,,,,,,0,64.6489,,,,,,,,,62.7998,56.925,56.775,12.2804,27.54,11.8671,135565960.0,39.0649,,60.6207,1.4795,68.6485,38.3076,,,50.3794,58.5296,58.5296,85.4799,,,,,14.0,54.4466,,,-8.314,58.6584
2024-07-12,72.76,76.74,67.62,73.85,12919899,-56802412.733,4840183.095,,,,14.2857,100.0,85.7143,8.6923,,,,0.1195,,38.2203,,52.6377,59.6118,57.9031,,,,,,,,,0,65.5775,,,,,,,,,73.613,57.365,57.045,11.303,27.21,11.7702,148485859.0,36.4269,,58.3405,1.5528,69.1101,39.0654,,,61.1564,79.0661,79.0661,87.0345,,,,,9.12,56.3152,,,-7.3369,61.2459
2024-07-19,74.69,78.08,63.79,64.7,14752384,-69675906.6785,1414017.4479,,,,7.1429,100.0,92.8571,9.0921,,,,-0.6991,,18.6554,,41.9332,60.3946,58.8093,,,,,,,,,0,65.5145,,,,,,,,,71.7706,57.365,57.715,13.1381,11.17,14.0528,133733475.0,32.1137,,20.8668,1.5306,59.3277,40.1956,,,69.8532,71.9638,71.9638,43.3771,,,,,14.29,58.2427,,,-32.8505,62.363
2024-07-26,66.93,71.41,59.73,62.36,13689174,-77200264.3052,-2510256.6024,,,,0.0,92.8571,92.8571,9.277,,,,-0.3913,,14.2033,,31.4122,60.697,59.2828,,,,,,,,,0,65.3068,,,,,,,,,69.6863,59.64,59.295,15.179,0.32,14.8765,120044301.0,29.0825,,0.5158,1.5254,57.1017,41.711,,,68.0519,53.1256,53.1256,28.9652,,,,,11.68,60.0021,,,-41.8419,62.9546
2024-08-02,62.97,64.64,54.11,57.58,11840727,-81237131.345,-5171893.99,,,,0.0,85.7143,85.7143,9.3665,,,,-0.5119,,5.4955,,18.336,60.2174,59.0557,,,,,,,,,0,65.0761,,,,,,,,,65.2651,60.245,61.115,18.3851,2.86,16.2669,108203574.0,26.6411,,5.2266,1.2674,52.7478,43.1658,,,51.343,28.9396,28.9396,14.4764,,,,,10.53,61.3637,,,-60.4185,62.7042
2024-08-09,53.25,59.13,49.13,52.91,37512480,-90390176.465,-8702906.0059,,,,0.0,78.5714,78.5714,9.4117,38.1644,56.1465,74.1286,-0.034,-29.6528,-2.3392,,8.0737,59.0932,58.2363,,,,,,,,,0,64.9077,,,,,,,,,55.6352,63.38,62.415,20.869,-1.33,17.7882,70691094.0,24.5347,,-2.4521,1.1344,48.8304,44.5623,56.1465,,33.6327,18.8329,18.8329,13.057,,,,,10.0,62.37,,,-80.3383,61.7154
2024-08-16,52.5,56.85,50.8,54.92,19087281,-83480896.2353,-7157830.3023,,,,0.0,71.4286,71.4286,9.1716,38.7058,56.4265,74.1472,0.4,-23.5308,1.0664,,8.0737,58.4512,57.7941,,,,,,,,,0,64.8482,,,,,,,,,54.035,63.38,63.605,19.8466,-4.88,16.6999,89778375.0,23.3328,,-8.1605,1.026,50.5332,45.9031,56.4265,,21.2056,15.8445,15.8445,20.0,5.4071,16.2214,,,6.05,63.0257,,,-80.0,60.935
2024-08-23,54.79,59.68,52.39,59.21,22098682,-64231701.3519,249701.794,,,,85.7143,64.2857,-21.4286,9.0372,39.7321,57.009,74.2859,0.6063,-0.8815,8.0961,,13.0437,58.5679,57.9829,,,,,,,,,0,64.8004,,,,,,,,,50.2067,63.38,63.605,18.6603,-1.73,15.263,111877057.0,24.2585,,-2.8389,0.9544,54.048,47.1901,57.009,,20.259,26.0998,26.0998,45.2424,26.4344,63.0817,,,7.29,63.2507,,,-65.1813,60.7132
2024-08-30,59.29,60.41,55.02,60.03,19497807,-47483121.3129,8586449.3191,,,,78.5714,57.1429,-21.4286,8.7767,41.9685,57.897,73.8255,0.1373,6.6483,9.4209,,14.3303,58.7929,58.2559,,,,,,,,,0,64.7292,,,,,,,,,57.899,63.38,63.605,17.8125,2.73,14.6205,131374864.0,23.7717,,4.7644,1.097,54.7105,48.4257,57.897,,29.0392,45.1732,45.1732,70.2772,59.7677,100.0,,,5.39,63.0337,,,-62.3489,60.6278
2024-09-06,59.24,60.41,55.8,56.85,11560967,-53777704.2132,9213528.8094,,,,71.4286,50.0,-21.4286,8.4791,44.7862,58.6955,72.6048,-0.5195,-13.4652,3.2075,,14.3303,58.494,58.0684,,,,,,,,,0,64.6631,,,,,,,,,57.1559,63.38,63.605,17.0971,-7.04,14.9148,119813897.0,22.8169,,-11.0189,1.0481,51.6037,49.6119,58.6955,,44.1976,61.3198,61.3198,68.4397,70.0822,47.1648,,,4.61,62.335,,,-73.3333,60.0678
2024-09-13,57.14,62.66,55.25,59.09,19134322,-53081633.6195,8853944.8071,,,,64.2857,42.8571,-21.4286,8.4026,46.8709,59.3785,71.8861,0.2632,-6.9741,7.2047,,18.6329,58.5857,58.2046,,,,,,,,,0,64.634,,,,,,,,,58.1138,63.38,63.605,15.9859,-13.88,14.22,138948219.0,23.3074,,-19.0215,0.9881,53.6024,50.7506,59.3785,,58.6776,69.5398,69.5398,69.9024,73.546,73.4731,,,7.4083,61.3911,,,-65.5959,59.7816
2024-09-20,58.6,67.19,57.22,66.17,24820589,-33339680.6837,14183468.6669,,,4.8277,57.1429,35.7143,-21.4286,8.5145,48.9797,60.355,71.7303,0.7593,49.0408,18.6413,,26.626,59.7525,59.2667,56.8923,,,,,,,,0,64.6548,,,,,,,,,59.7839,63.38,63.605,14.6097,-7.68,12.8677,163768808.0,25.2129,8.4857,-10.3995,1.0858,59.3207,51.8438,60.355,,69.3365,77.1501,77.1501,93.1081,73.546,100.0,,,9.97,60.5548,,,-41.1399,60.4462
2024-09-27,66.0,69.11,63.6,67.08,20644064,-27907032.2626,16802892.1374,,,3.6538,50.0,28.5714,-21.4286,8.2999,49.7502,61.0325,72.3148,0.196,85.42,20.006,62.6617,29.7744,60.8798,60.3084,57.647,,,,,,,,0,64.7216,,,,,,,,,66.0383,63.38,63.605,13.8977,2.38,12.3732,184412872.0,25.6824,6.3461,3.6785,1.1707,60.003,52.8932,61.0325,,76.5192,82.8677,82.8677,85.5926,91.1577,100.0,,,5.51,60.0316,,,-37.9965,61.1823
2024-10-04,66.94,72.88,64.52,72.38,22240904,-8324933.2836,22577606.6744,26.0704,,2.5767,42.8571,21.4286,-21.4286,8.3046,49.23,61.5495,73.869,0.6503,117.158,27.6207,65.3524,35.6162,62.6491,61.918,58.7383,,,,,,,,0,64.9048,,,,,,,,,67.7172,63.38,63.605,12.872,10.02,11.4736,206653776.0,27.1132,4.4023,16.068,1.1329,63.8103,53.9007,61.5495,,83.9909,91.9548,91.9548,97.1637,100.0,100.0,,,8.365,59.8986,,,-19.6891,62.5319
