date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_50_sma,sma_7_sma
1999-11-12,54.19,62.13,50.63,25.9,4639200,,,,,,,,,,,,,,,,,,,
1999-11-19,51.81,52.75,45.0,23.75,1927000,,,,,,,,,,,,,,,,31.065,,,
1999-11-26,48.75,53.38,46.81,23.88,1182700,,,,,,,,,,,,,,,,30.9794,,,
1999-12-03,48.06,49.75,41.75,22.44,1200000,,,,,,,,,,,,,,,,30.8946,,,
1999-12-10,45.13,55.5,43.0,25.38,1813100,,,,,,,,,,,,,,,,30.6942,,,
1999-12-17,52.5,52.56,45.13,23.25,1030400,,,,,,,,,,,,,,,,30.4978,,,
1999-12-23,46.75,47.5,42.75,22.0,842500,,,,,,,,23.7993,,,,,,,,30.3053,,,23.7993
1999-12-31,43.88,44.88,37.63,21.56,1359700,,,,,,,,23.2407,,,,,,,,30.1167,,,23.1793
2000-01-07,52.38,56.5,43.88,23.5,2574800,,,,,,,,23.3055,,,,,,,,29.7777,,,23.1436
2000-01-14,48.88,50.0,42.0,23.56,1100100,,,,,,,,23.3704,,,,,,,,29.4488,,,23.0993
2000-01-21,48.25,50.56,45.13,25.12,599900,,,,,,,,23.8091,,,,,-0.78,-3.011,,29.1298,,,23.4829
2000-01-28,50.75,54.88,44.75,22.78,4429400,,,,,,,,23.5518,,,,,-0.97,-4.0842,,28.8203,,,23.1121
2000-02-04,45.38,54.0,41.0,24.75,1686500,,,,,,,,23.8513,,,,,0.875,3.6649,,28.5202,,,23.3264
2000-02-11,50.0,63.25,47.56,30.32,3086000,,,,,,24.1568,,25.4673,,,,,7.875,35.0936,,18.815,24.1568,,24.5143
2000-02-18,60.88,64.5,55.25,29.38,1555100,,4.6114,,,,24.8525,,26.4442,,,,47.2948,4.0,15.7635,56.9847,18.9431,24.4046,,25.63
2000-02-25,57.25,72.0,56.38,31.94,1688800,,4.8399,,,,25.7975,,27.8181,,,,55.5423,8.69,37.3763,61.2895,19.2092,24.9896,,26.8357
2000-03-03,65.5,68.5,59.5,33.72,773100,,4.8156,,,,26.8539,,29.2936,,,,55.252,11.72,53.2727,63.9832,19.713,25.6929,,28.2864
2000-03-10,67.88,70.94,55.81,29.32,982000,,5.012,,,,27.182,,29.299,,,,54.9755,7.75,35.9379,53.9737,20.2016,26.1839,,28.885
2000-03-17,58.0,58.13,45.0,22.88,1556800,,5.1408,,,,26.6078,,27.693,,,,48.1195,-0.625,-2.6596,43.307,20.6755,26.0054,,28.8986
2000-03-24,46.75,49.5,43.81,23.19,1876900,,4.9768,18.5339,25.4305,32.3271,26.1521,,26.5672,,,,46.6614,-0.375,-1.5913,43.8911,21.1353,26.0011,,28.6757
