date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2021-09-03,10.5,14.34,9.66,13.52,20570550,13362066.6667,,,,,,,,,,,,0.6453,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,20570550.0,,,,,,,,,,,,,,,,,,,,,,,
2021-09-10,15.02,21.34,14.07,18.69,79331602,34859075.7368,,,,,,,,,,,,0.5048,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,99902152.0,,,,,,9.66,,,,,,,,,,,,7.82,,,,,
2021-09-17,18.38,18.41,14.62,15.41,25642789,19906420.4096,,,,,,,,,,,,-0.7836,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,74259363.0,,,,,,9.7768,,,,,,,,,,,,4.07,,,,,
2021-09-24,14.78,15.4,13.46,14.05,11969987,15217147.1519,,,,,,,,,,,,-0.3763,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,62289376.0,,,,,,9.8924,,,,,,,,,,,,1.95,,,,,
2021-10-01,14.3,16.43,14.16,15.98,18200144,26201375.0286,,,,,,,,,,,,0.7401,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,80489520.0,,,,,,10.0069,,,,,,,,,,,,2.38,,,,,
2021-10-08,15.97,16.1,13.8,14.71,37853047,18302911.0713,,,,,,,,,,,,-0.5478,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,42636473.0,,,,,,10.1202,,,,,,,,,,,,2.2999,,,,,
2021-10-15,14.66,14.68,12.7,12.8,19902999,314630.9624,,,,,,,,,,,,-0.9437,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,22733474.0,,,,,,10.2324,,,,,,23.8792,1.6652,,,,,2.005,,,,,
2021-10-22,12.8,13.14,12.2,13.0,20184830,14486958.4092,,,,,,,,,,,,0.2128,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,42918304.0,,,,,,10.3435,,,,,,12.1469,18.9125,,,,,0.94,,,,,
2021-10-29,13.0,14.14,12.66,14.05,10185612,23429664.7351,,,,,,,,,,,,0.7094,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,53103916.0,,,,,,10.4535,,,,19.1546,21.4377,21.4377,43.7352,,,,,1.4751,,,,,
2021-11-05,14.43,16.24,13.95,15.51,12636430,28009680.8486,4167839.7919,,,,,,,,,,,0.4733,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,65740346.0,,,,,,10.5623,,,,27.2591,48.1928,48.1928,81.9307,,,,,2.29,,,,,
2021-11-12,15.79,15.84,13.91,14.37,10806767,22354326.0973,3215752.2038,,,,,,,,,,,-0.7358,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.85,,54933579.0,,,6.287,,,10.6701,,,,43.1411,59.7929,59.7929,53.7129,,,,,1.93,,,,,
2021-11-19,14.48,16.75,14.06,15.5,26146485,24201103.8482,3121531.82,,,,,,,,,,,0.3792,,,,,14.7992,,,,,,,,,,0,,,,,,,,,,,,,,-3.19,,81080064.0,,,-17.068,,,10.7768,,,,59.1254,69.3903,69.3903,72.5275,,,,,2.69,,,,,
2021-11-26,15.57,16.36,14.11,15.45,13909404,26859345.5016,3645015.66,,,,,,,,,,,-0.0533,,,,,14.8993,,,,,,,,,,0,,,,,,,,,,,,,,0.04,,67170660.0,,,0.2596,,,10.8824,,,,64.663,64.8058,64.8058,68.177,,,,,2.25,,,,,
2021-12-03,15.51,16.97,12.74,13.0,34563921,-3455582.846,-6117855.9397,,,,,,,,,,,-0.5934,,,,,14.6071,14.7171,,,,,,,,,0,,,,,,,,,,,15.745,15.5,,-1.05,,32606739.0,,,-7.4733,,,10.987,,,,61.0488,48.9504,48.9504,6.1466,,,,,4.23,14.4968,,,-71.4041,14.5101
2021-12-10,12.97,13.22,12.0,12.76,17916215,1027154.9423,-8129263.576,,,,0.0,7.1429,7.1429,2.6818,,,,-0.1763,,-3.3569,,38.6544,14.3229,14.4562,,,,,,,,,0,12.9983,,,,,,,,,46.9735,15.725,16.67,14.1525,-3.22,21.0176,14690524.0,31.9878,,-20.1502,0.9438,48.3216,11.0906,,,,47.876,29.8718,29.8718,15.2918,,,,,1.2158,14.4161,,,-91.863,14.2491
2021-12-17,12.71,13.14,11.48,12.18,25522558,-2971650.7536,-9485435.46,,,,100.0,0.0,-100.0,2.6089,,,,-0.3193,,-5.9516,,34.0011,13.9932,14.1527,,,,,,,,,0,12.9333,,,,,,,,,24.8508,14.08,14.945,14.9881,-2.53,21.4192,-10832034.0,30.4312,,-17.1992,0.6517,47.0242,11.193,,,,30.0728,11.3963,11.3963,12.7505,,,,,1.6601,14.3112,,,-89.899,13.9181
2021-12-23,11.91,12.4,11.62,12.0,8123026,-3179933.4715,-9244192.5082,,,,92.8571,0.0,-92.8571,2.4782,,,,0.1154,,-6.788,,34.0011,13.6866,13.8657,,,,,,,,,0,12.8953,,,,,,,,,26.9331,13.99,14.225,14.6279,-0.8,20.6519,-18955060.0,29.6999,,-6.25,0.7787,46.606,11.2945,,,,17.9242,12.5047,12.5047,9.4718,,,,,0.78,14.2266,,,-90.5282,13.625
2021-12-31,12.14,12.47,11.07,12.28,11745651,5377612.257,-5582265.6136,,,,100.0,71.4286,-28.5714,2.4012,,,,0.1,,-5.2204,,28.7028,13.4702,13.6542,,,,,,,,,0,12.883,,,,,,,,,27.1557,13.99,14.02,15.7225,-0.72,19.5538,-7209409.0,28.3816,,-5.5385,0.874,47.3898,21.34,,,,12.7148,14.2436,14.2436,20.5085,,,,,1.4,14.1029,,,-79.4915,13.4018
2022-01-07,12.3,12.33,10.11,10.86,11596760,1616500.9057,-4773443.1672,,,,100.0,64.2857,-35.7143,2.3883,,,,-0.6509,,-12.2552,,19.7989,13.0686,13.2817,,,,,,,,,0,12.7066,,,,,,,,,20.4541,13.185,13.54,17.6616,-3.19,21.9914,-18806169.0,26.3817,,-22.7046,0.6796,43.8724,21.2373,,,,14.9304,18.0429,18.0429,24.1484,,,,,2.22,13.8905,,,-89.0671,13.0061
2022-01-14,10.78,11.74,10.05,10.42,12391454,-5333008.9044,-6219819.5454,,,,100.0,57.1429,-42.8571,2.338,10.0128,13.827,17.6412,-0.2136,-134.4683,-14.3759,,19.2436,12.6611,12.9001,,,,,,,,,0,12.5391,,,,,,,,,23.234,12.965,13.51,16.8937,-5.09,22.438,-31197623.0,24.945,,-32.8175,0.7084,42.8121,21.0148,,13.827,,17.0544,18.8769,18.8769,11.9737,,,,,1.685,13.597,,,-94.6532,12.6005
