date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,28.75,29.56,27.88,2.64,9698100,-43410542.8571,,,,,,,,,,,,-0.2976,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,77584800.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,28.31,31.06,27.31,2.65,14010400,-91531596.7238,,,,,,,,,,,,0.0187,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,189668000.0,,,,,,2.8977,,,,,,,,,,,,0.3499,,,,,
1999-11-26,28.56,28.75,26.0,2.5,7253300,-117907233.0874,,,,,,,,,,,,-0.6582,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,131641600.0,,,,,,2.8977,,,,,,,,,,,,0.2566,,,,,
1999-12-03,26.81,29.13,26.25,2.59,10326200,-111023099.7541,,,,,,,,,,,,0.3472,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,214251200.0,,,,,,2.8977,,,,,,,,,,,,0.2687,,,,,
1999-12-10,27.5,28.44,23.75,2.36,12239800,-143801753.9119,,,,,,,,,,,,-0.467,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,116332800.0,,,,,,2.8883,,,,,,,,,,,,0.4375,,,,,
1999-12-17,25.31,27.0,24.44,2.44,10446700,-117032085.1619,,,,,,,,,,,,0.3203,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,199906400.0,,,,,,2.8681,,,,,,,,,,,,0.2388,,,,,
1999-12-23,26.06,26.63,24.56,2.36,6715400,-134939818.4952,,,,,,,,,,,,-0.3913,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,146183200.0,,,,,,2.8485,,,,,,27.2599,27.881,,,,,0.1931,,,,,
1999-12-31,25.0,25.63,23.75,2.26,6938600,-160922661.0484,,,,,,,,,,,,-0.3989,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,90674400.0,,,,,,2.8295,,,,,,23.2443,9.2937,,,,,0.1754,,,,,
2000-01-07,23.88,25.63,23.25,2.33,16359200,-105933753.4854,,,,,,,,,,,,0.4454,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,221548000.0,,,,,,2.805,,,,24.5833,23.2458,23.2458,32.5626,,,,,0.222,,,,,
2000-01-14,25.88,27.56,24.75,2.47,13769100,-83589591.2078,571508.6961,,,,,,,,,,,0.1993,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,331700800.0,,,,,,2.7732,,,,28.3712,38.6234,38.6234,74.0139,,,,,0.2622,,,,,
2000-01-21,26.19,26.63,24.56,2.33,6957200,-117199253.0436,-3629403.579,,,,,,,,,,,-0.5894,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,-0.306,,276043200.0,,,-11.6106,,,2.743,,,,36.899,48.8279,48.8279,39.9072,,,,,0.1931,,,,,
2000-01-28,25.0,30.19,23.81,2.78,31542700,105082846.016,65708109.6073,,,,,,,,,,,0.7539,,,,,2.4746,,,,,,,,,,0,,,,,,,,,,,,,,0.1334,,528384800.0,,,5.0388,,,2.1691,,,,52.3111,69.4819,69.4819,94.5245,,,,,0.5952,,,,,
2000-02-04,29.94,34.75,29.88,3.21,21735300,252543690.3692,135019350.9679,,,,,,,,,,,0.9117,,,,,2.5873,,,,,,,,,,0,,,,,,,,,,,,,,0.7118,,702267200.0,,,28.5234,,,2.1756,,,,65.1271,77.0714,77.0714,96.7826,,,,,0.4609,,,,,
2000-02-11,34.31,35.0,31.56,3.07,12757800,228808248.5087,143547277.2083,,,,,,,,,,,-0.4157,,,,,2.6612,2.5693,,,,,,,,,0,,,,,,,,,,,2.7349,2.7172,,0.473,,600204800.0,,,18.2309,,,2.1969,,,,79.1135,90.7872,90.7872,81.0545,,,,,0.3209,2.4642,,,-18.0426,2.6292
2000-02-18,33.38,35.0,32.38,3.09,10434100,193125219.5011,122632530.7852,,,,57.1429,100.0,42.8571,0.3013,,,,-0.0954,,21.366,,39.2796,2.7273,2.6388,,,,,,,,,0,3.0684,,,,,,,,,79.8888,2.7349,2.7172,11.6905,0.7296,9.7495,683677600.0,26.8155,,30.8969,1.1727,60.683,2.2289,,,,84.9669,87.0419,87.0419,83.2887,,,,,0.2444,2.4953,,,-15.9149,2.6987
2000-02-25,32.88,36.19,32.31,3.15,8206100,176205425.6867,97544515.5089,,,,50.0,100.0,50.0,0.3057,,,,0.2242,,23.5995,,43.7205,2.7921,2.7068,,,,,,,,,0,3.0717,,,,,,,,,79.3845,2.7349,2.7727,10.6367,0.7109,9.7079,749326400.0,27.1629,,29.1619,1.1892,61.7997,2.2704,,,,86.4579,81.5447,81.5447,80.2908,,,,,0.362,2.5477,,,-18.8563,2.7717
2000-03-03,33.5,37.75,32.63,3.47,9843700,237728550.6867,97989093.0769,,,,42.8571,100.0,57.1429,0.318,,,,0.7207,,34.6844,,48.9877,2.8963,2.8085,,,,,,,,,0,3.1111,,,,,,,,,83.8277,2.866,2.8455,9.4289,1.1139,9.1641,828076000.0,27.5383,,47.2871,1.3903,67.3422,2.3257,,,,84.6915,85.4879,85.4879,92.8844,,,,,0.4777,2.6238,,,-3.8621,2.8826
2000-03-10,36.92,36.94,33.0,3.32,7871300,258825232.9202,95975447.0583,,,,35.7143,92.8571,57.1429,0.3232,,,,-0.3274,,25.7725,,48.9877,2.9621,2.8772,,,,,,,,,0,3.1242,,,,,,,,,78.4187,2.866,2.8455,8.5712,1.0617,9.722,765105600.0,25.0331,,46.9278,1.2812,62.8862,2.3975,,,,82.2249,79.6421,79.6421,65.7512,,,,,0.3909,2.7182,,,-14.6207,2.9649
2000-03-17,34.56,38.94,33.25,3.46,11756100,290725792.4984,96576820.184,,,,28.5714,100.0,71.4286,0.338,,,,0.4394,,30.3238,,55.2193,3.0384,2.9546,,,,,,,,,0,3.1656,,,,,,,,,84.8882,2.866,2.901,7.5647,1.1307,9.7759,859154400.0,26.221,,48.5966,1.4642,65.1619,2.4649,,,,80.63,76.7599,76.7599,71.644,,,,,0.5308,2.8293,,,-11.9822,3.058
2000-03-24,36.5,40.0,35.0,3.6,11204900,330884154.0984,100820786.0459,,,,21.4286,100.0,78.5714,0.3472,1.9319,2.8032,3.6744,0.424,132.984,35.0057,,58.138,3.1252,3.0411,,,,,,,,,0,3.2228,,,,,,,,,85.3186,2.9327,2.9504,6.8082,1.1363,9.6357,948793600.0,25.7189,,46.0666,1.478,67.5028,2.5467,,2.8032,,76.5173,73.15,73.15,82.0546,,,,,0.4665,2.9401,,,-8.2388,3.16
2000-03-31,38.81,45.25,37.5,4.18,12668400,420723543.0016,121976687.9999,,,,14.2857,100.0,85.7143,0.374,1.8273,2.8804,3.9335,0.7742,171.3671,49.5047,,68.9372,3.2876,3.193,,,,,,,,,0,3.416,,,,,,,,,89.2108,3.2215,3.1953,5.8343,1.851,8.9469,1050140800.0,31.7303,,79.4553,1.7747,74.7523,2.6415,,2.8804,,77.7713,83.404,83.404,96.5135,89.0861,100.0,,,0.723,3.0569,,,-2.0,3.328
2000-04-07,40.19,43.5,36.5,3.74,17296600,423095648.1445,120297346.072,,,,7.1429,92.8571,85.7143,0.4027,1.8244,2.9349,4.0454,-0.0186,117.6954,26.2332,,60.4468,3.3568,3.2656,,,,,,,,,0,3.4535,,,,,,,,,81.8256,3.2536,3.1953,6.7132,0.9563,10.7746,911768000.0,27.2319,,34.3844,1.652,63.1166,2.7837,,2.9349,,78.4292,78.7336,78.7336,57.6327,67.3138,1.9414,,,0.7753,3.1726,,,-23.5909,3.4195
2000-04-14,40.25,40.31,33.81,3.28,10518600,374677723.2214,93268516.8013,,,,0.0,85.7143,85.7143,0.4172,1.873,2.9743,4.0755,-0.7785,63.9019,7.7198,,40.0558,3.3454,3.2679,,,,,,,,,0,3.4449,,,,,,,,,75.6721,3.255,3.2215,10.4119,0.0756,12.7089,827619200.0,24.3268,,2.356,1.411,53.8599,2.9131,,2.9743,,72.9695,56.7709,56.7709,16.1667,33.9805,0.0,,,0.6064,3.2759,,,-46.9216,3.4364
2000-04-20,34.25,38.94,33.44,3.49,7130900,400608268.6759,81982940.4896,,,,14.2857,78.5714,64.2857,0.4241,1.9103,3.0192,4.128,0.58,60.6592,13.9957,,37.468,3.3681,3.2979,,,,,,,,,0,3.4475,,,,,,,,,75.2772,3.255,3.2215,10.0855,0.4254,12.1412,884666400.0,22.1715,,13.8686,1.416,56.9978,3.0309,,3.0192,,57.1314,35.8896,35.8896,33.8696,5.6536,15.0194,,,0.5131,3.365,,,-36.4272,3.4721
2000-04-28,37.0,40.63,30.0,2.82,27355600,191233704.6119,3293939.7517,,,,7.1429,71.4286,64.2857,0.4646,1.9703,3.0421,4.114,-0.6369,17.118,-7.6728,,16.0062,3.2838,3.2342,,,,,,,,,0,3.4361,,,,,,,,,67.2032,3.4808,3.2215,13.5538,-0.2706,16.4746,665821600.0,18.7195,,-8.7534,1.2107,46.1636,4.2216,,3.0421,,36.614,17.1815,17.1815,1.5082,5.0065,0.0,,,0.9917,3.4271,,,-70.056,3.4084
2000-05-05,31.0,33.88,30.13,3.14,19229100,329478114.2119,14790393.4361,,,0.4451,0.0,64.2857,64.2857,0.4564,2.0416,3.0774,4.1132,0.7173,-2.9127,1.9583,,16.0062,3.2622,3.2221,2.9508,,,,,,,,0,3.432,,,,,,,,,56.5656,3.5004,3.5046,12.7968,-0.0056,14.5218,819654400.0,17.674,15.0848,-0.1778,1.1302,50.9791,4.2073,,3.0774,,24.6583,20.9037,20.9037,27.3333,14.4749,28.4053,,,0.3499,3.4659,,,-75.2115,3.3831
2000-05-12,33.63,33.63,31.94,3.04,6676900,315255131.9634,13623412.5519,,,0.4252,0.0,57.1429,57.1429,0.4355,2.1295,3.1115,4.0935,-0.6331,-7.1021,-1.1515,3.3754,16.0062,3.2276,3.1975,2.9572,,,,,,,,0,3.4287,,,,,,,,,53.0556,3.5004,3.5102,12.4474,-0.432,14.3364,766239200.0,17.1915,14.3354,-12.4496,0.9471,49.4243,4.1933,,3.1115,,18.5755,17.6414,17.6414,24.0828,19.5005,30.096,,,0.1633,3.4825,,,-83.2131,3.3402
2000-05-19,30.94,34.0,29.5,2.81,10318400,255821147.9634,-7003293.86,39.3693,,0.3908,100.0,50.0,-50.0,0.4344,2.2251,3.1389,4.0528,-0.18,-43.5995,-7.673,3.2554,1.9111,3.1635,3.1459,2.9464,,,,,,,,0,3.4219,,,,,,,,,46.9735,3.4957,3.4869,15.3837,-0.5131,15.4529,683692000.0,15.9832,13.1471,-15.4364,0.9164,46.1635,4.1793,,3.1389,,19.1902,19.0255,19.0255,5.6604,19.5005,0.0,,,0.4198,3.4676,,,-96.0,3.2688
2000-05-26,30.0,31.88,28.0,2.72,8276500,228175931.4686,-23601034.1078,36.9627,,0.3196,100.0,42.8571,-57.1429,0.4292,2.2999,3.1585,4.0171,-0.2242,-84.759,-10.2958,3.1343,5.6763,3.0949,3.0888,2.9294,,,,,,,,0,3.4114,,,,,,,,,41.9357,3.4491,3.4169,16.8098,-0.7398,15.7931,617480000.0,15.0039,10.7209,-21.3977,0.8793,44.8521,4.1508,,3.1585,,16.5212,12.8967,12.8967,8.947,10.032,0.0,,,0.362,3.4146,,39.8236,-93.4493,3.1873
2000-06-02,29.63,36.91,29.63,3.43,9129800,299207782.018,-5644426.8427,35.5165,,0.2965,92.8571,35.7143,-57.1429,0.4504,2.4023,3.2068,4.0114,0.9863,7.9799,10.6884,3.2141,16.7159,3.1471,3.1349,2.9668,,,,,,,,0,3.4117,,,,,,,,,42.2726,3.4491,3.4169,14.8457,-0.1689,13.115,690518400.0,20.805,9.8388,-4.6867,1.0907,55.3442,4.1046,,3.2068,,23.2502,37.8283,37.8283,98.8777,33.3333,100.0,,,0.7258,3.3527,,50.7736,-48.9275,3.205
2000-06-09,36.5,39.5,32.0,3.34,55470000,299207782.018,2214587.6605,34.7991,,0.2488,85.7143,28.5714,-57.1429,0.4682,2.5596,3.2571,3.9547,-0.1,29.8905,7.6444,3.2534,25.4728,3.1761,3.1616,2.9941,,,,,,,,0,3.4112,,,,,,,,,54.5989,3.4491,3.4169,13.2397,-0.8452,14.0378,246758400.0,22.2901,8.1562,-20.2187,0.9613,53.8222,4.0598,,3.2571,,36.3768,58.4053,58.4053,67.3913,61.8312,85.4935,,,0.6997,3.2856,,48.3622,-55.0725,3.2067
2000-06-16,35.78,36.81,33.81,3.25,7002500,283148715.3514,118609.867,34.1329,,0.1884,78.5714,21.4286,-57.1429,0.4547,2.6182,3.2808,3.9434,-0.3,5.369,5.0898,3.2642,25.4728,3.1881,3.1739,3.0134,,,,,,,,0,3.4103,,,,,,,,,54.8196,3.4491,3.4169,12.6502,-0.4833,13.9746,190738400.0,21.2977,6.1111,-12.9306,0.979,52.5449,4.0164,,3.2808,,57.1996,75.365,75.365,59.8261,86.2712,73.32,,,0.2799,3.2259,,55.4652,-60.1159,3.1989
2000-06-23,34.94,36.88,34.25,3.29,6024900,273802102.4236,-3723540.6044,33.5318,,0.0784,71.4286,14.2857,-57.1429,0.4398,2.6234,3.2851,3.9469,0.1407,11.5887,6.2737,3.2821,25.7176,3.2044,3.19,3.0342,15.5354,,-0.2286,0.1477,,,,0,3.4094,,,,,,,0.0346,0.6237,53.5089,3.4491,3.4169,12.1399,0.0112,13.3504,238937600.0,20.5459,2.5143,0.341,0.9528,53.1369,3.9743,,3.2851,,65.7882,63.5942,63.5942,63.5652,79.2584,78.9618,,,0.2454,3.1778,,51.693,-57.6232,3.1971
2000-06-30,35.13,38.94,35.0,3.56,9886000,322780457.7536,10627196.4081,33.474,,0.0138,64.2857,7.1429,-57.1429,0.4346,2.6455,3.3099,3.9743,0.7766,64.8643,14.0104,3.3627,32.7218,3.2596,3.2397,3.0733,16.3725,,-0.203,0.5262,,,,0,3.4101,0.2214,-0.0602,0.2815,0.0138,-0.2536,0.2674,0.0377,0.6531,53.1612,3.4491,3.4169,11.3981,0.07,12.1988,318025600.0,22.4853,0.437,2.0032,0.9889,57.0052,3.9334,,3.3099,,69.6663,70.0396,70.0396,86.7275,84.0939,100.0,,,0.3676,3.1448,,54.2979,-40.9275,3.2327
2000-07-07,38.0,42.0,36.5,3.9,10249100,399108300.6626,39817975.5291,34.0501,,0.0048,57.1429,0.0,-57.1429,0.4402,2.6468,3.3504,4.054,0.6927,132.3416,22.6529,3.5108,41.5397,3.3582,3.3278,3.1346,16.7256,,0.127,0.7368,,,,0,3.4156,0.2533,-0.0226,0.2759,0.0048,-0.2137,0.2185,0.0409,0.6856,52.3316,3.3091,3.3353,10.4391,1.0803,11.2864,400018400.0,25.2744,0.148,38.3063,0.9331,61.3265,2.6122,,3.3504,,72.1438,82.7976,82.7976,98.1,92.9873,100.0,,,0.5131,3.1413,,61.1421,-10.9032,3.3137
2000-07-14,41.38,42.75,39.44,3.73,8136700,356040329.6657,34436396.6223,34.7247,,-0.024,50.0,0.0,-50.0,0.4309,2.6636,3.3795,4.0955,-0.4169,130.6734,16.3559,3.5869,43.4946,3.4157,3.3817,3.1789,16.8842,,0.3909,0.2812,,,,0,3.417,0.262,-0.0111,0.2731,-0.024,-0.1925,0.1686,0.0443,0.7161,59.9308,3.3091,3.3003,9.8993,0.5887,11.5455,334924800.0,25.1391,-0.7315,18.7296,0.9985,58.1779,2.6253,,3.3795,,79.1754,84.6889,84.6889,69.2394,88.0487,64.1462,,,0.3088,3.1804,,60.5334,-18.6441,3.3748
2000-07-21,39.69,40.88,39.63,3.73,6548500,329636777.6657,20703129.9221,35.3511,,-0.0022,42.8571,92.8571,50.0,0.4084,2.6614,3.3924,4.1234,0.2,100.4112,16.143,3.6453,43.4946,3.4634,3.4276,3.2194,17.1283,,0.309,-0.0225,,,,0,3.4234,0.2653,-0.0062,0.2715,-0.0022,-0.1271,0.1249,0.0478,0.7462,61.0031,3.3091,3.3003,9.6954,0.6885,10.9605,282536800.0,24.6214,-0.0661,22.6658,1.135,58.0715,2.6526,,3.3924,,81.86,78.0935,78.0935,66.9412,74.8004,60.255,,,0.1166,3.2428,,54.8293,-19.0508,3.4353
2000-07-28,40.0,40.38,35.94,3.45,15712600,263955278.5666,-7695786.1616,34.2905,,-0.0023,35.7143,85.7143,50.0,0.4088,2.668,3.3988,4.1295,-0.6757,36.465,5.9178,3.6223,20.5025,3.4617,3.4309,3.2366,17.2478,,0.265,-0.0026,,,,0,3.4236,0.243,-0.0228,0.2658,-0.0023,-0.0914,0.0891,0.0515,0.7732,54.4309,3.3091,3.3003,15.0569,0.6409,11.8434,156836000.0,22.8232,-0.0675,22.8012,0.9882,52.9589,2.6793,,3.3988,,72.2594,53.9957,53.9957,25.8065,41.4671,0.0,,,0.4142,3.3047,,51.2884,-38.9831,3.4549
2000-08-04,37.13,41.94,36.63,3.89,8163100,323110850.6946,208319.8596,33.6917,,0.0425,28.5714,78.5714,50.0,0.415,2.6591,3.4204,4.1817,0.8588,84.7672,18.2781,3.7109,25.9075,3.5275,3.492,3.285,17.1422,,0.2616,0.1389,,,,0,3.4568,0.2577,-0.0065,0.2642,0.0425,-0.0184,0.0609,0.0552,0.8044,64.48,3.3091,3.3003,13.7624,1.1718,10.6701,222140800.0,23.3868,1.2557,43.1171,1.3791,59.139,2.7055,,3.4204,,63.7166,59.0608,59.0608,84.4347,44.7044,73.8581,,,0.4954,3.3808,,61.1969,-7.1864,3.5333
2000-08-11,41.38,44.13,40.81,3.98,12067300,335905096.4778,7493775.9939,33.629,,0.1049,21.4286,100.0,78.5714,0.4075,2.6426,3.4393,4.236,0.3946,126.3861,20.6712,3.8039,32.8136,3.5975,3.5574,3.3367,16.9702,,0.4245,0.0876,,,,0,3.4861,0.2737,0.0076,0.2661,0.1049,0.06,0.0449,0.0591,0.8362,73.7068,3.3502,3.3647,13.0093,0.5486,10.2313,318679200.0,25.7167,3.0696,15.9739,1.2671,60.3356,2.7311,,3.4393,,59.092,64.2196,64.2196,82.4176,57.9527,100.0,,3.8734,0.3097,3.4613,,61.0667,-8.9275,3.614
2000-08-18,42.75,42.81,36.19,3.42,13126400,244853089.227,-19178155.7122,31.9129,35.6411,0.1507,14.2857,92.8571,78.5714,0.4225,2.6807,3.4012,4.1217,-0.9245,46.7393,1.3099,3.7361,9.604,3.5698,3.5388,3.3426,16.8577,,0.3969,-0.2665,,,,0,3.4849,0.2381,-0.0224,0.2605,0.1507,0.1099,0.0407,0.0631,0.862,67.226,3.3502,3.3647,18.9796,0.0821,12.3632,213668000.0,23.0126,4.3917,2.4615,1.125,50.655,2.7727,,3.4012,,60.5687,58.4257,58.4257,8.4249,57.9527,0.0,,3.7539,0.6176,3.5366,0.8816,50.6048,-46.4972,3.6113
2000-08-25,36.75,38.44,35.5,3.34,11002900,171799821.1998,-51590153.445,30.1054,33.534,0.1353,7.1429,85.7143,78.5714,0.4119,2.677,3.3811,4.0852,-0.3401,4.6448,-1.1698,3.6592,6.6076,3.5337,3.5116,3.3421,16.8537,,0.2143,-0.4245,,,,0,3.481,0.2009,-0.0477,0.2486,0.1353,0.0882,0.0471,0.0673,0.8867,66.4231,3.3502,3.3647,19.1946,0.0812,12.3501,125644800.0,21.9107,3.9342,2.4943,1.1865,49.4151,2.813,,3.3811,,51.2972,31.2465,31.2465,2.8969,33.3333,0.0,,3.6314,0.2743,3.5924,0.8531,42.7351,-51.9529,3.594
2000-09-01,35.81,39.5,34.56,3.52,8672500,190338606.6249,-54260888.66,28.7156,32.1161,0.1486,0.0,78.5714,78.5714,0.4154,2.6878,3.3927,4.0977,0.3806,20.4539,4.3865,3.6407,10.6489,3.531,3.5122,3.355,16.976,,0.0011,-0.3354,,,,0,3.4826,0.1838,-0.0518,0.2356,0.1486,0.0865,0.062,0.0715,0.913,70.4182,3.6184,3.4407,17.6641,0.222,11.8139,195024800.0,21.8745,4.3184,6.7403,1.2939,52.1932,2.8521,,3.3927,,34.7827,14.6761,14.6761,32.7064,8.4799,25.4397,,3.6,0.4609,3.6249,0.8157,47.4716,-44.4138,3.5958
2000-09-08,38.03,38.81,36.25,3.38,4156900,157083406.6249,-61001854.097,27.4252,31.1121,0.157,0.0,71.4286,71.4286,0.4028,2.6837,3.3872,4.0906,-0.6953,16.1076,-0.0035,3.5911,10.6489,3.5081,3.4949,3.357,17.3098,,-0.0255,0.046,,,,0,3.482,0.1577,-0.0623,0.22,0.157,0.078,0.0789,0.0758,0.9377,67.3802,3.6184,3.5512,16.9116,-0.181,11.9102,161769600.0,20.9426,4.5604,-5.0799,0.9848,49.9982,2.8901,,3.3872,,21.2256,17.7542,17.7542,17.6594,10.2599,5.3399,,3.528,0.2388,3.6332,0.7626,43.3772,-64.9629,3.5721
2000-09-15,36.34,39.38,35.88,3.62,7813600,197089038.6249,-45484833.9488,26.3946,30.2637,0.1777,0.0,64.2857,64.2857,0.3973,2.7676,3.4269,4.0862,0.6886,33.9016,7.2864,3.6082,12.9968,3.5246,3.5109,3.3761,17.7282,,0.1662,-0.1339,,,,0,3.484,0.154,-0.0528,0.2068,0.1777,0.0763,0.1013,0.0803,0.9645,56.2723,3.6184,3.6357,15.9134,-0.2855,10.9911,224278400.0,20.6677,5.1521,-7.3188,1.0839,53.6432,2.9269,,3.4269,,22.0494,33.7179,33.7179,50.7879,43.5932,100.0,,3.5544,0.3265,3.6391,0.7176,48.096,-52.1318,3.5801
2000-09-22,37.88,39.69,36.25,3.65,6166200,230357838.6249,-24416449.8928,25.5318,29.5318,0.1831,0.0,57.1429,57.1429,0.3919,2.7996,3.4523,4.105,0.3634,38.0816,8.3797,3.63,14.3155,3.544,3.5295,3.3964,17.8993,,-0.0706,-0.5916,,,,0,3.4876,0.1522,-0.0437,0.1959,0.1831,0.0612,0.1219,0.0848,0.9913,61.1693,3.6385,3.6562,14.9776,-0.0812,10.7349,273608000.0,19.9823,5.3081,-2.175,1.1218,54.1898,2.9626,,3.4523,,34.6608,52.5104,52.5104,89.0838,68.4466,100.0,,3.5861,0.3209,3.6387,0.6806,46.2778,-50.6073,3.5901
2000-09-29,38.75,41.75,38.0,3.74,7057600,235928637.5582,-11805361.31,25.3295,29.4017,0.1866,0.0,50.0,50.0,0.3889,2.8525,3.4873,4.1221,0.3493,75.5171,11.1414,3.6683,22.7002,3.5737,3.5572,3.4217,17.9005,,-0.3324,-0.1947,,,,0,3.4937,0.156,-0.0319,0.1879,0.1866,0.0437,0.1429,0.0895,1.0188,61.697,3.659,3.6707,14.0105,0.0112,10.4053,330068800.0,22.2393,5.4347,0.3005,1.1345,55.5707,2.9972,,3.4873,,52.7835,72.1223,72.1223,76.4951,100.0,100.0,,3.6395,0.3499,3.6226,0.6553,46.4148,-42.5287,3.6078
2000-10-06,40.13,42.38,38.5,3.75,7751000,227937915.9087,-8115567.2955,25.3141,29.6821,0.1876,64.2857,42.8571,-21.4286,0.387,2.9717,3.5342,4.0967,0.0155,81.672,11.5427,3.7014,25.1137,3.6008,3.5829,3.446,18.0738,,-0.2522,0.1612,,,,0,3.4967,0.1582,-0.0238,0.182,0.1876,0.0285,0.159,0.0943,1.0461,61.2586,3.659,3.6707,13.0701,0.2976,10.3204,392076800.0,21.8364,5.4634,8.6216,1.0524,55.7714,3.0308,,3.5342,,67.3094,77.2955,77.2955,66.3077,100.0,100.0,,3.6828,0.362,3.6001,0.6377,50.9821,-41.1703,3.623
2000-10-13,40.13,41.44,36.75,3.66,6943500,231609532.1134,-4700085.743,24.5364,29.6305,0.1677,57.1429,35.7143,-21.4286,0.3906,3.1603,3.5814,4.0026,-0.1876,34.3703,7.7526,3.7052,14.4262,3.6101,3.5934,3.462,18.3285,,-0.1897,0.3352,,,,0,3.4992,0.151,-0.0248,0.1758,0.1677,0.0016,0.166,0.0992,1.0723,54.4918,3.659,3.6707,15.0181,-0.2276,10.6663,336528800.0,20.0817,4.8622,-5.8527,0.9388,53.8763,3.0634,,3.5814,,71.4336,64.883,64.883,51.8462,70.3176,10.9528,,3.6833,0.4375,3.586,0.6181,52.2281,-50.9927,3.6247
2000-10-20,38.63,41.75,38.25,3.76,7226400,241850373.2563,382886.6869,23.9123,29.6317,0.1831,50.0,28.5714,-21.4286,0.386,3.1754,3.5978,4.0201,0.48,63.963,11.4083,3.7319,15.7984,3.6333,3.6157,3.4841,18.3359,,0.0033,0.5425,,,,0,3.5006,0.1516,-0.0193,0.171,0.1831,0.0135,0.1696,0.1042,1.0991,54.0951,3.659,3.6707,14.1071,-0.222,10.2641,394340000.0,19.4008,5.294,-5.5751,1.0078,55.7041,3.095,,3.5978,3.2135,67.8801,61.4618,61.4618,66.2316,69.1352,96.4527,,3.7168,0.3265,3.5864,0.6037,52.4889,-39.9164,3.6419
2000-10-27,40.25,42.0,37.5,3.71,10246400,241850373.2563,2427476.6185,23.001,28.6457,0.1338,42.8571,21.4286,-21.4286,0.3884,3.2094,3.6164,4.0235,-0.1111,43.6277,8.9518,3.7395,11.1546,3.6449,3.6281,3.5007,18.1431,,0.2002,0.293,,,,0,3.5016,0.1462,-0.0198,0.166,0.1338,-0.0356,0.1695,0.1093,1.1252,52.5066,3.659,3.6707,14.3054,0.2911,10.4739,312368800.0,17.8976,3.8323,8.5176,0.9952,54.4759,3.1257,,3.6164,3.235,61.1554,57.1213,57.1213,53.286,46.3484,31.6398,,3.7223,0.4198,3.5965,0.5879,55.3453,-45.768,3.6518
