date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2009-07-31,14.13,14.13,13.22,13.95,729798,442690.6549,,,,,,,,,,,,-0.1967,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,729798.0,,,,,,,,,,,,,,,,,,,,,,,
2009-08-07,14.43,15.03,14.25,14.63,1382739,407235.8088,,,,,,,,,,,,0.2564,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2112537.0,,,,,,13.22,,,,,,,,,,,,1.079,,,,,
2009-08-14,14.48,15.06,14.26,14.73,569664,506868.2548,,,,,,,,,,,,0.3125,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2682201.0,,,,,,13.2381,,,,,,,,,,,,0.7999,,,,,
2009-08-21,14.07,14.27,13.59,14.18,486309,864467.3298,,,,,,,,,,,,0.1617,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2195892.0,,,,,,13.2745,,,,,,,,,,,,1.1401,,,,,
2009-08-28,14.43,14.85,14.09,14.74,410466,1156114.2246,,,,,,,,,,,,0.4079,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2606358.0,,,,,,13.3102,,,,,,,,,,,,0.76,,,,,
2009-09-04,14.64,16.36,14.6,16.24,967501,1991683.27,,,,,,,,,,,,0.9091,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3573859.0,,,,,,13.3452,,,,,,,,,,,,1.76,,,,,
2009-09-11,16.74,16.99,16.27,16.81,608359,2295862.77,,,,,,,,,,,,0.0972,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,4182218.0,,,,,,13.4357,,,,,,90.9943,94.706,,,,,0.75,,,,,
2009-09-18,16.6,17.53,16.52,17.01,961807,2267392.2925,,,,,,,,,,,,0.4059,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,5144025.0,,,,,,13.5779,,,,,,92.3921,86.8024,,,,,1.0101,,,,,
2009-09-25,16.76,17.26,16.0,16.03,1022984,1293121.8164,,,,,,,,,,,,-0.5794,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,4121041.0,,,,,,13.7755,,,,87.5625,79.3013,79.3013,56.3953,,,,,1.26,,,,,
2009-10-02,16.06,16.74,16.03,16.11,638674,795172.596,215.374,,,,,,,,,,,0.0706,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,4759715.0,,,,,,13.9632,,,,78.8682,64.9112,64.9112,51.5358,,,,,0.71,,,,,
