date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_50_sma,sma_7_sma
2016-08-05,11.6,14.52,11.02,14.08,491056,,,,,,,,,,,,,,,,,,,
2016-08-12,14.5,14.85,13.22,13.88,203831,,,,,,,,,,,,,,,,11.02,,,
2016-08-19,14.02,14.5,12.17,13.23,271726,,,,,,,,,,,,,,,,11.0583,,,
2016-08-26,13.05,13.87,12.7,13.57,209696,,,,,,,,,,,,,,,,11.0962,,,
2016-09-02,13.75,16.44,13.36,14.87,368170,,,,,,,,,,,,,,,,11.1338,,,
2016-09-09,14.75,16.33,14.52,15.95,374446,,,,,,,,,,,,,,,,11.2399,,,
2016-09-16,15.91,20.05,15.42,19.52,776558,,,,,,,,15.0143,,,,,,,,11.3439,,,15.0143
2016-09-23,19.72,21.2,17.48,20.18,488514,,,,,,,,16.3057,,,,,,,,11.6051,,,15.8857
2016-09-30,20.17,22.29,17.26,18.7,1078610,,,,,,,,16.9043,,,,,,,,11.9889,,,16.5743
2016-10-07,19.0,20.25,17.99,19.87,237907,,,,,,,,17.6457,,,,,,,,12.504,,,17.5229
2016-10-14,19.83,20.14,17.62,18.3,177256,,,,,,,,17.8093,,,,,4.22,29.9716,,12.9933,,,18.1986
2016-10-21,18.61,19.39,18.18,18.83,115218,,,,,,,,18.0645,,,,,4.95,35.6628,,13.4581,,,18.7643
2016-10-28,18.81,19.7,17.0,17.52,145122,,,,,,,,17.9283,,,,,4.29,32.4263,,13.8997,,,18.9886
2016-11-04,17.54,18.25,16.74,17.35,118068,,,,,,16.8464,,17.7838,,,,,3.78,27.8556,,14.3192,16.8464,,18.6786
2016-11-11,17.49,19.25,15.71,18.49,195565,,2.653,,,,17.0656,,17.9603,,,,55.555,3.62,24.3443,64.5353,14.7178,17.1614,,18.4371
2016-11-18,18.62,19.23,16.15,18.45,122199,,2.6835,,,,17.2502,,18.0827,,,,55.2027,2.5,15.674,64.3525,15.0964,17.4879,,18.4014
2016-11-25,18.9,18.9,16.56,16.7,95475,,2.659,,,,17.1768,,17.7371,,,,56.5344,-2.82,-14.4467,56.7778,15.456,17.7357,,17.9486
2016-12-02,16.82,17.74,14.9,15.07,134095,,2.6723,,,,16.8959,,17.0703,,,,53.515,-5.11,-25.3221,50.782,22.29,17.8429,,17.4871
2016-12-09,15.65,16.0,14.7,15.28,220505,,2.5742,,,,16.6804,,16.6227,,,,47.945,-3.42,-18.2888,51.4927,22.2161,17.8721,,16.98
2016-12-16,15.4,16.4,15.05,15.73,251822,,2.4867,12.4282,16.7785,21.1288,16.5537,,16.3995,,,,46.6622,-4.14,-20.8354,53.057,22.0658,17.8564,,16.7243
2016-12-23,15.71,16.68,15.5,16.31,186366,,2.3931,12.7111,16.89,21.0689,16.5212,,16.3772,,,,37.4702,-1.99,-10.8743,55.0682,21.9185,17.6271,,16.5757
2016-12-30,16.34,16.78,15.85,16.41,110548,,2.2883,13.0626,17.0165,20.9704,16.5064,,16.3854,,,,28.9887,-2.42,-12.8518,55.4228,21.7742,17.3579,,16.2786
2017-01-06,16.28,16.56,15.18,15.4,215119,,2.2234,13.4861,17.125,20.7639,16.3589,,16.139,,,,41.7877,-2.12,-12.1005,51.0412,21.6327,17.1221,,15.8429
2017-01-13,15.43,15.8,14.95,15.17,160799,,2.1253,13.8209,17.205,20.5891,16.2004,,15.8968,,,,44.1718,-2.18,-12.5648,50.0704,21.4941,16.7864,,15.6243
2017-01-20,15.2,16.5,15.0,16.34,257349,,2.0806,14.0397,17.2785,20.5173,16.219,,16.0076,,,,53.9424,-2.15,-11.6279,54.7819,21.3582,16.6464,,15.8057
2017-01-27,16.29,16.66,14.42,14.82,546809,,2.092,13.8555,17.222,20.5885,16.0324,,15.7107,,,,41.5932,-3.63,-19.6748,48.393,21.2251,16.36,,15.74
2017-02-03,14.84,16.25,14.37,16.08,331145,,2.0769,13.8221,17.05,20.2779,16.0388,,15.803,,,,50.2915,-0.62,-3.7126,53.2593,21.0209,16.2571,,15.79
2017-02-10,16.2,16.5,15.1,15.32,320783,19.9352,2.0289,13.8367,16.807,19.7773,15.9429,,15.6823,,,,57.335,0.25,1.6589,50.1854,20.7549,16.1121,,15.6486
2017-02-17,15.72,16.2,14.98,16.0,327250,19.2222,1.971,13.8149,16.672,19.5291,15.9506,,15.7617,,,,58.7048,0.72,4.712,52.8097,20.4995,15.9343,,15.59
2017-02-24,16.12,17.24,16.1,17.19,191643,19.4024,1.9188,14.0683,16.538,19.0077,16.1158,,16.1188,,,,59.5143,1.46,9.2816,57.0719,20.2543,15.8443,,15.8457
2017-03-03,17.25,21.06,16.9,18.95,1088402,21.4774,2.0789,13.9941,16.5705,19.1469,16.4937,,16.8266,,,,72.5331,2.64,16.1864,62.4708,14.37,16.005,,16.3857
2017-03-10,19.05,20.96,18.37,20.66,368964,23.4041,2.1156,13.674,16.662,19.65,17.0492,,17.7849,,,,77.1715,4.25,25.8988,66.835,14.4369,16.4043,,17.0029
2017-03-17,20.8,20.8,17.67,17.94,959415,24.4742,2.1883,13.6654,16.683,19.7006,17.168,,17.8237,,,,64.8348,2.54,16.4935,55.7329,14.5031,16.5943,,17.4486
2017-03-24,18.06,19.08,17.4,18.14,438610,25.1979,2.1523,13.6508,16.7225,19.7942,17.2976,,17.9028,0.388,0.4565,-0.0685,57.9717,2.97,19.5781,56.3076,14.5687,16.7664,,17.7429
