date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_50_sma,sma_7_sma
2013-04-19,24.2,24.53,22.91,24.05,6968800,,,,,,,,,,,,,,,,,,,
2013-04-26,24.0,25.75,23.2,25.55,4940400,,,,,,,,,,,,,,,,22.91,,,
2013-05-03,25.7,26.99,24.8,26.48,3753100,,,,,,,,,,,,,,,,22.9384,,,
2013-05-10,26.38,27.01,25.34,26.2,3207600,,,,,,,,,,,,,,,,23.0194,,,
2013-05-17,26.44,26.82,25.04,25.33,3111900,,,,,,,,,,,,,,,,23.139,,,
2013-05-24,26.01,27.3,25.6,26.3,2493900,,,,,,,,,,,,,,,,23.255,,,
2013-05-31,26.5,26.87,25.83,25.83,2373100,,,,,,,,25.6771,,,,,,,,23.4168,,,25.6771
2013-06-07,26.07,26.19,23.39,25.03,2451100,,,,,,,,25.5154,,,,,,,,27.3,,,25.8171
2013-06-14,25.15,25.89,23.4,25.22,1939200,,,,,,,,25.4415,,,,,,,,27.2609,,,25.77
2013-06-21,25.97,27.67,24.53,25.17,9159600,,,,,,,,25.3736,,,,,,,,23.39,,,25.5829
2013-06-28,24.65,25.55,22.91,24.38,3929500,,,,,,,,25.1252,,,,,0.33,1.3721,,27.67,,,25.3229
2013-07-05,24.79,25.28,23.06,23.8,2593900,,,,,,,,24.7939,,,,,-1.75,-6.8493,,27.67,,,25.1043
2013-07-12,23.83,26.47,23.44,25.89,2252800,,,,,,,,25.0679,,,,,-0.59,-2.2281,,27.6224,,,25.0457
2013-07-19,26.16,26.25,24.23,24.7,1721500,,,,,,25.2807,,24.976,,,,,-1.5,-5.7252,,27.5753,25.2807,,24.8843
2013-07-26,24.91,25.0,22.01,22.9,2421100,,2.3229,,,,24.9633,,24.457,,,,56.6077,-2.43,-9.5934,45.4037,27.5286,25.1986,,24.58
2013-08-02,22.89,24.95,22.13,22.4,2566700,,2.3584,,,,24.6215,,23.9427,,,,48.7729,-3.9,-14.8289,43.53,27.4183,24.9736,,24.1771
2013-08-09,22.45,22.84,20.7,22.08,2527800,,2.3428,,,,24.2826,,23.477,,,,41.5401,-3.75,-14.518,42.3262,27.3101,24.6593,,23.7357
2013-08-16,22.3,22.8,17.93,20.58,4902400,,2.5233,,,,23.789,,22.7528,,,,33.1606,-4.45,-17.7787,37.1411,27.1118,24.2579,,23.1929
2013-08-23,20.51,21.66,19.84,21.09,2739400,,2.4731,,,,23.4291,,22.3371,,,,39.2713,-4.13,-16.3759,39.8396,26.7445,23.955,,22.8057
2013-08-30,21.16,21.59,19.92,20.61,2453500,,2.4156,20.4262,24.1795,27.9328,23.0532,,21.9053,,,,33.5338,-4.56,-18.1168,38.1783,26.3919,23.5486,,22.0514
2013-09-06,20.65,21.4,19.85,20.68,1953400,,2.3538,19.9589,24.011,28.0631,22.7368,,21.599,,,,34.2484,-3.7,-15.1764,38.5806,26.0535,23.1807,,21.4771
2013-09-13,20.83,22.99,20.5,22.45,2329500,,2.3635,19.8141,23.856,27.8979,22.6986,,21.8117,,,,39.6324,-1.35,-5.6723,47.8244,25.7285,22.9964,,21.4129
2013-09-20,22.93,24.14,21.79,23.02,6856700,,2.3626,19.8126,23.683,27.5534,22.7414,,22.1138,,,,49.8081,-2.87,-11.0854,50.4126,25.4166,22.8393,,21.5014
2013-09-27,22.97,23.44,22.26,22.98,2358300,,2.2783,19.8195,23.522,27.2245,22.7732,,22.3304,,,,34.338,-1.72,-6.9636,50.2243,25.1171,22.6829,,21.63
2013-10-04,22.7,23.46,21.12,21.96,2738000,,2.2827,19.6889,23.3535,27.0181,22.6648,,22.2378,,,,35.653,-0.94,-4.1048,45.5522,24.8296,22.51,,21.8271
2013-10-11,21.76,22.72,20.41,22.39,2124900,,2.2846,19.7338,23.158,26.5822,22.6282,,22.2758,,,,36.2931,-0.01,-0.0446,47.7585,24.5536,22.4093,,22.0129
2013-10-18,22.22,23.03,20.87,22.12,2213500,,2.2757,19.7514,22.9725,26.1936,22.5604,,22.2369,,,,35.6997,0.04,0.1812,46.4848,24.2887,22.14,,22.2286
2013-10-25,22.22,23.83,21.41,23.21,1797900,18.5605,2.286,19.7982,22.8815,25.9648,22.647,,22.4802,,,,40.4511,2.63,12.7794,52.0452,24.0343,22.0336,,22.59
2013-11-01,23.21,23.7,21.14,21.31,1639400,18.0012,2.3056,19.7273,22.686,25.6447,22.4687,,22.1876,,,,41.4057,0.22,1.0431,43.5507,23.83,21.92,,22.4271
2013-11-08,21.32,22.06,20.0,20.71,1870100,18.1549,2.2881,19.6166,22.463,25.3094,22.2342,,21.8182,,,,42.4087,0.1,0.4852,41.2605,23.83,21.7993,,22.0971
2013-11-15,20.7,21.53,19.51,20.48,2492100,18.5633,2.2689,19.4393,22.268,25.0967,22.0003,,21.4837,,,,42.6215,-0.2,-0.9671,40.3838,23.7,21.685,,21.74
