date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,13.94,14.44,13.44,11.19,1445500,-549290.0,,,,,,,,,,,,-0.19,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1445500.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,13.63,14.5,13.38,11.75,2215700,1429013.5714,,,,,,,,,,,,0.7232,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3661200.0,,,,,,10.8854,,,,,,,,,,,,0.9112,,,,,
1999-11-26,14.5,14.88,14.5,11.9,1130200,1072108.3083,,,,,,,,,,,,0.3421,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,4791400.0,,,,,,10.8854,,,,,,,,,,,,0.358,,,,,
1999-12-03,14.63,15.75,14.63,12.81,3387600,4459708.3083,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,8179000.0,,,,,,10.8854,,,,,,,,,,,,0.9112,,,,,
1999-12-10,15.75,16.13,15.06,12.61,2274800,4055771.8597,,,,,,,,,,,,-0.2336,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,5904200.0,,,,,,10.9432,,,,,,,,,,,,0.8705,,,,,
1999-12-17,15.31,15.88,14.44,11.75,2945200,1110571.8597,,,,,,,,,,,,-0.6042,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2959000.0,,,,,,11.0304,,,,,,,,,,,,1.1715,,,,,
1999-12-23,14.5,14.94,13.69,12.15,3684000,4794571.8597,,,,,,,,,,,,0.352,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,6643000.0,,,,,,11.1141,,,,,,55.622,51.2295,,,,,1.0169,,,,,
1999-12-31,15.0,15.31,14.88,12.2,2157300,3841346.2783,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,8800300.0,,,,,,11.1376,,,,,,47.8212,53.6885,,,,,0.3498,,,,,
2000-01-07,15.0,15.19,14.31,12.0,2319900,3841346.2783,,,,,,,,,,,,-0.2841,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,6480400.0,,,,,,11.1376,,,,50.9656,49.4536,49.4536,43.4426,,,,,0.7159,,,,,
2000-01-14,14.56,14.94,14.0,11.9,1932100,4499082.4485,1180204.054,,,,,,,,,,,0.0745,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,4548300.0,,,,,,11.217,,,,47.9864,46.6845,46.6845,42.9224,,,,,0.7647,,,,,
2000-01-21,14.75,14.75,14.19,11.75,2833700,4195471.7342,986920.7501,,,,,,,,,,,-0.5536,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.5614,,1714600.0,,,5.0182,,,11.2932,,,,46.7862,44.2204,44.2204,46.2963,,,,,0.4556,,,,,
2000-01-28,14.5,17.0,14.44,13.22,5213600,6354227.9842,1505007.228,,,,,,,,,,,0.6836,,,,,12.103,,,,,,,,,,0,,,,,,,,,,,,,,1.4725,,6928200.0,,,12.5346,,,11.3664,,,,48.5482,54.7396,54.7396,75.0,,,,,2.0827,,,,,
2000-02-04,16.38,17.81,16.31,14.19,5781200,9283369.3175,2512132.3725,,,,,,,,,,,0.7067,,,,,12.4238,,,,,,,,,,0,,,,,,,,,,,,,,2.2861,,12709400.0,,,19.2071,,,11.4896,,,,56.4961,70.5283,70.5283,90.2887,,,,,1.2691,,,,,
2000-02-11,17.38,17.88,16.0,13.12,2580500,7059746.9771,1988246.2439,,,,,,,,,,,-0.6649,,,,,12.5314,12.3248,,,,,,,,,0,,,,,,,,,,,12.6874,12.7159,,0.3092,,10128900.0,,,2.4127,,,11.6696,,,,66.221,73.3952,73.3952,54.8969,,,,,1.5295,12.2384,,,-38.8889,12.5805
2000-02-18,16.0,16.81,15.44,12.76,1792600,5921380.5538,1230972.0345,,,,7.1429,92.8571,85.7143,0.9658,,,,-0.2263,,21.1329,,22.1768,12.5673,12.3835,,,,,,,,,0,13.1095,,,,,,,,,56.2418,12.9681,12.7159,19.2706,0.1546,7.5662,8336300.0,30.2534,,1.2258,1.1411,60.5664,11.871,,,,68.623,61.9453,61.9453,40.6504,,,,,1.1146,12.3238,,,-48.6667,12.6391
2000-02-25,15.5,16.69,15.25,12.66,1356100,5149156.9426,563563.9785,,,,0.0,85.7143,85.7143,0.9805,,,,0.0417,,19.3133,,19.0108,12.5814,12.4202,,,,,,,,,0,13.1003,,,,,,,,,52.0381,12.9681,12.842,18.7189,0.9112,7.7455,6980200.0,27.5068,,7.7562,1.0776,59.6567,12.0583,,,,59.3475,42.7018,42.7018,32.5581,,,,,1.1715,12.4028,,,-55.3699,12.6686
2000-03-03,15.75,22.13,15.31,17.85,8231500,12922010.3151,2712480.9397,,,,28.5714,100.0,71.4286,1.3068,,,,0.9076,,55.022,,54.9815,13.3918,13.1441,,,,,,,,,0,13.7217,,,,,,,,,61.2861,14.7986,14.5708,12.7945,5.6949,7.3212,15211700.0,44.0465,,46.8541,1.4997,77.511,12.2324,,,,53.8209,56.8156,56.8156,97.2384,,,,,5.5485,12.5835,,,-2.2512,13.3815
2000-03-10,21.94,26.88,21.31,21.0,13272700,21095324.6777,5945594.181,,,,21.4286,100.0,78.5714,1.5371,,,,0.6948,,65.109,,68.2441,14.562,14.1913,,,,,,,,,0,14.9418,,,,,,,,,71.5908,16.3728,16.503,10.0084,8.7946,7.3204,28484400.0,53.0249,,72.0667,1.6387,82.5545,12.4067,,,,57.6832,73.5321,73.5321,90.7997,,,,,4.5315,12.9295,,,-8.1122,14.4576
2000-03-17,25.06,25.69,22.25,18.26,4708900,16906593.8638,5394944.868,,,,14.2857,92.8571,78.5714,1.6342,,,,-0.7616,,36.4185,,68.2441,15.1303,14.7333,,,,,,,,,0,15.1773,,,,,,,,,63.5551,16.3728,16.503,8.7039,6.2563,8.9515,23775500.0,46.1134,,52.1356,1.4477,68.2093,12.4556,,,,71.2116,83.287,83.287,61.8229,,,,,2.8963,13.3843,,,-33.6619,15.0902
2000-03-24,22.25,22.75,20.06,17.8,4539600,18509798.3247,5189340.2167,,,,7.1429,85.7143,78.5714,1.6738,8.2687,13.6438,19.0188,-0.1375,139.6994,32.3043,,45.3478,15.5412,15.1422,,,,,,,,,0,15.3927,,,,,,,,,60.6079,16.3728,16.503,15.6763,5.8983,9.403,19235900.0,41.6913,,49.5557,1.5152,66.1522,13.3027,,13.6438,,75.5653,69.8768,69.8768,57.0077,,,,,2.1885,13.8928,,,-37.9075,15.6082
2000-03-31,21.75,22.56,19.19,16.58,2990300,17631342.2417,4353962.2678,,,,0.0,78.5714,78.5714,1.7501,8.5174,13.9135,19.3095,-0.4065,97.4977,21.7156,,37.351,15.701,15.334,,,,,,,,,0,15.4497,,,,,,,,,60.1721,16.3728,16.6291,16.8379,4.8325,10.5551,16245600.0,36.9153,,41.1357,1.3641,60.8578,14.0736,,13.9135,,69.1269,54.2169,54.2169,43.8202,21.9062,0.0,,,2.7417,14.4194,,,-50.4658,15.9059
2000-04-07,20.13,21.44,18.75,17.44,3024700,20656042.2417,4578806.5371,,,,14.2857,71.4286,57.1429,1.7814,8.6895,14.1982,19.7069,0.487,80.2178,26.2099,,33.3549,15.969,15.6151,,,,,,,,,0,15.5639,,,,,,,,,55.9825,16.3728,16.6291,16.7948,4.2224,10.2128,19270300.0,33.6059,,31.9385,1.4293,63.105,14.7752,,14.1982,,56.244,44.6384,44.6384,33.0873,12.9082,10.3572,,,2.1885,15.0123,,,-42.236,16.2764
2000-04-14,21.38,21.44,18.0,15.05,3838200,17933598.0556,3388300.9029,,,,7.1429,64.2857,57.1429,1.854,8.9392,14.3556,19.7721,-0.8372,43.3547,7.7353,,26.594,15.8277,15.5399,,,,,,,,,0,15.5515,,,,,,,,,54.1826,16.3728,16.6291,17.3451,0.8624,12.3186,15432100.0,29.9128,,6.078,1.2542,53.8676,21.8684,,14.3556,,42.2195,27.8032,27.8032,6.502,3.4524,0.0,,,2.7986,15.6379,,,-65.0621,16.2781
