date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,21.44,21.63,20.38,7.07,1880000,-1128000.0,,,,,,,,,,,,-0.648,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1880000.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,20.5,21.06,20.25,6.94,1589800,-2717800.0,,,,,,,,,,,,-0.3086,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,290200.0,,,,,,7.4132,,,,,,,,,,,,0.2776,,,,,
1999-11-26,20.5,20.5,19.88,6.92,1553600,-2717800.0,,,,,,,,,,,,-0.5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-1263400.0,,,,,,7.4084,,,,,,,,,,,,0.2125,,,,,
1999-12-03,20.25,20.88,19.94,7.05,2431100,-1941917.0213,,,,,,,,,,,,0.3298,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1167700.0,,,,,,7.3965,,,,,,,,,,,,0.3222,,,,,
1999-12-10,20.69,20.81,20.0,6.85,1437800,-3379717.0213,,,,,,,,,,,,-0.8519,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-270100.0,,,,,,7.3849,,,,,,,,,,,,0.2776,,,,,
1999-12-17,20.0,20.38,19.69,6.79,2241700,-4841695.2821,,,,,,,,,,,,-0.2754,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-2511800.0,,,,,,7.3735,,,,,,,,,,,,0.2365,,,,,
1999-12-23,20.0,20.25,19.63,6.94,1661800,-3179895.2821,,,,,,,,,,,,0.4032,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-850000.0,,,,,,7.3547,,,,,,21.7388,49.6,,,,,0.2125,,,,,
1999-12-31,20.31,20.5,19.31,6.81,1879900,-4184207.1441,,,,,,,,,,,,-0.5385,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-2729900.0,,,,,,7.3296,,,,,,25.653,18.6,,,,,0.2848,,,,,
2000-01-07,19.62,20.13,18.94,6.98,4477600,-684906.3038,,,,,,,,,,,,0.3193,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1747700.0,,,,,,7.3055,,,,31.2785,46.4437,46.4437,71.131,,,,,0.4154,,,,,
2000-01-14,20.06,20.56,19.88,7.14,2457000,904917.2256,1216906.0798,,,,,,,,,,,0.5588,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,4204700.0,,,,,,7.2709,,,,44.2904,60.7745,60.7745,92.5926,,,,,0.2374,,,,,
