date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_50_sma,sma_7_sma
1999-11-12,17.37,17.37,16.81,2.68,28400,,,,,,,,,,,,,,,,,,,
1999-11-19,17.0,17.0,16.5,2.68,3900,,,,,,,,,,,,,,,,2.7385,,,
1999-11-26,17.0,17.0,16.75,2.68,19200,,,,,,,,,,,,,,,,2.7371,,,
1999-12-03,17.0,17.0,16.87,2.68,9300,,,,,,,,,,,,,,,,2.7357,,,
1999-12-10,17.0,17.0,16.75,2.68,4300,,,,,,,,,,,,,,,,2.7344,,,
1999-12-17,17.0,17.0,16.37,2.62,28300,,,,,,,,,,,,,,,,2.7331,,,
1999-12-23,16.62,16.62,16.5,2.6,4600,,,,,,,,2.6603,,,,,,,,2.73,,,2.6603
1999-12-31,16.75,17.0,16.5,2.72,8100,,,,,,,,2.6749,,,,,,,,2.727,,,2.6658
2000-01-07,17.0,17.0,16.87,2.7,3300,,,,,,,,2.6806,,,,,,,,2.7241,,,2.6683
2000-01-14,16.87,17.5,16.87,2.72,4200,,,,,,,,2.6901,,,,,,,,2.5808,,,2.6738
2000-01-21,17.25,17.25,17.0,2.76,1200,,,,,,,,2.7072,,,,,0.0784,2.9245,,2.583,,,2.685
2000-01-28,17.0,17.25,17.0,2.72,4200,,,,,,,,2.71,,,,,0.0384,1.4328,,2.5851,,,2.6905
2000-02-04,17.0,17.25,17.0,2.74,17200,,,,,,,,2.717,,,,,0.0576,2.1488,,2.5873,,,2.7073
2000-02-11,17.12,17.25,16.75,2.68,3900,,,,,,2.6893,,2.7074,,,,,-0.0016,-0.0588,,2.5894,2.6893,,2.7183
2000-02-18,16.75,16.75,16.0,2.56,7100,,0.0611,,,,2.6719,,2.6702,,,,53.1456,-0.1215,-4.5338,38.223,2.7985,2.6806,,2.6955
2000-02-25,16.0,16.0,15.13,2.42,4700,,0.0666,,,,2.6382,,2.6075,,,,52.9387,-0.2007,-7.6607,29.6204,2.7961,2.662,,2.6557
2000-03-03,15.13,15.75,15.13,2.48,800,,0.069,,,,2.617,,2.5753,,,,44.3337,-0.1226,-4.7146,36.1971,2.7886,2.6476,,2.6215
2000-03-10,15.5,15.75,15.13,2.52,6100,,0.0711,,,,2.6039,,2.5611,,,,42.2533,-0.1999,-7.3529,40.2593,2.7812,2.6361,,2.5872
2000-03-17,15.75,15.75,14.0,2.27,7200,,0.0863,,,,2.5597,,2.4891,,,,41.3642,-0.4248,-15.7479,28.3228,2.774,2.607,,2.5235
2000-03-24,14.25,14.5,14.0,2.27,20800,,0.086,2.3248,2.6086,2.8924,2.5215,,2.435,,,,45.9593,-0.4456,-16.3922,28.3228,2.7589,2.5822,,2.4571
2000-03-31,13.75,14.13,13.5,2.29,7800,,0.0871,2.2765,2.5893,2.902,2.4912,,2.3998,,,,44.8994,-0.4645,-16.8388,30.3789,2.7443,2.5602,,2.4022
2000-04-07,13.88,14.75,13.88,2.31,7400,,0.091,2.2393,2.5709,2.9026,2.4675,,2.3782,,,,43.8577,-0.405,-14.8992,32.3092,2.7222,2.5313,,2.3672
2000-04-14,14.75,14.75,14.0,2.35,2700,,0.0932,2.2141,2.5546,2.8952,2.4524,,2.3722,,,,43.2407,-0.3836,-14.0131,36.2733,2.701,2.5068,,2.3578
2000-04-20,14.5,14.5,14.5,2.35,1900,,0.0865,2.1922,2.5383,2.8845,2.4393,,2.3677,,,,41.5069,-0.3245,-12.1137,36.2733,2.6806,2.4807,,2.34
2000-04-28,14.38,14.75,14.38,2.39,3500,,0.0846,2.179,2.5241,2.8692,2.4333,,2.3744,,,,42.7552,-0.164,-6.4077,40.3263,2.6611,2.4547,,2.3223
2000-05-05,14.88,14.88,14.38,2.33,3900,,0.0844,2.1582,2.5098,2.8614,2.4201,,2.3645,,,,43.1708,-0.0849,-3.5088,36.6148,2.6423,2.4273,,2.3311
2000-05-12,14.38,14.75,14.38,2.39,600,,0.0827,2.1471,2.4995,2.8518,2.4168,,2.372,,,,29.3021,-0.084,-3.3886,42.3308,2.6243,2.4028,,2.3485
2000-05-19,14.75,14.88,14.75,2.41,900,38.8403,0.0783,2.145,2.4842,2.8235,2.4164,,2.3826,,,,31.8886,-0.1045,-4.1486,44.0917,2.607,2.3839,,2.3657
2000-05-26,14.5,15.0,14.5,2.39,1700,37.8227,0.0785,2.1425,2.4691,2.7957,2.4135,,2.3856,,,,34.6778,0.1218,5.3571,42.688,2.5904,2.3722,,2.3773
2000-06-02,14.75,15.0,14.5,2.39,2800,36.8777,0.0787,2.1459,2.4529,2.7599,2.411,,2.3879,,,,37.308,0.1218,5.3571,42.688,2.5744,2.3705,,2.3831
2000-06-09,14.75,15.0,14.5,2.44,2000,36.0003,0.0788,2.1636,2.4367,2.7099,2.4142,,2.3997,,,,38.4514,0.1412,6.1571,46.7817,2.5591,2.3674,,2.3947
2000-06-16,14.75,15.0,14.75,2.44,2000,35.1855,0.0761,2.1819,2.4226,2.6632,2.417,,2.4086,,,,34.0811,0.1218,5.2632,46.7817,2.5444,2.3614,,2.4005
2000-06-23,14.88,15.0,14.5,2.41,4500,34.9676,0.0765,2.214,2.4064,2.5988,2.4167,,2.41,,,,35.6106,0.0601,2.5517,44.8497,2.5303,2.3715,,2.4118
2000-06-30,14.88,15.0,14.38,2.48,14400,33.8465,0.0811,2.2454,2.3963,2.5471,2.4246,,2.4265,-0.0747,0.0438,-0.1185,66.9504,0.1218,5.1748,51.1998,2.5168,2.386,,2.4234
2000-07-07,15.0,15.25,14.25,2.37,10900,31.9858,0.0871,2.2557,2.387,2.5183,2.4178,,2.4132,-0.0725,0.0368,-0.1093,62.6385,-0.0211,-0.8814,42.4718,2.1917,2.3917,,2.4176
2000-07-14,14.75,14.75,14.25,2.43,6200,30.2581,0.0868,2.2555,2.3878,2.52,2.42,,2.4186,-0.0651,0.0354,-0.1005,50.7553,0.1,4.2849,48.1521,2.195,2.4003,,2.4234
2000-07-21,14.75,15.0,14.63,2.43,2000,28.3127,0.0849,2.2581,2.3856,2.5131,2.422,,2.4226,-0.0586,0.0335,-0.0921,50.2164,0.04,1.669,48.1521,2.1982,2.4061,,2.4291
2000-07-28,14.88,15.25,14.75,2.43,2300,27.1819,0.0848,2.2668,2.3814,2.4959,2.4237,,2.4256,-0.0527,0.0315,-0.0842,50.6639,0.0205,0.8485,48.1521,2.2014,2.4118,,2.429
2000-08-04,14.75,15.25,14.75,2.48,3900,26.1318,0.0846,2.2813,2.3915,2.5017,2.4306,,2.4382,-0.0443,0.0319,-0.0762,51.1599,0.0812,3.3922,52.1401,2.2046,2.4176,,2.4348
2000-08-11,15.25,16.75,15.25,2.58,4300,27.6844,0.0992,2.2828,2.4068,2.5308,2.4503,,2.4732,-0.029,0.0378,-0.0668,58.681,0.1836,7.6657,60.2964,2.2077,2.435,,2.4582
2000-08-18,16.5,16.5,15.5,2.58,10500,29.126,0.1039,2.2869,2.4211,2.5553,2.4676,,2.4999,-0.0166,0.0402,-0.0568,65.3398,0.1446,5.9391,60.4135,2.2188,2.4483,,2.4731
2000-08-25,15.25,16.5,15.25,2.64,5700,29.6991,0.1112,2.2816,2.4374,2.5933,2.4907,,2.5352,-0.0018,0.044,-0.0458,67.8806,0.2057,8.4469,64.5791,2.2297,2.4645,,2.5113
2000-09-01,16.25,17.0,16.0,2.81,4300,30.8375,0.1151,2.2409,2.46,2.6792,2.5327,,2.6029,0.023,0.055,-0.032,71.4773,0.3919,16.2322,72.884,2.2404,2.4938,,2.5643
2000-09-08,17.0,17.0,16.0,2.7,3200,31.8945,0.1186,2.2402,2.4774,2.7147,2.5553,,2.6277,0.0339,0.0527,-0.0188,68.2272,0.2261,9.1333,62.8812,2.2574,2.5158,,2.6025
2000-09-15,16.37,16.75,16.37,2.76,2000,32.8761,0.1146,2.2312,2.4959,2.7606,2.5832,,2.6619,0.047,0.0527,-0.0057,68.3384,0.3912,16.4812,65.9195,2.2739,2.5393,,2.6497
2000-09-22,16.75,16.75,15.88,2.62,4200,32.312,0.1167,2.2511,2.5103,2.7695,2.5883,,2.6517,0.0453,0.0408,0.0045,63.6995,0.1865,7.661,54.85,2.2898,2.5526,,2.6704
2000-09-29,15.75,16.5,15.75,2.66,6500,31.4404,0.1202,2.2621,2.5236,2.7852,2.5981,,2.6543,0.0467,0.0337,0.013,70.1437,0.2274,9.3401,57.0605,2.3053,2.5703,,2.6824
2000-10-06,15.88,16.25,15.0,2.64,12700,29.4065,0.1266,2.2738,2.5349,2.7961,2.6037,,2.6508,0.0455,0.0261,0.0195,53.4885,0.2056,8.445,55.5005,2.3203,2.5821,,2.691
2000-10-13,15.5,15.75,15.0,2.64,3100,27.5179,0.1266,2.2905,2.5472,2.8039,2.6086,,2.6482,0.0441,0.0197,0.0244,58.7709,0.1643,6.6376,55.5005,2.3349,2.6011,,2.6909
2000-10-20,15.75,15.75,15.0,2.51,2800,25.7641,0.1265,2.3056,2.5532,2.8008,2.5961,2.5376,2.6148,0.0324,0.0064,0.026,61.3475,-0.0637,-2.4716,46.918,2.3491,2.6068,2.5376,2.6493
2000-10-27,15.0,15.5,15.0,2.56,700,24.1356,0.1235,2.3177,2.5593,2.8009,2.5908,2.5383,2.6002,0.0263,0.0002,0.0261,59.6322,-0.0235,-0.9096,49.7097,2.3628,2.6155,2.5351,2.6285
