date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
1999-11-12,39.94,45.0,39.75,4.89,3909300,4497556.5714,,,,,,,,,,,,0.6076,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,15637200.0,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,44.13,46.25,41.25,4.82,5091900,-5686243.4286,,,,,,,,,,,,-0.326,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-4730400.0,,,,,,4.5099,,,,,,,,,,,,0.5673,,,,,
1999-11-26,42.44,42.5,39.75,4.56,1833100,-10672275.4286,,,,,,,,,,,,-0.8182,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-12062800.0,,,,,,5.2474,,,,,,,,,,,,0.312,,,,,
1999-12-03,40.06,41.75,40.0,4.54,2348500,-20066275.4286,,,,,,,,,,,,-0.0343,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-21456800.0,,,,,,5.2474,,,,,,,,,,,,0.1985,,,,,
1999-12-10,40.0,40.94,39.63,4.55,2300100,-22243469.3217,,,,,,,,,,,,0.0992,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-12256400.0,,,,,,5.24,,,,,,,,,,,,0.1486,,,,,
1999-12-17,39.25,39.88,38.75,4.47,8600100,-14632761.3571,,,,,,,,,,,,0.1681,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-46656800.0,,,,,,5.2251,,,,,,,,,,,,0.1566,,,,,
1999-12-23,39.25,39.31,37.56,4.3,1621900,-18302889.3571,,,,,,,,,,,,-0.7486,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-53144400.0,,,,,,5.2002,,,,,,8.1484,7.6923,,,,,0.2133,,,,,
1999-12-31,37.94,39.56,37.63,4.38,1753700,-18048466.5592,,,,,,,,,,,,0.3575,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-46129600.0,,,,,,5.1627,,,,,,14.1431,25.537,,,,,0.219,,,,,
2000-01-07,38.56,38.56,35.38,4.04,3774700,-30773241.4019,,,,,,,,,,,,-0.9214,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-61228400.0,,,,,,5.1266,,,,11.6222,12.5752,12.5752,4.4964,,,,,0.3687,,,,,
2000-01-14,35.56,37.94,35.5,4.08,5085400,-42778120.0905,-13398455.8611,,,,,,,,,,,0.1803,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-40886800.0,,,,,,5.071,,,,13.774,14.6037,14.6037,13.7778,,,,,0.2768,,,,,
2000-01-21,35.5,35.75,31.69,3.62,6011400,-64573146.6914,-20853112.5085,,,,,,,,,,,-0.8916,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,-1.2764,,-64932400.0,,,-26.0839,,,5.0182,,,,11.3584,6.8961,6.8961,2.4142,,,,,0.489,,,,,
2000-01-28,32.13,32.38,28.75,3.28,4813400,-82447700.9614,-27694365.4493,,,,,,,,,,,-0.8953,,,,,4.2957,,,,,,,,,,0,,,,,,,,,,,,,,-1.5453,,-84186000.0,,,-32.0471,,,4.9328,,,,9.0994,5.7982,5.7982,1.2026,,,,,0.4118,,,,,
2000-02-04,29.25,32.25,28.44,3.36,6101400,-91607808.048,-30889969.7755,,,,,,,,,,,0.0997,,,,,4.152,,,,,,,,,,0,,,,,,,,,,,,,,-1.1981,,-59780400.0,,,-26.2752,,,4.8158,,,,5.9399,5.1252,5.1252,11.7589,,,,,0.4323,,,,,
2000-02-11,29.44,31.0,26.88,3.17,7294400,-105771691.5432,-33895773.5869,,,,,,,,,,,-0.3641,,,,,4.001,4.1486,,,,,,,,,0,,,,,,,,,,,4.0317,4.1485,,-1.3683,,-88958000.0,,,-30.15,,,4.6887,,,,6.1462,7.5152,7.5152,9.5841,,,,,0.4674,4.2083,,,-94.5276,3.8628
2000-02-18,28.38,29.94,27.06,3.18,3863600,-111137802.6543,-33751385.6281,,,,92.8571,7.1429,-85.7143,0.3277,,,,-0.1319,,-79.0904,,81.6064,3.8742,4.019,,,,,,,,,0,3.172,,,,,,,,,22.2642,3.9959,4.1485,36.4226,-1.3762,10.3163,-73503600.0,3.689,,-30.2268,0.6492,10.4548,4.5412,,,,7.9879,11.3233,11.3233,12.6268,,,,,0.3268,4.0758,,,-94.2179,3.7332
2000-02-25,28.19,28.19,25.75,2.94,2570500,-120324179.7035,-33546948.1944,,,,100.0,0.0,-100.0,0.3241,,,,-0.9467,,-81.3198,,83.1738,3.7299,3.8747,,,,,,,,,0,3.1007,,,,,,,,,12.7746,3.748,3.8717,37.5461,-1.5385,11.0376,-83785600.0,3.449,,-34.3813,0.6089,9.3401,4.407,,,,8.9652,8.0572,8.0572,1.9608,,,,,0.2768,3.9327,,,-99.2239,3.5879
2000-03-03,25.94,28.44,25.25,2.96,3611900,-126800690.0483,-32474299.9727,,,,100.0,0.0,-100.0,0.3268,,,,0.0596,,-78.8975,,83.7432,3.6121,3.7533,,,,,,,,,0,3.0638,,,,,,,,,17.4689,3.7446,3.8008,35.7105,-1.3399,11.0232,-69338000.0,3.1595,,-31.1281,0.6502,10.5513,4.2584,,,,9.4778,9.053,9.053,12.5714,,,,,0.3619,3.7836,,,-94.6667,3.4643
2000-03-10,26.63,28.25,26.0,3.15,2800700,-120576912.2705,-27102987.3188,,,,92.8571,0.0,-92.8571,0.3217,,,,0.4978,,-63.6414,,83.7432,3.5408,3.6727,,,,,,,,,0,3.0797,,,,,,,,,21.5202,3.7446,3.7548,33.5705,-1.2344,10.2174,-58135200.0,2.9702,,-28.1646,0.6937,18.1793,4.1051,,,,12.149,19.3368,19.3368,43.4783,,,,,0.2553,3.6346,,,-84.0663,3.3805
2000-03-17,27.31,33.0,26.31,3.55,6501300,-108176824.3781,-18496241.6929,,,,85.7143,0.0,-85.7143,0.3529,,,,0.5889,,-36.5482,,33.8409,3.5415,3.6557,,,,,,,,,0,3.1198,,,,,,,,,29.9058,3.7055,3.6947,28.1659,-0.4969,9.9541,-32130000.0,13.9227,,-12.293,0.7787,31.7259,3.9687,,,,24.2932,44.4897,44.4897,77.4194,,,,,0.759,3.5068,,,-58.9884,3.3628
2000-03-24,30.75,31.25,28.19,3.38,2986200,-107474189.084,-13070258.0076,,,,78.5714,0.0,-78.5714,0.3525,2.5629,3.8617,5.1605,-0.3072,-58.0529,-40.8847,,33.8409,3.517,3.6192,,,,,,,,,0,3.1442,,,,,,,,,33.9974,3.6595,3.6766,26.0964,-0.7023,10.4228,-44074800.0,12.8998,,-17.1944,0.7558,29.5576,3.8472,,3.8617,,41.2462,59.9121,59.9121,58.8387,,,,,0.3472,3.4022,,,-68.1342,3.3329
2000-03-31,29.94,32.0,28.44,3.52,4245800,-99459645.2638,-7112250.011,,,,71.4286,7.1429,-64.2857,0.3562,2.5774,3.7932,5.009,0.3146,-43.3028,-32.4241,,27.4999,3.5181,3.6065,,,,,,,,,0,3.1658,,,,,,,,,39.6303,3.6595,3.6766,23.8966,-0.093,10.1075,-27091600.0,13.5883,,-2.5721,0.8187,33.7879,3.7441,,3.7932,,58.2701,70.4086,70.4086,74.9677,96.7713,100.0,,,0.4039,3.3237,,,-59.399,3.3324
2000-04-07,31.19,32.75,29.5,3.59,4677900,-93644655.7253,-2178090.9764,,,,64.2857,0.0,-64.2857,0.3571,2.6092,3.7316,4.8539,0.1354,-27.3956,-28.6307,,21.3105,3.5289,3.6041,,,,,,,,,0,3.1905,,,,,,,,,42.0407,3.5103,3.6198,22.0677,0.312,9.9503,-8380000.0,14.3145,,9.5222,0.8188,35.6847,2.8648,,3.7316,,67.2441,71.4117,71.4117,80.4286,96.7713,100.0,,,0.3687,3.2729,,,-52.0661,3.3479
2000-04-14,31.38,34.25,28.75,3.46,3437300,-98644364.8163,-1552379.6297,,,,57.1429,0.0,-57.1429,0.3761,2.6159,3.6766,4.7373,-0.16,-24.2374,-32.7439,,9.8272,3.5184,3.585,,,,,,,,,0,3.202,,,,,,,,,42.7068,3.5103,3.5847,19.3664,0.0987,10.87,-22129200.0,15.9007,,2.9362,0.856,33.628,2.8733,,3.6766,,70.4031,69.389,69.389,52.7708,88.8112,66.4336,,,0.624,3.253,,,-58.6288,3.3539
