date,open,high,low,close,volume,candle_position,sma_200,ema_14,cmf
1999-10-01,8.42,8.57,8.42,8.49,3162400,1,,,
1999-10-04,8.42,8.49,8.42,8.46,533400,2,,,
1999-10-05,8.46,8.53,8.42,8.53,270600,3,,,
1999-10-06,8.49,8.95,8.49,8.95,205400,4,,,
1999-10-07,8.95,8.95,8.46,8.49,214200,5,,,
1999-10-08,8.53,8.53,8.46,8.46,65600,6,,,
1999-10-11,8.46,8.49,8.42,8.46,77500,7,,,
1999-10-12,8.46,8.49,8.42,8.49,49200,8,,,
1999-10-13,8.49,8.64,8.42,8.46,49900,9,,,
1999-10-14,8.42,8.46,7.97,8.19,430900,10,,,
1999-10-15,7.89,7.93,7.63,7.86,158200,11,,,
1999-10-18,7.82,7.82,7.52,7.7,83800,12,,,
1999-10-19,7.67,7.97,7.67,7.97,58200,13,,,
1999-10-20,8.04,8.12,7.89,7.89,62600,14,,,
1999-10-21,7.89,8.08,7.82,8.08,98200,15,,,
1999-10-22,8.04,8.16,8.01,8.12,191200,16,,,
1999-10-25,8.08,8.38,8.08,8.38,153100,17,,,
1999-10-26,8.31,8.49,8.31,8.42,65600,18,,,
1999-10-27,8.42,8.53,8.42,8.46,100900,19,,,
1999-10-28,8.53,8.72,8.49,8.49,255300,20,,,0.060239522086651
1999-10-29,8.49,9.17,8.49,9.17,123200,21,,,0.1545665795322161
1999-11-01,9.02,9.02,8.79,8.87,41800,22,,,0.1770865751513575
1999-11-02,8.87,8.95,8.61,8.87,66600,23,,,0.0996881500781344
1999-11-03,8.83,8.95,8.83,8.87,18500,24,,,0.0180916381259737
1999-11-04,8.95,9.1,8.72,8.98,72100,25,,,0.1137796229393736
1999-11-05,9.02,9.55,8.95,9.47,122900,26,,,0.1801284528755818
1999-11-08,9.55,10.45,9.51,10.0,240000,27,,,0.1720738827583794
1999-11-09,10.07,10.07,9.7,9.7,42400,28,,,0.1349424474306127
1999-11-10,9.62,9.7,9.51,9.66,59900,29,,,0.1626913810170855
1999-11-11,9.66,9.77,9.66,9.7,20000,30,,8.654542814333333,0.2085647531671991
1999-11-12,9.77,11.13,9.77,10.82,248500,-1,,8.79453635276344,0.2274475488166945
1999-11-15,10.94,10.94,10.52,10.64,99200,-1,,8.913373898391606,0.1949535756633973
1999-11-16,10.64,10.64,10.45,10.49,95300,-1,,9.014845184301825,0.1386394353717003
1999-11-17,10.64,10.97,10.37,10.52,107900,-1,,9.11219476595977,0.1397055892354913
1999-11-18,10.52,10.52,10.37,10.37,67500,-1,,9.193564408155916,0.0660658071238663
1999-11-19,10.37,10.67,10.34,10.6,31200,-1,,9.284233377952308,0.0327491392136103
1999-11-22,10.56,10.75,10.56,10.71,36500,-1,,9.376327227761836,-0.0337581705382264
1999-11-23,10.71,11.65,10.71,11.5,65500,-1,,9.51340097629333,-0.0173543357397643
1999-11-24,11.43,11.43,11.05,11.16,53800,-1,,9.619807784274403,-0.011307580148527
1999-11-26,11.13,11.13,11.05,11.09,2600,-1,,9.714499976256702,0.1449649062303681
1999-11-29,11.05,11.05,10.75,10.9,20200,-1,,9.790958842304656,0.0733776175963527
1999-11-30,10.94,11.13,10.94,11.05,38100,-1,,9.872184200220484,0.0878436037938015
1999-12-01,11.05,11.2,10.97,11.16,43800,-1,,9.955443703432064,0.0839421554302647
1999-12-02,11.16,11.43,11.16,11.43,33200,-1,,10.050305438049351,0.1093538028217498
1999-12-03,11.5,11.65,11.46,11.54,62000,-1,,10.146321551723586,0.0824262431152782
1999-12-06,11.54,11.54,10.97,11.05,38200,-1,,10.20462028322529,0.001897839809686
1999-12-07,11.13,11.43,11.09,11.2,112500,-1,,10.268857127533336,-0.0347586789076066
1999-12-08,11.13,11.13,10.82,10.94,27700,-1,,10.311975846402152,-0.0070884931454019
1999-12-09,10.97,11.05,10.9,10.97,15500,-1,,10.354737542763305,-0.0368249843910186
1999-12-10,10.9,10.9,10.6,10.6,22400,-1,,10.370492116778577,-0.0496319206801434
1999-12-13,10.67,10.82,10.49,10.49,44500,-1,,10.377955775696089,-0.2389798622423052
1999-12-14,10.37,10.37,10.26,10.3,19400,-1,,10.37281375661892,-0.2181293083744158
1999-12-15,10.3,10.3,10.15,10.3,11100,-1,,10.36800348070802,-0.1596551843879183
1999-12-16,10.26,10.37,10.11,10.11,90700,-1,,10.351379393565567,-0.2068766922447716
1999-12-17,10.04,10.37,10.04,10.3,37300,-1,,10.347951979787144,-0.105196530850043
1999-12-20,10.22,10.22,10.11,10.19,31300,-1,,10.337471198510556,-0.113741092857875
1999-12-21,10.19,10.26,10.15,10.22,11800,-1,,10.330091426993745,-0.1403225560874764
1999-12-22,10.3,10.45,10.3,10.34,6300,-1,,10.330462260736084,-0.217837915366888
1999-12-23,10.34,10.37,10.22,10.3,3700,-1,,10.328384339398273,-0.2020617433601664
1999-12-27,10.26,10.3,10.26,10.3,2400,-1,,10.32644047750161,-0.1985509746481772
1999-12-28,10.26,10.6,10.26,10.45,65600,-1,,10.334321347340216,-0.1758288787461159
1999-12-29,10.49,10.49,10.3,10.37,9600,-1,,10.336844113318266,-0.1969480727463969
1999-12-30,10.3,10.45,10.3,10.41,5100,-1,,10.34162895052354,-0.2496497351525314
1999-12-31,10.37,10.45,10.34,10.34,13000,-1,,10.341255427909116,-0.3309748020468039
2000-01-03,10.49,10.52,10.0,10.0,64600,-1,,10.319082530624655,-0.4121182594747758
2000-01-04,10.0,10.0,9.4,9.55,81900,1,,10.269242178326293,-0.4046184081782729
2000-01-05,9.47,9.47,9.02,9.47,38100,2,,10.21776767198266,-0.3290430087903386
2000-01-06,9.47,9.77,9.47,9.62,41200,3,,10.179313422822489,-0.3105749644205484
2000-01-07,9.55,9.77,9.47,9.55,34700,4,,10.138490432317813,-0.3285156602644518
2000-01-10,9.92,9.92,9.62,9.62,94200,5,,10.10515084378118,-0.3967570977634076
2000-01-11,9.7,10.15,9.62,9.88,39700,6,,10.090936008698524,-0.3360537128749187
2000-01-12,9.92,10.3,9.92,10.3,25100,7,,10.10431139394378,-0.2887223970280801
2000-01-13,10.37,10.52,10.15,10.19,62000,8,,10.109549360140957,-0.3493897186570802
2000-01-14,10.22,10.67,10.15,10.52,183100,9,,10.136272865938311,-0.1125788116683143
2000-01-18,10.67,10.97,10.67,10.82,77300,10,,10.1806709171681,-0.130788163588702
2000-01-19,10.82,11.05,10.79,10.97,34500,11,,10.231903899286284,-0.1254509880628562
2000-01-20,10.97,10.97,10.45,10.52,42200,12,,10.25073356384846,-0.158191960083931
2000-01-21,10.49,10.52,10.37,10.45,16000,13,,10.263498750696948,-0.1531764761301685
2000-01-24,10.52,10.52,10.22,10.3,10700,14,,10.265741055813272,-0.1577224534596996
2000-01-25,10.3,10.52,10.26,10.37,19200,15,,10.272688356728546,-0.1603254185095369
2000-01-26,10.37,10.52,10.37,10.49,16600,16,,10.286461935649283,-0.1678571464979351
2000-01-27,10.49,10.82,10.49,10.52,33600,17,,10.301771726897718,-0.1894960420997607
2000-01-28,10.6,10.6,10.41,10.45,3900,18,,10.311244129033348,-0.1949891671003185
2000-01-31,10.3,10.52,10.3,10.52,53900,19,,10.324955069095711,-0.1179968206382075
2000-02-01,10.45,10.67,10.45,10.67,15400,20,,10.347480753670183,-0.0376388043654898
2000-02-02,10.82,10.9,10.75,10.79,92700,21,,10.37582765923985,-0.042984592002675
2000-02-03,10.86,10.9,10.79,10.82,35200,22,,10.404770562514695,-0.0966336347970697
2000-02-04,10.9,11.16,10.9,11.09,51500,23,,10.448819994610524,-0.0721336282878872
2000-02-07,11.09,11.16,11.05,11.13,25200,24,,10.49245235818404,-0.0452401405933968
2000-02-08,11.13,11.35,11.13,11.16,45300,25,,10.535694560881844,0.0247267455180094
2000-02-09,11.28,11.28,11.05,11.05,9100,26,,10.568872453083015,0.0149398119899555
2000-02-10,11.13,11.13,10.75,10.75,9700,27,,10.580511192884112,-0.0263574367202996
2000-02-11,10.75,10.82,10.75,10.79,24700,28,,10.593823876569008,0.0344288443628864
2000-02-14,10.86,10.86,10.75,10.82,7100,29,,10.608702507758103,-0.077859205167242
2000-02-15,10.75,10.82,10.75,10.75,4900,30,,10.61777156661242,-0.0969687562265615
2000-02-16,10.75,11.13,10.75,11.13,69000,-1,,10.65050382876646,0.0012727690805102
2000-02-17,11.13,11.24,11.01,11.05,28100,-1,,10.676274671426688,0.0212578546529839
2000-02-18,11.05,11.16,11.05,11.13,5000,1,,10.70523253972174,0.024646768825326
2000-02-22,11.2,11.31,11.16,11.16,10700,2,,10.73474698877195,0.0151068258866668
2000-02-23,11.16,11.39,11.16,11.31,5700,3,,10.772056601109243,0.0239626623425907
2000-02-24,11.35,11.5,11.35,11.43,61800,4,,10.814233632650584,0.0081261858229533
2000-02-25,11.43,11.58,11.43,11.58,41400,5,,10.863388886673128,0.1205199041036702
2000-02-28,11.58,12.1,11.58,12.1,35700,6,,10.943320459145829,0.1746370802617201
2000-02-29,13.08,13.15,13.0,13.15,79900,7,,11.085990405652549,0.207245249101099
2000-03-01,13.53,13.68,13.08,13.08,140600,8,,11.214606178191094,-0.0250375355120218
2000-03-02,13.23,13.38,13.23,13.27,26600,9,,11.347048311211024,0.0187368912903434
2000-03-03,13.31,13.31,13.27,13.31,17300,10,,11.473370620810313,0.0607342081606848
2000-03-06,13.27,13.38,13.27,13.27,9900,11,,11.58911827366126,0.0159647287164077
2000-03-07,13.31,13.31,13.08,13.23,26200,12,,11.694973505683114,0.0164465404351869
2000-03-08,13.23,13.34,13.23,13.23,31700,13,,11.793999367897106,0.0144680455505466
2000-03-09,13.15,13.23,13.08,13.23,7800,14,,11.886636464806973,0.0407476486248177
2000-03-10,13.23,13.31,13.19,13.31,5200,15,,11.978146635464586,0.0643412109880457
2000-03-13,13.46,13.91,13.38,13.76,27900,16,,12.092850888015258,0.0826310957849042
2000-03-14,13.76,13.83,13.76,13.76,1300,17,,12.20015486620782,0.077624960538926
2000-03-15,13.91,14.51,13.61,14.51,29000,18,,12.349032614194414,0.1260953577105542
2000-03-16,14.51,15.03,14.51,14.66,19500,19,,12.498004667472191,0.0097606241092613
2000-03-17,14.06,14.88,14.06,14.88,73300,20,,12.651914602473989,0.1492764672879564
2000-03-20,14.43,14.58,14.36,14.43,134700,21,,12.76679690037889,0.0654201654895405
2000-03-21,14.28,14.43,14.28,14.43,172200,22,,12.87426743712864,0.2472653098109916
2000-03-22,14.28,14.28,13.61,13.61,35900,23,,12.921458123120342,0.2009748789322801
2000-03-23,13.61,13.61,13.53,13.53,1300,24,,12.96075458808032,0.2128115697709579
2000-03-24,13.53,13.53,13.46,13.49,5600,25,,12.995090966913848,0.1744933463111124
2000-03-27,13.34,13.34,13.23,13.27,19600,26,,13.012663113564567,0.128942808520559
2000-03-28,13.27,13.27,11.88,12.03,42600,27,,12.94908217139911,-0.0020395901317484
2000-03-29,11.88,11.95,11.88,11.88,77000,28,,12.879903904212073,0.0809715033388516
2000-03-30,11.91,12.33,11.91,12.29,18700,29,,12.841861885230648,0.1196125433264485
2000-03-31,12.29,12.29,12.18,12.18,23500,30,,12.798999699086735,0.065160324466016
2000-04-03,12.18,12.44,12.18,12.4,4000,1,,12.773451797210171,0.0825204153134299
2000-04-04,12.4,12.55,12.4,12.48,77700,2,,12.75440180771274,0.0664621153795807
2000-04-05,12.48,12.89,12.4,12.89,32700,3,,12.763253983344176,0.145935293742299
2000-04-06,12.85,13.49,12.7,13.46,12500,4,,12.80790750635423,0.1494032720572315
2000-04-07,13.38,14.7,13.38,14.58,44500,5,,12.922425067234602,0.1796316025054687
2000-04-10,14.58,14.58,14.43,14.43,16100,6,,13.019855077090437,0.1488160031855468
2000-04-11,14.51,14.51,14.43,14.47,6300,7,,13.113424110181375,0.1494725757426181
2000-04-12,14.43,14.43,14.32,14.36,3800,8,,13.193681940492256,0.1172145626471188
2000-04-13,14.28,14.28,14.06,14.06,4900,9,,13.249363203041142,0.1236199108585337
2000-04-14,13.98,13.98,13.83,13.83,10200,10,,13.286903144135264,0.0218458000426874
2000-04-17,13.76,13.76,13.46,13.49,15500,11,,13.300197680642665,0.0792889946713911
2000-04-18,13.42,13.42,13.15,13.19,2900,12,,13.293235862536688,-0.2739897265532125
2000-04-19,13.12,13.19,12.63,12.63,20400,13,,13.250350738502062,-0.2484027341966295
2000-04-20,12.63,12.72,12.59,12.7,78800,14,,13.21508205730838,-0.0998681874124601
2000-04-24,12.67,13.0,12.63,13.0,15100,15,,13.201487417482031,-0.0694035940555536
2000-04-25,13.15,14.73,13.04,14.43,74600,16,,13.280913404741256,0.0310193809798498
2000-04-26,14.58,14.58,14.32,14.51,67700,17,,13.360064795403112,0.1325598136266604
2000-04-27,14.43,14.66,14.43,14.62,12600,18,,13.441384135699684,0.3057153011797605
2000-04-28,14.73,15.64,14.66,15.64,43100,19,,13.582927486299706,0.3415956091158615
2000-05-01,15.79,15.94,14.43,14.43,97500,20,,13.637744436861016,0.1866914507844935
2000-05-02,14.51,14.51,14.28,14.32,6100,21,,13.681750318999011,0.1753137500528342
2000-05-03,14.17,14.66,14.17,14.58,23000,22,,13.739890924224882,0.2186806360820131
2000-05-04,14.43,14.43,14.21,14.21,6300,23,,13.77003221943618,0.1595476387382956
2000-05-05,14.13,14.36,14.13,14.24,6200,24,,13.800653745279009,0.141001250283252
2000-05-08,14.17,14.51,14.13,14.43,20400,25,,13.841423840422296,0.1010514887019074
2000-05-09,14.51,14.66,14.47,14.66,19900,26,,13.894112588782148,0.1675861502803358
2000-05-10,14.73,15.07,14.66,15.07,23400,27,,13.970075196602656,0.2047589903060532
2000-05-11,15.11,15.48,15.11,15.18,30200,28,,14.048411481983129,0.1663018876819703
2000-05-12,15.03,15.48,14.96,15.48,32300,29,,14.141092456693894,0.2201509940454049
2000-05-15,15.48,15.94,15.41,15.48,73700,30,,14.227794013681384,0.1359006651447928
2000-05-16,15.52,15.94,15.41,15.79,26100,1,,14.328300564411618,0.1673135230533324
2000-05-17,15.86,15.94,15.79,15.86,5300,2,,14.427172482191514,0.169759511212261
2000-05-18,15.86,15.86,15.67,15.75,9400,3,,14.512391075598511,0.2001113864889245
2000-05-19,15.75,15.75,15.64,15.71,38200,4,,14.589686864914738,0.1439747147626873
2000-05-22,15.64,15.64,15.52,15.52,6700,5,,14.649871677500885,0.1109080496013039
2000-05-23,15.26,15.26,14.28,14.28,63200,6,,14.626154197662116,-0.0690546595492841
2000-05-24,13.98,14.21,13.83,13.98,33100,7,,14.58456823458714,-0.1349876882283717
2000-05-25,14.06,14.13,14.06,14.06,12500,8,,14.550514897517004,-0.1712580641715259
2000-05-26,14.06,14.21,13.98,13.98,64800,9,,14.513808889290098,-0.345390940667394
2000-05-30,13.98,13.98,13.72,13.98,89000,10,,14.479471010626222,-0.0341597148207898
2000-05-31,13.98,14.55,13.98,14.47,68300,11,,14.478871273811627,0.0521563402685474
2000-06-01,14.47,14.88,14.47,14.66,38200,12,,14.49043438130765,0.0218976763478553
2000-06-02,14.73,15.64,14.73,15.48,62400,13,,14.554597749610384,0.0864235170605259
2000-06-05,15.41,16.24,15.26,16.16,145400,14,,14.658268491571004,0.2151198827196688
